gridnumber,capital,dist[0],dist[1],dist[2],dist[3],dist[4],dist[5],dist[6],
134,5.88949,3.67195e-007,3.04552e-006,1.04969e-005,1.4618e-005,8.12271e-006,1.73596e-006,1.3908e-007,
135,5.97626,3.74006e-007,3.09931e-006,1.06352e-005,1.46651e-005,8.06311e-006,1.72562e-006,1.41492e-007,
136,6.06403,3.82627e-007,3.17779e-006,1.0906e-005,1.49808e-005,8.16945e-006,1.72685e-006,1.39583e-007,
137,6.15282,3.91817e-007,3.25083e-006,1.11611e-005,1.53579e-005,8.40721e-006,1.79075e-006,1.46618e-007,
138,6.24264,3.99781e-007,3.31996e-006,1.14082e-005,1.57236e-005,8.64291e-006,1.85826e-006,1.54425e-007,
139,6.3335,4.08903e-007,3.40063e-006,1.16932e-005,1.61177e-005,8.83331e-006,1.87883e-006,1.53291e-007,
140,6.42541,4.16941e-007,3.47166e-006,1.19691e-005,1.65511e-005,9.10328e-006,1.94793e-006,1.60511e-007,
141,6.51839,4.35588e-007,3.60837e-006,1.23791e-005,1.71696e-005,9.57208e-006,2.09842e-006,1.78461e-007,
142,6.61244,4.42334e-007,3.67281e-006,1.26297e-005,1.74965e-005,9.67039e-006,2.07602e-006,1.71235e-007,
143,6.70758,4.47645e-007,3.73274e-006,1.29126e-005,1.79589e-005,9.94473e-006,2.14019e-006,1.77627e-007,
144,6.80383,4.58244e-007,3.82334e-006,1.32612e-005,1.86009e-005,1.04816e-005,2.31209e-006,1.96594e-007,
145,6.90119,4.69684e-007,3.90898e-006,1.3498e-005,1.8753e-005,1.0415e-005,2.26508e-006,1.91457e-007,
146,6.99968,4.86409e-007,4.01792e-006,1.38472e-005,1.92364e-005,1.06813e-005,2.32191e-006,1.96398e-007,
147,7.0993,4.902e-007,4.0942e-006,1.41853e-005,1.97898e-005,1.10444e-005,2.41624e-006,2.06076e-007,
148,7.20009,5.01429e-007,4.19221e-006,1.45444e-005,2.03649e-005,1.1465e-005,2.55078e-006,2.22533e-007,
149,7.30204,5.12298e-007,4.29155e-006,1.49063e-005,2.08334e-005,1.16331e-005,2.54081e-006,2.16079e-007,
150,7.40517,5.24801e-007,4.39957e-006,1.5312e-005,2.14536e-005,1.20155e-005,2.62895e-006,2.23261e-007,
151,7.5095,5.39144e-007,4.51106e-006,1.56735e-005,2.1945e-005,1.23311e-005,2.73171e-006,2.37848e-007,
152,7.61503,5.52725e-007,4.61206e-006,1.59915e-005,2.23988e-005,1.26241e-005,2.81838e-006,2.48147e-007,
153,7.72179,5.65715e-007,4.73001e-006,1.64275e-005,2.30374e-005,1.29627e-005,2.87219e-006,2.49733e-007,
154,7.82979,5.75297e-007,4.84114e-006,1.6921e-005,2.38169e-005,1.34024e-005,2.95879e-006,2.56532e-007,
155,7.93903,5.89345e-007,4.97712e-006,1.74549e-005,2.47339e-005,1.40996e-005,3.15723e-006,2.75671e-007,
156,8.04955,5.99355e-007,5.04254e-006,1.76286e-005,2.48964e-005,1.41684e-005,3.19687e-006,2.84327e-007,
157,8.16134,6.13228e-007,5.1597e-006,1.80422e-005,2.54515e-005,1.43948e-005,3.20292e-006,2.8106e-007,
158,8.27443,6.38324e-007,5.34919e-006,1.86204e-005,2.62283e-005,1.48457e-005,3.3119e-006,2.91114e-007,
159,8.38882,6.58783e-007,5.56176e-006,1.93861e-005,2.71854e-005,1.53172e-005,3.41241e-006,3.0087e-007,
160,8.50455,6.66074e-007,5.5734e-006,1.95031e-005,2.76849e-005,1.5905e-005,3.64873e-006,3.33407e-007,
161,8.62161,6.77495e-007,5.69371e-006,1.99484e-005,2.82991e-005,1.61763e-005,3.65308e-006,3.24864e-007,
162,8.74003,6.89896e-007,5.81496e-006,2.03805e-005,2.88659e-005,1.6442e-005,3.70152e-006,3.31019e-007,
163,8.85982,7.06658e-007,5.95947e-006,2.09076e-005,2.96412e-005,1.68916e-005,3.8007e-006,3.38115e-007,
164,8.981,7.24122e-007,6.11423e-006,2.14843e-005,3.0541e-005,1.75261e-005,4.00738e-006,3.66383e-007,
165,9.10358,7.41495e-007,6.26431e-006,2.20273e-005,3.13631e-005,1.80495e-005,4.13635e-006,3.77316e-007,
166,9.22759,7.58229e-007,6.40412e-006,2.25133e-005,3.2029e-005,1.8363e-005,4.16898e-006,3.75966e-007,
167,9.35303,7.75702e-007,6.55626e-006,2.30665e-005,3.2825e-005,1.88125e-005,4.27696e-006,3.88047e-007,
168,9.47992,7.9393e-007,6.72219e-006,2.37219e-005,3.3904e-005,1.95118e-005,4.44015e-006,4.00949e-007,
169,9.60828,8.13258e-007,6.88891e-006,2.43547e-005,3.49936e-005,2.03646e-005,4.7125e-006,4.34339e-007,
170,9.73813,8.33811e-007,7.05185e-006,2.48638e-005,3.55634e-005,2.06247e-005,4.78793e-006,4.45043e-007,
171,9.86949,8.55197e-007,7.22511e-006,2.54476e-005,3.63239e-005,2.09425e-005,4.80555e-006,4.41954e-007,
172,10.0024,8.76715e-007,7.40874e-006,2.61041e-005,3.72914e-005,2.15012e-005,4.92313e-006,4.50299e-007,
173,10.1368,8.95929e-007,7.59322e-006,2.68205e-005,3.84242e-005,2.22286e-005,5.10607e-006,4.68922e-007,
174,10.2728,9.14873e-007,7.76933e-006,2.75022e-005,3.95033e-005,2.29789e-005,5.33406e-006,4.96615e-007,
175,10.4103,9.36427e-007,7.94965e-006,2.81205e-005,4.038e-005,2.35682e-005,5.53228e-006,5.22912e-007,
176,10.5494,9.68633e-007,8.15984e-006,2.87897e-005,4.12469e-005,2.3892e-005,5.51899e-006,5.1431e-007,
177,10.6902,9.97931e-007,8.41975e-006,2.96437e-005,4.2439e-005,2.46028e-005,5.68181e-006,5.25224e-007,
178,10.8326,1.02149e-006,8.63873e-006,3.04372e-005,4.36395e-005,2.53906e-005,5.90989e-006,5.56681e-007,
179,10.9766,1.03261e-006,8.77138e-006,3.10801e-005,4.47122e-005,2.60356e-005,6.03853e-006,5.60483e-007,
180,11.1223,1.05798e-006,8.99024e-006,3.18558e-005,4.58321e-005,2.6754e-005,6.26836e-006,5.95548e-007,
181,11.2697,1.08391e-006,9.2173e-006,3.2683e-005,4.70679e-005,2.75449e-005,6.48603e-006,6.17873e-007,
182,11.4188,1.11119e-006,9.45786e-006,3.35533e-005,4.83301e-005,2.82393e-005,6.61348e-006,6.25917e-007,
183,11.5696,1.13606e-006,9.68326e-006,3.44011e-005,4.95834e-005,2.8963e-005,6.77864e-006,6.43647e-007,
184,11.7222,1.16441e-006,9.92447e-006,3.52918e-005,5.09137e-005,2.97216e-005,6.92805e-006,6.50766e-007,
