gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6],
65,1.78284,-8.09885,-7.9745,-7.83615,-7.68175,-7.50906,-7.31565,-7.09904,
66,1.82203,-8.07646,-7.95295,-7.81545,-7.66191,-7.49008,-7.29756,-7.08186,
67,1.86167,-8.05396,-7.9313,-7.79463,-7.64193,-7.47098,-7.27934,-7.06456,
68,1.90178,-8.03138,-7.90954,-7.77369,-7.62184,-7.45174,-7.26099,-7.04714,
69,1.94235,-8.00869,-7.88766,-7.75263,-7.60162,-7.43237,-7.2425,-7.02959,
70,1.98339,-7.9859,-7.86568,-7.73146,-7.58127,-7.41287,-7.22389,-7.01191,
71,2.0249,-7.963,-7.84357,-7.71016,-7.56079,-7.39325,-7.20516,-6.99409,
72,2.0669,-7.94001,-7.82135,-7.68873,-7.54019,-7.37349,-7.18629,-6.97614,
73,2.10938,-7.91691,-7.79902,-7.66719,-7.51946,-7.3536,-7.16729,-6.95807,
74,2.15235,-7.8937,-7.77657,-7.64552,-7.49859,-7.33359,-7.14816,-6.93988,
75,2.19582,-7.87038,-7.75399,-7.62372,-7.4776,-7.31343,-7.12889,-6.92154,
76,2.2398,-7.84695,-7.7313,-7.60179,-7.45648,-7.29315,-7.10949,-6.90308,
77,2.28428,-7.8234,-7.70849,-7.57974,-7.43523,-7.27274,-7.08995,-6.88447,
78,2.32928,-7.79974,-7.68556,-7.55757,-7.41385,-7.2522,-7.07029,-6.86575,
79,2.37481,-7.77596,-7.66251,-7.53526,-7.39233,-7.23152,-7.05049,-6.8469,
80,2.42085,-7.75207,-7.63933,-7.51283,-7.37069,-7.2107,-7.03056,-6.82791,
81,2.46744,-7.72807,-7.61602,-7.49026,-7.3489,-7.18975,-7.0105,-6.80878,
82,2.51456,-7.70394,-7.59259,-7.46757,-7.32699,-7.16867,-6.99029,-6.78952,
83,2.56223,-7.67968,-7.56902,-7.44474,-7.30494,-7.14744,-6.96995,-6.77013,
84,2.61045,-7.65531,-7.54533,-7.42179,-7.28276,-7.12608,-6.94947,-6.75061,
85,2.65923,-7.6308,-7.52151,-7.3987,-7.26044,-7.10459,-6.92886,-6.73095,
86,2.70857,-7.60617,-7.49756,-7.37547,-7.23798,-7.08296,-6.90811,-6.71116,
87,2.75849,-7.58141,-7.47348,-7.35211,-7.21539,-7.06118,-6.88723,-6.69122,
88,2.80898,-7.55654,-7.44927,-7.32862,-7.19266,-7.03928,-6.86622,-6.67115,
89,2.86006,-7.53154,-7.42494,-7.30499,-7.16979,-7.01723,-6.84506,-6.65096,
90,2.91173,-7.50642,-7.40047,-7.28122,-7.14679,-6.99504,-6.82377,-6.63063,
91,2.964,-7.48116,-7.37586,-7.25732,-7.12365,-6.97272,-6.80234,-6.61016,
92,3.01688,-7.45577,-7.35113,-7.23328,-7.10037,-6.95026,-6.78077,-6.58956,
93,3.07036,-7.43024,-7.32625,-7.20911,-7.07695,-6.92766,-6.75906,-6.56881,
94,3.12447,-7.40459,-7.30125,-7.1848,-7.05339,-6.90493,-6.73721,-6.54793,
95,3.1792,-7.3788,-7.2761,-7.16035,-7.0297,-6.88206,-6.71522,-6.52692,
96,3.23457,-7.35287,-7.25082,-7.13576,-7.00586,-6.85904,-6.6931,-6.50579,
97,3.29058,-7.32683,-7.2254,-7.11103,-6.98189,-6.83589,-6.67085,-6.48451,
98,3.34724,-7.30065,-7.19985,-7.08616,-6.95778,-6.8126,-6.64846,-6.46309,
99,3.40456,-7.27433,-7.17416,-7.06116,-6.93353,-6.78918,-6.62593,-6.44153,
100,3.46253,-7.24788,-7.14833,-7.03602,-6.90914,-6.76561,-6.60326,-6.41983,
101,3.52119,-7.22129,-7.12236,-7.01074,-6.88461,-6.7419,-6.58045,-6.398,
102,3.58052,-7.19457,-7.09627,-6.98532,-6.85994,-6.71805,-6.5575,-6.37605,
103,3.64053,-7.1677,-7.07003,-6.95977,-6.83513,-6.69407,-6.53441,-6.35396,
104,3.70125,-7.1407,-7.04366,-6.93407,-6.81018,-6.66994,-6.51118,-6.33173,
105,3.76266,-7.11357,-7.01715,-6.90824,-6.7851,-6.64568,-6.48781,-6.30937,
106,3.82479,-7.0863,-6.9905,-6.88227,-6.75987,-6.62127,-6.46431,-6.28686,
107,3.88764,-7.0589,-6.96371,-6.85617,-6.73451,-6.59673,-6.44068,-6.26422,
108,3.95121,-7.03136,-6.93678,-6.82992,-6.70901,-6.57205,-6.41692,-6.24145,
109,4.01552,-7.00369,-6.90972,-6.80353,-6.68337,-6.54723,-6.39301,-6.21856,
110,4.08058,-6.97588,-6.88252,-6.77701,-6.65759,-6.52227,-6.36897,-6.19553,
111,4.14639,-6.94793,-6.85518,-6.75035,-6.63167,-6.49718,-6.3448,-6.17236,
112,4.21297,-6.91985,-6.8277,-6.72355,-6.60561,-6.47194,-6.32048,-6.14906,
113,4.28031,-6.89162,-6.80009,-6.69661,-6.57942,-6.44658,-6.29604,-6.12562,
114,4.34843,-6.86327,-6.77233,-6.66953,-6.55309,-6.42107,-6.27145,-6.10205,
115,4.41735,-6.83477,-6.74445,-6.64232,-6.52662,-6.39543,-6.24673,-6.07834,
116,4.48706,-6.80614,-6.71644,-6.61497,-6.50002,-6.36966,-6.22187,-6.05452,
117,4.55758,-6.77739,-6.68829,-6.58749,-6.47328,-6.34375,-6.19688,-6.03056,
118,4.62892,-6.7485,-6.66,-6.55986,-6.44641,-6.31771,-6.17177,-6.00647,
119,4.70108,-6.71948,-6.63157,-6.53211,-6.4194,-6.29154,-6.14652,-5.98225,
120,4.77408,-6.69032,-6.60302,-6.50422,-6.39226,-6.26524,-6.12115,-5.9579,
