gridnumber,capital,dist[0],dist[1],dist[2],dist[3],dist[4],dist[5],dist[6],
198,14.0535,1.42232e-005,0.000139832,0.000566051,0.000916977,0.000596675,0.000155416,1.67077e-005,
199,14.2348,1.37084e-005,0.000134784,0.000545678,0.000884124,0.000575465,0.000149973,1.61394e-005,
200,14.4183,1.3202e-005,0.000129813,0.000525576,0.000851528,0.000554143,0.000144345,1.55173e-005,
201,14.6039,1.2705e-005,0.000124934,0.000505854,0.000819633,0.000533426,0.000138957,1.49386e-005,
202,14.7916,1.22179e-005,0.000120153,0.000486538,0.000788409,0.000513161,0.000133696,1.43753e-005,
203,14.9815,1.17405e-005,0.000115468,0.000467599,0.000757775,0.00049326,0.000128522,1.38204e-005,
204,15.1736,1.12729e-005,0.00011088,0.00044906,0.000727801,0.000473797,0.000123464,1.32784e-005,
205,15.3679,1.08151e-005,0.000106386,0.000430905,0.00069845,0.000454737,0.000118509,1.27466e-005,
206,15.5645,1.03686e-005,0.000102002,0.000413179,0.000669773,0.000436108,0.000113667,1.22272e-005,
207,15.7633,9.9213e-006,9.76471e-005,0.000395679,0.000641583,0.000417845,0.000108927,1.17194e-005,
208,15.9645,9.5206e-006,9.3602e-005,0.00037902,0.000614337,0.000400051,0.000104293,1.12224e-005,
209,16.168,9.04727e-006,8.91178e-005,0.000361395,0.000586426,0.000382189,9.96968e-005,1.0733e-005,
210,16.3738,8.62029e-006,8.49933e-005,0.000344998,0.000560332,0.000365481,9.54005e-005,1.0275e-005,
211,16.5821,8.19502e-006,8.08397e-005,0.000328328,0.000533604,0.000348281,9.09696e-005,9.8037e-006,
212,16.7927,7.77639e-006,7.66981e-005,0.000311465,0.00050617,0.000330408,8.63293e-005,9.3094e-006,
213,17.0058,7.37646e-006,7.27582e-005,0.000295492,0.000480282,0.000313586,8.19646e-005,8.84358e-006,
214,17.2213,6.99103e-006,6.89643e-005,0.000280119,0.000455362,0.00029737,7.77448e-005,8.39112e-006,
215,17.4394,6.61906e-006,6.53025e-005,0.000265277,0.00043129,0.000281691,7.36588e-005,7.95199e-006,
216,17.66,6.26039e-006,6.17721e-005,0.000250968,0.000408081,0.00026657,6.97151e-005,7.52747e-006,
217,17.8831,5.91459e-006,5.83699e-005,0.00023719,0.000385767,0.000252074,6.59557e-005,7.12705e-006,
218,18.1088,5.58112e-006,5.50885e-005,0.000223896,0.000364216,0.000238039,6.22959e-005,6.73299e-006,
219,18.3372,5.26003e-006,5.19262e-005,0.00021107,0.000343383,0.000224426,5.87238e-005,6.34388e-006,
220,18.5681,4.95163e-006,4.88884e-005,0.000198749,0.000323388,0.000211394,5.53248e-005,5.97809e-006,
221,18.8018,4.65572e-006,4.59739e-005,0.000186929,0.000304203,0.000198885,5.20602e-005,5.6265e-006,
222,19.0381,4.37216e-006,4.3181e-005,0.000175601,0.000285815,0.000186895,4.89302e-005,5.28923e-006,
223,19.2772,4.09933e-006,4.05006e-005,0.000164746,0.000268208,0.000175416,4.59332e-005,4.96614e-006,
224,19.5191,3.83912e-006,3.79483e-005,0.000154412,0.000251436,0.000164471,4.30734e-005,4.65767e-006,
225,19.7638,3.58065e-006,3.54108e-005,0.000144167,0.000234894,0.000153746,4.02888e-005,4.35908e-006,
226,20.0113,3.32619e-006,3.29094e-005,0.000134075,0.000218635,0.000143236,3.75695e-005,4.06863e-006,
227,20.2617,3.09388e-006,3.06174e-005,0.000124763,0.000203496,0.000133354,3.49899e-005,3.791e-006,
228,20.5149,2.87312e-006,2.84435e-005,0.000115947,0.000189192,0.000124035,3.25612e-005,3.52997e-006,
229,20.7711,2.66215e-006,2.63705e-005,0.000107575,0.000175687,0.000115306,3.03075e-005,3.29031e-006,
230,21.0303,2.46122e-006,2.4381e-005,9.94533e-005,0.000162389,0.00010653,2.79812e-005,3.03486e-006,
231,21.2925,2.27274e-006,2.25157e-005,9.18559e-005,0.000150013,9.84401e-005,2.5867e-005,2.80718e-006,
232,21.5577,2.09599e-006,2.07663e-005,8.47255e-005,0.000138378,9.08127e-005,2.38652e-005,2.59037e-006,
233,21.826,1.93122e-006,1.91313e-005,7.80539e-005,0.00012749,8.36768e-005,2.19932e-005,2.38762e-006,
234,22.0974,1.77593e-006,1.75962e-005,7.18011e-005,0.000117291,7.6992e-005,2.02386e-005,2.1974e-006,
235,22.3719,1.63074e-006,1.61623e-005,6.5962e-005,0.000107768,7.0749e-005,1.85998e-005,2.01976e-006,
