gridnumber,capital,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],
209,16.168,15.2697,15.4109,15.6539,16.0671,16.763,17.9282,19.8714,
210,16.3738,15.4748,15.6161,15.8591,16.2723,16.9683,18.1337,20.0769,
211,16.5821,15.6823,15.8236,16.0667,16.48,17.1761,18.3415,20.2848,
212,16.7927,15.8922,16.0335,16.2767,16.69,17.3863,18.5517,20.4952,
213,17.0058,16.1045,16.2459,16.4891,16.9026,17.5989,18.7644,20.7079,
214,17.2213,16.3193,16.4608,16.7041,17.1176,17.814,18.9796,20.9232,
215,17.4394,16.5367,16.6781,16.9215,17.3351,18.0315,19.1972,21.1408,
216,17.66,16.7565,16.8981,17.1415,17.5551,18.2517,19.4172,21.3609,
217,17.8831,16.979,17.1206,17.364,17.7777,18.4743,19.6399,21.5836,
218,18.1088,17.204,17.3457,17.5892,18.0029,18.6996,19.8652,21.809,
219,18.3372,17.4317,17.5734,17.817,18.2308,18.9275,20.0931,22.037,
220,18.5681,17.6621,17.8038,18.0474,18.4612,19.158,20.3237,22.2676,
221,18.8018,17.8951,18.0368,18.2805,18.6944,19.3911,20.557,22.5009,
222,19.0381,18.1308,18.2726,18.5163,18.9303,19.627,20.793,22.7369,
223,19.2772,18.3693,18.5111,18.7549,19.1689,19.8657,21.0316,22.9755,
224,19.5191,18.6106,18.7524,18.9962,19.4102,20.1071,21.2731,23.2169,
225,19.7638,18.8546,18.9966,19.2404,19.6544,20.3514,21.5173,23.4611,
226,20.0113,19.1016,19.2435,19.4874,19.9015,20.5984,21.7643,23.7082,
227,20.2617,19.3514,19.4934,19.7372,20.1514,20.8483,22.0143,23.9583,
228,20.5149,19.6041,19.7461,19.99,20.4042,21.1012,22.2671,24.2113,
229,20.7711,19.8598,20.0018,20.2457,20.6599,21.3569,22.5229,24.4672,
230,21.0303,20.1184,20.2605,20.5044,20.9186,21.6156,22.7816,24.726,
231,21.2925,20.3801,20.5221,20.7661,21.1803,21.8773,23.0433,24.9879,
232,21.5577,20.6448,20.7869,21.0308,21.445,22.142,23.308,25.2528,
233,21.826,20.9125,21.0546,21.2986,21.7128,22.4098,23.5758,25.5208,
234,22.0974,21.1834,21.3255,21.5695,21.9837,22.6807,23.8468,25.7918,
235,22.3719,21.4573,21.5994,21.8434,22.2577,22.9547,24.1209,26.0659,
236,22.6496,21.7345,21.8766,22.1206,22.5349,23.2319,24.3983,26.3433,
237,22.9306,22.0149,22.157,22.401,22.8153,23.5124,24.6789,26.624,
238,23.2148,22.2986,22.4406,22.6847,23.099,23.7961,24.9627,26.9079,
239,23.5023,22.5855,22.7276,22.9717,23.386,24.0832,25.2498,27.1951,
240,23.7931,22.8758,23.0179,23.262,23.6763,24.3736,25.5403,27.4856,
241,24.0873,23.1694,23.3115,23.5556,23.97,24.6673,25.8341,27.7793,
242,24.3848,23.4665,23.6086,23.8527,24.2671,24.9645,26.1313,28.0765,
243,24.6859,23.767,23.9091,24.1532,24.5677,25.2652,26.432,28.3772,
244,24.9904,24.071,24.2131,24.4573,24.8718,25.5693,26.7361,28.6813,
245,25.2985,24.3786,24.5207,24.7649,25.1794,25.8769,27.0438,28.989,
