gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6],
127,5.30931,-6.48255,-6.39946,-6.30534,-6.19864,-6.07746,-5.93988,-5.78388,
128,5.38936,-6.45234,-6.36985,-6.27641,-6.17045,-6.05011,-5.91347,-5.75852,
129,5.47033,-6.42201,-6.34011,-6.24734,-6.14213,-6.02264,-5.88693,-5.73303,
130,5.55225,-6.39155,-6.31024,-6.21815,-6.1137,-5.99505,-5.86027,-5.70741,
131,5.63511,-6.36097,-6.28025,-6.18884,-6.08513,-5.96733,-5.83349,-5.68167,
132,5.71893,-6.33026,-6.25015,-6.1594,-6.05645,-5.93949,-5.80659,-5.65582,
133,5.80372,-6.29943,-6.21992,-6.12984,-6.02764,-5.91152,-5.77957,-5.62986,
134,5.88949,-6.26847,-6.18957,-6.10016,-5.99871,-5.88344,-5.75244,-5.60378,
135,5.97626,-6.2374,-6.15909,-6.07037,-5.96966,-5.85523,-5.72518,-5.57758,
136,6.06403,-6.2062,-6.1285,-6.04045,-5.9405,-5.82691,-5.69781,-5.55126,
137,6.15282,-6.17489,-6.0978,-6.01041,-5.91121,-5.79847,-5.67031,-5.52483,
138,6.24264,-6.14346,-6.06697,-5.98026,-5.88181,-5.76991,-5.64271,-5.49828,
139,6.3335,-6.11191,-6.03603,-5.94999,-5.85229,-5.74124,-5.61498,-5.47162,
140,6.42541,-6.08025,-6.00498,-5.91961,-5.82266,-5.71245,-5.58715,-5.44484,
141,6.51839,-6.04849,-5.97381,-5.88911,-5.79292,-5.68355,-5.5592,-5.41795,
142,6.61244,-6.01662,-5.94253,-5.8585,-5.76307,-5.65454,-5.53114,-5.39098,
143,6.70758,-5.98464,-5.91114,-5.82779,-5.7331,-5.62543,-5.50298,-5.3639,
144,6.80383,-5.95256,-5.87965,-5.79696,-5.70303,-5.5962,-5.47471,-5.33671,
145,6.90119,-5.92036,-5.84804,-5.76603,-5.67285,-5.56687,-5.44633,-5.30942,
146,6.99968,-5.88806,-5.81633,-5.73499,-5.64257,-5.53743,-5.41785,-5.28202,
147,7.0993,-5.85566,-5.78452,-5.70385,-5.61218,-5.5079,-5.38927,-5.25452,
148,7.20009,-5.82316,-5.7526,-5.67261,-5.5817,-5.47826,-5.3606,-5.22692,
149,7.30204,-5.79055,-5.72059,-5.64127,-5.55111,-5.44853,-5.33183,-5.19921,
150,7.40517,-5.75785,-5.68848,-5.60983,-5.52043,-5.41869,-5.30297,-5.17141,
151,7.5095,-5.72505,-5.65628,-5.5783,-5.48966,-5.38877,-5.27401,-5.14351,
152,7.61503,-5.69215,-5.62399,-5.54667,-5.45879,-5.35876,-5.24496,-5.11552,
153,7.72179,-5.65917,-5.59161,-5.51495,-5.42783,-5.32865,-5.21581,-5.08745,
154,7.82979,-5.62609,-5.55913,-5.48315,-5.39678,-5.29845,-5.18657,-5.05929,
155,7.93903,-5.59293,-5.52658,-5.45125,-5.36564,-5.26817,-5.15724,-5.03105,
156,8.04955,-5.55968,-5.49393,-5.41928,-5.33442,-5.2378,-5.12783,-5.00271,
157,8.16134,-5.52637,-5.46121,-5.38721,-5.30311,-5.20735,-5.09833,-4.9743,
158,8.27443,-5.49297,-5.4284,-5.35507,-5.27173,-5.17681,-5.06875,-4.94579,
159,8.38882,-5.4595,-5.39552,-5.32285,-5.24026,-5.14619,-5.03908,-4.91721,
160,8.50455,-5.42595,-5.36256,-5.29055,-5.20871,-5.1155,-5.00934,-4.88854,
161,8.62161,-5.39233,-5.32952,-5.25818,-5.17709,-5.08473,-4.97952,-4.8598,
162,8.74003,-5.35864,-5.29641,-5.22573,-5.1454,-5.05388,-4.94963,-4.83098,
163,8.85982,-5.32487,-5.26324,-5.19322,-5.11364,-5.02297,-4.91967,-4.80208,
164,8.981,-5.29105,-5.22999,-5.16063,-5.08181,-4.99199,-4.88963,-4.77312,
165,9.10358,-5.25715,-5.19668,-5.12799,-5.04991,-4.96094,-4.85953,-4.7441,
166,9.22759,-5.2232,-5.16331,-5.09529,-5.01795,-4.92983,-4.82936,-4.71502,
167,9.35303,-5.18918,-5.12988,-5.06252,-4.98593,-4.89865,-4.79913,-4.68587,
168,9.47992,-5.15511,-5.0964,-5.02971,-4.95386,-4.86742,-4.76885,-4.65665,
169,9.60828,-5.12099,-5.06286,-4.99683,-4.92172,-4.83613,-4.73851,-4.62737,
170,9.73813,-5.08682,-5.02927,-4.96391,-4.88954,-4.80478,-4.70811,-4.59803,
171,9.86949,-5.0526,-4.99563,-4.93093,-4.8573,-4.77338,-4.67766,-4.56863,
172,10.0024,-5.01833,-4.96195,-4.89791,-4.82501,-4.74192,-4.64715,-4.53918,
173,10.1368,-4.98403,-4.92822,-4.86484,-4.79268,-4.71042,-4.61659,-4.50967,
174,10.2728,-4.94968,-4.89445,-4.83173,-4.7603,-4.67887,-4.58598,-4.48011,
175,10.4103,-4.9153,-4.86065,-4.79858,-4.72788,-4.64728,-4.55533,-4.4505,
176,10.5494,-4.88089,-4.82682,-4.76539,-4.69542,-4.61565,-4.52463,-4.42085,
177,10.6902,-4.84646,-4.79295,-4.73217,-4.66293,-4.58398,-4.49389,-4.39114,
178,10.8326,-4.81199,-4.75906,-4.69891,-4.6304,-4.55227,-4.46311,-4.36141,
179,10.9766,-4.7775,-4.72514,-4.66563,-4.59784,-4.52053,-4.4323,-4.33164,
180,11.1223,-4.74299,-4.69119,-4.63232,-4.56525,-4.48876,-4.40145,-4.30184,
181,11.2697,-4.70846,-4.65722,-4.59899,-4.53263,-4.45696,-4.37057,-4.27201,
182,11.4188,-4.67391,-4.62323,-4.56563,-4.5,-4.42513,-4.33966,-4.24214,
183,11.5696,-4.63935,-4.58923,-4.53226,-4.46734,-4.39328,-4.30872,-4.21224,
184,11.7222,-4.60478,-4.55521,-4.49887,-4.43466,-4.36141,-4.27776,-4.18232,
185,11.8766,-4.57019,-4.52119,-4.46547,-4.40197,-4.32952,-4.24677,-4.15237,
186,12.0327,-4.5356,-4.48715,-4.43206,-4.36926,-4.29761,-4.21577,-4.1224,
187,12.1906,-4.50101,-4.45311,-4.39864,-4.33655,-4.2657,-4.18476,-4.09241,
188,12.3504,-4.46642,-4.41907,-4.36521,-4.30382,-4.23377,-4.15373,-4.0624,
189,12.512,-4.43182,-4.38502,-4.33179,-4.2711,-4.20183,-4.12269,-4.03238,
190,12.6755,-4.39724,-4.35098,-4.29836,-4.23837,-4.16989,-4.09164,-4.00234,
191,12.8409,-4.36266,-4.31695,-4.26494,-4.20564,-4.13796,-4.06059,-3.9723,
192,13.0082,-4.3281,-4.28293,-4.23153,-4.17292,-4.10602,-4.02954,-3.94225,
193,13.1774,-4.29354,-4.24891,-4.19812,-4.14021,-4.07409,-3.9985,-3.9122,
194,13.3486,-4.25901,-4.21492,-4.16474,-4.10751,-4.04216,-3.96746,-3.88214,
195,13.5218,-4.2245,-4.18094,-4.13136,-4.07482,-4.01025,-3.93643,-3.85211,
196,13.697,-4.19001,-4.14699,-4.09801,-4.04215,-3.97835,-3.90541,-3.82208,
197,13.8742,-4.15555,-4.11306,-4.06468,-4.0095,-3.94646,-3.8744,-3.79206,
198,14.0535,-4.12112,-4.07916,-4.03138,-3.97687,-3.91459,-3.8434,-3.76204,
199,14.2348,-4.08673,-4.04529,-3.9981,-3.94426,-3.88274,-3.81243,-3.73204,
200,14.4183,-4.05237,-4.01146,-3.96486,-3.91168,-3.85092,-3.78147,-3.70206,
201,14.6039,-4.01806,-3.97766,-3.93165,-3.87914,-3.81913,-3.75053,-3.67209,
202,14.7916,-3.9838,-3.9439,-3.89847,-3.84662,-3.78736,-3.71962,-3.64214,
203,14.9815,-3.94958,-3.91019,-3.86534,-3.81415,-3.75563,-3.68874,-3.61222,
204,15.1736,-3.91542,-3.87652,-3.83225,-3.78171,-3.72393,-3.65789,-3.58232,
205,15.3679,-3.8813,-3.84291,-3.79921,-3.74932,-3.69227,-3.62707,-3.55245,
