gridnumber,capital,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],
363,103.118,102.532,102.667,102.832,103.035,103.283,103.588,103.96,
364,104.331,103.744,103.879,104.045,104.248,104.496,104.8,105.172,
365,105.558,104.971,105.106,105.271,105.474,105.723,106.027,106.399,
366,106.8,106.212,106.347,106.512,106.715,106.964,107.268,107.64,
367,108.055,107.467,107.602,107.768,107.97,108.219,108.523,108.895,
368,109.326,108.737,108.872,109.037,109.24,109.489,109.793,110.165,
369,110.611,110.021,110.156,110.322,110.525,110.773,111.077,111.449,
370,111.911,111.321,111.456,111.621,111.824,112.073,112.377,112.749,
371,113.226,112.635,112.77,112.936,113.139,113.387,113.691,114.063,
372,114.556,113.965,114.1,114.265,114.468,114.717,115.021,115.393,
373,115.902,115.31,115.445,115.611,115.813,116.062,116.366,116.738,
374,117.263,116.671,116.806,116.971,117.174,117.422,117.727,118.099,
375,118.64,118.047,118.182,118.348,118.551,118.799,119.103,119.475,
376,120.033,119.439,119.574,119.74,119.943,120.191,120.495,120.868,
377,121.442,120.848,120.983,121.149,121.351,121.6,121.904,122.276,
378,122.868,122.273,122.408,122.573,122.776,123.025,123.329,123.701,
379,124.31,123.714,123.849,124.015,124.218,124.466,124.77,125.142,
380,125.769,125.172,125.307,125.473,125.676,125.924,126.228,126.6,
381,127.244,126.647,126.782,126.948,127.151,127.399,127.703,128.075,
382,128.737,128.139,128.274,128.44,128.643,128.891,129.195,129.567,
383,130.247,129.648,129.783,129.949,130.152,130.4,130.704,131.077,
384,131.774,131.175,131.31,131.476,131.679,131.927,132.231,132.603,
385,133.32,132.72,132.855,133.02,133.223,133.472,133.776,134.148,
386,134.883,134.282,134.417,134.583,134.785,135.034,135.338,135.71,
387,136.464,135.862,135.998,136.163,136.366,136.614,136.918,137.291,
388,138.063,137.461,137.596,137.762,137.965,138.213,138.517,138.889,
389,139.681,139.079,139.214,139.379,139.582,139.83,140.135,140.507,
390,141.318,140.715,140.85,141.015,141.218,141.466,141.771,142.143,
391,142.974,142.37,142.505,142.67,142.873,143.121,143.426,143.798,
392,144.649,144.044,144.179,144.344,144.547,144.796,145.1,145.472,
393,146.343,145.737,145.872,146.038,146.241,146.489,146.793,147.165,
394,148.057,147.45,147.586,147.751,147.954,148.202,148.506,148.879,
395,149.791,149.183,149.319,149.484,149.687,149.935,150.239,150.612,
396,151.545,150.937,151.072,151.237,151.44,151.688,151.993,152.365,
397,153.319,152.71,152.845,153.011,153.213,153.462,153.766,154.138,
398,155.114,154.504,154.639,154.805,155.007,155.256,155.56,155.932,
399,156.929,156.319,156.454,156.619,156.822,157.071,157.375,157.747,
400,158.766,158.154,158.29,158.455,158.658,158.906,159.21,159.583,
401,160.624,160.011,160.147,160.312,160.515,160.763,161.067,161.44,
402,162.503,161.89,162.025,162.191,162.394,162.642,162.946,163.318,
403,164.404,163.79,163.925,164.091,164.294,164.542,164.846,165.218,
404,166.328,165.713,165.848,166.013,166.216,166.465,166.769,167.141,
405,168.273,167.657,167.792,167.958,168.161,168.409,168.713,169.085,
406,170.241,169.624,169.759,169.925,170.128,170.376,170.68,171.053,
407,172.232,171.614,171.749,171.915,172.118,172.366,172.67,173.042,
408,174.246,173.627,173.762,173.928,174.131,174.379,174.683,175.055,
409,176.283,175.664,175.799,175.964,176.167,176.415,176.72,177.092,
410,178.344,177.723,177.859,178.024,178.227,178.475,178.779,179.152,
411,180.428,179.807,179.942,180.108,180.311,180.559,180.863,181.235,
412,182.537,181.915,182.05,182.216,182.419,182.667,182.971,183.343,
413,184.671,184.047,184.182,184.348,184.551,184.799,185.103,185.476,
414,186.829,186.204,186.339,186.505,186.708,186.956,187.26,187.633,
415,189.012,188.386,188.521,188.687,188.89,189.138,189.442,189.815,
416,191.22,190.594,190.729,190.894,191.097,191.346,191.65,192.022,
417,193.454,192.827,192.962,193.127,193.33,193.578,193.882,194.255,
418,195.713,195.085,195.22,195.386,195.589,195.837,196.141,196.513,
419,197.999,197.37,197.505,197.671,197.874,198.122,198.426,198.798,
420,200.312,199.681,199.817,199.982,200.185,200.433,200.737,201.11,
421,202.651,202.02,202.155,202.32,202.523,202.771,203.076,203.448,
422,205.017,204.385,204.52,204.685,204.888,205.137,205.441,205.813,
423,207.411,206.777,206.913,207.078,207.281,207.529,207.833,208.206,
424,209.832,209.198,209.333,209.498,209.701,209.95,210.254,210.626,
425,212.282,211.646,211.781,211.947,212.15,212.398,212.702,213.074,
426,214.76,214.123,214.258,214.424,214.626,214.875,215.179,215.551,
427,217.266,216.628,216.763,216.929,217.132,217.38,217.684,218.056,
428,219.802,219.163,219.298,219.463,219.666,219.915,220.219,220.591,
429,222.367,221.727,221.862,222.027,222.23,222.479,222.783,223.155,
430,224.962,224.32,224.455,224.621,224.824,225.072,225.376,225.748,
431,227.586,226.944,227.079,227.244,227.447,227.696,228,228.372,
432,230.242,229.598,229.733,229.898,230.101,230.35,230.654,231.026,
433,232.928,232.282,232.418,232.583,232.786,233.034,233.338,233.711,
434,235.645,234.998,235.133,235.299,235.502,235.75,236.054,236.426,
435,238.393,237.746,237.881,238.046,238.249,238.497,238.802,239.174,
436,241.174,240.525,240.66,240.825,241.028,241.277,241.581,241.953,
437,243.986,243.336,243.471,243.637,243.839,244.088,244.392,244.764,
438,246.831,246.18,246.315,246.48,246.683,246.932,247.236,247.608,
439,249.709,249.057,249.192,249.357,249.56,249.809,250.113,250.485,
440,252.621,251.967,252.102,252.267,252.47,252.719,253.023,253.395,
441,255.566,254.911,255.046,255.211,255.414,255.663,255.967,256.339,
442,258.545,257.889,258.024,258.189,258.392,258.641,258.945,259.317,
443,261.559,260.901,261.036,261.202,261.405,261.653,261.957,262.329,
444,264.608,263.949,264.084,264.249,264.452,264.7,265.004,265.377,
445,267.692,267.031,267.166,267.332,267.535,267.783,268.087,268.459,
446,270.812,270.15,270.285,270.45,270.653,270.901,271.206,271.578,
447,273.968,273.304,273.439,273.605,273.808,274.056,274.36,274.732,
448,277.16,276.495,276.63,276.796,276.999,277.247,277.551,277.923,
449,280.39,279.723,279.858,280.024,280.227,280.475,280.779,281.151,
450,283.657,282.989,283.124,283.289,283.492,283.741,284.045,284.417,
451,286.962,286.292,286.427,286.593,286.795,287.044,287.348,287.72,
452,290.305,289.634,289.769,289.934,290.137,290.385,290.689,291.062,
453,293.686,293.014,293.149,293.314,293.517,293.766,294.07,294.442,
454,297.107,296.433,296.568,296.734,296.937,297.185,297.489,297.861,
455,300.568,299.892,300.027,300.193,300.396,300.644,300.948,301.32,
456,304.069,303.391,303.526,303.692,303.895,304.143,304.447,304.819,
457,307.61,306.931,307.066,307.232,307.434,307.683,307.987,308.359,
458,311.192,310.512,310.647,310.812,311.015,311.263,311.567,311.94,
459,314.816,314.134,314.269,314.434,314.637,314.886,315.19,315.562,
460,318.482,317.798,317.933,318.098,318.301,318.55,318.854,319.226,
461,322.19,321.504,321.639,321.805,322.008,322.256,322.56,322.932,
462,325.941,325.254,325.389,325.554,325.757,326.006,326.31,326.682,
463,329.736,329.047,329.182,329.347,329.55,329.799,330.103,330.475,
464,333.574,332.884,333.019,333.184,333.387,333.635,333.939,334.312,
465,337.457,336.765,336.9,337.065,337.268,337.517,337.821,338.193,
466,341.385,340.691,340.826,340.992,341.195,341.443,341.747,342.119,
467,345.359,344.663,344.798,344.964,345.166,345.415,345.719,346.091,
468,349.379,348.681,348.816,348.981,349.184,349.432,349.737,350.109,
469,353.445,352.745,352.88,353.046,353.248,353.497,353.801,354.173,
470,357.558,356.856,356.991,357.157,357.36,357.608,357.912,358.284,
471,361.719,361.015,361.151,361.316,361.519,361.767,362.071,362.444,
472,365.928,365.223,365.358,365.523,365.726,365.974,366.279,366.651,
473,370.186,369.479,369.614,369.779,369.982,370.23,370.535,370.907,
474,374.493,373.784,373.919,374.085,374.287,374.536,374.84,375.212,
475,378.85,378.139,378.274,378.44,378.642,378.891,379.195,379.567,
476,383.258,382.545,382.68,382.845,383.048,383.296,383.601,383.973,
477,387.717,387.001,387.136,387.302,387.505,387.753,388.057,388.429,
478,392.227,391.51,391.645,391.81,392.013,392.261,392.565,392.938,
479,396.79,396.07,396.205,396.371,396.574,396.822,397.126,397.498,
480,401.405,400.683,400.818,400.984,401.187,401.435,401.739,402.111,
481,406.074,405.35,405.485,405.651,405.854,406.102,406.406,406.778,
482,410.797,410.071,410.206,410.372,410.574,410.823,411.127,411.499,
483,415.575,414.847,414.982,415.147,415.35,415.598,415.902,416.275,
484,420.408,419.677,419.813,419.978,420.181,420.429,420.733,421.106,
485,425.297,424.564,424.699,424.865,425.068,425.316,425.62,425.992,
486,430.242,429.508,429.643,429.808,430.011,430.26,430.564,430.936,
487,435.245,434.508,434.644,434.809,435.012,435.26,435.564,435.937,
488,440.306,439.567,439.702,439.868,440.071,440.319,440.623,440.995,
489,445.426,444.684,444.819,444.985,445.188,445.436,445.74,446.112,
490,450.605,449.861,449.996,450.162,450.364,450.613,450.917,451.289,
491,455.844,455.097,455.233,455.398,455.601,455.849,456.153,456.525,
492,461.143,460.395,460.53,460.695,460.898,461.146,461.451,461.823,
493,466.504,465.753,465.888,466.054,466.256,466.505,466.809,467.181,
494,471.927,471.174,471.309,471.474,471.677,471.925,472.229,472.601,
495,477.413,476.657,476.792,476.957,477.16,477.409,477.713,478.085,
496,482.963,482.204,482.339,482.505,482.707,482.956,483.26,483.632,
497,488.577,487.817,487.952,488.117,488.32,488.569,488.874,489.247,
498,494.255,493.504,493.64,493.806,494.01,494.26,494.572,494.953,
499,500,499.358,499.496,499.666,499.874,500.129,500.442,500.825,
