gridnumber,capital,dist[0],dist[1],dist[2],dist[3],dist[4],dist[5],dist[6],
175,10.4103,2.7399e-05,0.000268952,0.00108705,0.00175806,0.00114193,0.000296859,3.18405e-05,
176,10.5494,2.67714e-05,0.000262784,0.00106207,0.00171754,0.00111548,0.00028994,3.10936e-05,
177,10.6902,2.61491e-05,0.000256684,0.00103746,0.00167785,0.00108982,0.000283321,3.03926e-05,
178,10.8326,2.55302e-05,0.000250609,0.00101292,0.00163819,0.00106409,0.000276643,2.96778e-05,
179,10.9766,2.49155e-05,0.000244579,0.000988557,0.00159882,0.00103853,0.000269996,2.89635e-05,
180,11.1223,2.4305e-05,0.000238587,0.000964346,0.00155968,0.00101313,0.000263398,2.82568e-05,
181,11.2697,2.36995e-05,0.000232646,0.000940351,0.00152091,0.000987974,0.000256872,2.75589e-05,
182,11.4188,2.30984e-05,0.000226751,0.000916543,0.00148243,0.000962998,0.000250383,2.68632e-05,
183,11.5696,2.25017e-05,0.000220905,0.000892977,0.00144448,0.00093853,0.000244108,2.62072e-05,
184,11.7222,2.19092e-05,0.000215101,0.000869581,0.0014068,0.000914231,0.000237867,2.55518e-05,
185,11.8766,2.13205e-05,0.000209323,0.000846209,0.00136886,0.000889347,0.00023126,2.48135e-05,
186,12.0327,2.07376e-05,0.000203605,0.000823112,0.00133155,0.000865144,0.000224981,2.41419e-05,
187,12.1906,2.01606e-05,0.000197944,0.000800254,0.00129463,0.000841208,0.000218774,2.34784e-05,
188,12.3504,1.95894e-05,0.000192342,0.000777624,0.00125804,0.000817455,0.000212601,2.28165e-05,
189,12.512,1.90243e-05,0.0001868,0.000755244,0.00122188,0.000793991,0.00020651,2.21645e-05,
190,12.6755,1.84653e-05,0.000181319,0.000733119,0.00118614,0.000770805,0.00020049,2.15196e-05,
191,12.8409,1.79121e-05,0.000175898,0.000711244,0.00115081,0.000747882,0.000194535,2.0881e-05,
192,13.0082,1.73646e-05,0.000170536,0.00068961,0.00111589,0.000725237,0.000188659,2.02519e-05,
193,13.1774,1.68222e-05,0.000165231,0.000668228,0.00108138,0.000702858,0.00018285,1.96297e-05,
194,13.3486,1.62829e-05,0.000159975,0.000647144,0.00104756,0.000681091,0.000177249,1.9036e-05,
195,13.5218,1.57455e-05,0.000154779,0.000626576,0.00101526,0.000660943,0.000172284,1.85382e-05,
196,13.697,1.52025e-05,0.000149428,0.000604763,0.000979403,0.000637018,0.000165818,1.78092e-05,
197,13.8742,1.46899e-05,0.000144297,0.000583831,0.000945429,0.000614961,0.000160105,1.72008e-05,
198,14.0535,1.41476e-05,0.000139091,0.000563063,0.000912156,0.000593551,0.000154607,1.66212e-05,
199,14.2348,1.36352e-05,0.000134066,0.000542781,0.000879446,0.00057243,0.000149185,1.6055e-05,
200,14.4183,1.31312e-05,0.000129118,0.000522771,0.000846998,0.000551204,0.000143582,1.54356e-05,
201,14.6039,1.26366e-05,0.000124262,0.000503142,0.000815251,0.000530583,0.000138219,1.48596e-05,
202,14.7916,1.21519e-05,0.000119505,0.00048392,0.000784176,0.000510413,0.000132982,1.42988e-05,
203,14.9815,1.1677e-05,0.000114844,0.000465075,0.000753693,0.000490608,0.000127832,1.37465e-05,
204,15.1736,1.12118e-05,0.000110279,0.000446632,0.000723871,0.000471243,0.0001228,1.32071e-05,
205,15.3679,1.07564e-05,0.000105809,0.000428571,0.000694671,0.000452279,0.00011787,1.26779e-05,
206,15.5645,1.03123e-05,0.000101449,0.000410938,0.000666144,0.000433747,0.000113052,1.21612e-05,
207,15.7633,9.86768e-06,9.71187e-05,0.000393536,0.000638108,0.000415582,0.000108337,1.1656e-05,
208,15.9645,9.46835e-06,9.30912e-05,0.000376959,0.000611005,0.000397884,0.000103728,1.11617e-05,
209,16.168,8.99939e-06,8.86434e-05,0.000359463,0.000583279,0.000380133,9.91595e-05,1.0675e-05,
210,16.3738,8.5737e-06,8.45363e-05,0.000343155,0.000557359,0.000363554,9.48994e-05,1.02211e-05,
211,16.5821,8.15031e-06,8.03965e-05,0.00032652,0.000530653,0.00034635,9.04645e-05,9.7493e-06,
212,16.7927,7.7345e-06,7.62835e-05,0.000309776,0.000503418,0.000328609,8.58589e-05,9.25871e-06,
213,17.0058,7.33713e-06,7.23689e-05,0.000293906,0.000477697,0.000311894,8.15213e-05,8.79568e-06,
214,17.2213,6.95412e-06,6.85988e-05,0.000278628,0.00045293,0.000295776,7.73267e-05,8.34586e-06,
215,17.4394,6.58453e-06,6.49602e-05,0.00026388,0.000429009,0.000280195,7.32658e-05,7.90938e-06,
216,17.66,6.22816e-06,6.14523e-05,0.000249662,0.000405947,0.000265169,6.93469e-05,7.48751e-06,
