gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6],
88,2.80898,-8.65192,-8.09964,-7.48375,-6.8049,-6.05812,-5.24157,-4.36846,
89,2.86006,-8.60253,-8.05803,-7.44964,-6.77763,-6.03688,-5.2255,-4.35679,
90,2.91173,-8.55342,-8.01655,-7.41555,-6.75031,-6.01555,-5.20938,-4.34507,
91,2.964,-8.50458,-7.97523,-7.38149,-6.72293,-5.99413,-5.19315,-4.33325,
92,3.01688,-8.45602,-7.93405,-7.34745,-6.6955,-5.97261,-5.17681,-4.32137,
93,3.07036,-8.40772,-7.893,-7.31343,-6.66803,-5.95101,-5.1604,-4.30939,
94,3.12447,-8.35967,-7.85208,-7.27943,-6.64051,-5.92932,-5.1439,-4.29735,
95,3.1792,-8.31187,-7.81127,-7.24546,-6.61294,-5.90757,-5.12729,-4.28522,
96,3.23457,-8.26431,-7.77058,-7.2115,-6.58532,-5.88573,-5.11059,-4.27299,
97,3.29058,-8.21702,-7.73001,-7.17755,-6.55765,-5.86381,-5.09383,-4.2607,
98,3.34724,-8.16999,-7.68954,-7.14363,-6.52993,-5.84181,-5.07695,-4.2483,
99,3.40456,-8.12317,-7.64918,-7.10971,-6.50216,-5.81972,-5.05997,-4.23586,
100,3.46253,-8.07656,-7.60892,-7.07581,-6.47434,-5.79755,-5.04293,-4.2233,
101,3.52119,-8.03016,-7.56876,-7.04193,-6.44647,-5.77529,-5.02579,-4.21068,
102,3.58052,-7.98396,-7.5287,-7.00805,-6.41855,-5.75297,-5.00856,-4.19798,
103,3.64053,-7.93796,-7.48874,-6.97419,-6.39059,-5.73056,-4.99123,-4.18519,
104,3.70125,-7.89215,-7.44886,-6.94033,-6.36257,-5.70807,-4.97384,-4.17233,
105,3.76266,-7.84654,-7.40908,-6.90648,-6.3345,-5.6855,-4.95635,-4.15936,
106,3.82479,-7.8011,-7.3694,-6.87264,-6.30639,-5.66284,-4.93876,-4.14636,
107,3.88764,-7.75584,-7.32982,-6.8388,-6.27822,-5.6401,-4.92108,-4.13323,
108,3.95121,-7.71077,-7.29032,-6.80497,-6.25001,-5.61729,-4.90333,-4.12004,
109,4.01552,-7.6659,-7.25089,-6.77115,-6.22175,-5.5944,-4.88548,-4.10677,
110,4.08058,-7.6212,-7.21154,-6.73733,-6.19345,-5.57145,-4.86753,-4.09339,
111,4.14639,-7.57665,-7.17227,-6.70352,-6.1651,-5.54842,-4.8495,-4.07997,
112,4.21297,-7.53225,-7.13307,-6.66972,-6.1367,-5.52531,-4.83139,-4.06644,
113,4.28031,-7.488,-7.09394,-6.63592,-6.10825,-5.50211,-4.81319,-4.05285,
114,4.34843,-7.44389,-7.05487,-6.60213,-6.07976,-5.47883,-4.79489,-4.03918,
115,4.41735,-7.39993,-7.01587,-6.56834,-6.05121,-5.45548,-4.77652,-4.0254,
116,4.48706,-7.3561,-6.97694,-6.53455,-6.02263,-5.43204,-4.75808,-4.01158,
117,4.55758,-7.31242,-6.93808,-6.50077,-5.994,-5.40853,-4.73955,-3.99765,
118,4.62892,-7.26887,-6.89928,-6.46698,-5.96533,-5.38496,-4.72091,-3.98364,
