gridnumber,capital,cons[0],cons[1],cons[2],cons[3],cons[4],cons[5],cons[6],
162,8.74003,1.46513,1.49993,1.54464,1.60286,1.68057,1.78629,1.93295,
163,8.85982,1.4717,1.5063,1.55082,1.60883,1.68632,1.79179,1.93823,
164,8.981,1.47828,1.5127,1.55703,1.6149,1.69212,1.79735,1.94363,
165,9.10358,1.48488,1.51914,1.56328,1.62101,1.69795,1.80295,1.94923,
166,9.22759,1.49151,1.52562,1.56958,1.62714,1.70382,1.80861,1.95487,
167,9.35303,1.49818,1.53213,1.57597,1.63328,1.70973,1.81432,1.96047,
168,9.47992,1.50489,1.5387,1.58243,1.63949,1.71569,1.82011,1.96604,
169,9.60828,1.51165,1.54535,1.5889,1.64574,1.72171,1.82602,1.97161,
170,9.73813,1.51846,1.55206,1.59538,1.65204,1.72781,1.83201,1.97731,
171,9.86949,1.52535,1.55878,1.60193,1.65838,1.73397,1.83801,1.98311,
172,10.0024,1.53226,1.56553,1.60852,1.66477,1.74017,1.84402,1.98898,
173,10.1368,1.53919,1.57233,1.61516,1.67121,1.74641,1.85006,1.99485,
174,10.2728,1.54618,1.57919,1.62184,1.6777,1.75273,1.85617,2.00074,
175,10.4103,1.55322,1.58608,1.62856,1.68424,1.7591,1.86233,2.0067,
176,10.5494,1.56029,1.59301,1.63534,1.69085,1.76552,1.86854,2.01274,
177,10.6902,1.5674,1.59999,1.64216,1.6975,1.77202,1.87481,2.01894,
178,10.8326,1.57455,1.60701,1.64903,1.70421,1.77863,1.88116,2.02533,
179,10.9766,1.58174,1.61407,1.65595,1.71099,1.7853,1.88764,2.03175,
180,11.1223,1.58898,1.62119,1.66293,1.71782,1.79198,1.89423,2.03816,
181,11.2697,1.59626,1.62836,1.66996,1.7247,1.79868,1.90087,2.04455,
182,11.4188,1.60359,1.63557,1.67704,1.73166,1.80546,1.9075,2.05097,
183,11.5696,1.61097,1.64284,1.68419,1.7387,1.8123,1.91416,2.05749,
184,11.7222,1.61839,1.65016,1.69138,1.7458,1.81921,1.92091,2.06414,
185,11.8766,1.62587,1.65753,1.69866,1.75293,1.82618,1.92775,2.07093,
186,12.0327,1.6334,1.66497,1.70601,1.76011,1.83321,1.93465,2.07775,
187,12.1906,1.64099,1.67249,1.71342,1.76737,1.84035,1.94161,2.08455,
188,12.3504,1.64871,1.6801,1.72086,1.77469,1.84756,1.94863,2.09141,
189,12.512,1.6565,1.68773,1.72837,1.78207,1.85484,1.95574,2.09834,
190,12.6755,1.66428,1.6954,1.73595,1.78952,1.86217,1.96296,2.10534,
191,12.8409,1.67209,1.70315,1.74359,1.79704,1.86956,1.97032,2.11258,
192,13.0082,1.67998,1.71096,1.75129,1.80463,1.87703,1.97775,2.11996,
193,13.1774,1.68795,1.71884,1.75906,1.81231,1.88457,1.98518,2.12736,
194,13.3486,1.69598,1.72677,1.76689,1.82007,1.89218,1.99266,2.13473,
195,13.5218,1.70405,1.73476,1.7748,1.82789,1.89988,2.00024,2.14211,
196,13.697,1.71219,1.74282,1.78282,1.83577,1.90765,2.00794,2.1496,
197,13.8742,1.72039,1.75098,1.79091,1.84373,1.91551,2.01571,2.1572,
198,14.0535,1.72869,1.75923,1.79904,1.85177,1.92346,2.02352,2.1649,
199,14.2348,1.73706,1.76752,1.80725,1.85988,1.9315,2.03139,2.17272,
200,14.4183,1.74546,1.77587,1.81554,1.86807,1.9396,2.03934,2.18064,
201,14.6039,1.75395,1.78432,1.82389,1.87634,1.94777,2.04737,2.1886,
202,14.7916,1.76252,1.79283,1.83233,1.88469,1.95607,2.05556,2.19659,
203,14.9815,1.77118,1.80142,1.84084,1.89314,1.96446,2.06387,2.20467,
204,15.1736,1.77992,1.81008,1.84943,1.90165,1.97288,2.07221,2.21284,
205,15.3679,1.78874,1.81882,1.85811,1.91026,1.98138,2.08059,2.22114,
206,15.5645,1.79762,1.82764,1.86687,1.91898,1.98997,2.08905,2.22965,
207,15.7633,1.80657,1.83656,1.87573,1.92778,1.99863,2.09761,2.2384,
208,15.9645,1.81565,1.84559,1.88468,1.93664,2.00741,2.10628,2.24713,
209,16.168,1.82483,1.85469,1.89371,1.94558,2.01628,2.11504,2.25586,
210,16.3738,1.83406,1.86385,1.90282,1.95461,2.02523,2.1239,2.2646,
211,16.5821,1.84335,1.87311,1.91202,1.96373,2.03425,2.13284,2.27344,
212,16.7927,1.85274,1.88246,1.92131,1.97294,2.04336,2.14186,2.28237,
213,17.0058,1.86223,1.89189,1.93067,1.98224,2.05257,2.15099,2.29142,
214,17.2213,1.8718,1.90141,1.94013,1.99162,2.06188,2.16022,2.30059,
215,17.4394,1.88144,1.91101,1.94968,2.0011,2.07128,2.16962,2.30993,
216,17.66,1.89118,1.92071,1.95932,2.01067,2.08079,2.17918,2.31944,
217,17.8831,1.90101,1.9305,1.96905,2.02034,2.09039,2.18881,2.32903,
218,18.1088,1.91093,1.94037,1.97888,2.03011,2.1001,2.19847,2.33862,
219,18.3372,1.92095,1.95035,1.9888,2.03997,2.10992,2.20822,2.34831,
220,18.5681,1.93106,1.96042,1.99883,2.04994,2.11986,2.21807,2.35811,
221,18.8018,1.94126,1.97058,2.00895,2.06002,2.12992,2.22804,2.36803,
222,19.0381,1.95156,1.98085,2.01917,2.07021,2.14009,2.23813,2.37813,
223,19.2772,1.96197,1.99123,2.02951,2.08051,2.15033,2.24835,2.38841,
224,19.5191,1.97251,2.00171,2.03995,2.09091,2.16068,2.25872,2.39883,
225,19.7638,1.98314,2.01229,2.0505,2.10143,2.17115,2.26921,2.40931,
226,20.0113,1.99385,2.02298,2.06116,2.11205,2.18174,2.27979,2.41983,
227,20.2617,2.00468,2.03378,2.07192,2.12278,2.19245,2.29048,2.43042,
228,20.5149,2.01561,2.04468,2.0828,2.13363,2.20329,2.30128,2.44111,
229,20.7711,2.02666,2.0557,2.0938,2.1446,2.21427,2.31222,2.45191,
230,21.0303,2.03781,2.06684,2.10491,2.1557,2.22537,2.32333,2.46283,
231,21.2925,2.04908,2.07809,2.11614,2.16693,2.23661,2.3346,2.47388,
232,21.5577,2.06046,2.08946,2.12752,2.17831,2.24796,2.34598,2.48504,
233,21.826,2.072,2.101,2.13902,2.18983,2.25944,2.35744,2.49639,
234,22.0974,2.0837,2.11267,2.1507,2.20147,2.27106,2.36897,2.50792,
235,22.3719,2.09551,2.12448,2.16251,2.21324,2.28283,2.3806,2.51956,
236,22.6496,2.10744,2.13643,2.17443,2.22514,2.29474,2.39236,2.53128,
237,22.9306,2.11951,2.14849,2.18648,2.23718,2.30677,2.40424,2.54309,
238,23.2148,2.13171,2.16068,2.19866,2.24935,2.31889,2.41625,2.55503,
239,23.5023,2.14404,2.17301,2.21097,2.26166,2.3311,2.4284,2.56711,
240,23.7931,2.1565,2.18546,2.22341,2.27409,2.34344,2.44069,2.57936,
241,24.0873,2.1691,2.19805,2.236,2.28663,2.35591,2.45314,2.59183,
242,24.3848,2.18183,2.21077,2.24871,2.29929,2.36852,2.46573,2.60444,
243,24.6859,2.19469,2.22363,2.26155,2.31208,2.38127,2.47844,2.61718,
244,24.9904,2.2077,2.23663,2.27451,2.32501,2.39415,2.49128,2.63007,
245,25.2985,2.22084,2.24976,2.28762,2.33808,2.40719,2.50426,2.64308,
246,25.6101,2.23413,2.26302,2.30085,2.35128,2.42036,2.51741,2.65614,
247,25.9253,2.24755,2.27643,2.31423,2.36463,2.43368,2.53074,2.66935,
248,26.2442,2.26112,2.28998,2.32776,2.37813,2.44715,2.54424,2.6827,
249,26.5668,2.27486,2.30367,2.34142,2.39177,2.46077,2.55787,2.69622,
250,26.8931,2.28873,2.31751,2.35524,2.40557,2.47455,2.57161,2.70989,
251,27.2232,2.30273,2.33149,2.3692,2.41951,2.4885,2.5855,2.72371,
252,27.5571,2.31688,2.34563,2.38332,2.43362,2.5026,2.59952,2.73771,
253,27.8949,2.33118,2.35991,2.39759,2.44788,2.51683,2.6137,2.75188,
254,28.2366,2.34563,2.37435,2.41202,2.4623,2.53121,2.62804,2.76626,
255,28.5823,2.36023,2.38895,2.42661,2.47687,2.54574,2.64254,2.78086,
256,28.932,2.375,2.4037,2.44135,2.49159,2.56043,2.65722,2.79559,
257,29.2857,2.38992,2.41862,2.45626,2.50647,2.57529,2.67205,2.81043,
258,29.6435,2.40501,2.4337,2.47132,2.52152,2.59032,2.68707,2.82544,
259,30.0055,2.42026,2.44894,2.48655,2.53673,2.60552,2.70226,2.84063,
260,30.3716,2.43567,2.46435,2.50195,2.55211,2.62089,2.71764,2.85596,
261,30.742,2.45126,2.47993,2.51752,2.56767,2.63643,2.7332,2.87147,
262,31.1167,2.46701,2.49567,2.53325,2.5834,2.65215,2.74893,2.88719,
263,31.4958,2.48293,2.51159,2.54917,2.59931,2.66806,2.76484,2.90319,
264,31.8792,2.49903,2.52769,2.56526,2.61539,2.68415,2.78094,2.91937,
265,32.267,2.51531,2.54397,2.58153,2.63167,2.70043,2.79722,2.93561,
266,32.6594,2.53177,2.56042,2.59799,2.64812,2.7169,2.81368,2.95209,
267,33.0563,2.54841,2.57707,2.61464,2.66478,2.73356,2.83035,2.96879,
268,33.4578,2.56526,2.59391,2.63149,2.68163,2.75041,2.84727,2.98562,
269,33.864,2.58233,2.61099,2.64855,2.69868,2.76746,2.86437,3.00259,
270,34.2748,2.59962,2.62826,2.6658,2.71593,2.78472,2.88158,3.01976,
271,34.6904,2.61708,2.64571,2.68324,2.73337,2.80218,2.89899,3.03713,
272,35.1109,2.63473,2.66335,2.70088,2.75102,2.81983,2.91661,3.05471,
273,35.5362,2.65258,2.6812,2.71873,2.76887,2.83765,2.9344,3.07249,
274,35.9664,2.67062,2.69924,2.73677,2.7869,2.85567,2.95239,3.09046,
275,36.4016,2.68887,2.71749,2.75502,2.80514,2.87388,2.97058,3.10866,
276,36.8419,2.70732,2.73594,2.77346,2.82357,2.8923,2.98899,3.12707,
277,37.2872,2.72597,2.75459,2.79211,2.84221,2.91092,3.00761,3.1457,
278,37.7377,2.74484,2.77345,2.81097,2.86105,2.92976,3.02644,3.16455,
279,38.1935,2.76391,2.79252,2.83003,2.88011,2.94881,3.0455,3.18369,
280,38.6545,2.7832,2.81181,2.84931,2.89939,2.96809,3.06478,3.20311,
281,39.1209,2.8027,2.83131,2.86881,2.91888,2.98758,3.08428,3.22271,
282,39.5926,2.82242,2.85103,2.88853,2.9386,3.0073,3.10401,3.24249,
283,40.0698,2.84237,2.87097,2.90847,2.95854,3.02725,3.12399,3.26251,
284,40.5526,2.86257,2.89115,2.92864,2.97872,3.04744,3.14422,3.28276,
285,41.0409,2.883,2.91156,2.94904,2.99913,3.06786,3.16468,3.30326,
286,41.5349,2.90363,2.93219,2.96968,3.01977,3.08852,3.18537,3.324,
287,42.0347,2.92451,2.95306,2.99056,3.04066,3.10942,3.20631,3.345,
288,42.5402,2.94561,2.97417,3.01167,3.06178,3.13057,3.22751,3.36627,
289,43.0516,2.96696,2.99552,3.03303,3.08316,3.15197,3.24896,3.38776,
290,43.5689,2.98855,3.01712,3.05464,3.10478,3.17362,3.27069,3.40956,
291,44.0922,3.01038,3.03897,3.0765,3.12666,3.19555,3.2927,3.43161,
292,44.6215,3.03247,3.06107,3.09862,3.14881,3.21774,3.31501,3.45378,
293,45.157,3.05482,3.08343,3.121,3.17122,3.24023,3.33759,3.47613,
294,45.6987,3.07743,3.10605,3.14365,3.19391,3.26303,3.36044,3.49878,
295,46.2467,3.10031,3.12895,3.16657,3.21691,3.28615,3.3835,3.52174,
296,46.801,3.12346,3.15213,3.1898,3.24025,3.30953,3.4067,3.54491,
297,47.3617,3.1469,3.17562,3.21338,3.26389,3.33311,3.43013,3.56825,
298,47.9289,3.17067,3.19947,3.23729,3.28776,3.35688,3.45384,3.59185,
299,48.5027,3.19476,3.2236,3.26142,3.31185,3.38089,3.47781,3.61572,
300,49.0832,3.21914,3.24799,3.28579,3.33617,3.40516,3.50201,3.63987,
301,49.6704,3.2438,3.27264,3.31041,3.36075,3.42969,3.52648,3.66428,
302,50.2644,3.26872,3.29755,3.33529,3.38558,3.45448,3.55122,3.68897,
303,50.8652,3.2939,3.32271,3.36042,3.41069,3.47954,3.57624,3.71395,
304,51.473,3.31934,3.34813,3.38582,3.43606,3.50488,3.60154,3.73921,
305,52.0879,3.34505,3.37383,3.4115,3.4617,3.53049,3.62712,3.76476,
306,52.7099,3.37104,3.3998,3.43745,3.48763,3.55639,3.65299,3.79061,
307,53.3391,3.3973,3.42605,3.46368,3.51384,3.58259,3.67916,3.81677,
308,53.9756,3.42385,3.45258,3.4902,3.54035,3.60907,3.70562,3.84321,
309,54.6194,3.45068,3.47941,3.51701,3.56715,3.63585,3.73239,3.86996,
310,55.2707,3.47781,3.50653,3.54412,3.59425,3.66294,3.75947,3.89702,
311,55.9296,3.50524,3.53395,3.57154,3.62165,3.69034,3.78685,3.92442,
312,56.5961,3.53297,3.56168,3.59926,3.64937,3.71804,3.81455,3.95221,
313,57.2703,3.56101,3.58972,3.62729,3.6774,3.74607,3.84257,3.98031,
314,57.9523,3.58937,3.61807,3.65564,3.70574,3.77441,3.87092,4.00864,
315,58.6423,3.61804,3.64674,3.68432,3.73441,3.80308,3.8996,4.03728,
316,59.3402,3.64704,3.67574,3.71331,3.76341,3.83208,3.92861,4.06626,
317,60.0462,3.67636,3.70507,3.74264,3.79274,3.86141,3.95793,4.09558,
