gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
101,27.9838,23.6574,23.6574,23.6574,23.6574,23.6574,23.6225,23.6225,23.6225,23.6225,23.6225,23.5824,23.5824,23.5824,23.5824,23.5824,23.5392,23.5392,23.5392,23.5392,23.5392,23.4959,23.4959,23.4959,23.4959,23.4959
102,28.8508,24.4387,24.4387,24.4387,24.4387,24.4387,24.4039,24.4039,24.4039,24.4039,24.4039,24.3638,24.3638,24.3638,24.3638,24.3638,24.3208,24.3208,24.3208,24.3208,24.3208,24.2776,24.2776,24.2776,24.2776,24.2776
103,29.7431,25.2435,25.2435,25.2435,25.2435,25.2435,25.2087,25.2087,25.2087,25.2087,25.2087,25.1687,25.1687,25.1687,25.1687,25.1687,25.1256,25.1256,25.1256,25.1256,25.1256,25.0826,25.0826,25.0826,25.0826,25.0826
104,30.6616,26.0723,26.0723,26.0723,26.0723,26.0723,26.0376,26.0376,26.0376,26.0376,26.0376,25.9976,25.9976,25.9976,25.9976,25.9976,25.9545,25.9545,25.9545,25.9545,25.9545,25.9115,25.9115,25.9115,25.9115,25.9115
105,31.607,26.9257,26.9257,26.9257,26.9257,26.9257,26.8912,26.8912,26.8912,26.8912,26.8912,26.8514,26.8514,26.8514,26.8514,26.8514,26.8084,26.8084,26.8084,26.8084,26.8084,26.7656,26.7656,26.7656,26.7656,26.7656
106,32.5802,27.8049,27.8049,27.8049,27.8049,27.8049,27.7705,27.7705,27.7705,27.7705,27.7705,27.7307,27.7307,27.7307,27.7307,27.7307,27.688,27.688,27.688,27.688,27.688,27.6454,27.6454,27.6454,27.6454,27.6454
107,33.5818,28.7102,28.7102,28.7102,28.7102,28.7102,28.6759,28.6759,28.6759,28.6759,28.6759,28.6364,28.6364,28.6364,28.6364,28.6364,28.5939,28.5939,28.5939,28.5939,28.5939,28.5515,28.5515,28.5515,28.5515,28.5515
108,34.6128,29.6427,29.6427,29.6427,29.6427,29.6427,29.6085,29.6085,29.6085,29.6085,29.6085,29.5692,29.5692,29.5692,29.5692,29.5692,29.5269,29.5269,29.5269,29.5269,29.5269,29.4847,29.4847,29.4847,29.4847,29.4847
109,35.674,30.6031,30.6031,30.6031,30.6031,30.6031,30.569,30.569,30.569,30.569,30.569,30.5299,30.5299,30.5299,30.5299,30.5299,30.4878,30.4878,30.4878,30.4878,30.4878,30.4456,30.4456,30.4456,30.4456,30.4456
110,36.7663,31.592,31.592,31.592,31.592,31.592,31.5581,31.5581,31.5581,31.5581,31.5581,31.5192,31.5192,31.5192,31.5192,31.5192,31.4771,31.4771,31.4771,31.4771,31.4771,31.435,31.435,31.435,31.435,31.435
111,37.8906,32.6102,32.6102,32.6102,32.6102,32.6102,32.5765,32.5765,32.5765,32.5765,32.5765,32.5378,32.5378,32.5378,32.5378,32.5378,32.4959,32.4959,32.4959,32.4959,32.4959,32.4537,32.4537,32.4537,32.4537,32.4537
112,39.0479,33.6586,33.6586,33.6586,33.6586,33.6586,33.6251,33.6251,33.6251,33.6251,33.6251,33.5865,33.5865,33.5865,33.5865,33.5865,33.5448,33.5448,33.5448,33.5448,33.5448,33.5029,33.5029,33.5029,33.5029,33.5029
113,40.239,34.7378,34.7378,34.7378,34.7378,34.7378,34.7045,34.7045,34.7045,34.7045,34.7045,34.6663,34.6663,34.6663,34.6663,34.6663,34.6249,34.6249,34.6249,34.6249,34.6249,34.5832,34.5832,34.5832,34.5832,34.5832
114,41.4651,35.849,35.849,35.849,35.849,35.849,35.8156,35.8156,35.8156,35.8156,35.8156,35.7775,35.7775,35.7775,35.7775,35.7775,35.7364,35.7364,35.7364,35.7364,35.7364,35.6951,35.6951,35.6951,35.6951,35.6951
115,42.7271,36.9935,36.9935,36.9935,36.9935,36.9935,36.96,36.96,36.96,36.96,36.96,36.9217,36.9217,36.9217,36.9217,36.9217,36.8807,36.8807,36.8807,36.8807,36.8807,36.8396,36.8396,36.8396,36.8396,36.8396
116,44.0261,38.1721,38.1721,38.1721,38.1721,38.1721,38.1386,38.1386,38.1386,38.1386,38.1386,38.1004,38.1004,38.1004,38.1004,38.1004,38.0594,38.0594,38.0594,38.0594,38.0594,38.0184,38.0184,38.0184,38.0184,38.0184
