gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6]
25,0.543937,0.450882,0.483559,0.525013,0.577044,0.640526,0.718424,0.813696,0.453095,0.485714,0.527224,0.579169,0.642465,0.720256,0.815495,0.455307,0.487868,0.529436,0.581294,0.644404,0.722087,0.817294,0.45752,0.490022,0.531647,0.58342,0.646321,0.723916,0.819093,0.459732,0.492176,0.533903,0.585545,0.648235,0.725741,0.820893,0.461945,0.49433,0.536159,0.58767,0.65015,0.727567,0.822692,0.464157,0.496537,0.538416,0.589795,0.652064,0.729393,0.824491
26,0.568659,0.470431,0.503593,0.545657,0.597597,0.660726,0.738858,0.834027,0.472834,0.50609,0.548158,0.600026,0.663109,0.741256,0.836428,0.475238,0.508586,0.55066,0.602456,0.665492,0.743654,0.838828,0.477642,0.511083,0.553161,0.604885,0.667874,0.746052,0.841228,0.480045,0.51358,0.555663,0.607315,0.670257,0.74845,0.843629,0.482449,0.516076,0.558165,0.609744,0.672624,0.750828,0.846029,0.484853,0.518573,0.560666,0.612174,0.674989,0.753174,0.84843
27,0.593667,0.490617,0.524946,0.567335,0.619069,0.682127,0.760543,0.856276,0.49308,0.527496,0.569947,0.62159,0.684597,0.763042,0.858886,0.495556,0.530046,0.572557,0.624111,0.687066,0.765541,0.861514,0.498179,0.532595,0.575168,0.626631,0.689535,0.76804,0.864159,0.500802,0.535145,0.577778,0.629152,0.692005,0.770539,0.866805,0.503425,0.537695,0.580388,0.631673,0.694474,0.773038,0.869451,0.506047,0.540245,0.582999,0.634194,0.696953,0.775537,0.872097
28,0.618966,0.513458,0.547993,0.590824,0.642046,0.705052,0.783514,0.880168,0.515676,0.550198,0.593022,0.644211,0.707339,0.785769,0.88265,0.517895,0.552402,0.595215,0.646371,0.709626,0.788024,0.885133,0.520105,0.554607,0.597405,0.64853,0.711913,0.790279,0.887616,0.522292,0.556811,0.599596,0.65069,0.7142,0.792534,0.890043,0.52448,0.559016,0.601786,0.652849,0.716487,0.794789,0.89243,0.526667,0.56122,0.603976,0.655008,0.718774,0.797045,0.894817
29,0.644557,0.536103,0.571314,0.613806,0.664699,0.728458,0.806129,0.903509,0.538063,0.573309,0.615815,0.66668,0.730557,0.808382,0.905829,0.540023,0.575304,0.617824,0.668661,0.732656,0.810636,0.908149,0.541983,0.5773,0.619807,0.670645,0.734754,0.81289,0.910469,0.543944,0.579295,0.621755,0.672654,0.736853,0.815143,0.912789,0.545978,0.58129,0.623703,0.674663,0.738952,0.817397,0.915109,0.548013,0.583286,0.625651,0.676672,0.741051,0.819651,0.91743
30,0.670445,0.55768,0.593195,0.63474,0.686047,0.749904,0.827796,0.925363,0.560083,0.595588,0.637095,0.688476,0.752523,0.830483,0.928152,0.562485,0.597974,0.639449,0.690905,0.755141,0.833196,0.93094,0.564888,0.60036,0.641804,0.693333,0.757759,0.835955,0.933728,0.567291,0.602746,0.644158,0.695762,0.760378,0.838713,0.936517,0.569718,0.605133,0.646525,0.698217,0.762996,0.841472,0.939305,0.57218,0.607519,0.648895,0.700687,0.765614,0.844231,0.942093
31,0.696632,0.580388,0.614946,0.655934,0.708025,0.772372,0.851388,0.949643,0.583128,0.61778,0.658683,0.71089,0.77521,0.854193,0.952321,0.585868,0.620525,0.661431,0.713755,0.778053,0.856998,0.954998,0.588608,0.623205,0.66418,0.71662,0.780903,0.859804,0.957675,0.591349,0.625885,0.666928,0.719485,0.783753,0.862625,0.960352,0.594078,0.628565,0.669677,0.72235,0.786603,0.865449,0.963029,0.59675,0.631245,0.672501,0.725205,0.789454,0.868272,0.965707
32,0.723123,0.604456,0.637641,0.678756,0.731455,0.79607,0.875864,0.973967,0.607045,0.640192,0.681656,0.734353,0.798844,0.878604,0.976718,0.609634,0.642742,0.684556,0.737251,0.801617,0.881344,0.979414,0.612222,0.645302,0.687456,0.740149,0.804391,0.884084,0.982111,0.614811,0.647887,0.690356,0.743047,0.807183,0.886824,0.984808,0.6174,0.650472,0.693257,0.745945,0.809976,0.889539,0.987504,0.61991,0.653057,0.696157,0.748844,0.81277,0.892204,0.990201
33,0.749921,0.626183,0.658995,0.701659,0.754346,0.818857,0.89885,0.997118,0.629016,0.66198,0.704866,0.757556,0.822011,0.901935,1.00018,0.631849,0.664965,0.708074,0.760766,0.825165,0.905021,1.00323,0.634683,0.667951,0.711281,0.763975,0.828319,0.908107,1.00628,0.637516,0.670967,0.714489,0.767185,0.831473,0.911193,1.0093,0.640349,0.674144,0.717696,0.770395,0.834665,0.914278,1.01231,0.643183,0.677321,0.720904,0.773604,0.837869,0.917364,1.01533
34,0.77703,0.647767,0.681893,0.725217,0.778139,0.842885,0.922742,1.02084,0.650884,0.685319,0.728578,0.781469,0.846204,0.925971,1.02403,0.654001,0.688745,0.731939,0.7848,0.849523,0.929201,1.02722,0.657118,0.692171,0.7353,0.78813,0.852842,0.93243,1.03042,0.660236,0.695597,0.738661,0.79146,0.856161,0.935659,1.03361,0.663353,0.698995,0.742022,0.79479,0.85948,0.938888,1.03682,0.66647,0.702382,0.745383,0.798121,0.862799,0.942117,1.04005
