gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[1 0],policy[1 1],policy[1 2],policy[2 0],policy[2 1],policy[2 2],policy[3 0],policy[3 1],policy[3 2],policy[4 0],policy[4 1],policy[4 2]
67,9.48056,7.50953,7.50953,7.50953,7.47678,7.47678,7.47678,7.43795,7.43795,7.43795,7.39465,7.39465,7.39465,7.34975,7.34975,7.34975
68,9.80527,7.79872,7.79872,7.79872,7.76618,7.76618,7.76618,7.72758,7.72758,7.72758,7.68455,7.68455,7.68455,7.63995,7.63995,7.63995
69,10.1395,8.09661,8.09661,8.09661,8.06419,8.06419,8.06419,8.02579,8.02579,8.02579,7.983,7.983,7.983,7.93872,7.93872,7.93872
70,10.4835,8.40371,8.40371,8.40371,8.37135,8.37135,8.37135,8.33306,8.33306,8.33306,8.29044,8.29044,8.29044,8.24647,8.24647,8.24647
71,10.8376,8.7203,8.7203,8.7203,8.68807,8.68807,8.68807,8.64988,8.64988,8.64988,8.60734,8.60734,8.60734,8.56346,8.56346,8.56346
72,11.2021,9.04648,9.04648,9.04648,9.01443,9.01443,9.01443,8.97642,8.97642,8.97642,8.93402,8.93402,8.93402,8.89015,8.89015,8.89015
73,11.5773,9.38259,9.38259,9.38259,9.35073,9.35073,9.35073,9.31291,9.31291,9.31291,9.27068,9.27068,9.27068,9.22696,9.22696,9.22696
74,11.9634,9.72883,9.72883,9.72883,9.69716,9.69716,9.69716,9.65957,9.65957,9.65957,9.61761,9.61761,9.61761,9.57417,9.57417,9.57417
75,12.3609,10.0855,10.0855,10.0855,10.0541,10.0541,10.0541,10.0167,10.0167,10.0167,9.97502,9.97502,9.97502,9.9319,9.9319,9.9319
76,12.77,10.453,10.453,10.453,10.4216,10.4216,10.4216,10.3844,10.3844,10.3844,10.343,10.343,10.343,10.3002,10.3002,10.3002
77,13.1911,10.8313,10.8313,10.8313,10.8001,10.8001,10.8001,10.7631,10.7631,10.7631,10.7219,10.7219,10.7219,10.6794,10.6794,10.6794
78,13.6246,11.2211,11.2211,11.2211,11.1899,11.1899,11.1899,11.153,11.153,11.153,11.1119,11.1119,11.1119,11.0696,11.0696,11.0696
79,14.0707,11.6226,11.6226,11.6226,11.5915,11.5915,11.5915,11.5547,11.5547,11.5547,11.5138,11.5138,11.5138,11.4715,11.4715,11.4715
80,14.5299,12.036,12.036,12.036,12.0052,12.0052,12.0052,11.9686,11.9686,11.9686,11.9278,11.9278,11.9278,11.8856,11.8856,11.8856
81,15.0026,12.4618,12.4618,12.4618,12.4311,12.4311,12.4311,12.3949,12.3949,12.3949,12.3544,12.3544,12.3544,12.3126,12.3126,12.3126
82,15.4891,12.9005,12.9005,12.9005,12.8699,12.8699,12.8699,12.8338,12.8338,12.8338,12.7937,12.7937,12.7937,12.7523,12.7523,12.7523
