gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6]
328,68.3735,-0.324552,-0.323974,-0.323313,-0.322556,-0.321675,-0.320645,-0.319436,-0.32455,-0.323972,-0.32331,-0.322553,-0.321672,-0.320642,-0.319433,-0.324548,-0.32397,-0.323308,-0.322551,-0.32167,-0.32064,-0.319431,-0.324544,-0.323967,-0.323305,-0.322548,-0.321667,-0.320637,-0.319428,-0.31929,-0.318723,-0.318069,-0.317321,-0.316457,-0.315446,-0.31426,-0.314159,-0.313604,-0.312963,-0.312219,-0.31137,-0.310378,-0.309214,-0.309161,-0.308617,-0.307988,-0.307259,-0.306414,-0.305441,-0.304298
329,69.1841,-0.317679,-0.317119,-0.316479,-0.315746,-0.314893,-0.313895,-0.312724,-0.317677,-0.317117,-0.316477,-0.315744,-0.314891,-0.313893,-0.312722,-0.317675,-0.317115,-0.316475,-0.315742,-0.314888,-0.313891,-0.31272,-0.317672,-0.317112,-0.316472,-0.315739,-0.314885,-0.313888,-0.312717,-0.312522,-0.311974,-0.311341,-0.310616,-0.309779,-0.3088,-0.307652,-0.307495,-0.306957,-0.306337,-0.305616,-0.304794,-0.303834,-0.302706,-0.302598,-0.302071,-0.301462,-0.300755,-0.299937,-0.298995,-0.297888
330,70.0042,-0.310946,-0.310404,-0.309785,-0.309075,-0.308248,-0.307282,-0.306148,-0.310944,-0.310402,-0.309782,-0.309072,-0.308246,-0.30728,-0.306146,-0.310942,-0.3104,-0.30978,-0.30907,-0.308244,-0.307278,-0.306144,-0.310939,-0.310397,-0.309777,-0.309067,-0.308241,-0.307275,-0.306141,-0.305893,-0.305362,-0.304749,-0.304047,-0.303237,-0.302289,-0.301176,-0.300967,-0.300447,-0.299846,-0.299148,-0.298351,-0.297422,-0.29633,-0.296169,-0.295658,-0.295069,-0.294385,-0.293592,-0.29268,-0.291608
331,70.8337,-0.304351,-0.303826,-0.303226,-0.302539,-0.301739,-0.300803,-0.299705,-0.304349,-0.303824,-0.303224,-0.302537,-0.301736,-0.300801,-0.299702,-0.304347,-0.303822,-0.303222,-0.302535,-0.301734,-0.300799,-0.2997,-0.304344,-0.303819,-0.303219,-0.302532,-0.301731,-0.300796,-0.299697,-0.2994,-0.298885,-0.298292,-0.297612,-0.296828,-0.29591,-0.294832,-0.294573,-0.294069,-0.293487,-0.292811,-0.29204,-0.29114,-0.290082,-0.289872,-0.289377,-0.288806,-0.288144,-0.287376,-0.286493,-0.285455
332,71.6729,-0.297891,-0.297382,-0.296802,-0.296136,-0.295361,-0.294455,-0.293391,-0.297888,-0.29738,-0.2968,-0.296134,-0.295359,-0.294453,-0.293389,-0.297886,-0.297378,-0.296798,-0.296132,-0.295357,-0.294451,-0.293387,-0.297884,-0.297375,-0.296795,-0.296129,-0.295354,-0.294448,-0.293384,-0.293039,-0.292541,-0.291966,-0.291309,-0.290549,-0.28966,-0.288616,-0.28831,-0.287822,-0.287258,-0.286604,-0.285857,-0.284985,-0.283961,-0.283703,-0.283225,-0.282672,-0.28203,-0.281287,-0.280432,-0.279426
333,72.5218,-0.291562,-0.29107,-0.290508,-0.289864,-0.289113,-0.288235,-0.287205,-0.29156,-0.291068,-0.290506,-0.289861,-0.289111,-0.288233,-0.287203,-0.291558,-0.291066,-0.290504,-0.289859,-0.289109,-0.288231,-0.287201,-0.291555,-0.291063,-0.290501,-0.289857,-0.289106,-0.288229,-0.287199,-0.286809,-0.286327,-0.28577,-0.285133,-0.284397,-0.283537,-0.282526,-0.282176,-0.281703,-0.281157,-0.280524,-0.279801,-0.278956,-0.277964,-0.277662,-0.277199,-0.276663,-0.276042,-0.275322,-0.274494,-0.27352
334,73.3805,-0.285364,-0.284887,-0.284343,-0.283719,-0.282992,-0.282142,-0.281145,-0.285362,-0.284885,-0.284341,-0.283717,-0.28299,-0.28214,-0.281143,-0.28536,-0.284883,-0.284339,-0.283715,-0.282988,-0.282138,-0.281141,-0.285357,-0.28488,-0.284337,-0.283712,-0.282986,-0.282136,-0.281138,-0.280707,-0.28024,-0.2797,-0.279084,-0.278372,-0.277538,-0.276559,-0.276167,-0.27571,-0.275181,-0.274568,-0.273867,-0.27305,-0.272089,-0.271745,-0.271296,-0.270778,-0.270176,-0.269479,-0.268677,-0.267735
335,74.2492,-0.279292,-0.278831,-0.278305,-0.2777,-0.276996,-0.276173,-0.275207,-0.27929,-0.278829,-0.278303,-0.277698,-0.276994,-0.276171,-0.275205,-0.279288,-0.278827,-0.278301,-0.277696,-0.276992,-0.276169,-0.275203,-0.279286,-0.278824,-0.278298,-0.277693,-0.27699,-0.276167,-0.275201,-0.27473,-0.274277,-0.273755,-0.273159,-0.272469,-0.271662,-0.270714,-0.270282,-0.269839,-0.269327,-0.268734,-0.268056,-0.267264,-0.266334,-0.26595,-0.265515,-0.265013,-0.264431,-0.263756,-0.262979,-0.262066
336,75.1279,-0.273346,-0.272899,-0.27239,-0.271804,-0.271123,-0.270326,-0.26939,-0.273344,-0.272897,-0.272388,-0.271802,-0.271121,-0.270324,-0.269388,-0.273342,-0.272895,-0.272386,-0.2718,-0.271119,-0.270322,-0.269387,-0.273339,-0.272892,-0.272383,-0.271798,-0.271116,-0.270319,-0.269384,-0.268876,-0.268438,-0.267932,-0.267355,-0.266687,-0.265905,-0.264987,-0.264519,-0.26409,-0.263594,-0.263019,-0.262363,-0.261596,-0.260695,-0.260274,-0.259853,-0.259367,-0.258803,-0.25815,-0.257398,-0.256514
337,76.0168,-0.267521,-0.267089,-0.266596,-0.266029,-0.265369,-0.264598,-0.263692,-0.267519,-0.267087,-0.266594,-0.266027,-0.265367,-0.264596,-0.26369,-0.267518,-0.267085,-0.266592,-0.266025,-0.265365,-0.264594,-0.263688,-0.267515,-0.267082,-0.26659,-0.266023,-0.265363,-0.264591,-0.263685,-0.263142,-0.262718,-0.262229,-0.26167,-0.261023,-0.260266,-0.259377,-0.258874,-0.258458,-0.257978,-0.257422,-0.256786,-0.256044,-0.255172,-0.254715,-0.254308,-0.253837,-0.253291,-0.252659,-0.25193,-0.251075
