gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
10,0.535792,0.385194,0.385194,0.385194,0.385194,0.385194,0.384395,0.384395,0.384395,0.384395,0.384395,0.383638,0.383638,0.383638,0.383638,0.383638,0.382982,0.382982,0.382982,0.382982,0.382982,0.382446,0.382446,0.382446,0.382446,0.382446
11,0.598381,0.42149,0.42149,0.42149,0.42149,0.42149,0.42042,0.42042,0.42042,0.42042,0.42042,0.419406,0.419406,0.419406,0.419406,0.419406,0.418525,0.418525,0.418525,0.418525,0.418525,0.417803,0.417803,0.417803,0.417803,0.417803
12,0.662804,0.457806,0.457806,0.457806,0.457806,0.457806,0.456327,0.456327,0.456327,0.456327,0.456327,0.45492,0.45492,0.45492,0.45492,0.45492,0.453693,0.453693,0.453693,0.453693,0.453693,0.452684,0.452684,0.452684,0.452684,0.452684
13,0.729114,0.49471,0.49471,0.49471,0.49471,0.49471,0.492808,0.492808,0.492808,0.492808,0.492808,0.490991,0.490991,0.490991,0.490991,0.490991,0.489405,0.489405,0.489405,0.489405,0.489405,0.488102,0.488102,0.488102,0.488102,0.488102
14,0.797368,0.532278,0.532278,0.532278,0.532278,0.532278,0.529856,0.529856,0.529856,0.529856,0.529856,0.527514,0.527514,0.527514,0.527514,0.527514,0.525449,0.525449,0.525449,0.525449,0.525449,0.52374,0.52374,0.52374,0.52374,0.52374
15,0.867622,0.570371,0.570371,0.570371,0.570371,0.570371,0.567362,0.567362,0.567362,0.567362,0.567362,0.564452,0.564452,0.564452,0.564452,0.564452,0.561874,0.561874,0.561874,0.561874,0.561874,0.55973,0.55973,0.55973,0.55973,0.55973
16,0.939934,0.609399,0.609399,0.609399,0.609399,0.609399,0.605751,0.605751,0.605751,0.605751,0.605751,0.602222,0.602222,0.602222,0.602222,0.602222,0.599084,0.599084,0.599084,0.599084,0.599084,0.596426,0.596426,0.596426,0.596426,0.596426
17,1.01437,0.649257,0.649257,0.649257,0.649257,0.649257,0.644856,0.644856,0.644856,0.644856,0.644856,0.640565,0.640565,0.640565,0.640565,0.640565,0.636714,0.636714,0.636714,0.636714,0.636714,0.633466,0.633466,0.633466,0.633466,0.633466
18,1.09098,0.690406,0.690406,0.690406,0.690406,0.690406,0.685118,0.685118,0.685118,0.685118,0.685118,0.679952,0.679952,0.679952,0.679952,0.679952,0.675327,0.675327,0.675327,0.675327,0.675327,0.671435,0.671435,0.671435,0.671435,0.671435
19,1.16984,0.732842,0.732842,0.732842,0.732842,0.732842,0.726568,0.726568,0.726568,0.726568,0.726568,0.72039,0.72039,0.72039,0.72039,0.72039,0.714821,0.714821,0.714821,0.714821,0.714821,0.710118,0.710118,0.710118,0.710118,0.710118
20,1.25101,0.776727,0.776727,0.776727,0.776727,0.776727,0.769304,0.769304,0.769304,0.769304,0.769304,0.761988,0.761988,0.761988,0.761988,0.761988,0.755384,0.755384,0.755384,0.755384,0.755384,0.749805,0.749805,0.749805,0.749805,0.749805
21,1.33455,0.822003,0.822003,0.822003,0.822003,0.822003,0.813411,0.813411,0.813411,0.813411,0.813411,0.80486,0.80486,0.80486,0.80486,0.80486,0.797086,0.797086,0.797086,0.797086,0.797086,0.790533,0.790533,0.790533,0.790533,0.790533
22,1.42055,0.868709,0.868709,0.868709,0.868709,0.868709,0.859019,0.859019,0.859019,0.859019,0.859019,0.849284,0.849284,0.849284,0.849284,0.849284,0.840324,0.840324,0.840324,0.840324,0.840324,0.83263,0.83263,0.83263,0.83263,0.83263
23,1.50907,0.917327,0.917327,0.917327,0.917327,0.917327,0.9064,0.9064,0.9064,0.9064,0.9064,0.895259,0.895259,0.895259,0.895259,0.895259,0.884942,0.884942,0.884942,0.884942,0.884942,0.876036,0.876036,0.876036,0.876036,0.876036
24,1.60018,0.967886,0.967886,0.967886,0.967886,0.967886,0.955526,0.955526,0.955526,0.955526,0.955526,0.942804,0.942804,0.942804,0.942804,0.942804,0.931049,0.931049,0.931049,0.931049,0.931049,0.920888,0.920888,0.920888,0.920888,0.920888
25,1.69396,1.02049,1.02049,1.02049,1.02049,1.02049,1.00667,1.00667,1.00667,1.00667,1.00667,0.992553,0.992553,0.992553,0.992553,0.992553,0.979192,0.979192,0.979192,0.979192,0.979192,0.967487,0.967487,0.967487,0.967487,0.967487
26,1.79048,1.07563,1.07563,1.07563,1.07563,1.07563,1.06014,1.06014,1.06014,1.06014,1.06014,1.04425,1.04425,1.04425,1.04425,1.04425,1.02915,1.02915,1.02915,1.02915,1.02915,1.01579,1.01579,1.01579,1.01579,1.01579
27,1.88984,1.133,1.133,1.133,1.133,1.133,1.11569,1.11569,1.11569,1.11569,1.11569,1.09793,1.09793,1.09793,1.09793,1.09793,1.08118,1.08118,1.08118,1.08118,1.08118,1.06634,1.06634,1.06634,1.06634,1.06634
28,1.99211,1.19265,1.19265,1.19265,1.19265,1.19265,1.17342,1.17342,1.17342,1.17342,1.17342,1.15382,1.15382,1.15382,1.15382,1.15382,1.13529,1.13529,1.13529,1.13529,1.13529,1.11875,1.11875,1.11875,1.11875,1.11875
29,2.09737,1.2548,1.2548,1.2548,1.2548,1.2548,1.23426,1.23426,1.23426,1.23426,1.23426,1.21268,1.21268,1.21268,1.21268,1.21268,1.19181,1.19181,1.19181,1.19181,1.19181,1.17314,1.17314,1.17314,1.17314,1.17314
30,2.20572,1.32057,1.32057,1.32057,1.32057,1.32057,1.2981,1.2981,1.2981,1.2981,1.2981,1.27431,1.27431,1.27431,1.27431,1.27431,1.25119,1.25119,1.25119,1.25119,1.25119,1.23075,1.23075,1.23075,1.23075,1.23075
31,2.31725,1.38934,1.38934,1.38934,1.38934,1.38934,1.36482,1.36482,1.36482,1.36482,1.36482,1.33871,1.33871,1.33871,1.33871,1.33871,1.31361,1.31361,1.31361,1.31361,1.31361,1.29092,1.29092,1.29092,1.29092,1.29092
32,2.43204,1.46067,1.46067,1.46067,1.46067,1.46067,1.43439,1.43439,1.43439,1.43439,1.43439,1.40622,1.40622,1.40622,1.40622,1.40622,1.37889,1.37889,1.37889,1.37889,1.37889,1.35386,1.35386,1.35386,1.35386,1.35386
33,2.5502,1.53489,1.53489,1.53489,1.53489,1.53489,1.50688,1.50688,1.50688,1.50688,1.50688,1.47701,1.47701,1.47701,1.47701,1.47701,1.44725,1.44725,1.44725,1.44725,1.44725,1.41997,1.41997,1.41997,1.41997,1.41997
