gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6]
109,4.01552,-9887.93,-9887.92,-9887.94,-9887.93,-9887.94,-9887.92,-9887.93
110,4.08058,-9878.01,-9878,-9878.02,-9878.01,-9878.02,-9878,-9878.01
111,4.14639,-9868.11,-9868.1,-9868.12,-9868.11,-9868.12,-9868.1,-9868.11
112,4.21297,-9858.98,-9858.97,-9858.99,-9858.98,-9858.99,-9858.97,-9858.98
113,4.28031,-9849.86,-9849.85,-9849.87,-9849.86,-9849.87,-9849.85,-9849.86
114,4.34843,-9840.74,-9840.73,-9840.75,-9840.74,-9840.75,-9840.73,-9840.74
115,4.41735,-9831.6,-9831.59,-9831.61,-9831.6,-9831.61,-9831.59,-9831.6
116,4.48706,-9822.45,-9822.44,-9822.46,-9822.45,-9822.46,-9822.44,-9822.45
117,4.55758,-9813.33,-9813.32,-9813.34,-9813.33,-9813.34,-9813.32,-9813.33
118,4.62892,-9804.19,-9804.18,-9804.2,-9804.19,-9804.2,-9804.18,-9804.19
119,4.70108,-9795.02,-9795.01,-9795.03,-9795.02,-9795.03,-9795.01,-9795.02
120,4.77408,-9785.88,-9785.87,-9785.89,-9785.88,-9785.89,-9785.87,-9785.88
121,4.84793,-9776.81,-9776.8,-9776.82,-9776.81,-9776.82,-9776.8,-9776.81
122,4.92263,-9767.7,-9767.69,-9767.71,-9767.7,-9767.71,-9767.69,-9767.7
123,4.99819,-9758.54,-9758.53,-9758.55,-9758.54,-9758.55,-9758.53,-9758.54
124,5.07463,-9749.33,-9749.32,-9749.34,-9749.33,-9749.34,-9749.32,-9749.33
125,5.15196,-9740.12,-9740.11,-9740.13,-9740.12,-9740.13,-9740.11,-9740.12
126,5.23019,-9730.91,-9730.9,-9730.92,-9730.91,-9730.92,-9730.9,-9730.91
127,5.30931,-9721.62,-9721.61,-9721.63,-9721.62,-9721.63,-9721.61,-9721.62
128,5.38936,-9712.25,-9712.25,-9712.26,-9712.26,-9712.26,-9712.25,-9712.25
129,5.47033,-9702.79,-9702.79,-9702.8,-9702.8,-9702.8,-9702.79,-9702.79
130,5.55225,-9693.26,-9693.25,-9693.27,-9693.26,-9693.27,-9693.25,-9693.26
131,5.63511,-9683.83,-9683.82,-9683.84,-9683.83,-9683.84,-9683.82,-9683.83
132,5.71893,-9674.73,-9674.72,-9674.74,-9674.73,-9674.74,-9674.72,-9674.73
133,5.80372,-9665.83,-9665.82,-9665.84,-9665.83,-9665.84,-9665.82,-9665.83
134,5.88949,-9657,-9656.99,-9657.01,-9657,-9657.01,-9656.99,-9657
135,5.97626,-9648.16,-9648.15,-9648.17,-9648.16,-9648.17,-9648.15,-9648.16
136,6.06403,-9639.26,-9639.25,-9639.27,-9639.26,-9639.27,-9639.25,-9639.26
137,6.15282,-9630.3,-9630.29,-9630.31,-9630.3,-9630.31,-9630.29,-9630.3
138,6.24264,-9621.28,-9621.27,-9621.29,-9621.28,-9621.29,-9621.27,-9621.28
139,6.3335,-9612.21,-9612.2,-9612.22,-9612.21,-9612.22,-9612.2,-9612.21
140,6.42541,-9603.11,-9603.1,-9603.12,-9603.11,-9603.12,-9603.1,-9603.11
141,6.51839,-9594.01,-9594,-9594.02,-9594.01,-9594.02,-9594,-9594.01
142,6.61244,-9584.98,-9584.97,-9584.99,-9584.98,-9584.99,-9584.97,-9584.98
143,6.70758,-9576.07,-9576.06,-9576.08,-9576.07,-9576.08,-9576.06,-9576.07
144,6.80383,-9567.31,-9567.3,-9567.32,-9567.31,-9567.32,-9567.3,-9567.31
145,6.90119,-9558.72,-9558.71,-9558.73,-9558.72,-9558.73,-9558.71,-9558.72
146,6.99968,-9550.36,-9550.35,-9550.37,-9550.36,-9550.37,-9550.35,-9550.36
147,7.0993,-9542.07,-9542.07,-9542.08,-9542.08,-9542.08,-9542.07,-9542.07
148,7.20009,-9533.83,-9533.82,-9533.84,-9533.83,-9533.84,-9533.82,-9533.83
149,7.30204,-9525.62,-9525.61,-9525.63,-9525.62,-9525.63,-9525.61,-9525.62
150,7.40517,-9517.47,-9517.47,-9517.48,-9517.47,-9517.48,-9517.47,-9517.47
151,7.5095,-9509.38,-9509.37,-9509.39,-9509.38,-9509.39,-9509.37,-9509.38
152,7.61503,-9501.24,-9501.23,-9501.25,-9501.24,-9501.25,-9501.23,-9501.24
153,7.72179,-9493.07,-9493.06,-9493.08,-9493.07,-9493.08,-9493.06,-9493.07
154,7.82979,-9484.86,-9484.85,-9484.87,-9484.86,-9484.87,-9484.85,-9484.86
155,7.93903,-9476.64,-9476.63,-9476.65,-9476.64,-9476.65,-9476.63,-9476.64
156,8.04955,-9468.79,-9468.78,-9468.8,-9468.79,-9468.8,-9468.78,-9468.79
157,8.16134,-9461.19,-9461.18,-9461.2,-9461.19,-9461.2,-9461.18,-9461.19
158,8.27443,-9453.58,-9453.57,-9453.59,-9453.58,-9453.59,-9453.57,-9453.58
159,8.38882,-9445.95,-9445.94,-9445.96,-9445.95,-9445.96,-9445.94,-9445.95
160,8.50455,-9438.3,-9438.29,-9438.31,-9438.3,-9438.31,-9438.29,-9438.3
161,8.62161,-9430.63,-9430.62,-9430.64,-9430.63,-9430.64,-9430.62,-9430.63
162,8.74003,-9422.98,-9422.97,-9422.99,-9422.98,-9422.99,-9422.97,-9422.98
163,8.85982,-9415.31,-9415.3,-9415.32,-9415.31,-9415.32,-9415.3,-9415.31
164,8.981,-9407.6,-9407.59,-9407.61,-9407.6,-9407.61,-9407.59,-9407.6
165,9.10358,-9399.88,-9399.88,-9399.89,-9399.89,-9399.89,-9399.88,-9399.88
166,9.22759,-9392.18,-9392.18,-9392.19,-9392.18,-9392.19,-9392.18,-9392.18
167,9.35303,-9384.51,-9384.5,-9384.52,-9384.51,-9384.52,-9384.5,-9384.51
168,9.47992,-9376.8,-9376.79,-9376.81,-9376.8,-9376.81,-9376.79,-9376.8
169,9.60828,-9369.04,-9369.03,-9369.05,-9369.04,-9369.05,-9369.03,-9369.04
170,9.73813,-9361.23,-9361.22,-9361.24,-9361.23,-9361.24,-9361.22,-9361.23
171,9.86949,-9353.41,-9353.4,-9353.42,-9353.41,-9353.42,-9353.4,-9353.41
172,10.0024,-9345.57,-9345.56,-9345.58,-9345.57,-9345.58,-9345.56,-9345.57
173,10.1368,-9337.69,-9337.68,-9337.7,-9337.69,-9337.7,-9337.68,-9337.69
174,10.2728,-9329.74,-9329.73,-9329.75,-9329.74,-9329.75,-9329.73,-9329.74
175,10.4103,-9321.72,-9321.71,-9321.73,-9321.72,-9321.73,-9321.71,-9321.72
176,10.5494,-9313.61,-9313.6,-9313.62,-9313.61,-9313.62,-9313.6,-9313.61
177,10.6902,-9305.44,-9305.43,-9305.45,-9305.44,-9305.45,-9305.43,-9305.44
178,10.8326,-9297.37,-9297.36,-9297.38,-9297.37,-9297.38,-9297.36,-9297.37
179,10.9766,-9289.53,-9289.52,-9289.54,-9289.53,-9289.54,-9289.52,-9289.53
180,11.1223,-9281.84,-9281.83,-9281.85,-9281.84,-9281.85,-9281.83,-9281.84
181,11.2697,-9274.22,-9274.21,-9274.23,-9274.22,-9274.23,-9274.21,-9274.22
182,11.4188,-9266.61,-9266.6,-9266.62,-9266.61,-9266.62,-9266.6,-9266.61
183,11.5696,-9258.96,-9258.95,-9258.97,-9258.96,-9258.97,-9258.95,-9258.96
184,11.7222,-9251.26,-9251.25,-9251.27,-9251.26,-9251.27,-9251.25,-9251.26
185,11.8766,-9243.51,-9243.5,-9243.52,-9243.51,-9243.52,-9243.5,-9243.51
186,12.0327,-9235.69,-9235.68,-9235.7,-9235.69,-9235.7,-9235.68,-9235.69
187,12.1906,-9227.82,-9227.81,-9227.83,-9227.82,-9227.83,-9227.81,-9227.82
188,12.3504,-9219.94,-9219.93,-9219.95,-9219.94,-9219.95,-9219.93,-9219.94
189,12.512,-9212.04,-9212.03,-9212.05,-9212.04,-9212.05,-9212.03,-9212.04
190,12.6755,-9204.18,-9204.17,-9204.19,-9204.18,-9204.19,-9204.17,-9204.18
191,12.8409,-9196.39,-9196.38,-9196.4,-9196.39,-9196.4,-9196.38,-9196.39
192,13.0082,-9188.7,-9188.7,-9188.71,-9188.7,-9188.71,-9188.7,-9188.7
193,13.1774,-9181.13,-9181.12,-9181.14,-9181.13,-9181.14,-9181.12,-9181.13
194,13.3486,-9173.71,-9173.7,-9173.72,-9173.71,-9173.72,-9173.7,-9173.71
195,13.5218,-9166.41,-9166.41,-9166.42,-9166.41,-9166.42,-9166.41,-9166.41
196,13.697,-9159.17,-9159.16,-9159.18,-9159.17,-9159.18,-9159.16,-9159.17
197,13.8742,-9151.95,-9151.94,-9151.96,-9151.95,-9151.96,-9151.94,-9151.95
198,14.0535,-9144.75,-9144.74,-9144.76,-9144.75,-9144.76,-9144.74,-9144.75
199,14.2348,-9137.6,-9137.59,-9137.61,-9137.6,-9137.61,-9137.59,-9137.6
200,14.4183,-9130.49,-9130.48,-9130.5,-9130.49,-9130.5,-9130.48,-9130.49
201,14.6039,-9123.34,-9123.34,-9123.35,-9123.34,-9123.35,-9123.34,-9123.34
202,14.7916,-9116.16,-9116.15,-9116.17,-9116.16,-9116.17,-9116.15,-9116.16
203,14.9815,-9108.94,-9108.94,-9108.95,-9108.94,-9108.95,-9108.94,-9108.94
204,15.1736,-9101.7,-9101.69,-9101.71,-9101.7,-9101.71,-9101.69,-9101.7
205,15.3679,-9094.59,-9094.58,-9094.6,-9094.59,-9094.6,-9094.58,-9094.59
206,15.5645,-9087.73,-9087.72,-9087.74,-9087.73,-9087.74,-9087.72,-9087.73
207,15.7633,-9081,-9080.99,-9081.01,-9081,-9081.01,-9080.99,-9081
208,15.9645,-9074.26,-9074.26,-9074.27,-9074.26,-9074.27,-9074.26,-9074.26
209,16.168,-9067.5,-9067.5,-9067.51,-9067.5,-9067.51,-9067.5,-9067.5
210,16.3738,-9060.72,-9060.71,-9060.73,-9060.72,-9060.73,-9060.71,-9060.72
211,16.5821,-9053.92,-9053.91,-9053.92,-9053.92,-9053.92,-9053.91,-9053.92
212,16.7927,-9047.12,-9047.11,-9047.13,-9047.12,-9047.13,-9047.11,-9047.12
213,17.0058,-9040.31,-9040.3,-9040.31,-9040.31,-9040.31,-9040.3,-9040.31
214,17.2213,-9033.46,-9033.45,-9033.47,-9033.46,-9033.47,-9033.45,-9033.46
215,17.4394,-9026.59,-9026.58,-9026.6,-9026.59,-9026.6,-9026.58,-9026.59
216,17.66,-9019.72,-9019.71,-9019.73,-9019.72,-9019.73,-9019.71,-9019.72
217,17.8831,-9012.87,-9012.86,-9012.88,-9012.87,-9012.88,-9012.86,-9012.87
218,18.1088,-9006,-9005.99,-9006.01,-9006,-9006.01,-9005.99,-9006
219,18.3372,-8999.1,-8999.09,-8999.11,-8999.1,-8999.11,-8999.09,-8999.1
220,18.5681,-8992.15,-8992.14,-8992.16,-8992.15,-8992.16,-8992.14,-8992.15
221,18.8018,-8985.16,-8985.15,-8985.16,-8985.16,-8985.16,-8985.15,-8985.16
222,19.0381,-8978.14,-8978.14,-8978.15,-8978.14,-8978.15,-8978.14,-8978.14
223,19.2772,-8971.12,-8971.11,-8971.13,-8971.12,-8971.13,-8971.11,-8971.12
224,19.5191,-8964.05,-8964.04,-8964.06,-8964.05,-8964.06,-8964.04,-8964.05
225,19.7638,-8956.91,-8956.91,-8956.92,-8956.91,-8956.92,-8956.91,-8956.91
226,20.0113,-8949.71,-8949.7,-8949.72,-8949.71,-8949.72,-8949.7,-8949.71
227,20.2617,-8942.44,-8942.43,-8942.45,-8942.44,-8942.45,-8942.43,-8942.44
228,20.5149,-8935.1,-8935.09,-8935.11,-8935.1,-8935.11,-8935.09,-8935.1
229,20.7711,-8927.81,-8927.81,-8927.82,-8927.82,-8927.82,-8927.81,-8927.81
230,21.0303,-8920.69,-8920.68,-8920.7,-8920.69,-8920.7,-8920.68,-8920.69
231,21.2925,-8913.7,-8913.7,-8913.71,-8913.7,-8913.71,-8913.7,-8913.7
232,21.5577,-8906.8,-8906.8,-8906.81,-8906.81,-8906.81,-8906.8,-8906.8
233,21.826,-8899.93,-8899.92,-8899.94,-8899.93,-8899.94,-8899.92,-8899.93
234,22.0974,-8893.04,-8893.03,-8893.05,-8893.04,-8893.05,-8893.03,-8893.04
235,22.3719,-8886.11,-8886.1,-8886.12,-8886.11,-8886.12,-8886.1,-8886.11
236,22.6496,-8879.13,-8879.12,-8879.14,-8879.13,-8879.14,-8879.12,-8879.13
237,22.9306,-8872.1,-8872.09,-8872.11,-8872.1,-8872.11,-8872.09,-8872.1
238,23.2148,-8865.01,-8865,-8865.02,-8865.01,-8865.02,-8865,-8865.01
239,23.5023,-8857.87,-8857.87,-8857.88,-8857.87,-8857.88,-8857.87,-8857.87
240,23.7931,-8850.72,-8850.71,-8850.73,-8850.72,-8850.73,-8850.71,-8850.72
241,24.0873,-8843.55,-8843.54,-8843.56,-8843.55,-8843.56,-8843.54,-8843.55
242,24.3848,-8836.42,-8836.41,-8836.43,-8836.42,-8836.43,-8836.41,-8836.42
243,24.6859,-8829.34,-8829.33,-8829.35,-8829.34,-8829.35,-8829.33,-8829.34
244,24.9904,-8822.34,-8822.33,-8822.35,-8822.34,-8822.35,-8822.33,-8822.34
245,25.2985,-8815.44,-8815.43,-8815.45,-8815.44,-8815.45,-8815.43,-8815.44
246,25.6101,-8808.65,-8808.64,-8808.66,-8808.65,-8808.66,-8808.64,-8808.65
247,25.9253,-8801.98,-8801.97,-8801.99,-8801.98,-8801.99,-8801.97,-8801.98
248,26.2442,-8795.36,-8795.35,-8795.37,-8795.36,-8795.37,-8795.35,-8795.36
249,26.5668,-8788.77,-8788.76,-8788.78,-8788.77,-8788.78,-8788.76,-8788.77
250,26.8931,-8782.19,-8782.18,-8782.2,-8782.19,-8782.2,-8782.18,-8782.19
251,27.2232,-8775.64,-8775.64,-8775.65,-8775.65,-8775.65,-8775.64,-8775.64
252,27.5571,-8769.13,-8769.12,-8769.14,-8769.13,-8769.14,-8769.12,-8769.13
253,27.8949,-8762.62,-8762.61,-8762.63,-8762.62,-8762.63,-8762.61,-8762.62
254,28.2366,-8756.07,-8756.06,-8756.08,-8756.07,-8756.08,-8756.06,-8756.07
255,28.5823,-8749.49,-8749.48,-8749.5,-8749.49,-8749.5,-8749.48,-8749.49
256,28.932,-8742.88,-8742.87,-8742.89,-8742.88,-8742.89,-8742.87,-8742.88
257,29.2857,-8736.27,-8736.26,-8736.28,-8736.27,-8736.28,-8736.26,-8736.27
258,29.6435,-8729.79,-8729.78,-8729.79,-8729.79,-8729.79,-8729.78,-8729.79
259,30.0055,-8723.51,-8723.5,-8723.52,-8723.51,-8723.52,-8723.5,-8723.51
260,30.3716,-8717.34,-8717.33,-8717.35,-8717.34,-8717.35,-8717.33,-8717.34
261,30.742,-8711.15,-8711.14,-8711.16,-8711.15,-8711.16,-8711.14,-8711.15
