gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[1 0],VF[1 1],VF[1 2],VF[2 0],VF[2 1],VF[2 2],VF[3 0],VF[3 1],VF[3 2],VF[4 0],VF[4 1],VF[4 2]
56,6.46452,-33.1974,-33.1546,-33.0939,-33.1974,-33.1546,-33.0939,-33.1974,-33.1546,-33.0939,-33.1974,-33.1546,-33.0939,-33.1974,-33.1546,-33.0939
57,6.70085,-32.6008,-32.5586,-32.4989,-32.6008,-32.5586,-32.4989,-32.6008,-32.5586,-32.4989,-32.6008,-32.5586,-32.4989,-32.6008,-32.5586,-32.4989
58,6.94411,-32.0189,-31.9775,-31.9188,-32.0189,-31.9775,-31.9188,-32.0189,-31.9775,-31.9188,-32.0189,-31.9775,-31.9188,-32.0189,-31.9775,-31.9188
59,7.19449,-31.4514,-31.4107,-31.3531,-31.4514,-31.4107,-31.3531,-31.4514,-31.4107,-31.3531,-31.4514,-31.4107,-31.3531,-31.4514,-31.4107,-31.3531
60,7.45221,-30.8977,-30.8575,-30.8009,-30.8977,-30.8575,-30.8009,-30.8977,-30.8575,-30.8009,-30.8977,-30.8575,-30.8009,-30.8977,-30.8575,-30.8009
61,7.71748,-30.3572,-30.3176,-30.2619,-30.3572,-30.3176,-30.2619,-30.3572,-30.3176,-30.2619,-30.3572,-30.3176,-30.2619,-30.3572,-30.3176,-30.2619
62,7.99052,-29.8294,-29.7904,-29.7356,-29.8294,-29.7904,-29.7356,-29.8294,-29.7904,-29.7356,-29.8294,-29.7904,-29.7356,-29.8294,-29.7904,-29.7356
63,8.27157,-29.3138,-29.2755,-29.2215,-29.3138,-29.2755,-29.2215,-29.3138,-29.2755,-29.2215,-29.3138,-29.2755,-29.2215,-29.3138,-29.2755,-29.2215
64,8.56085,-28.81,-28.7723,-28.7192,-28.81,-28.7723,-28.7192,-28.81,-28.7723,-28.7192,-28.81,-28.7723,-28.7192,-28.81,-28.7723,-28.7192
65,8.85861,-28.3177,-28.2805,-28.2283,-28.3177,-28.2805,-28.2283,-28.3177,-28.2805,-28.2283,-28.3177,-28.2805,-28.2283,-28.3177,-28.2805,-28.2283
66,9.16509,-27.8363,-27.7998,-27.7483,-27.8363,-27.7998,-27.7483,-27.8363,-27.7998,-27.7483,-27.8363,-27.7998,-27.7483,-27.8363,-27.7998,-27.7483
67,9.48056,-27.3656,-27.3297,-27.279,-27.3656,-27.3297,-27.279,-27.3656,-27.3297,-27.279,-27.3656,-27.3297,-27.279,-27.3656,-27.3297,-27.279
68,9.80527,-26.9051,-26.8698,-26.8199,-26.9051,-26.8698,-26.8199,-26.9051,-26.8698,-26.8199,-26.9051,-26.8698,-26.8199,-26.9051,-26.8698,-26.8199
69,10.1395,-26.4546,-26.4199,-26.3708,-26.4546,-26.4199,-26.3708,-26.4546,-26.4199,-26.3708,-26.4546,-26.4199,-26.3708,-26.4546,-26.4199,-26.3708
70,10.4835,-26.0137,-25.9796,-25.9312,-26.0137,-25.9796,-25.9312,-26.0137,-25.9796,-25.9312,-26.0137,-25.9796,-25.9312,-26.0137,-25.9796,-25.9312
71,10.8376,-25.5821,-25.5485,-25.501,-25.5821,-25.5485,-25.501,-25.5821,-25.5485,-25.501,-25.5821,-25.5485,-25.501,-25.5821,-25.5485,-25.501
72,11.2021,-25.1595,-25.1265,-25.0797,-25.1595,-25.1265,-25.0797,-25.1595,-25.1265,-25.0797,-25.1595,-25.1265,-25.0797,-25.1595,-25.1265,-25.0797
73,11.5773,-24.7457,-24.7132,-24.6672,-24.7457,-24.7132,-24.6672,-24.7457,-24.7132,-24.6672,-24.7457,-24.7132,-24.6672,-24.7457,-24.7132,-24.6672
74,11.9634,-24.3403,-24.3083,-24.2631,-24.3403,-24.3083,-24.2631,-24.3403,-24.3083,-24.2631,-24.3403,-24.3083,-24.2631,-24.3403,-24.3083,-24.2631
75,12.3609,-23.9432,-23.9117,-23.8672,-23.9432,-23.9117,-23.8672,-23.9432,-23.9117,-23.8672,-23.9432,-23.9117,-23.8672,-23.9432,-23.9117,-23.8672
76,12.77,-23.554,-23.5231,-23.4792,-23.554,-23.5231,-23.4792,-23.554,-23.5231,-23.4792,-23.554,-23.5231,-23.4792,-23.554,-23.5231,-23.4792
77,13.1911,-23.1726,-23.1421,-23.099,-23.1726,-23.1421,-23.099,-23.1726,-23.1421,-23.099,-23.1726,-23.1421,-23.099,-23.1726,-23.1421,-23.099
78,13.6246,-22.7987,-22.7687,-22.7263,-22.7987,-22.7687,-22.7263,-22.7987,-22.7687,-22.7263,-22.7987,-22.7687,-22.7263,-22.7987,-22.7687,-22.7263
79,14.0707,-22.4322,-22.4027,-22.3608,-22.4322,-22.4027,-22.3608,-22.4322,-22.4027,-22.3608,-22.4322,-22.4027,-22.3608,-22.4322,-22.4027,-22.3608
80,14.5299,-22.0727,-22.0437,-22.0026,-22.0727,-22.0437,-22.0026,-22.0727,-22.0437,-22.0026,-22.0727,-22.0437,-22.0026,-22.0727,-22.0437,-22.0026
81,15.0026,-21.7202,-21.6916,-21.6512,-21.7202,-21.6916,-21.6512,-21.7202,-21.6916,-21.6512,-21.7202,-21.6916,-21.6512,-21.7202,-21.6916,-21.6512
82,15.4891,-21.3744,-21.3462,-21.3065,-21.3744,-21.3462,-21.3065,-21.3744,-21.3462,-21.3065,-21.3744,-21.3462,-21.3065,-21.3744,-21.3462,-21.3065
83,15.9899,-21.0352,-21.0074,-20.9684,-21.0352,-21.0074,-20.9684,-21.0352,-21.0074,-20.9684,-21.0352,-21.0074,-20.9684,-21.0352,-21.0074,-20.9684
84,16.5054,-20.7023,-20.675,-20.6366,-20.7023,-20.675,-20.6366,-20.7023,-20.675,-20.6366,-20.7023,-20.675,-20.6366,-20.7023,-20.675,-20.6366
85,17.036,-20.3757,-20.3488,-20.3109,-20.3757,-20.3488,-20.3109,-20.3757,-20.3488,-20.3109,-20.3757,-20.3488,-20.3109,-20.3757,-20.3488,-20.3109
86,17.5821,-20.0551,-20.0286,-19.9913,-20.0551,-20.0286,-19.9913,-20.0551,-20.0286,-19.9913,-20.0551,-20.0286,-19.9913,-20.0551,-20.0286,-19.9913
87,18.1442,-19.7403,-19.7143,-19.6776,-19.7403,-19.7143,-19.6776,-19.7403,-19.7143,-19.6776,-19.7403,-19.7143,-19.6776,-19.7403,-19.7143,-19.6776
88,18.7228,-19.4314,-19.4057,-19.3696,-19.4314,-19.4057,-19.3696,-19.4314,-19.4057,-19.3696,-19.4314,-19.4057,-19.3696,-19.4314,-19.4057,-19.3696
89,19.3184,-19.128,-19.1027,-19.0672,-19.128,-19.1027,-19.0672,-19.128,-19.1027,-19.0672,-19.128,-19.1027,-19.0672,-19.128,-19.1027,-19.0672
90,19.9314,-18.8302,-18.8053,-18.7703,-18.8302,-18.8053,-18.7703,-18.8302,-18.8053,-18.7703,-18.8302,-18.8053,-18.7703,-18.8302,-18.8053,-18.7703
91,20.5623,-18.5376,-18.5131,-18.4786,-18.5376,-18.5131,-18.4786,-18.5376,-18.5131,-18.4786,-18.5376,-18.5131,-18.4786,-18.5376,-18.5131,-18.4786
92,21.2118,-18.2503,-18.2262,-18.1922,-18.2503,-18.2262,-18.1922,-18.2503,-18.2262,-18.1922,-18.2503,-18.2262,-18.1922,-18.2503,-18.2262,-18.1922
93,21.8803,-17.9681,-17.9443,-17.9109,-17.9681,-17.9443,-17.9109,-17.9681,-17.9443,-17.9109,-17.9681,-17.9443,-17.9109,-17.9681,-17.9443,-17.9109
94,22.5684,-17.6908,-17.6674,-17.6345,-17.6908,-17.6674,-17.6345,-17.6908,-17.6674,-17.6345,-17.6908,-17.6674,-17.6345,-17.6908,-17.6674,-17.6345
95,23.2766,-17.4184,-17.3954,-17.3631,-17.4184,-17.3954,-17.3631,-17.4184,-17.3954,-17.3631,-17.4184,-17.3954,-17.3631,-17.4184,-17.3954,-17.3631
96,24.0056,-17.1508,-17.1281,-17.0963,-17.1508,-17.1281,-17.0963,-17.1508,-17.1281,-17.0963,-17.1508,-17.1281,-17.0963,-17.1508,-17.1281,-17.0963
97,24.756,-16.8878,-16.8655,-16.8342,-16.8878,-16.8655,-16.8342,-16.8878,-16.8655,-16.8342,-16.8878,-16.8655,-16.8342,-16.8878,-16.8655,-16.8342
98,25.5283,-16.6294,-16.6074,-16.5766,-16.6294,-16.6074,-16.5766,-16.6294,-16.6074,-16.5766,-16.6294,-16.6074,-16.5766,-16.6294,-16.6074,-16.5766
99,26.3233,-16.3754,-16.3537,-16.3234,-16.3754,-16.3537,-16.3234,-16.3754,-16.3537,-16.3234,-16.3754,-16.3537,-16.3234,-16.3754,-16.3537,-16.3234
100,27.1416,-16.1257,-16.1044,-16.0745,-16.1257,-16.1044,-16.0745,-16.1257,-16.1044,-16.0745,-16.1257,-16.1044,-16.0745,-16.1257,-16.1044,-16.0745
101,27.9838,-15.8803,-15.8593,-15.8299,-15.8803,-15.8593,-15.8299,-15.8803,-15.8593,-15.8299,-15.8803,-15.8593,-15.8299,-15.8803,-15.8593,-15.8299
102,28.8508,-15.639,-15.6183,-15.5894,-15.639,-15.6183,-15.5894,-15.639,-15.6183,-15.5894,-15.639,-15.6183,-15.5894,-15.639,-15.6183,-15.5894
103,29.7431,-15.4018,-15.3815,-15.3529,-15.4018,-15.3815,-15.3529,-15.4018,-15.3815,-15.3529,-15.4018,-15.3815,-15.3529,-15.4018,-15.3815,-15.3529
104,30.6616,-15.1686,-15.1485,-15.1205,-15.1686,-15.1485,-15.1205,-15.1686,-15.1485,-15.1205,-15.1686,-15.1485,-15.1205,-15.1686,-15.1485,-15.1205
105,31.607,-14.9392,-14.9195,-14.8919,-14.9392,-14.9195,-14.8919,-14.9392,-14.9195,-14.8919,-14.9392,-14.9195,-14.8919,-14.9392,-14.9195,-14.8919
106,32.5802,-14.7137,-14.6943,-14.6671,-14.7137,-14.6943,-14.6671,-14.7137,-14.6943,-14.6671,-14.7137,-14.6943,-14.6671,-14.7137,-14.6943,-14.6671
107,33.5818,-14.492,-14.4728,-14.446,-14.492,-14.4728,-14.446,-14.492,-14.4728,-14.446,-14.492,-14.4728,-14.446,-14.492,-14.4728,-14.446
108,34.6128,-14.2738,-14.255,-14.2286,-14.2738,-14.255,-14.2286,-14.2738,-14.255,-14.2286,-14.2738,-14.255,-14.2286,-14.2738,-14.255,-14.2286
109,35.674,-14.0593,-14.0407,-14.0148,-14.0593,-14.0407,-14.0148,-14.0593,-14.0407,-14.0148,-14.0593,-14.0407,-14.0148,-14.0593,-14.0407,-14.0148
110,36.7663,-13.8483,-13.83,-13.8044,-13.8483,-13.83,-13.8044,-13.8483,-13.83,-13.8044,-13.8483,-13.83,-13.8044,-13.8483,-13.83,-13.8044
111,37.8906,-13.6407,-13.6227,-13.5975,-13.6407,-13.6227,-13.5975,-13.6407,-13.6227,-13.5975,-13.6407,-13.6227,-13.5975,-13.6407,-13.6227,-13.5975
