gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[0 3],dist[0 4],dist[1 0],dist[1 1],dist[1 2],dist[1 3],dist[1 4],dist[2 0],dist[2 1],dist[2 2],dist[2 3],dist[2 4],dist[3 0],dist[3 1],dist[3 2],dist[3 3],dist[3 4],dist[4 0],dist[4 1],dist[4 2],dist[4 3],dist[4 4]
30,2.20572,1.99327e-041,7.2123e-041,1.1425e-040,7.2123e-041,1.99327e-041,2.68187e-041,9.70388e-041,1.53719e-040,9.70388e-041,2.68187e-041,1.11977e-041,4.0517e-041,6.4183e-041,4.0517e-041,1.11977e-041,1.26858e-042,4.59015e-042,7.27125e-042,4.59015e-042,1.26858e-042,4.02139e-044,1.45507e-043,2.30498e-043,1.45507e-043,4.02139e-044
31,2.31725,1.04348e-039,3.77564e-039,5.98099e-039,3.77564e-039,1.04348e-039,1.52168e-039,5.50592e-039,8.72193e-039,5.50592e-039,1.52168e-039,7.27243e-040,2.63141e-039,4.16841e-039,2.63141e-039,7.27243e-040,1.01104e-040,3.65829e-040,5.79509e-040,3.65829e-040,1.01104e-040,4.06841e-042,1.47208e-041,2.33193e-041,1.47208e-041,4.06841e-042
32,2.43204,1.81795e-037,6.57794e-037,1.04201e-036,6.57794e-037,1.81795e-037,2.92273e-037,1.05754e-036,1.67525e-036,1.05754e-036,2.92273e-037,1.59252e-037,5.76224e-037,9.12797e-037,5.76224e-037,1.59252e-037,2.56223e-038,9.27097e-038,1.46861e-037,9.27097e-038,2.56223e-038,1.16205e-039,4.20466e-039,6.6606e-039,4.20466e-039,1.16205e-039
33,2.5502,4.43379e-036,1.60429e-035,2.54135e-035,1.60429e-035,4.43379e-036,6.04439e-036,2.18706e-035,3.46452e-035,2.18706e-035,6.04439e-036,2.58568e-036,9.35585e-036,1.48206e-035,9.35585e-036,2.58568e-036,3.05722e-037,1.1062e-036,1.75234e-036,1.1062e-036,3.05722e-037,1.03052e-038,3.72877e-038,5.90674e-038,3.72877e-038,1.03052e-038
34,2.67182,9.28788e-036,3.36066e-035,5.32362e-035,3.36066e-035,9.28788e-036,1.24363e-035,4.49984e-035,7.1282e-035,4.49984e-035,1.24363e-035,5.17259e-036,1.87161e-035,2.96482e-035,1.87161e-035,5.17259e-036,5.95269e-037,2.15388e-036,3.41196e-036,2.15388e-036,5.95269e-037,2.11014e-038,7.63517e-038,1.20949e-037,7.63517e-038,2.11014e-038
35,2.797,6.58784e-034,2.3837e-033,3.77601e-033,2.3837e-033,6.58784e-034,8.65626e-034,3.13212e-033,4.96159e-033,3.13212e-033,8.65626e-034,3.46749e-034,1.25465e-033,1.98749e-033,1.25465e-033,3.46749e-034,3.70545e-035,1.34075e-034,2.12389e-034,1.34075e-034,3.70545e-035,1.17966e-036,4.26841e-036,6.76158e-036,4.26841e-036,1.17966e-036
36,2.92586,1.91838e-033,6.94132e-033,1.09957e-032,6.94132e-033,1.91838e-033,3.45709e-033,1.25089e-032,1.98153e-032,1.25089e-032,3.45709e-033,2.16665e-033,7.83963e-033,1.24188e-032,7.83963e-033,2.16665e-033,4.1235e-034,1.49202e-033,2.3635e-033,1.49202e-033,4.1235e-034,2.34843e-035,8.49738e-035,1.34607e-034,8.49738e-035,2.34843e-035
37,3.05848,4.61331e-033,1.66925e-032,2.64425e-032,1.66925e-032,4.61331e-033,1.16584e-032,4.2184e-032,6.68237e-032,4.2184e-032,1.16584e-032,1.09012e-032,3.94442e-032,6.24836e-032,3.94442e-032,1.09012e-032,3.3427e-033,1.2095e-032,1.91597e-032,1.2095e-032,3.3427e-033,3.22926e-034,1.16845e-033,1.85094e-033,1.16845e-033,3.22926e-034
38,3.195,2.30404e-032,8.33678e-032,1.32063e-031,8.33678e-032,2.30404e-032,4.74076e-032,1.71536e-031,2.7173e-031,1.71536e-031,4.74076e-032,3.59983e-032,1.30254e-031,2.06335e-031,1.30254e-031,3.59983e-032,9.2121e-033,3.33324e-032,5.28018e-032,3.33324e-032,9.2121e-033,8.2953e-034,3.00151e-033,4.75469e-033,3.00151e-033,8.2953e-034
39,3.33551,7.54086e-032,2.72853e-031,4.32226e-031,2.72853e-031,7.54086e-032,1.4948e-031,5.40868e-031,8.56789e-031,5.40868e-031,1.4948e-031,1.07719e-031,3.89763e-031,6.17423e-031,3.89763e-031,1.07719e-031,2.5479e-032,9.21913e-032,1.4604e-031,9.21913e-032,2.5479e-032,2.03148e-033,7.35055e-033,1.1644e-032,7.35055e-033,2.03148e-033
40,3.48015,4.15347e-031,1.50286e-030,2.38068e-030,1.50286e-030,4.15347e-031,6.89627e-031,2.4953e-030,3.9528e-030,2.4953e-030,6.89627e-031,4.76493e-031,1.72411e-030,2.73116e-030,1.72411e-030,4.76493e-031,1.39195e-031,5.03653e-031,7.97837e-031,5.03653e-031,1.39195e-031,1.61135e-032,5.83039e-032,9.23592e-032,5.83039e-032,1.61135e-032
41,3.62902,1.11787e-030,4.04482e-030,6.4074e-030,4.04482e-030,1.11787e-030,2.44357e-030,8.84162e-030,1.4006e-029,8.84162e-030,2.44357e-030,2.20044e-030,7.9619e-030,1.26124e-029,7.9619e-030,2.20044e-030,7.76222e-031,2.80863e-030,4.44915e-030,2.80863e-030,7.76222e-031,1.09771e-031,3.97186e-031,6.29182e-031,3.97186e-031,1.09771e-031
