gridnumber,capital,Portfolio[0 0 00],Portfolio[0 0 01],Portfolio[0 0 02],Portfolio[0 0 10],Portfolio[0 0 11],Portfolio[0 0 12],Portfolio[0 0 20],Portfolio[0 0 21],Portfolio[0 0 22],Portfolio[0 1 00],Portfolio[0 1 01],Portfolio[0 1 02],Portfolio[0 1 10],Portfolio[0 1 11],Portfolio[0 1 12],Portfolio[0 1 20],Portfolio[0 1 21],Portfolio[0 1 22],Portfolio[0 2 00],Portfolio[0 2 01],Portfolio[0 2 02],Portfolio[0 2 10],Portfolio[0 2 11],Portfolio[0 2 12],Portfolio[0 2 20],Portfolio[0 2 21],Portfolio[0 2 22],Portfolio[1 0 00],Portfolio[1 0 01],Portfolio[1 0 02],Portfolio[1 0 10],Portfolio[1 0 11],Portfolio[1 0 12],Portfolio[1 0 20],Portfolio[1 0 21],Portfolio[1 0 22],Portfolio[1 1 00],Portfolio[1 1 01],Portfolio[1 1 02],Portfolio[1 1 10],Portfolio[1 1 11],Portfolio[1 1 12],Portfolio[1 1 20],Portfolio[1 1 21],Portfolio[1 1 22],Portfolio[1 2 00],Portfolio[1 2 01],Portfolio[1 2 02],Portfolio[1 2 10],Portfolio[1 2 11],Portfolio[1 2 12],Portfolio[1 2 20],Portfolio[1 2 21],Portfolio[1 2 22],Portfolio[2 0 00],Portfolio[2 0 01],Portfolio[2 0 02],Portfolio[2 0 10],Portfolio[2 0 11],Portfolio[2 0 12],Portfolio[2 0 20],Portfolio[2 0 21],Portfolio[2 0 22],Portfolio[2 1 00],Portfolio[2 1 01],Portfolio[2 1 02],Portfolio[2 1 10],Portfolio[2 1 11],Portfolio[2 1 12],Portfolio[2 1 20],Portfolio[2 1 21],Portfolio[2 1 22],Portfolio[2 2 00],Portfolio[2 2 01],Portfolio[2 2 02],Portfolio[2 2 10],Portfolio[2 2 11],Portfolio[2 2 12],Portfolio[2 2 20],Portfolio[2 2 21],Portfolio[2 2 22]
39,2.8672,0,0,0,1,0.27,0,1,1,1,0,0,0,1,0.27,0,1,1,1,0,0,0,1,0.27,0,1,1,1,0,0,0,1,0.27,0,1,1,1,0,0,0,1,0.27,0,1,1,1,0,0,0,1,0.27,0,1,1,1,0,0,0,1,0.27,0,1,1,1,0,0,0,1,0.27,0,1,1,1,0,0,0,1,0.27,0,1,1,1
40,2.98637,0,0,0,1,0.27,0,1,1,1,0,0,0,1,0.27,0,1,1,1,0,0,0,1,0.27,0,1,1,1,0,0,0,1,0.27,0,1,1,1,0,0,0,1,0.27,0,1,1,1,0,0,0,1,0.27,0,1,1,1,0,0,0,1,0.27,0,1,1,1,0,0,0,1,0.27,0,1,1,1,0,0,0,1,0.27,0,1,1,1
41,3.10872,0,0,0,1,0.27,0,1,1,1,0,0,0,1,0.27,0,1,1,1,0,0,0,1,0.27,0,1,1,1,0,0,0,1,0.27,0,1,1,1,0,0,0,1,0.27,0,1,1,1,0,0,0,1,0.27,0,1,1,1,0,0,0,1,0.27,0,1,1,1,0,0,0,1,0.27,0,1,1,1,0,0,0,1,0.27,0,1,1,1
42,3.23433,0,0,0,1,0.27,0,1,1,1,0,0,0,1,0.27,0,1,1,1,0,0,0,1,0.27,0,1,1,1,0,0,0,1,0.27,0,1,1,1,0,0,0,1,0.27,0,1,1,1,0,0,0,1,0.27,0,1,1,1,0,0,0,1,0.27,0,1,1,1,0,0,0,1,0.27,0,1,1,1,0,0,0,1,0.27,0,1,1,1
43,3.3633,0,0,0,1,0.28,0,1,1,1,0,0,0,1,0.28,0,1,1,1,0,0,0,1,0.28,0,1,1,1,0,0,0,1,0.28,0,1,1,1,0,0,0,1,0.28,0,1,1,1,0,0,0,1,0.28,0,1,1,1,0,0,0,1,0.28,0,1,1,1,0,0,0,1,0.28,0,1,1,1,0,0,0,1,0.28,0,1,1,1
44,3.4957,0,0,0,1,0.28,0,1,1,1,0,0,0,1,0.28,0,1,1,1,0,0,0,1,0.28,0,1,1,1,0,0,0,1,0.28,0,1,1,1,0,0,0,1,0.28,0,1,1,1,0,0,0,1,0.28,0,1,1,1,0,0,0,1,0.28,0,1,1,1,0,0,0,1,0.28,0,1,1,1,0,0,0,1,0.28,0,1,1,1
45,3.63164,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1
46,3.7712,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1
47,3.91449,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1
48,4.0616,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1
49,4.21263,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1
50,4.36769,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1
51,4.52689,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1
52,4.69033,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1
53,4.85814,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1
54,5.03042,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1,0,0,0,1,0.29,0,1,1,1
55,5.2073,0,0,0,0.99,0.29,0,1,1,1,0,0,0,0.99,0.29,0,1,1,1,0,0,0,0.99,0.29,0,1,1,1,0,0,0,0.99,0.29,0,1,1,1,0,0,0,0.99,0.29,0,1,1,1,0,0,0,0.99,0.29,0,1,1,1,0,0,0,0.99,0.29,0,1,1,1,0,0,0,0.99,0.29,0,1,1,1,0,0,0,0.99,0.29,0,1,1,1
56,5.3889,0,0,0,0.97,0.29,0,1,1,0.98,0,0,0,0.97,0.29,0,1,1,0.98,0,0,0,0.97,0.29,0,1,1,0.98,0,0,0,0.97,0.29,0,1,1,0.98,0,0,0,0.97,0.29,0,1,1,0.98,0,0,0,0.97,0.29,0,1,1,0.98,0,0,0,0.97,0.29,0,1,1,0.98,0,0,0,0.97,0.29,0,1,1,0.98,0,0,0,0.97,0.29,0,1,1,0.98
57,5.57534,0,0,0,0.95,0.29,0,1,1,0.96,0,0,0,0.95,0.29,0,1,1,0.96,0,0,0,0.95,0.29,0,1,1,0.96,0,0,0,0.95,0.29,0,1,1,0.96,0,0,0,0.95,0.29,0,1,1,0.96,0,0,0,0.95,0.29,0,1,1,0.96,0,0,0,0.95,0.29,0,1,1,0.96,0,0,0,0.95,0.29,0,1,1,0.96,0,0,0,0.95,0.29,0,1,1,0.96
58,5.76675,0,0,0,0.95,0.29,0,1,1,0.95,0,0,0,0.95,0.29,0,1,1,0.95,0,0,0,0.95,0.29,0,1,1,0.95,0,0,0,0.95,0.29,0,1,1,0.95,0,0,0,0.95,0.29,0,1,1,0.95,0,0,0,0.95,0.29,0,1,1,0.95,0,0,0,0.95,0.29,0,1,1,0.95,0,0,0,0.95,0.29,0,1,1,0.95,0,0,0,0.95,0.29,0,1,1,0.95
