gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
29,2.09737,-6.30896,-6.30896,-6.30896,-6.30819,-6.30552,-6.0839,-6.0839,-6.0839,-6.08367,-6.0821,-5.84912,-5.84912,-5.84912,-5.84904,-5.84805,-5.61331,-5.61331,-5.61331,-5.61331,-5.61285,-5.38455,-5.38455,-5.38455,-5.38455,-5.38445
30,2.20572,-6.24118,-6.24118,-6.24111,-6.24026,-6.23755,-6.02351,-6.02351,-6.02351,-6.02305,-6.02117,-5.79564,-5.79564,-5.79564,-5.79561,-5.79436,-5.56654,-5.56654,-5.56654,-5.56654,-5.56583,-5.34332,-5.34332,-5.34332,-5.34332,-5.343
31,2.31725,-6.17577,-6.17577,-6.17572,-6.1745,-6.17159,-5.96533,-5.96533,-5.96533,-5.96473,-5.96232,-5.74414,-5.74414,-5.74414,-5.74404,-5.74251,-5.52105,-5.52105,-5.52105,-5.52102,-5.52017,-5.3036,-5.3036,-5.3036,-5.3036,-5.3032
32,2.43204,-6.11248,-6.11248,-6.11248,-6.11102,-6.1076,-5.90859,-5.90859,-5.90859,-5.90782,-5.90531,-5.69405,-5.69405,-5.69405,-5.6937,-5.69198,-5.47704,-5.47704,-5.47704,-5.47692,-5.47577,-5.26482,-5.26482,-5.26482,-5.26482,-5.26428
33,2.5502,-6.05088,-6.05088,-6.05087,-6.04923,-6.04568,-5.85318,-5.85318,-5.85318,-5.85229,-5.84963,-5.64509,-5.64509,-5.64509,-5.64464,-5.64269,-5.43384,-5.43384,-5.43384,-5.43383,-5.43256,-5.22701,-5.22701,-5.22701,-5.22701,-5.22615
34,2.67182,-5.99096,-5.99096,-5.99067,-5.98888,-5.98527,-5.79954,-5.79954,-5.7995,-5.79831,-5.7955,-5.59739,-5.59739,-5.59739,-5.59676,-5.59449,-5.39178,-5.39178,-5.39178,-5.39154,-5.39012,-5.1902,-5.1902,-5.1902,-5.19015,-5.18915
35,2.797,-5.93239,-5.93239,-5.93193,-5.92993,-5.92617,-5.74721,-5.74721,-5.74711,-5.74569,-5.7425,-5.55075,-5.55075,-5.55075,-5.54998,-5.54751,-5.35077,-5.35077,-5.35077,-5.35037,-5.34858,-5.15388,-5.15388,-5.15388,-5.1538,-5.15267
36,2.92586,-5.87528,-5.87528,-5.87475,-5.87251,-5.86853,-5.69582,-5.69582,-5.69567,-5.69414,-5.69078,-5.50499,-5.50499,-5.50499,-5.50408,-5.50153,-5.31036,-5.31036,-5.31036,-5.30995,-5.30799,-5.11839,-5.11839,-5.11839,-5.11826,-5.11686
37,3.05848,-5.81941,-5.81941,-5.81885,-5.81636,-5.81213,-5.64539,-5.64539,-5.64517,-5.64352,-5.6401,-5.45998,-5.45998,-5.45998,-5.45892,-5.45624,-5.27055,-5.27055,-5.27055,-5.27001,-5.2679,-5.08342,-5.08342,-5.08342,-5.08318,-5.08161
38,3.195,-5.76471,-5.7647,-5.764,-5.76135,-5.75682,-5.59593,-5.59593,-5.59563,-5.59381,-5.5903,-5.41606,-5.41606,-5.4159,-5.41456,-5.41154,-5.23159,-5.23159,-5.23159,-5.23079,-5.22841,-5.04887,-5.04887,-5.04887,-5.04854,-5.0469
39,3.33551,-5.71098,-5.71098,-5.71017,-5.70743,-5.70285,-5.54752,-5.54752,-5.54712,-5.54493,-5.54125,-5.37267,-5.37267,-5.37254,-5.37105,-5.36786,-5.19311,-5.19311,-5.1931,-5.19218,-5.18966,-5.01502,-5.01502,-5.01502,-5.01451,-5.01251
40,3.48015,-5.65821,-5.65821,-5.65728,-5.65448,-5.64983,-5.49986,-5.49986,-5.49935,-5.49704,-5.49294,-5.32975,-5.32975,-5.3297,-5.32804,-5.32472,-5.15503,-5.15503,-5.15498,-5.1539,-5.15127,-4.98133,-4.98133,-4.98133,-4.98072,-4.97863
41,3.62902,-5.60633,-5.60633,-5.60527,-5.6024,-5.59764,-5.45293,-5.45293,-5.45233,-5.4499,-5.4457,-5.28752,-5.28752,-5.28726,-5.28553,-5.28213,-5.11748,-5.11748,-5.1174,-5.11614,-5.11338,-4.94799,-4.94799,-4.94799,-4.94728,-4.94505
42,3.78225,-5.55552,-5.55548,-5.55421,-5.55105,-5.5462,-5.4066,-5.4066,-5.40588,-5.40331,-5.39901,-5.24604,-5.24604,-5.2456,-5.24363,-5.24006,-5.0804,-5.0804,-5.08031,-5.0789,-5.07579,-4.91513,-4.91513,-4.91513,-4.91415,-4.91162
