gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6]
349,87.5221,84.9118,84.951,84.9988,85.0573,85.1286,85.2157,85.3221,84.9118,84.951,84.9988,85.0572,85.1286,85.2157,85.3221,84.9118,84.951,84.9988,85.0572,85.1286,85.2157,85.3221,84.9117,84.9509,84.9988,85.0572,85.1286,85.2157,85.3221,84.92,84.9592,85.0071,85.0655,85.1369,85.224,85.3304,84.9614,85.0006,85.0485,85.1069,85.1783,85.2654,85.3718,85.0111,85.0503,85.0982,85.1566,85.228,85.3151,85.4215
350,88.5546,85.9186,85.9577,86.0055,86.0639,86.1351,86.2222,86.3284,85.9185,85.9577,86.0055,86.0639,86.1351,86.2222,86.3284,85.9185,85.9577,86.0055,86.0639,86.1351,86.2221,86.3284,85.9185,85.9577,86.0055,86.0639,86.1351,86.2221,86.3284,85.9269,85.9661,86.0139,86.0722,86.1435,86.2305,86.3368,85.9688,86.008,86.0558,86.1141,86.1854,86.2724,86.3787,86.0191,86.0583,86.1061,86.1644,86.2357,86.3227,86.4289
351,89.5991,86.9371,86.9761,87.0239,87.0822,87.1534,87.2404,87.3466,86.9371,86.9761,87.0239,87.0822,87.1534,87.2404,87.3466,86.9371,86.9761,87.0239,87.0822,87.1534,87.2404,87.3466,86.9371,86.9761,87.0238,87.0821,87.1534,87.2404,87.3466,86.9455,86.9846,87.0323,87.0906,87.1618,87.2488,87.3551,86.9879,87.027,87.0747,87.133,87.2042,87.2912,87.3975,87.0388,87.0779,87.1256,87.1839,87.2551,87.3421,87.4484
352,90.6556,87.9672,88.0062,88.054,88.1123,88.1835,88.2705,88.3767,87.9672,88.0062,88.054,88.1123,88.1835,88.2705,88.3767,87.9672,88.0062,88.0539,88.1122,88.1835,88.2705,88.3767,87.9671,88.0062,88.0539,88.1122,88.1835,88.2704,88.3767,87.9757,88.0148,88.0625,88.1208,88.192,88.279,88.3853,88.0186,88.0577,88.1054,88.1637,88.2349,88.3219,88.4282,88.0701,88.1092,88.1569,88.2152,88.2864,88.3734,88.4797
353,91.7245,89.0092,89.0483,89.096,89.1543,89.2255,89.3125,89.4187,89.0092,89.0483,89.096,89.1543,89.2255,89.3125,89.4187,89.0092,89.0483,89.096,89.1543,89.2255,89.3125,89.4187,89.0092,89.0482,89.096,89.1543,89.2255,89.3125,89.4187,89.0179,89.0569,89.1046,89.1629,89.2342,89.3212,89.4274,89.0613,89.1003,89.1481,89.2064,89.2776,89.3646,89.4708,89.1134,89.1524,89.2001,89.2584,89.3297,89.4166,89.5229
354,92.8056,90.0633,90.1024,90.1501,90.2084,90.2796,90.3666,90.4729,90.0633,90.1024,90.1501,90.2084,90.2796,90.3666,90.4728,90.0633,90.1024,90.1501,90.2084,90.2796,90.3666,90.4728,90.0633,90.1023,90.1501,90.2084,90.2796,90.3666,90.4728,90.0721,90.1111,90.1589,90.2172,90.2884,90.3754,90.4816,90.116,90.155,90.2028,90.2611,90.3323,90.4193,90.5255,90.1687,90.2077,90.2555,90.3138,90.385,90.472,90.5782
355,93.8993,91.1296,91.1687,91.2164,91.2747,91.3459,91.4329,91.5392,91.1296,91.1687,91.2164,91.2747,91.3459,91.4329,91.5392,91.1296,91.1687,91.2164,91.2747,91.3459,91.4329,91.5392,91.1296,91.1687,91.2164,91.2747,91.3459,91.4329,91.5392,91.1474,91.1864,91.2342,91.2925,91.3637,91.4507,91.5569,91.1829,91.222,91.2697,91.328,91.3992,91.4862,91.5925,91.2362,91.2753,91.323,91.3813,91.4525,91.5395,91.6458
356,95.0057,92.2076,92.2468,92.2948,92.3534,92.4249,92.5124,92.6192,92.2076,92.2468,92.2948,92.3534,92.4249,92.5124,92.6192,92.2076,92.2468,92.2948,92.3534,92.4249,92.5124,92.6192,92.2076,92.2468,92.2948,92.3534,92.4249,92.5124,92.6192,92.2255,92.2648,92.3128,92.3713,92.4429,92.5304,92.6372,92.2614,92.3007,92.3487,92.4073,92.4789,92.5664,92.6732,92.3422,92.3816,92.4296,92.4882,92.5599,92.6474,92.7542
357,96.1249,93.2978,93.3374,93.3857,93.4446,93.5163,93.6039,93.7107,93.2978,93.3374,93.3857,93.4445,93.5163,93.6039,93.7107,93.2978,93.3374,93.3857,93.4445,93.5163,93.6039,93.7107,93.2978,93.3374,93.3857,93.4445,93.5163,93.6039,93.7107,93.316,93.3556,93.4039,93.4627,93.5345,93.6221,93.7289,93.3524,93.392,93.4403,93.4991,93.5709,93.6585,93.7653,93.4342,93.4739,93.5221,93.581,93.6528,93.7403,93.8472
358,97.2571,94.4024,94.4418,94.4898,94.5484,94.6198,94.7069,94.8131,94.4024,94.4418,94.4898,94.5484,94.6198,94.7069,94.8131,94.4024,94.4418,94.4898,94.5484,94.6198,94.7069,94.8131,94.4023,94.4418,94.4898,94.5484,94.6198,94.7069,94.8131,94.4208,94.4602,94.5082,94.5668,94.6382,94.7253,94.8315,94.4577,94.497,94.5451,94.6036,94.675,94.762,94.8682,94.5406,94.58,94.6279,94.6864,94.7578,94.8448,94.951
