gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
38,3.195,1.42534,1.42534,1.42534,1.42534,1.42534,1.41616,1.41616,1.41616,1.41616,1.41616,1.40616,1.40616,1.40616,1.40616,1.40616,1.39601,1.39601,1.39601,1.39601,1.39601,1.46193,1.46193,1.46193,1.46193,1.46193
39,3.33551,1.47507,1.47507,1.47507,1.47507,1.47507,1.46525,1.46525,1.46525,1.46525,1.46525,1.45455,1.45455,1.45455,1.45455,1.45455,1.44367,1.44367,1.44367,1.44367,1.44367,1.51716,1.51716,1.51716,1.51716,1.51716
40,3.48015,1.52621,1.52621,1.52621,1.52621,1.52621,1.51575,1.51575,1.51575,1.51575,1.51575,1.50431,1.50431,1.50431,1.50431,1.50431,1.49262,1.49262,1.49262,1.49262,1.49262,1.5746,1.5746,1.5746,1.5746,1.5746
41,3.62902,1.57876,1.57876,1.57876,1.57876,1.57876,1.56761,1.56761,1.56761,1.56761,1.56761,1.5554,1.5554,1.5554,1.5554,1.5554,1.54291,1.54291,1.54291,1.54291,1.54291,1.63455,1.63455,1.63455,1.63455,1.63455
42,3.78225,1.63281,1.63281,1.63281,1.63281,1.63281,1.62097,1.62097,1.62097,1.62097,1.62097,1.60797,1.60797,1.60797,1.60797,1.60797,1.59463,1.59463,1.59463,1.59463,1.59463,1.6969,1.6969,1.6969,1.6969,1.6969
43,3.93998,1.68841,1.68841,1.68841,1.68841,1.68841,1.67585,1.67585,1.67585,1.67585,1.67585,1.66203,1.66203,1.66203,1.66203,1.66203,1.64782,1.64782,1.64782,1.64782,1.64782,1.76098,1.76098,1.76098,1.76098,1.76098
44,4.10232,1.74564,1.74564,1.74564,1.74564,1.74564,1.73235,1.73235,1.73235,1.73235,1.73235,1.71769,1.71769,1.71769,1.71769,1.71769,1.70257,1.70257,1.70257,1.70257,1.70257,1.82787,1.82787,1.82787,1.82787,1.82787
45,4.26943,1.80455,1.80455,1.80455,1.80455,1.80455,1.79051,1.79051,1.79051,1.79051,1.79051,1.77499,1.77499,1.77499,1.77499,1.77499,1.75894,1.75894,1.75894,1.75894,1.75894,1.8976,1.8976,1.8976,1.8976,1.8976
46,4.44143,1.86523,1.86523,1.86523,1.86523,1.86523,1.85044,1.85044,1.85044,1.85044,1.85044,1.83404,1.83404,1.83404,1.83404,1.83404,1.81702,1.81702,1.81702,1.81702,1.81702,1.97013,1.97013,1.97013,1.97013,1.97013
47,4.61847,1.92775,1.92775,1.92775,1.92775,1.92775,1.91217,1.91217,1.91217,1.91217,1.91217,1.89485,1.89485,1.89485,1.89485,1.89485,1.87686,1.87686,1.87686,1.87686,1.87686,2.04543,2.04543,2.04543,2.04543,2.04543
