gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[0 7],VF[0 8],VF[0 9],VF[0 10],VF[0 11],VF[0 12],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[1 7],VF[1 8],VF[1 9],VF[1 10],VF[1 11],VF[1 12],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[2 7],VF[2 8],VF[2 9],VF[2 10],VF[2 11],VF[2 12],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[3 7],VF[3 8],VF[3 9],VF[3 10],VF[3 11],VF[3 12],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[4 7],VF[4 8],VF[4 9],VF[4 10],VF[4 11],VF[4 12],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[5 7],VF[5 8],VF[5 9],VF[5 10],VF[5 11],VF[5 12],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6],VF[6 7],VF[6 8],VF[6 9],VF[6 10],VF[6 11],VF[6 12]
10,0.195332,-18.8452,-18.8362,-18.8271,-18.8182,-18.8104,-18.8026,-18.7948,-17.1604,-17.1535,-17.1467,-17.1398,-17.133,-17.1262,-17.1194,-15.516,-15.51,-15.504,-15.498,-15.492,-15.486,-15.48,-13.9077,-13.9026,-13.8976,-13.8925,-13.8874,-13.8824,-13.8773,-12.3519,-12.3478,-12.3438,-12.3397,-12.3357,-12.3316,-12.3276,-10.8601,-10.8569,-10.8536,-10.8503,-10.847,-10.8437,-10.8405,-9.44929,-9.44669,-9.44409,-9.44149,-9.4389,-9.4363,-9.4337,-18.8994,-18.8813,-18.8633,-18.8452,-18.8271,-18.8105,-18.7949,-17.2052,-17.1902,-17.1753,-17.1604,-17.1467,-17.133,-17.1194,-15.552,-15.54,-15.528,-15.516,-15.504,-15.492,-15.4801,-13.938,-13.9279,-13.9178,-13.9077,-13.8976,-13.8874,-13.8773,-12.3761,-12.368,-12.3599,-12.3518,-12.3437,-12.3357,-12.3276,-10.8798,-10.8733,-10.8667,-10.8601,-10.8536,-10.847,-10.8405
11,0.216131,-18.2589,-18.2503,-18.2416,-18.233,-18.2244,-18.2244,-18.2071,-16.6514,-16.6438,-16.6363,-16.6287,-16.6212,-16.6212,-16.6061,-15.0863,-15.0802,-15.0742,-15.0681,-15.0621,-15.0621,-15.05,-13.5476,-13.5424,-13.5372,-13.5321,-13.5269,-13.5269,-13.5165,-12.0523,-12.048,-12.0437,-12.0394,-12.0352,-12.0352,-12.0266,-10.6174,-10.614,-10.6105,-10.6071,-10.6036,-10.6036,-10.5967,-9.25544,-9.25256,-9.25004,-9.24753,-9.24502,-9.24501,-9.23999,-18.3108,-18.2935,-18.2762,-18.2589,-18.2417,-18.233,-18.2071,-16.6967,-16.6816,-16.6665,-16.6514,-16.6363,-16.6287,-16.6061,-15.1226,-15.1105,-15.0984,-15.0863,-15.0742,-15.0682,-15.05,-13.5786,-13.5682,-13.5579,-13.5476,-13.5372,-13.532,-13.5165,-12.078,-12.0694,-12.0609,-12.0523,-12.0437,-12.0394,-12.0266,-10.6382,-10.6313,-10.6244,-10.6174,-10.6105,-10.6071,-10.5967
12,0.237172,-17.6744,-17.6656,-17.6569,-17.6481,-17.6394,-17.6306,-17.6219,-16.1637,-16.1561,-16.1484,-16.1408,-16.1331,-16.1255,-16.1178,-14.6736,-14.667,-14.6603,-14.6537,-14.6471,-14.6405,-14.634,-13.199,-13.1936,-13.1881,-13.1827,-13.1773,-13.1718,-13.1664,-11.7602,-11.7558,-11.7514,-11.747,-11.7426,-11.7382,-11.7338,-10.3816,-10.3778,-10.374,-10.3702,-10.3664,-10.3626,-10.3588,-9.08371,-9.08095,-9.07819,-9.07544,-9.07268,-9.06992,-9.06717,-17.7269,-17.7094,-17.6919,-17.6744,-17.6569,-17.6394,-17.6219,-16.2096,-16.1943,-16.179,-16.1637,-16.1484,-16.1332,-16.1179,-14.7134,-14.7001,-14.6869,-14.6736,-14.6603,-14.647,-14.634,-13.2315,-13.2207,-13.2098,-13.199,-13.1881,-13.1773,-13.1664,-11.7882,-11.7788,-11.7694,-11.7602,-11.7514,-11.7426,-11.7338,-10.4043,-10.3967,-10.3892,-10.3816,-10.374,-10.3664,-10.3588
13,0.258456,-17.1241,-17.1622,-17.1431,-17.1241,-17.105,-17.0859,-17.0668,-15.6905,-15.7208,-15.7057,-15.6906,-15.6755,-15.6604,-15.6453,-14.2642,-14.2926,-14.2784,-14.2642,-14.2501,-14.2359,-14.2217,-12.8584,-12.8813,-12.8696,-12.8584,-12.8471,-12.8359,-12.8246,-11.4842,-11.5033,-11.4937,-11.4842,-11.4746,-11.4651,-11.4555,-10.1547,-10.1691,-10.1613,-10.1534,-10.1455,-10.1377,-10.1298,-8.91036,-8.92238,-8.91637,-8.91036,-8.90435,-8.89834,-8.89234,-17.1813,-17.2099,-17.1813,-17.1527,-17.1241,-17.0954,-17.0668,-15.7359,-15.7586,-15.736,-15.7133,-15.6907,-15.668,-15.6454,-14.3067,-14.328,-14.3067,-14.2855,-14.2642,-14.243,-14.2217,-12.8931,-12.9109,-12.8931,-12.8754,-12.8584,-12.8415,-12.8246,-11.5129,-11.5273,-11.5129,-11.4986,-11.4842,-11.4699,-11.4555,-10.177,-10.1888,-10.177,-10.1652,-10.1534,-10.1416,-10.1298
14,0.279986,-16.6632,-16.6443,-16.6253,-16.6064,-16.5875,-16.5685,-16.5496,-15.2991,-15.2827,-15.2664,-15.25,-15.2337,-15.2173,-15.2009,-13.922,-13.908,-13.894,-13.88,-13.866,-13.852,-13.8379,-12.5667,-12.5545,-12.5423,-12.5301,-12.5179,-12.5058,-12.4936,-11.2426,-11.2328,-11.223,-11.2132,-11.2034,-11.1936,-11.1838,-9.95726,-9.94912,-9.94098,-9.93284,-9.92469,-9.91655,-9.90841,-8.75454,-8.74803,-8.74152,-8.73501,-8.7285,-8.72199,-8.71548,-16.72,-16.6916,-16.6632,-16.6348,-16.6064,-16.578,-16.5497,-15.3482,-15.3236,-15.2991,-15.2746,-15.25,-15.2255,-15.201,-13.964,-13.943,-13.922,-13.901,-13.88,-13.859,-13.8379,-12.6032,-12.585,-12.5667,-12.5484,-12.5301,-12.5118,-12.4936,-11.272,-11.2573,-11.2426,-11.2279,-11.2132,-11.1985,-11.1838,-9.98169,-9.96948,-9.95726,-9.94505,-9.93284,-9.92062,-9.90841
15,0.301766,-16.1628,-16.1444,-16.126,-16.1076,-16.0892,-16.0708,-16.0524,-14.8588,-14.8413,-14.8237,-14.8062,-14.7887,-14.7712,-14.7537,-13.5492,-13.5347,-13.5202,-13.5056,-13.4911,-13.4766,-13.462,-12.247,-12.2344,-12.2218,-12.2092,-12.1966,-12.1839,-12.1713,-10.9778,-10.9672,-10.957,-10.9469,-10.9368,-10.9267,-10.9166,-9.74287,-9.73455,-9.72623,-9.71792,-9.7096,-9.70128,-9.69297,-8.7112,-8.70664,-8.70209,-8.69753,-8.69298,-8.68842,-8.68386,-16.2181,-16.1905,-16.1629,-16.1353,-16.1076,-16.08,-16.0524,-14.9113,-14.885,-14.8588,-14.8325,-14.8062,-14.78,-14.7537,-13.5928,-13.571,-13.5492,-13.5274,-13.5056,-13.4838,-13.462,-12.2848,-12.2659,-12.247,-12.2281,-12.2092,-12.1903,-12.1714,-11.0095,-10.9936,-10.9778,-10.9621,-10.9469,-10.9318,-10.9166,-9.76782,-9.75535,-9.74287,-9.7304,-9.71792,-9.70545,-9.69297
16,0.323799,-15.6962,-15.6271,-15.6172,-15.6073,-15.5777,-15.5777,-15.5777,-14.4352,-14.3759,-14.3674,-14.3589,-14.3335,-14.3335,-14.3335,-13.1848,-13.133,-13.1256,-13.1182,-13.096,-13.096,-13.096,-11.9421,-11.8984,-11.8921,-11.8859,-11.8672,-11.8672,-11.8672,-10.7208,-10.6829,-10.6774,-10.672,-10.6557,-10.6557,-10.6557,-9.53196,-9.50215,-9.49841,-9.49467,-9.48345,-9.48345,-9.48345,-8.59566,-8.57853,-8.57608,-8.57364,-8.56631,-8.56631,-8.56631,-15.7554,-15.6764,-15.6567,-15.6369,-15.5974,-15.5876,-15.5777,-14.486,-14.4182,-14.4013,-14.3843,-14.3504,-14.342,-14.3335,-13.2292,-13.17,-13.1552,-13.1404,-13.1108,-13.1034,-13.096,-11.9796,-11.9296,-11.9171,-11.9046,-11.8797,-11.8734,-11.8672,-10.7534,-10.71,-10.6991,-10.6883,-10.6666,-10.6612,-10.6557,-9.55874,-9.52304,-9.51412,-9.50589,-9.49093,-9.48718,-9.48344
17,0.346087,-15.2214,-15.2001,-15.1788,-15.1576,-15.1363,-15.115,-15.0938,-14.0325,-14.0149,-13.9974,-13.9798,-13.9623,-13.9448,-13.9272,-12.8315,-12.8162,-12.801,-12.7857,-12.7705,-12.7552,-12.74,-11.6458,-11.6332,-11.6206,-11.608,-11.5955,-11.5829,-11.5703,-10.4691,-10.458,-10.4468,-10.4357,-10.4246,-10.4134,-10.4027,-9.34941,-9.34141,-9.33341,-9.32542,-9.31742,-9.30942,-9.30142,-8.47879,-8.47357,-8.46834,-8.46312,-8.45789,-8.45267,-8.44744,-15.2852,-15.2533,-15.2214,-15.1895,-15.1576,-15.1257,-15.0938,-14.085,-14.0587,-14.0324,-14.0061,-13.9798,-13.9535,-13.9272,-12.8784,-12.8546,-12.8315,-12.8086,-12.7857,-12.7628,-12.74,-11.6837,-11.6648,-11.6459,-11.627,-11.6081,-11.5892,-11.5703,-10.5025,-10.4858,-10.4691,-10.4524,-10.4357,-10.419,-10.4027,-9.37342,-9.36142,-9.34942,-9.33742,-9.32542,-9.31342,-9.30142
18,0.368632,-14.7158,-14.7057,-14.6956,-14.7158,-14.6956,-14.6755,-14.6553,-13.5833,-13.5745,-13.5656,-13.5833,-13.5656,-13.5479,-13.5301,-12.4417,-12.4343,-12.4269,-12.4416,-12.4269,-12.4121,-12.3973,-11.3206,-11.3139,-11.3072,-11.3206,-11.3072,-11.2938,-11.2804,-10.1954,-10.1898,-10.1842,-10.1952,-10.184,-10.1729,-10.1617,-9.14285,-9.13859,-9.13433,-9.14285,-9.13433,-9.12581,-9.11729,-8.34384,-8.34106,-8.33828,-8.34387,-8.3383,-8.33274,-8.32717,-14.7762,-14.756,-14.7359,-14.746,-14.7157,-14.6855,-14.6553,-13.6365,-13.6188,-13.6011,-13.6099,-13.5833,-13.5567,-13.5301,-12.4864,-12.4712,-12.4564,-12.4638,-12.4417,-12.4195,-12.3974,-11.3608,-11.3474,-11.334,-11.3407,-11.3206,-11.3005,-11.2804,-10.2286,-10.2175,-10.2063,-10.2119,-10.1952,-10.1784,-10.1617,-9.16841,-9.15989,-9.15137,-9.15564,-9.14286,-9.13008,-9.1173
19,0.391439,-14.3472,-14.3263,-14.3053,-14.2844,-14.2635,-14.2426,-14.2217,-13.2555,-13.2367,-13.2182,-13.2,-13.1817,-13.1635,-13.1453,-12.1686,-12.1529,-12.1373,-12.1216,-12.1059,-12.0902,-12.0745,-11.0794,-11.0656,-11.0519,-11.0381,-11.0244,-11.0106,-10.9968,-9.99578,-9.98458,-9.97338,-9.96218,-9.95099,-9.93979,-9.92859,-8.98531,-8.97626,-8.96722,-8.95817,-8.94912,-8.94007,-8.93103,-8.24097,-8.23506,-8.22915,-8.22324,-8.21733,-8.21142,-8.20551,-14.4099,-14.3785,-14.3472,-14.3158,-14.2844,-14.2531,-14.2217,-13.312,-13.2838,-13.2555,-13.2273,-13.1999,-13.1726,-13.1453,-12.2157,-12.1922,-12.1686,-12.1451,-12.1216,-12.0981,-12.0746,-11.1207,-11.1001,-11.0794,-11.0588,-11.0381,-11.0175,-10.9968,-10.0294,-10.0126,-9.99579,-9.97899,-9.96219,-9.94539,-9.92859,-9.01246,-8.99889,-8.98532,-8.97175,-8.95818,-8.94461,-8.93103
20,0.414511,-13.9257,-13.9046,-14.1848,-14.0852,-13.9888,-13.8942,-13.7996,-12.8817,-12.8624,-13.1134,-13.0267,-12.9401,-12.8534,-12.7756,-11.857,-11.8413,-12.0473,-11.9749,-11.9043,-11.8338,-11.7632,-10.803,-10.789,-10.9728,-10.9089,-10.8455,-10.7822,-10.7189,-9.76672,-9.75722,-9.90907,-9.85569,-9.80231,-9.7527,-9.70999,-8.80009,-8.79051,-8.91567,-8.87258,-8.82949,-8.78641,-8.96573,-8.11998,-8.11373,-8.1962,-8.16804,-8.13987,-8.11171,-8.08354,-13.9887,-13.9572,-14.2291,-14.1184,-14.0098,-13.9047,-13.7997,-12.9395,-12.9106,-13.152,-13.0557,-12.9595,-12.8632,-12.7757,-11.904,-11.8805,-12.0807,-11.9985,-11.9201,-11.8417,-11.7633,-10.8453,-10.8241,-11.002,-10.9301,-10.8597,-10.7894,-10.719,-9.8021,-9.78431,-9.93287,-9.87355,-9.81424,-9.75751,-9.71007,-8.82884,-8.81447,-8.93496,-8.8871,-8.83923,-8.79136,-8.96592
21,0.437849,-13.5178,-13.4962,-13.4747,-13.4532,-13.4317,-13.4102,-13.3887,-12.5416,-12.5235,-12.5053,-12.4871,-12.4689,-12.4508,-12.4326,-11.5513,-11.5351,-11.5189,-11.5027,-11.4865,-11.4703,-11.4542,-10.5394,-10.5256,-10.5118,-10.4979,-10.4841,-10.4703,-10.4565,-9.58101,-9.57098,-9.56095,-9.55092,-9.54089,-9.53086,-9.52083,-8.8949,-8.88947,-8.88404,-8.87861,-8.87319,-8.86776,-8.86233,-7.9976,-7.99099,-7.98438,-7.97777,-7.97116,-7.96455,-7.95794,-13.5823,-13.55,-13.5177,-13.4855,-13.4532,-13.421,-13.3887,-12.5962,-12.5689,-12.5417,-12.5144,-12.4871,-12.4599,-12.4326,-11.6002,-11.5756,-11.5513,-11.527,-11.5027,-11.4784,-11.4542,-10.5809,-10.5602,-10.5394,-10.5187,-10.4979,-10.4772,-10.4565,-9.61111,-9.59606,-9.58102,-9.56597,-9.55092,-9.53588,-9.52083,-8.91125,-8.90311,-8.89497,-8.88683,-8.87869,-8.87055,-8.86241
22,0.461458,-13.1282,-13.1084,-13.0886,-13.0688,-13.049,-13.0292,-13.0094,-12.2092,-12.1911,-12.173,-12.1548,-12.1367,-12.1186,-12.1005,-11.2485,-11.232,-11.2155,-11.199,-11.1825,-11.166,-11.1495,-10.2867,-10.273,-10.2593,-10.2456,-10.2318,-10.2181,-10.2044,-9.39316,-9.38258,-9.37201,-9.36144,-9.35087,-9.3403,-9.32973,-8.79325,-8.78753,-8.78181,-8.77609,-8.77037,-8.76465,-8.75893,-7.8738,-7.86683,-7.85986,-7.8529,-7.84593,-7.83896,-7.832,-13.1877,-13.158,-13.1283,-13.0986,-13.0688,-13.0391,-13.0094,-12.2635,-12.2364,-12.2092,-12.182,-12.1549,-12.1277,-12.1005,-11.2993,-11.2737,-11.2485,-11.2237,-11.199,-11.1742,-11.1495,-10.3279,-10.3073,-10.2867,-10.2661,-10.2456,-10.225,-10.2044,-9.42487,-9.40902,-9.39316,-9.3773,-9.36145,-9.34559,-9.32973,-8.81048,-8.8019,-8.79332,-8.78474,-8.77616,-8.76758,-8.759
