gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[0 7],policy[0 8],policy[0 9],policy[0 10],policy[0 11],policy[0 12],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[1 7],policy[1 8],policy[1 9],policy[1 10],policy[1 11],policy[1 12],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[2 7],policy[2 8],policy[2 9],policy[2 10],policy[2 11],policy[2 12],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[3 7],policy[3 8],policy[3 9],policy[3 10],policy[3 11],policy[3 12],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[4 7],policy[4 8],policy[4 9],policy[4 10],policy[4 11],policy[4 12],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[5 7],policy[5 8],policy[5 9],policy[5 10],policy[5 11],policy[5 12],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6],policy[6 7],policy[6 8],policy[6 9],policy[6 10],policy[6 11],policy[6 12]
10,0.195332,0.0558578,0.0754294,0.107511,0.14756,0.202825,0.268368,0.353846,0.055996,0.0756208,0.107683,0.147791,0.203046,0.268559,0.354208,0.0561342,0.0758185,0.107854,0.148023,0.203266,0.268751,0.35457,0.0562724,0.0760162,0.108026,0.148254,0.203487,0.268942,0.354932,0.0564104,0.0762139,0.108198,0.148485,0.203707,0.269134,0.355293,0.0565485,0.0764116,0.108369,0.148717,0.203927,0.269325,0.355655,0.0566866,0.0766092,0.108541,0.148948,0.204148,0.269517,0.356017,0.0568247,0.0768069,0.108713,0.149179,0.204368,0.269709,0.356379,0.0569627,0.0770046,0.108884,0.149411,0.204589,0.2699,0.356741,0.0571008,0.0772023,0.109056,0.149642,0.204809,0.270092,0.357102,0.0572389,0.0774,0.109228,0.149873,0.205029,0.270283,0.357464,0.0573769,0.0775976,0.109399,0.150105,0.20525,0.270475,0.357826,0.057515,0.0777953,0.109571,0.150336,0.20547,0.270666,0.358188
11,0.216131,0.0661574,0.0901688,0.120399,0.163525,0.219488,0.281616,0.367226,0.0663101,0.0903875,0.120591,0.163749,0.219749,0.28211,0.367626,0.0664629,0.0906063,0.120784,0.163973,0.22001,0.282604,0.368027,0.0666157,0.090825,0.120976,0.164197,0.220271,0.283098,0.368427,0.0667684,0.0910437,0.121169,0.164421,0.220532,0.283592,0.368717,0.0669212,0.0912624,0.121362,0.164645,0.220793,0.284086,0.368891,0.067074,0.0914812,0.121554,0.164869,0.221054,0.28458,0.369065,0.0672268,0.0916999,0.121747,0.165094,0.221315,0.285074,0.369239,0.0673795,0.0919186,0.12194,0.165318,0.221577,0.285568,0.369413,0.0675323,0.0921373,0.122132,0.165542,0.221838,0.286062,0.369587,0.0676851,0.0923561,0.122325,0.165766,0.222099,0.286556,0.369761,0.0678378,0.0925748,0.122517,0.16599,0.22236,0.28705,0.369935,0.0679906,0.0927935,0.12271,0.166214,0.222621,0.287544,0.37011
12,0.237172,0.0770808,0.103667,0.133535,0.179177,0.237267,0.299946,0.374478,0.0773232,0.103874,0.133746,0.179446,0.237497,0.300217,0.374574,0.0775657,0.10408,0.133958,0.179714,0.237726,0.300488,0.374669,0.0778081,0.104287,0.134169,0.179983,0.237956,0.300759,0.374765,0.0780505,0.104494,0.13439,0.180251,0.238185,0.30103,0.37486,0.0782929,0.104701,0.134673,0.180519,0.238415,0.301301,0.374956,0.0785353,0.104907,0.134956,0.180788,0.238644,0.301572,0.375051,0.0787778,0.105114,0.135239,0.181056,0.238874,0.301864,0.375147,0.0790202,0.105321,0.135523,0.181325,0.239103,0.302211,0.375242,0.0792626,0.105528,0.135806,0.181593,0.239333,0.302557,0.375338,0.079505,0.105734,0.136089,0.181862,0.239562,0.302903,0.375433,0.0797474,0.105941,0.136372,0.18213,0.239792,0.30325,0.375529,0.0799899,0.106148,0.136655,0.182398,0.240021,0.303596,0.375624
13,0.258456,0.0923214,0.115326,0.149209,0.194299,0.250196,0.31895,0.379858,0.0925856,0.115783,0.149826,0.194884,0.250696,0.319705,0.380066,0.0928498,0.116241,0.150443,0.195469,0.251196,0.32046,0.380274,0.0931139,0.116699,0.15106,0.196056,0.251696,0.321215,0.380483,0.0933781,0.117156,0.151677,0.196643,0.252196,0.321969,0.380691,0.0936423,0.117614,0.152294,0.197229,0.252696,0.322724,0.380899,0.0939064,0.118071,0.152911,0.197816,0.253197,0.323479,0.381107,0.0941706,0.118529,0.153528,0.198403,0.253697,0.324141,0.381315,0.0944348,0.118986,0.154145,0.19899,0.254197,0.324735,0.381523,0.094699,0.119444,0.15472,0.199577,0.254697,0.325328,0.381731,0.0949463,0.119902,0.155254,0.200163,0.255197,0.325922,0.381939,0.0951697,0.120359,0.155789,0.20075,0.255697,0.326516,0.382148,0.0953931,0.120817,0.156323,0.201337,0.256198,0.32711,0.382356
14,0.279986,0.104298,0.128565,0.165373,0.211273,0.264665,0.337164,0.38588,0.104782,0.129061,0.165952,0.211909,0.265207,0.337807,0.386105,0.105266,0.129556,0.166531,0.212544,0.265748,0.338451,0.386331,0.10575,0.130052,0.16711,0.21318,0.26629,0.339094,0.386556,0.106234,0.130548,0.167689,0.213816,0.266832,0.339737,0.386782,0.106718,0.131043,0.168268,0.214452,0.267374,0.34038,0.387007,0.107202,0.131539,0.168847,0.215087,0.267915,0.341024,0.387233,0.107686,0.132035,0.169426,0.215723,0.268457,0.341667,0.387458,0.10817,0.132531,0.170005,0.216379,0.268999,0.34231,0.387684,0.108654,0.133026,0.170584,0.217073,0.26954,0.342953,0.387909,0.109138,0.133522,0.171163,0.217767,0.270082,0.343596,0.388135,0.109622,0.134018,0.171742,0.21846,0.270624,0.34424,0.38836,0.110106,0.134571,0.172321,0.219154,0.271165,0.344883,0.388585
15,0.301766,0.117425,0.14469,0.181648,0.22957,0.2793,0.352918,0.440655,0.117955,0.145416,0.182335,0.230318,0.279884,0.353478,0.440715,0.118486,0.146143,0.183023,0.231066,0.280566,0.354038,0.440776,0.119017,0.146869,0.18371,0.231813,0.28127,0.354599,0.440836,0.119548,0.147595,0.184397,0.232561,0.281973,0.355159,0.440897,0.120078,0.148321,0.185084,0.233308,0.282676,0.355719,0.440957,0.120609,0.149048,0.185771,0.234056,0.283379,0.356279,0.441018,0.12114,0.149774,0.186458,0.234804,0.284083,0.356839,0.441078,0.121671,0.1505,0.187146,0.235551,0.284786,0.357399,0.441139,0.122201,0.151226,0.187833,0.236299,0.285489,0.357959,0.441199,0.122732,0.151953,0.18852,0.237046,0.286192,0.358519,0.44126,0.123263,0.152679,0.189207,0.237644,0.286895,0.359079,0.44132,0.123794,0.153405,0.189894,0.238212,0.287599,0.359639,0.441381
16,0.323799,0.130883,0.163828,0.201347,0.247627,0.301519,0.36945,0.442579,0.131453,0.16416,0.20172,0.247932,0.301519,0.36945,0.442579,0.132022,0.164493,0.202093,0.248237,0.301519,0.36945,0.442579,0.132592,0.164825,0.202465,0.248542,0.301519,0.36945,0.442579,0.133161,0.165158,0.202838,0.248846,0.301519,0.36945,0.442579,0.133731,0.16549,0.20321,0.249151,0.301519,0.36945,0.442579,0.1343,0.165822,0.203583,0.249456,0.301519,0.36945,0.442579,0.135065,0.166155,0.203955,0.249761,0.301519,0.36945,0.442579,0.13585,0.166487,0.204328,0.250065,0.301519,0.36945,0.442579,0.136635,0.16682,0.2047,0.25037,0.301519,0.36945,0.442579,0.137419,0.167152,0.205073,0.250675,0.301519,0.36945,0.442579,0.138204,0.167484,0.205445,0.25098,0.301519,0.36945,0.442579,0.138989,0.167817,0.205818,0.251284,0.301519,0.36945,0.442579
17,0.346087,0.148333,0.17808,0.217007,0.260403,0.318308,0.373654,0.443741,0.149172,0.178875,0.217886,0.261067,0.319314,0.373905,0.443811,0.150011,0.179671,0.218765,0.26173,0.32032,0.374156,0.44388,0.15085,0.180466,0.219645,0.262393,0.321325,0.374407,0.44395,0.151689,0.181262,0.220524,0.263056,0.322331,0.374658,0.444019,0.152528,0.182057,0.221403,0.263719,0.323337,0.374909,0.444088,0.153366,0.182853,0.222282,0.264382,0.324228,0.37516,0.444158,0.154205,0.183648,0.223162,0.265045,0.325021,0.375411,0.444227,0.154946,0.184444,0.224041,0.265708,0.325815,0.375662,0.444297,0.155648,0.185239,0.22492,0.266372,0.326609,0.375913,0.444366,0.15635,0.186035,0.225799,0.267035,0.327402,0.376164,0.444435,0.157052,0.18683,0.226679,0.267698,0.328196,0.376415,0.444505,0.157754,0.187626,0.227558,0.268361,0.328989,0.376665,0.444574
18,0.368632,0.167454,0.198695,0.238991,0.275407,0.337422,0.379332,0.445312,0.167827,0.199128,0.239327,0.276114,0.338267,0.379599,0.445385,0.168201,0.199562,0.239663,0.27682,0.339113,0.379866,0.445459,0.168575,0.199995,0.239998,0.277526,0.339958,0.380134,0.445533,0.168949,0.200428,0.240334,0.278233,0.340803,0.380401,0.445607,0.169323,0.200862,0.24067,0.278939,0.341648,0.380668,0.445681,0.169696,0.201295,0.241005,0.279645,0.342494,0.380935,0.445755,0.17007,0.201729,0.241341,0.280442,0.343339,0.381203,0.445829,0.170444,0.202162,0.241676,0.281323,0.344184,0.38147,0.445903,0.170818,0.202595,0.242012,0.282203,0.345029,0.381737,0.445977,0.171192,0.203029,0.242348,0.283084,0.345875,0.382004,0.446051,0.171565,0.203462,0.242683,0.283965,0.3466,0.382272,0.446125,0.171939,0.203895,0.243019,0.284845,0.347286,0.382539,0.446199
19,0.391439,0.182263,0.214719,0.251403,0.293202,0.353792,0.385075,0.4469,0.183178,0.215639,0.252115,0.294137,0.35452,0.385359,0.446979,0.184092,0.216604,0.252828,0.295072,0.355248,0.385643,0.447057,0.185007,0.21762,0.253541,0.296007,0.355976,0.385926,0.447135,0.185921,0.218637,0.254254,0.296942,0.356704,0.38621,0.447214,0.186836,0.219653,0.254967,0.297878,0.357432,0.386494,0.447292,0.18775,0.220669,0.255679,0.298813,0.35816,0.386778,0.447371,0.188664,0.221686,0.256392,0.299748,0.358889,0.387062,0.447449,0.189579,0.222702,0.257105,0.300683,0.359617,0.387345,0.447528,0.190493,0.223718,0.257818,0.301618,0.360345,0.387629,0.447606,0.191408,0.224735,0.258534,0.302714,0.361073,0.387913,0.447685,0.192322,0.225751,0.259279,0.30384,0.361801,0.388197,0.447763,0.193237,0.226767,0.260025,0.304966,0.362529,0.388481,0.447842
20,0.414511,0.201188,0.235376,0.250146,0.291553,0.352508,0.384574,0.446762,0.202192,0.236453,0.253542,0.296009,0.355977,0.385927,0.447136,0.203195,0.237413,0.256939,0.300465,0.359447,0.387279,0.44751,0.204199,0.238142,0.260421,0.305564,0.362916,0.388631,0.447884,0.205203,0.23887,0.263972,0.310929,0.366386,0.389984,0.448258,0.206206,0.239599,0.267523,0.316294,0.369063,0.391336,0.448632,0.20721,0.240327,0.271074,0.321658,0.370283,0.440657,0.449006,0.208213,0.241055,0.274625,0.326366,0.371504,0.440922,0.44938,0.209217,0.241784,0.278176,0.330638,0.372725,0.441186,0.449754,0.21022,0.242512,0.282237,0.33491,0.373945,0.44145,0.450128,0.211224,0.24324,0.28683,0.339182,0.375166,0.441715,0.450502,0.212228,0.243969,0.291423,0.343454,0.376387,0.441979,0.450876,0.213231,0.244697,0.296016,0.347421,0.377608,0.442243,0.45125
21,0.437849,0.221226,0.2502,0.282292,0.334961,0.37396,0.441454,0.450132,0.22238,0.25097,0.28337,0.335964,0.374246,0.441516,0.45022,0.223533,0.251739,0.284448,0.336967,0.374533,0.441578,0.450308,0.224687,0.252508,0.285526,0.337969,0.37482,0.44164,0.450396,0.22584,0.253278,0.286605,0.338972,0.375106,0.441702,0.450483,0.226994,0.254047,0.287683,0.339975,0.375393,0.441764,0.450571,0.228147,0.254816,0.288761,0.340978,0.375679,0.441826,0.450659,0.229301,0.255586,0.289839,0.34198,0.375966,0.441888,0.450747,0.230454,0.256355,0.290917,0.342983,0.376252,0.44195,0.450835,0.231608,0.257124,0.291995,0.343986,0.376539,0.442012,0.450922,0.232761,0.257894,0.293074,0.344989,0.376825,0.442074,0.45101,0.233915,0.25868,0.294152,0.345992,0.377112,0.442136,0.451098,0.235068,0.25951,0.29523,0.346826,0.377399,0.442198,0.451186
22,0.461458,0.240813,0.265093,0.302591,0.352317,0.379326,0.442616,0.451777,0.241596,0.265968,0.303899,0.353177,0.379628,0.442681,0.451869,0.242379,0.266843,0.305206,0.354037,0.37993,0.442746,0.451962,0.243161,0.267717,0.306514,0.354898,0.380232,0.442812,0.452054,0.243944,0.268592,0.307821,0.355758,0.380534,0.442877,0.452147,0.244726,0.269467,0.309129,0.356618,0.380836,0.442943,0.452239,0.245509,0.270341,0.310437,0.357478,0.381138,0.443008,0.452332,0.246292,0.271216,0.311744,0.358339,0.38144,0.443073,0.452424,0.247074,0.272091,0.313052,0.359199,0.381742,0.443139,0.452517,0.247857,0.272965,0.314359,0.360059,0.382044,0.443204,0.452609,0.248639,0.27384,0.315667,0.360919,0.382346,0.44327,0.452702,0.249422,0.274715,0.316974,0.36178,0.382648,0.443335,0.452794,0.250205,0.27559,0.318282,0.36264,0.38295,0.4434,0.452887
23,0.485341,0.254881,0.281102,0.325654,0.36778,0.384755,0.443791,0.45344,0.255704,0.282339,0.326765,0.368649,0.385073,0.44386,0.453537,0.256527,0.283576,0.327876,0.368936,0.38539,0.443929,0.453635,0.25735,0.284812,0.328987,0.369224,0.385708,0.443997,0.453732,0.258173,0.286049,0.330098,0.369511,0.386025,0.444066,0.453829,0.259058,0.287286,0.331209,0.369798,0.386343,0.444135,0.453927,0.259974,0.288523,0.33232,0.370085,0.386661,0.444204,0.454024,0.260891,0.28976,0.333431,0.370373,0.386978,0.444273,0.454121,0.261808,0.290997,0.334541,0.37066,0.387296,0.444341,0.454218,0.262724,0.292233,0.335652,0.370947,0.387614,0.44441,0.454316,0.263641,0.29347,0.336763,0.371235,0.387931,0.444479,0.454413,0.264557,0.294707,0.337874,0.371522,0.388249,0.444548,0.45451,0.265474,0.295944,0.338985,0.371809,0.388567,0.444617,0.454608
24,0.5095,0.261663,0.290802,0.334366,0.370615,0.387246,0.444331,0.454203,0.264069,0.294047,0.337282,0.371369,0.388079,0.444511,0.454459,0.266474,0.297293,0.340198,0.372123,0.388913,0.444692,0.454714,0.26888,0.300539,0.343113,0.372877,0.389747,0.444872,0.454969,0.271285,0.303972,0.346029,0.373631,0.39058,0.445053,0.455225,0.273691,0.307518,0.348419,0.374385,0.391414,0.445233,0.45548,0.276096,0.311064,0.350799,0.375138,0.439752,0.445414,0.455736,0.278502,0.31461,0.353179,0.375892,0.439851,0.445594,0.455991,0.281275,0.318156,0.355559,0.376646,0.439951,0.445775,0.456246,0.284642,0.321702,0.357939,0.3774,0.440051,0.445955,0.456502,0.288008,0.324991,0.360319,0.378154,0.440151,0.446136,0.456757,0.291375,0.327906,0.362699,0.378908,0.440251,0.446316,0.457013,0.294741,0.330822,0.365079,0.379662,0.44035,0.446497,0.457268
25,0.533939,0.293129,0.329425,0.363939,0.379301,0.440303,0.44641,0.457146,0.293834,0.330036,0.364438,0.379459,0.440324,0.446448,0.457199,0.29454,0.330647,0.364937,0.379617,0.440344,0.446486,0.457253,0.295246,0.331259,0.365436,0.379775,0.440365,0.446524,0.457306,0.295951,0.33187,0.365935,0.379933,0.440386,0.446561,0.45736,0.296657,0.332481,0.366433,0.380091,0.440407,0.446599,0.457413,0.297362,0.333092,0.366932,0.380249,0.440428,0.446637,0.457467,0.298068,0.333703,0.367431,0.380407,0.440449,0.446675,0.457521,0.298774,0.334314,0.36793,0.380565,0.44047,0.446713,0.457574,0.299479,0.334925,0.368429,0.380723,0.440491,0.446751,0.457628,0.300185,0.335536,0.368717,0.380881,0.440512,0.446788,0.457681,0.300891,0.336147,0.36886,0.381039,0.440533,0.446826,0.457735,0.301596,0.336758,0.369003,0.381198,0.440554,0.446864,0.457788
26,0.558661,0.31193,0.345414,0.371031,0.384428,0.440981,0.447637,0.458882,0.313458,0.346582,0.37133,0.384593,0.441003,0.447677,0.458938,0.314986,0.347629,0.37163,0.384758,0.441025,0.447717,0.458994,0.316513,0.348675,0.371929,0.384924,0.441047,0.447756,0.45905,0.318041,0.349721,0.372229,0.385089,0.441069,0.447796,0.459107,0.319568,0.350768,0.372528,0.385254,0.441091,0.447835,0.459163,0.321096,0.351814,0.372828,0.38542,0.441112,0.447875,0.459219,0.322624,0.35286,0.373127,0.385585,0.441134,0.447915,0.459275,0.324094,0.353907,0.373427,0.38575,0.441156,0.447954,0.459331,0.325373,0.354953,0.373726,0.385916,0.441178,0.447994,0.459387,0.326652,0.355999,0.374026,0.386081,0.4412,0.448033,0.459443,0.327931,0.357046,0.374326,0.386247,0.441222,0.448073,0.459499,0.32921,0.358092,0.374625,0.386412,0.441244,0.448112,0.459555
