gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6]
445,267.697,-0.0407052,-0.0404942,-0.0402837,-0.0400732,-0.0398627,-0.0396715,-0.0394751,-0.040686,-0.0404754,-0.040265,-0.0400545,-0.0398441,-0.0396533,-0.039457,-0.0406641,-0.0404537,-0.0402433,-0.0400329,-0.0398226,-0.0396322,-0.039436,-0.0406388,-0.0404285,-0.0402182,-0.0400079,-0.0397976,-0.0396078,-0.0394117,-0.0406093,-0.0403991,-0.0401889,-0.0399786,-0.0397684,-0.0395794,-0.0393833,-0.0405748,-0.0403646,-0.0401545,-0.0399444,-0.0397347,-0.039546,-0.03935,-0.0405342,-0.0403242,-0.0401142,-0.0399041,-0.0396955,-0.0395069,-0.039311
446,270.817,-0.0398096,-0.0396032,-0.0393972,-0.0391912,-0.0389852,-0.0387982,-0.0386061,-0.039791,-0.039585,-0.0393791,-0.0391732,-0.0389672,-0.0387806,-0.0385885,-0.0397698,-0.039564,-0.0393581,-0.0391523,-0.0389464,-0.0387602,-0.0385682,-0.0397454,-0.0395396,-0.0393338,-0.039128,-0.0389223,-0.0387366,-0.0385447,-0.0397169,-0.0395112,-0.0393055,-0.0390998,-0.0388941,-0.0387091,-0.0385172,-0.0396835,-0.0394779,-0.0392723,-0.0390666,-0.0388615,-0.0386768,-0.0384851,-0.0396443,-0.0394387,-0.0392332,-0.0390277,-0.0388235,-0.038639,-0.0384473
447,273.973,-0.0389333,-0.0387314,-0.0385299,-0.0383283,-0.0381268,-0.0379438,-0.0377558,-0.0389154,-0.0387138,-0.0385123,-0.0383108,-0.0381094,-0.0379268,-0.0377388,-0.0388949,-0.0386935,-0.0384921,-0.0382907,-0.0380892,-0.0379071,-0.0377192,-0.0388712,-0.0386699,-0.0384686,-0.0382672,-0.0380659,-0.0378842,-0.0376964,-0.0388437,-0.0386424,-0.0384411,-0.0382399,-0.0380386,-0.0378576,-0.0376699,-0.0388114,-0.0386102,-0.038409,-0.0382078,-0.0380071,-0.0378264,-0.0376388,-0.0387735,-0.0385724,-0.0383713,-0.0381702,-0.0379704,-0.0377898,-0.0376022
448,277.165,-0.0380761,-0.0378785,-0.0376813,-0.0374841,-0.0372869,-0.0371079,-0.036924,-0.0380587,-0.0378615,-0.0376644,-0.0374672,-0.0372701,-0.0370914,-0.0369076,-0.0380389,-0.0378418,-0.0376448,-0.0374477,-0.0372506,-0.0370724,-0.0368886,-0.038016,-0.037819,-0.037622,-0.037425,-0.037228,-0.0370503,-0.0368666,-0.0379894,-0.0377924,-0.0375955,-0.0373986,-0.0372016,-0.0370245,-0.0368409,-0.0379581,-0.0377613,-0.0375644,-0.0373676,-0.0371712,-0.0369944,-0.0368108,-0.0379215,-0.0377247,-0.0375279,-0.0373311,-0.0371357,-0.036959,-0.0367754
449,280.395,-0.0372373,-0.0370441,-0.0368511,-0.0366582,-0.0364652,-0.0362901,-0.0361102,-0.0372205,-0.0370276,-0.0368347,-0.0366418,-0.0364489,-0.0362742,-0.0360943,-0.0372014,-0.0370086,-0.0368158,-0.0366229,-0.0364301,-0.0362558,-0.0360759,-0.0371793,-0.0369865,-0.0367938,-0.036601,-0.0364083,-0.0362344,-0.0360546,-0.0371535,-0.0369608,-0.0367681,-0.0365754,-0.0363828,-0.0362095,-0.0360298,-0.0371233,-0.0369307,-0.0367381,-0.0365455,-0.0363533,-0.0361803,-0.0360007,-0.0370878,-0.0368953,-0.0367028,-0.0365102,-0.036319,-0.0361461,-0.0359665
450,283.662,-0.0364168,-0.0362278,-0.036039,-0.0358502,-0.0356681,-0.0354901,-0.035314,-0.0364006,-0.0362118,-0.0360231,-0.0358343,-0.0356524,-0.0354747,-0.0352986,-0.0363821,-0.0361934,-0.0360048,-0.0358161,-0.0356342,-0.0354569,-0.0352809,-0.0363607,-0.0361721,-0.0359835,-0.0357949,-0.035613,-0.0354362,-0.0352603,-0.0363357,-0.0361472,-0.0359587,-0.0357701,-0.0355884,-0.0354121,-0.0352363,-0.0363065,-0.0361181,-0.0359296,-0.0357412,-0.0355597,-0.0353839,-0.0352082,-0.0362722,-0.0360838,-0.0358955,-0.0357071,-0.0355265,-0.0353508,-0.0351751
451,286.966,-0.035614,-0.0354291,-0.0352444,-0.0350597,-0.0348816,-0.0347074,-0.0345351,-0.0355984,-0.0354137,-0.035229,-0.0350444,-0.0348663,-0.0346925,-0.0345203,-0.0355805,-0.0353959,-0.0352113,-0.0350267,-0.0348487,-0.0346752,-0.0345031,-0.0355598,-0.0353753,-0.0351907,-0.0350062,-0.0348283,-0.0346553,-0.0344832,-0.0355357,-0.0353512,-0.0351668,-0.0349823,-0.0348044,-0.034632,-0.0344599,-0.0355074,-0.035323,-0.0351387,-0.0349543,-0.0347766,-0.0346047,-0.0344327,-0.0354743,-0.0352899,-0.0351056,-0.0349213,-0.0347445,-0.0345726,-0.0344007
452,290.309,-0.0348287,-0.0346478,-0.034467,-0.0342863,-0.0341121,-0.0339417,-0.0337731,-0.0348136,-0.0346329,-0.0344522,-0.0342715,-0.0340973,-0.0339273,-0.0337588,-0.0347963,-0.0346157,-0.0344351,-0.0342544,-0.0340803,-0.0339106,-0.0337422,-0.0347762,-0.0345957,-0.0344152,-0.0342346,-0.0340606,-0.0338913,-0.0337229,-0.0347529,-0.0345724,-0.034392,-0.0342115,-0.0340375,-0.0338687,-0.0337004,-0.0347256,-0.0345452,-0.0343648,-0.0341844,-0.0340106,-0.0338424,-0.0336741,-0.0346935,-0.0345132,-0.0343328,-0.0341525,-0.0339795,-0.0338114,-0.0336432
453,293.691,-0.0340604,-0.0338834,-0.0337066,-0.0335298,-0.0333593,-0.0331926,-0.0330277,-0.0340458,-0.033869,-0.0336922,-0.0335155,-0.033345,-0.0331787,-0.0330138,-0.0340291,-0.0338524,-0.0336756,-0.0334989,-0.0333286,-0.0331626,-0.0329978,-0.0340097,-0.033833,-0.0336564,-0.0334798,-0.0333094,-0.0331439,-0.0329791,-0.0339871,-0.0338105,-0.033634,-0.0334574,-0.0332871,-0.0331221,-0.0329574,-0.0339607,-0.0337842,-0.0336077,-0.0334312,-0.0332612,-0.0330966,-0.0329319,-0.0339297,-0.0337532,-0.0335768,-0.0334003,-0.0332312,-0.0330666,-0.032902
454,297.112,-0.0333087,-0.0331357,-0.0329626,-0.0327896,-0.0326228,-0.0324598,-0.0322985,-0.0332947,-0.0331217,-0.0329488,-0.0327758,-0.0326091,-0.0324463,-0.032285,-0.0332785,-0.0331056,-0.0329327,-0.0327598,-0.0325931,-0.0324308,-0.0322695,-0.0332598,-0.033087,-0.0329141,-0.0327413,-0.0325746,-0.0324127,-0.0322515,-0.033238,-0.0330652,-0.0328924,-0.0327196,-0.0325531,-0.0323916,-0.0322305,-0.0332124,-0.0330397,-0.032867,-0.0326943,-0.032528,-0.0323669,-0.0322059,-0.0331824,-0.0330098,-0.0328371,-0.0326645,-0.0324989,-0.0323379,-0.0321769
