gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
54,6.01186,4.30432,4.30432,4.30432,4.30432,4.30432,4.26677,4.26677,4.26677,4.26677,4.26677,4.22254,4.22254,4.22254,4.22254,4.22254,4.17351,4.17351,4.17351,4.17351,4.17351,4.12289,4.12289,4.12289,4.12289,4.12289
55,6.23493,4.50011,4.50011,4.50011,4.50011,4.50011,4.46287,4.46287,4.46287,4.46287,4.46287,4.41893,4.41893,4.41893,4.41893,4.41893,4.37027,4.37027,4.37027,4.37027,4.37027,4.32028,4.32028,4.32028,4.32028,4.32028
56,6.46452,4.70204,4.70204,4.70204,4.70204,4.70204,4.66514,4.66514,4.66514,4.66514,4.66514,4.6215,4.6215,4.6215,4.6215,4.6215,4.57308,4.57308,4.57308,4.57308,4.57308,4.52327,4.52327,4.52327,4.52327,4.52327
57,6.70085,4.91006,4.91006,4.91006,4.91006,4.91006,4.87357,4.87357,4.87357,4.87357,4.87357,4.83039,4.83039,4.83039,4.83039,4.83039,4.78243,4.78243,4.78243,4.78243,4.78243,4.73297,4.73297,4.73297,4.73297,4.73297
58,6.94411,5.12437,5.12437,5.12437,5.12437,5.12437,5.08836,5.08836,5.08836,5.08836,5.08836,5.04581,5.04581,5.04581,5.04581,5.04581,4.99852,4.99852,4.99852,4.99852,4.99852,4.94957,4.94957,4.94957,4.94957,4.94957
59,7.19449,5.34542,5.34542,5.34542,5.34542,5.34542,5.30966,5.30966,5.30966,5.30966,5.30966,5.26754,5.26754,5.26754,5.26754,5.26754,5.2209,5.2209,5.2209,5.2209,5.2209,5.17273,5.17273,5.17273,5.17273,5.17273
60,7.45221,5.57359,5.57359,5.57359,5.57359,5.57359,5.53794,5.53794,5.53794,5.53794,5.53794,5.4959,5.4959,5.4959,5.4959,5.4959,5.4494,5.4494,5.4494,5.4494,5.4494,5.40158,5.40158,5.40158,5.40158,5.40158
61,7.71748,5.80899,5.80899,5.80899,5.80899,5.80899,5.77353,5.77353,5.77353,5.77353,5.77353,5.7316,5.7316,5.7316,5.7316,5.7316,5.6851,5.6851,5.6851,5.6851,5.6851,5.63727,5.63727,5.63727,5.63727,5.63727
62,7.99052,6.05161,6.05161,6.05161,6.05161,6.05161,6.01648,6.01648,6.01648,6.01648,6.01648,5.97485,5.97485,5.97485,5.97485,5.97485,5.92864,5.92864,5.92864,5.92864,5.92864,5.88107,5.88107,5.88107,5.88107,5.88107
63,8.27157,6.30145,6.30145,6.30145,6.30145,6.30145,6.26673,6.26673,6.26673,6.26673,6.26673,6.2256,6.2256,6.2256,6.2256,6.2256,6.17988,6.17988,6.17988,6.17988,6.17988,6.1328,6.1328,6.1328,6.1328,6.1328
64,8.56085,6.55863,6.55863,6.55863,6.55863,6.55863,6.52426,6.52426,6.52426,6.52426,6.52426,6.48362,6.48362,6.48362,6.48362,6.48362,6.43847,6.43847,6.43847,6.43847,6.43847,6.39197,6.39197,6.39197,6.39197,6.39197
65,8.85861,6.82357,6.82357,6.82357,6.82357,6.82357,6.78949,6.78949,6.78949,6.78949,6.78949,6.74929,6.74929,6.74929,6.74929,6.74929,6.70458,6.70458,6.70458,6.70458,6.70458,6.65837,6.65837,6.65837,6.65837,6.65837
66,9.16509,7.09668,7.09668,7.09668,7.09668,7.09668,7.06277,7.06277,7.06277,7.06277,7.06277,7.0229,7.0229,7.0229,7.0229,7.0229,6.97865,6.97865,6.97865,6.97865,6.97865,6.93276,6.93276,6.93276,6.93276,6.93276
67,9.48056,7.3784,7.3784,7.3784,7.3784,7.3784,7.34454,7.34454,7.34454,7.34454,7.34454,7.30472,7.30472,7.30472,7.30472,7.30472,7.26062,7.26062,7.26062,7.26062,7.26062,7.21512,7.21512,7.21512,7.21512,7.21512
68,9.80527,7.66872,7.66872,7.66872,7.66872,7.66872,7.6351,7.6351,7.6351,7.6351,7.6351,7.59546,7.59546,7.59546,7.59546,7.59546,7.55153,7.55153,7.55153,7.55153,7.55153,7.50632,7.50632,7.50632,7.50632,7.50632
69,10.1395,7.96777,7.96777,7.96777,7.96777,7.96777,7.93446,7.93446,7.93446,7.93446,7.93446,7.89512,7.89512,7.89512,7.89512,7.89512,7.85152,7.85152,7.85152,7.85152,7.85152,7.80675,7.80675,7.80675,7.80675,7.80675
70,10.4835,8.27603,8.27603,8.27603,8.27603,8.27603,8.243,8.243,8.243,8.243,8.243,8.20391,8.20391,8.20391,8.20391,8.20391,8.16048,8.16048,8.16048,8.16048,8.16048,8.11586,8.11586,8.11586,8.11586,8.11586
71,10.8376,8.59387,8.59387,8.59387,8.59387,8.59387,8.56106,8.56106,8.56106,8.56106,8.56106,8.52225,8.52225,8.52225,8.52225,8.52225,8.47901,8.47901,8.47901,8.47901,8.47901,8.43439,8.43439,8.43439,8.43439,8.43439
72,11.2021,8.92137,8.92137,8.92137,8.92137,8.92137,8.88885,8.88885,8.88885,8.88885,8.88885,8.85033,8.85033,8.85033,8.85033,8.85033,8.8074,8.8074,8.8074,8.8074,8.8074,8.76303,8.76303,8.76303,8.76303,8.76303
73,11.5773,9.25861,9.25861,9.25861,9.25861,9.25861,9.22647,9.22647,9.22647,9.22647,9.22647,9.18836,9.18836,9.18836,9.18836,9.18836,9.14582,9.14582,9.14582,9.14582,9.14582,9.10184,9.10184,9.10184,9.10184,9.10184
74,11.9634,9.60552,9.60552,9.60552,9.60552,9.60552,9.57375,9.57375,9.57375,9.57375,9.57375,9.5361,9.5361,9.5361,9.5361,9.5361,9.49409,9.49409,9.49409,9.49409,9.49409,9.45053,9.45053,9.45053,9.45053,9.45053
75,12.3609,9.96283,9.96283,9.96283,9.96283,9.96283,9.93106,9.93106,9.93106,9.93106,9.93106,9.89355,9.89355,9.89355,9.89355,9.89355,9.85188,9.85188,9.85188,9.85188,9.85188,9.80888,9.80888,9.80888,9.80888,9.80888
76,12.77,10.3314,10.3314,10.3314,10.3314,10.3314,10.2995,10.2995,10.2995,10.2995,10.2995,10.2619,10.2619,10.2619,10.2619,10.2619,10.2203,10.2203,10.2203,10.2203,10.2203,10.1776,10.1776,10.1776,10.1776,10.1776
77,13.1911,10.7111,10.7111,10.7111,10.7111,10.7111,10.6794,10.6794,10.6794,10.6794,10.6794,10.6417,10.6417,10.6417,10.6417,10.6417,10.6,10.6,10.6,10.6,10.6,10.5572,10.5572,10.5572,10.5572,10.5572
78,13.6246,11.1021,11.1021,11.1021,11.1021,11.1021,11.0705,11.0705,11.0705,11.0705,11.0705,11.033,11.033,11.033,11.033,11.033,10.9914,10.9914,10.9914,10.9914,10.9914,10.9486,10.9486,10.9486,10.9486,10.9486
