gridnumber,capital,Portfolio[0 0],Portfolio[1 0],Portfolio[2 0],Portfolio[3 0],Portfolio[4 0],Portfolio[5 0],Portfolio[6 0],Portfolio[0 1],Portfolio[1 1],Portfolio[2 1],Portfolio[3 1],Portfolio[4 1],Portfolio[5 1],Portfolio[6 1],Portfolio[0 2],Portfolio[1 2],Portfolio[2 2],Portfolio[3 2],Portfolio[4 2],Portfolio[5 2],Portfolio[6 2],Portfolio[0 3],Portfolio[1 3],Portfolio[2 3],Portfolio[3 3],Portfolio[4 3],Portfolio[5 3],Portfolio[6 3],Portfolio[0 4],Portfolio[1 4],Portfolio[2 4],Portfolio[3 4],Portfolio[4 4],Portfolio[5 4],Portfolio[6 4],Portfolio[0 5],Portfolio[1 5],Portfolio[2 5],Portfolio[3 5],Portfolio[4 5],Portfolio[5 5],Portfolio[6 5],Portfolio[0 6],Portfolio[1 6],Portfolio[2 6],Portfolio[3 6],Portfolio[4 6],Portfolio[5 6],Portfolio[6 6]
26,0.558661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.09,0.1,0.1,0.1,0.1,0.09,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.17,0.21,0.19,0.16,0.15,0.15,0.15
27,0.58367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.09,0.1,0.11,0.11,0.11,0.1,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.21,0.22,0.22,0.22,0.22,0.22,0.21
28,0.608968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.18,0.19,0.22,0.22,0.22,0.22,0.21
29,0.634559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.11,0.11,0.11,0.1,0.1,0.1,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.19,0.22,0.22,0.22,0.22,0.18,0.16
30,0.660447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.11,0.11,0.11,0.1,0.1,0.09,0.14,0.15,0.15,0.14,0.14,0.13,0.13,0.22,0.22,0.22,0.22,0.21,0.18,0.15
31,0.686635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.13,0.13,0.13,0.13,0.11,0.11,0.11,0.21,0.21,0.2,0.16,0.15,0.13,0.13
32,0.713126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.09,0.07,0.06,0.06,0.05,0.05,0.13,0.12,0.11,0.1,0.1,0.09,0.09,0.22,0.15,0.13,0.11,0.11,0.1,0.1
33,0.739924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.09,0.09,0.08,0.14,0.14,0.13,0.13,0.12,0.11,0.11,0.21,0.21,0.19,0.18,0.15,0.13,0.13
34,0.767033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.22,0.22,0.22,0.21,0.19,0.19,0.18
35,0.794456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.2,0.21,0.21,0.21,0.2,0.19,0.18
