gridnumber,capital,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6]
199,14.2348,13.5939,13.727,13.8602,13.9933,14.1263,14.2594,14.3924
200,14.4183,13.7696,13.9045,14.0394,14.1742,14.3089,14.4437,14.5784
201,14.6039,13.9474,14.0841,14.2206,14.3572,14.4937,14.6301,14.7666
202,14.7916,14.1273,14.2657,14.404,14.5423,14.6805,14.8188,14.957
203,14.9815,14.3092,14.4494,14.5895,14.7295,14.8696,15.0096,15.1496
204,15.1736,14.4933,14.6352,14.7771,14.919,15.0608,15.2026,15.3444
205,15.3679,14.6795,14.8232,14.9669,15.1106,15.2542,15.3979,15.5414
206,15.5645,14.8678,15.0134,15.1589,15.3045,15.4499,15.5954,15.7408
207,15.7633,15.0583,15.2058,15.3532,15.5005,15.6479,15.7952,15.9425
208,15.9645,15.2511,15.4004,15.5497,15.6989,15.8481,15.9973,16.1465
209,16.168,15.446,15.5973,15.7484,15.8996,16.0507,16.2018,16.3528
210,16.3738,15.6432,15.7964,15.9495,16.1026,16.2556,16.4086,16.5616
211,16.5821,15.8427,15.9978,16.1529,16.3079,16.4629,16.6178,16.7727
212,16.7927,16.0446,16.2016,16.3586,16.5156,16.6726,16.8295,16.9864
213,17.0058,16.2487,16.4078,16.5668,16.7258,16.8847,17.0436,17.2024
214,17.2213,16.4552,16.6163,16.7773,16.9383,17.0993,17.2602,17.421
215,17.4394,16.6641,16.8273,16.9903,17.1533,17.3163,17.4792,17.6422
216,17.66,16.8755,17.0407,17.2058,17.3708,17.5359,17.7009,17.8659
217,17.8831,17.0893,17.2565,17.4237,17.5909,17.758,17.9251,18.0921
218,18.1088,17.3055,17.4749,17.6442,17.8135,17.9827,18.1519,18.321
219,18.3372,17.5243,17.6958,17.8672,18.0386,18.21,18.3813,18.5526
220,18.5681,17.7456,17.9192,18.0928,18.2664,18.4399,18.6134,18.7868
221,18.8018,17.9694,18.1453,18.3211,18.4968,18.6725,18.8482,19.0238
222,19.0381,18.1959,18.374,18.5519,18.7299,18.9078,19.0856,19.2635
223,19.2772,18.425,18.6053,18.7855,18.9657,19.1458,19.3259,19.506
224,19.5191,18.6567,18.8393,19.0217,19.2042,19.3866,19.5689,19.7512
225,19.7638,18.8911,19.076,19.2607,19.4454,19.6301,19.8148,19.9994
226,20.0113,19.1283,19.3154,19.5025,19.6895,19.8765,20.0634,20.2504
227,20.2617,19.3681,19.5576,19.747,19.9364,20.1257,20.315,20.5043
228,20.5149,19.6108,19.8027,19.9944,20.1862,20.3779,20.5695,20.7611
229,20.7711,19.8563,20.0505,20.2447,20.4388,20.6329,20.8269,21.0209
230,21.0303,20.1046,20.3013,20.4979,20.6944,20.8909,21.0873,21.2838
231,21.2925,20.3558,20.5549,20.7539,20.9529,21.1519,21.3508,21.5497
232,21.5577,20.6099,20.8115,21.013,21.2145,21.4159,21.6173,21.8186
233,21.826,20.8669,21.071,21.2751,21.479,21.683,21.8868,22.0907
234,22.0974,21.127,21.3336,21.5402,21.7467,21.9531,22.1595,22.3659
235,22.3719,21.39,21.5992,21.8083,22.0174,22.2264,22.4354,22.6443
236,22.6496,21.6561,21.8679,22.0796,22.2913,22.5029,22.7144,22.926
237,22.9306,21.9253,22.1397,22.354,22.5683,22.7825,22.9967,23.2109
238,23.2148,22.1975,22.4146,22.6316,22.8485,23.0654,23.2823,23.4991
239,23.5023,22.473,22.6927,22.9124,23.132,23.3516,23.5711,23.7906
240,23.7931,22.7516,22.9741,23.1965,23.4188,23.6411,23.8633,24.0856
241,24.0873,23.0335,23.2587,23.4838,23.7089,23.934,24.1589,24.3839
