gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[0 3],dist[0 4],dist[1 0],dist[1 1],dist[1 2],dist[1 3],dist[1 4],dist[2 0],dist[2 1],dist[2 2],dist[2 3],dist[2 4],dist[3 0],dist[3 1],dist[3 2],dist[3 3],dist[3 4],dist[4 0],dist[4 1],dist[4 2],dist[4 3],dist[4 4]
32,2.43204,0.000315888,0.00114298,0.0018106,0.00114298,0.000315888,0.00106064,0.00383773,0.00607934,0.00383773,0.00106064,0.00144499,0.00522844,0.00828237,0.00522844,0.00144499,0.000730868,0.00264452,0.00418918,0.00264452,0.000730868,0.000141745,0.000512881,0.000812454,0.000512881,0.000141745
33,2.5502,0.000302875,0.0010959,0.00173602,0.0010959,0.000302875,0.00108782,0.0039361,0.00623517,0.0039361,0.00108782,0.00157919,0.00571403,0.00905159,0.00571403,0.00157919,0.00084444,0.00305546,0.00484016,0.00305546,0.00084444,0.000173107,0.000626357,0.000992212,0.000626357,0.000173107
34,2.67182,0.000286749,0.00103755,0.00164358,0.00103755,0.000286749,0.00108982,0.00394334,0.00624664,0.00394334,0.00108982,0.00166284,0.0060167,0.00953105,0.0060167,0.00166284,0.000924088,0.00334365,0.00529668,0.00334365,0.000924088,0.000196708,0.000711755,0.00112749,0.000711755,0.000196708
35,2.797,0.000259584,0.00093926,0.00148788,0.00093926,0.000259584,0.00101252,0.00366365,0.00580358,0.00366365,0.00101252,0.00160861,0.00582047,0.0092202,0.00582047,0.00160861,0.000958446,0.00346797,0.00549361,0.00346797,0.000958446,0.000223991,0.000810474,0.00128387,0.000810474,0.000223991
36,2.92586,0.00023123,0.000836666,0.00132536,0.000836666,0.00023123,0.000950713,0.00343999,0.00544929,0.00343999,0.000950713,0.0016007,0.00579185,0.00917486,0.00579185,0.0016007,0.00100912,0.00365134,0.00578409,0.00365134,0.00100912,0.000247908,0.000897012,0.00142096,0.000897012,0.000247908
37,3.05848,0.000206977,0.00074891,0.00118635,0.00074891,0.000206977,0.000879174,0.00318114,0.00503924,0.00318114,0.000879174,0.00152406,0.00551453,0.00873557,0.00551453,0.00152406,0.000993611,0.00359521,0.00569517,0.00359521,0.000993611,0.000258317,0.000934676,0.00148062,0.000934676,0.000258317
38,3.195,0.000172138,0.000622851,0.000986659,0.000622851,0.000172138,0.000769614,0.00278472,0.00441127,0.00278472,0.000769614,0.00141947,0.0051361,0.0081361,0.0051361,0.00141947,0.000992302,0.00359047,0.00568767,0.00359047,0.000992302,0.000276705,0.00100121,0.00158601,0.00100121,0.000276705
39,3.33551,0.000145639,0.000526969,0.000834772,0.000526969,0.000145639,0.000675149,0.00244291,0.00386981,0.00244291,0.000675149,0.00129448,0.00468384,0.00741967,0.00468384,0.00129448,0.000941502,0.00340666,0.00539649,0.00340666,0.000941502,0.000274439,0.000993011,0.00157303,0.000993011,0.000274439
40,3.48015,0.00012004,0.000434343,0.000688042,0.000434343,0.00012004,0.000591842,0.00214148,0.00339231,0.00214148,0.000591842,0.00120475,0.00435917,0.00690536,0.00435917,0.00120475,0.000930172,0.00336567,0.00533155,0.00336567,0.000930172,0.00028879,0.00104494,0.00165528,0.00104494,0.00028879
41,3.62902,9.82311e-005,0.000355432,0.00056304,0.000355432,9.82311e-005,0.00050433,0.00182483,0.00289071,0.00182483,0.00050433,0.00107356,0.00388449,0.00615342,0.00388449,0.00107356,0.000868182,0.00314137,0.00497624,0.00314137,0.000868182,0.000282319,0.00102152,0.0016182,0.00102152,0.000282319
42,3.78225,7.87225e-005,0.000284844,0.000451221,0.000284844,7.87225e-005,0.000412556,0.00149276,0.00236468,0.00149276,0.000412556,0.000899824,0.00325586,0.0051576,0.00325586,0.000899824,0.000753027,0.0027247,0.00431619,0.0027247,0.000753027,0.000256504,0.000928114,0.00147023,0.000928114,0.000256504
43,3.93998,6.22025e-005,0.000225069,0.000356532,0.000225069,6.22025e-005,0.000334268,0.00120949,0.00191596,0.00120949,0.000334268,0.00075734,0.0027403,0.00434092,0.0027403,0.00075734,0.000666578,0.0024119,0.00382068,0.0024119,0.000666578,0.000240801,0.000871298,0.00138022,0.000871298,0.000240801
44,4.10232,4.92619e-005,0.000178246,0.000282359,0.000178246,4.92619e-005,0.000274398,0.000992862,0.00157279,0.000992862,0.000274398,0.000648224,0.00234549,0.00371548,0.00234549,0.000648224,0.000598306,0.00216487,0.00342937,0.00216487,0.000598306,0.00022758,0.00082346,0.00130444,0.00082346,0.00022758
45,4.26943,3.78898e-005,0.000137098,0.000217176,0.000137098,3.78898e-005,0.000220671,0.000798458,0.00126484,0.000798458,0.000220671,0.000547389,0.00198063,0.00313752,0.00198063,0.000547389,0.000529055,0.00191429,0.00303243,0.00191429,0.000529055,0.000208832,0.000755622,0.00119698,0.000755622,0.000208832
