gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[0 7],policy[0 8],policy[0 9],policy[0 10],policy[0 11],policy[0 12],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[1 7],policy[1 8],policy[1 9],policy[1 10],policy[1 11],policy[1 12],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[2 7],policy[2 8],policy[2 9],policy[2 10],policy[2 11],policy[2 12],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[3 7],policy[3 8],policy[3 9],policy[3 10],policy[3 11],policy[3 12],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[4 7],policy[4 8],policy[4 9],policy[4 10],policy[4 11],policy[4 12],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[5 7],policy[5 8],policy[5 9],policy[5 10],policy[5 11],policy[5 12],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6],policy[6 7],policy[6 8],policy[6 9],policy[6 10],policy[6 11],policy[6 12]
10,0.195332,0.0460649,0.0638502,0.082596,0.121282,0.167903,0.222513,0.287675,0.0492794,0.0651207,0.0854405,0.124014,0.169598,0.223127,0.287992,0.0524938,0.0663912,0.088285,0.126747,0.171292,0.223741,0.288309,0.0557083,0.0676618,0.0911295,0.129479,0.172987,0.224356,0.288627,0.0572866,0.0689323,0.093974,0.132211,0.174681,0.22497,0.288944,0.058529,0.0702028,0.0966466,0.135371,0.203096,0.225584,0.289261,0.0597714,0.0714733,0.099242,0.140082,0.205743,0.226198,0.289578,0.0610139,0.0727438,0.101837,0.144793,0.20839,0.226813,0.289896,0.0622563,0.0740143,0.104433,0.149503,0.211037,0.227427,0.290213,0.0634987,0.0752849,0.107028,0.154214,0.213684,0.228041,0.29053,0.0647411,0.0779725,0.109624,0.155975,0.216174,0.228655,0.290848,0.0659835,0.0808631,0.112219,0.157584,0.216744,0.22927,0.291165,0.0672259,0.0837536,0.114818,0.159193,0.217313,0.229884,0.291482
11,0.216131,0.0626999,0.074468,0.10536,0.151186,0.213152,0.227918,0.290467,0.0632498,0.0750304,0.106508,0.153271,0.214128,0.228144,0.290584,0.0637997,0.0757823,0.107657,0.154756,0.215105,0.228371,0.290701,0.0643496,0.0770617,0.108806,0.155468,0.216081,0.228597,0.290818,0.0648995,0.078341,0.109955,0.15618,0.216331,0.228824,0.290935,0.0654494,0.0796204,0.111103,0.156892,0.216541,0.229051,0.291052,0.0659993,0.0808997,0.112252,0.157604,0.216751,0.229277,0.291169,0.0665492,0.0821791,0.113401,0.158316,0.216961,0.229504,0.291286,0.0670991,0.0834584,0.11455,0.159028,0.217171,0.22973,0.291403,0.067649,0.0847378,0.11571,0.15974,0.217381,0.229957,0.29152,0.0681989,0.0860171,0.11687,0.160452,0.217591,0.230183,0.291637,0.0687488,0.0872965,0.11803,0.161164,0.217801,0.23041,0.291754,0.0692987,0.0885758,0.119191,0.161877,0.218011,0.230637,0.291871
12,0.237172,0.070492,0.0885476,0.116622,0.159519,0.217705,0.230307,0.291701,0.0707937,0.0897175,0.118107,0.160561,0.218028,0.230655,0.291881,0.0710954,0.0908874,0.119592,0.161603,0.21835,0.231003,0.29206,0.0713971,0.0920573,0.121077,0.162645,0.218673,0.231351,0.29224,0.0716989,0.0932272,0.122563,0.163687,0.218996,0.231699,0.29242,0.0720006,0.0943971,0.124048,0.164728,0.219319,0.232047,0.2926,0.0723023,0.0954697,0.125533,0.16577,0.219641,0.232395,0.29278,0.072604,0.0964798,0.127018,0.166812,0.219964,0.232743,0.292959,0.0729057,0.0974899,0.128503,0.167854,0.220287,0.233091,0.293139,0.0732075,0.0985,0.129988,0.168896,0.220609,0.233439,0.293319,0.0735092,0.09951,0.131474,0.169937,0.220932,0.233787,0.293499,0.0738109,0.10052,0.132959,0.170979,0.221255,0.234135,0.293679,0.0741126,0.10153,0.134551,0.172021,0.221577,0.234483,0.293858
13,0.258456,0.0721096,0.0963993,0.126506,0.166367,0.219853,0.233273,0.293233,0.0732056,0.0983806,0.128587,0.167644,0.220305,0.233652,0.293429,0.0743015,0.100362,0.130668,0.168921,0.220757,0.234031,0.293625,0.0753975,0.102343,0.132749,0.170198,0.221209,0.234411,0.293821,0.077907,0.104325,0.135386,0.171476,0.221661,0.23479,0.294017,0.0804792,0.106306,0.139894,0.172753,0.222113,0.235169,0.294213,0.0830513,0.108287,0.144401,0.17403,0.222565,0.235548,0.294409,0.0856235,0.110268,0.148908,0.204472,0.223017,0.235928,0.294605,0.0881957,0.11225,0.153415,0.206576,0.223469,0.236307,0.2948,0.0907678,0.114231,0.155391,0.208679,0.223922,0.236686,0.294996,0.09334,0.116199,0.156617,0.210783,0.224374,0.237066,0.295192,0.0957235,0.118164,0.157844,0.212886,0.224826,0.285939,0.295388,0.0978368,0.12013,0.15907,0.21499,0.225278,0.286093,0.295584
14,0.279986,0.0975832,0.12118,0.159725,0.216113,0.225519,0.229237,0.291148,0.0975833,0.12118,0.159725,0.216113,0.225519,0.230822,0.291967,0.0975833,0.12118,0.159725,0.216113,0.225519,0.232407,0.292786,0.0975833,0.12118,0.159725,0.216113,0.225519,0.233992,0.293604,0.0975834,0.12118,0.159725,0.216113,0.225519,0.235576,0.294423,0.0975834,0.12118,0.159725,0.216113,0.225519,0.237161,0.295242,0.0975834,0.12118,0.159725,0.216113,0.225519,0.286468,0.29606,0.0975835,0.12118,0.159725,0.216114,0.225519,0.287114,0.296879,0.0975835,0.12118,0.159725,0.216114,0.225519,0.287759,0.297698,0.0975835,0.12118,0.159725,0.216114,0.225519,0.288404,0.298517,0.0975836,0.12118,0.159725,0.216114,0.225519,0.28905,0.299335,0.0975836,0.12118,0.159725,0.216114,0.225519,0.289695,0.300154,0.0975837,0.12118,0.159725,0.216114,0.225519,0.29034,0.300973
15,0.301766,0.0747842,0.100452,0.130763,0.168979,0.225347,0.286697,0.296351,0.0805024,0.106107,0.139441,0.172625,0.225875,0.286877,0.29658,0.0871094,0.111762,0.152305,0.206057,0.226403,0.287058,0.296808,0.0937163,0.117393,0.157363,0.212061,0.226931,0.287238,0.297037,0.0993477,0.123004,0.160863,0.216528,0.227459,0.287418,0.297266,0.104776,0.128614,0.164362,0.217761,0.227986,0.287599,0.297495,0.110204,0.134224,0.167862,0.218993,0.228514,0.287779,0.297723,0.115589,0.150505,0.171362,0.220226,0.229042,0.287959,0.297952,0.120808,0.157045,0.206662,0.221458,0.22957,0.28814,0.298181,0.126028,0.160458,0.212664,0.222691,0.230098,0.28832,0.29841,0.131247,0.163871,0.216642,0.223923,0.230626,0.2885,0.298638,0.143917,0.167284,0.217852,0.225156,0.231154,0.288681,0.298867,0.156325,0.170697,0.219061,0.226388,0.231681,0.288861,0.299096
16,0.323799,0.119524,0.156205,0.174,0.221155,0.230405,0.28861,0.298777,0.120033,0.156538,0.174342,0.221275,0.230594,0.288693,0.298883,0.120542,0.156871,0.174683,0.221395,0.230783,0.288776,0.298988,0.121051,0.157204,0.206941,0.221516,0.230972,0.288859,0.299093,0.12156,0.157536,0.207526,0.221636,0.23116,0.288942,0.299198,0.12207,0.157869,0.208112,0.221756,0.231349,0.289024,0.299304,0.122579,0.158202,0.208698,0.221876,0.231538,0.289107,0.299409,0.123088,0.158535,0.209283,0.221997,0.231727,0.28919,0.299514,0.123597,0.158868,0.209869,0.222117,0.231916,0.289273,0.299619,0.124106,0.159201,0.210454,0.222237,0.232104,0.289356,0.299724,0.124615,0.159534,0.21104,0.222357,0.232293,0.289439,0.29983,0.125125,0.159867,0.211626,0.222477,0.232482,0.289522,0.299935,0.125634,0.1602,0.212211,0.222598,0.232671,0.289605,0.30004
17,0.346087,0.120281,0.158833,0.209806,0.221334,0.23097,0.287264,0.29707,0.12273,0.160078,0.211997,0.221912,0.231575,0.287796,0.297745,0.125179,0.161324,0.214187,0.22249,0.23218,0.288328,0.29842,0.127628,0.162569,0.216181,0.223069,0.232786,0.28886,0.299094,0.130076,0.163815,0.216622,0.223647,0.233391,0.289391,0.299769,0.132525,0.16506,0.217064,0.224225,0.233997,0.289923,0.300444,0.137165,0.166305,0.217505,0.224803,0.234602,0.290455,0.301118,0.148243,0.167551,0.217946,0.225382,0.235207,0.290987,0.44425,0.155146,0.168796,0.218388,0.22596,0.235813,0.291518,0.446363,0.156738,0.170042,0.218829,0.226538,0.236418,0.29205,0.448475,0.15833,0.171287,0.21927,0.227116,0.237023,0.292582,0.450588,0.159922,0.172533,0.219712,0.227695,0.285079,0.293114,0.452701,0.161514,0.173778,0.220153,0.228273,0.285281,0.293645,0.454813
18,0.368632,0.133588,0.165401,0.217185,0.224476,0.234259,0.290303,0.300925,0.141382,0.166917,0.217722,0.225023,0.234832,0.290554,0.301244,0.15187,0.168434,0.218259,0.225571,0.235406,0.290806,0.301564,0.155583,0.16995,0.218796,0.226118,0.235979,0.291058,0.444533,0.15709,0.171466,0.219333,0.226666,0.236552,0.291309,0.445533,0.158597,0.172982,0.219871,0.227213,0.237125,0.291561,0.446533,0.160105,0.174498,0.220408,0.227761,0.285102,0.291813,0.447533,0.161612,0.211375,0.220945,0.228308,0.285294,0.292065,0.448533,0.163119,0.214032,0.221482,0.228856,0.285485,0.292316,0.449533,0.164627,0.216244,0.22202,0.229403,0.285677,0.292568,0.450534,0.166134,0.216782,0.222557,0.229951,0.285869,0.29282,0.451534,0.167641,0.21732,0.223094,0.230498,0.28606,0.293072,0.452534,0.169149,0.217858,0.223631,0.231046,0.286252,0.293323,0.453534
19,0.391439,0.162337,0.210538,0.170326,0.219861,0.218485,0.231147,0.292135,0.163337,0.212655,0.20773,0.221678,0.222212,0.235169,0.294212,0.164337,0.214771,0.216221,0.223494,0.22594,0.286649,0.29629,0.165338,0.216284,0.218004,0.225311,0.229668,0.288286,0.298367,0.166338,0.216713,0.219787,0.227128,0.233396,0.289923,0.300444,0.167339,0.217141,0.221569,0.228945,0.237124,0.291561,0.446531,0.168339,0.217569,0.223352,0.230761,0.286156,0.293198,0.453036,0.169339,0.217998,0.225135,0.232578,0.287403,0.294835,0.45954,0.17034,0.218426,0.226917,0.234395,0.288649,0.296472,0.530351,0.17134,0.218855,0.2287,0.236212,0.289896,0.29811,0.538774,0.172341,0.219283,0.230483,0.283914,0.291143,0.299747,0.548026,0.173341,0.219711,0.232265,0.28437,0.292389,0.301384,0.557278,0.174341,0.22014,0.234048,0.284826,0.293636,0.531573,0.599664
20,0.414511,0.171586,0.218728,0.2245,0.230086,0.285916,0.292882,0.451781,0.172434,0.21903,0.224802,0.230702,0.286132,0.293165,0.452906,0.173281,0.219332,0.225104,0.231318,0.286347,0.293448,0.45403,0.174129,0.219635,0.225406,0.231933,0.286563,0.293731,0.455155,0.211866,0.219937,0.225708,0.232549,0.286778,0.294014,0.45628,0.213346,0.22024,0.22601,0.233165,0.286994,0.294297,0.457404,0.214827,0.220542,0.226312,0.23378,0.287209,0.294581,0.458529,0.216168,0.220844,0.226614,0.234396,0.287425,0.294864,0.459653,0.216474,0.221147,0.226916,0.235011,0.28764,0.295147,0.460778,0.216781,0.221449,0.227218,0.235627,0.287856,0.29543,0.525564,0.217087,0.221752,0.22752,0.236243,0.288071,0.295713,0.526864,0.217394,0.222054,0.227822,0.236858,0.288287,0.295996,0.528163,0.2177,0.222356,0.228124,0.283775,0.288502,0.296279,0.529463
21,0.437849,0.218422,0.223069,0.228836,0.236351,0.288109,0.295762,0.527092,0.218503,0.223149,0.228916,0.236432,0.288137,0.2958,0.527263,0.218584,0.223229,0.228996,0.236513,0.288166,0.295837,0.527435,0.218665,0.223309,0.229076,0.236595,0.288194,0.295875,0.527606,0.218746,0.223389,0.229155,0.236676,0.288223,0.295912,0.527778,0.218827,0.223469,0.229235,0.236757,0.288251,0.295949,0.52795,0.218908,0.223549,0.229315,0.236838,0.28828,0.295987,0.528121,0.218989,0.223628,0.229395,0.23692,0.288308,0.296024,0.528293,0.21907,0.223708,0.229475,0.237001,0.288337,0.296061,0.528464,0.219151,0.223788,0.229554,0.237082,0.288365,0.296099,0.528636,0.219232,0.223868,0.229634,0.237164,0.288394,0.296136,0.528808,0.219313,0.223948,0.229714,0.283718,0.288422,0.296174,0.528979,0.219394,0.224028,0.229794,0.283738,0.28845,0.296211,0.529151
22,0.461458,0.127302,0.161291,0.21413,0.222992,0.232705,0.28962,0.300059,0.154757,0.16912,0.218502,0.225819,0.235665,0.29092,0.301708,0.162541,0.213012,0.221276,0.228646,0.285412,0.29222,0.44915,0.170324,0.218277,0.22405,0.231473,0.286401,0.29352,0.454314,0.216381,0.221055,0.226824,0.2343,0.287391,0.29482,0.459478,0.219195,0.223832,0.229598,0.237127,0.288381,0.296119,0.52873,0.22201,0.226609,0.232372,0.284397,0.28937,0.297419,0.534873,0.224824,0.229387,0.235146,0.285106,0.29036,0.298719,0.542218,0.227638,0.232164,0.282478,0.285815,0.29135,0.300019,0.549564,0.230453,0.234941,0.28293,0.286524,0.292339,0.301319,0.556909,0.233267,0.281183,0.283383,0.287233,0.293329,0.529823,0.593092,0.236082,0.281412,0.283836,0.287943,0.294319,0.535778,0.610451,0.281279,0.28164,0.284289,0.288652,0.295308,0.542551,0.616343
23,0.485341,0.221884,0.226486,0.232249,0.284366,0.20692,0.226472,0.28972,0.222423,0.227017,0.232779,0.284501,0.220753,0.233594,0.293399,0.222961,0.227548,0.23331,0.284637,0.227356,0.287271,0.297078,0.223499,0.228079,0.23384,0.284773,0.233959,0.290171,0.300758,0.224037,0.22861,0.234371,0.284908,0.286059,0.293071,0.45253,0.224575,0.229141,0.234901,0.285044,0.288267,0.295971,0.528047,0.225114,0.229672,0.235431,0.285179,0.290475,0.298871,0.543074,0.225652,0.230203,0.235962,0.285315,0.292683,0.459346,0.567249,0.22619,0.230735,0.236492,0.28545,0.294891,0.539696,0.613859,0.226728,0.231266,0.237023,0.285586,0.297099,0.554807,0.627005,0.227266,0.231797,0.282418,0.285722,0.299307,0.611452,0.70049,0.227805,0.232328,0.282504,0.285857,0.301515,0.622835,0.708877,0.228343,0.232859,0.282591,0.285993,0.613605,0.634218,0.773168
24,0.5095,0.2198,0.224429,0.230194,0.236601,0.236863,0.287536,0.297416,0.221212,0.225823,0.231586,0.28396,0.285949,0.289667,0.300119,0.222625,0.227216,0.232978,0.284363,0.287074,0.291798,0.447476,0.224037,0.22861,0.234371,0.284766,0.2882,0.29393,0.455942,0.22545,0.230004,0.235763,0.285169,0.289326,0.296061,0.52846,0.226862,0.231398,0.237155,0.285573,0.290452,0.298192,0.539238,0.228275,0.232792,0.28258,0.285976,0.291578,0.300323,0.55128,0.229687,0.234186,0.282807,0.286379,0.292703,0.529105,0.590399,0.2311,0.235579,0.283034,0.286783,0.293829,0.539249,0.613471,0.232512,0.236973,0.283262,0.287186,0.294955,0.550354,0.62313,0.233925,0.281236,0.283489,0.287589,0.296081,0.588621,0.63279,0.235337,0.281351,0.283716,0.287992,0.297207,0.613444,0.701957,0.236749,0.281466,0.283943,0.288396,0.298333,0.621809,0.708121
25,0.533939,0.231457,0.157221,0.206971,0.221522,0.292693,0.459388,0.567984,0.231457,0.170122,0.218857,0.226181,0.292693,0.459388,0.567985,0.231457,0.217655,0.223429,0.23084,0.292693,0.459388,0.567985,0.231457,0.222232,0.228,0.235498,0.292693,0.459388,0.567985,0.231457,0.226809,0.232572,0.284448,0.292693,0.459388,0.567985,0.231457,0.231386,0.237143,0.285617,0.292693,0.459388,0.567985,0.231457,0.235963,0.283097,0.286785,0.292693,0.459388,0.567986,0.231457,0.281415,0.283843,0.287954,0.292693,0.459388,0.567986,0.231457,0.281792,0.284589,0.289122,0.292693,0.459388,0.567986,0.231457,0.282169,0.285335,0.290291,0.292693,0.459388,0.567986,0.231457,0.282546,0.286081,0.291459,0.292693,0.459388,0.567986,0.231457,0.282923,0.286827,0.292628,0.292693,0.459388,0.567987,0.231457,0.2833,0.287573,0.293796,0.292693,0.459388,0.567987
26,0.558661,0.0593127,0.0710042,0.0982836,0.138342,0.291652,0.528944,0.589791,0.0803941,0.106014,0.139231,0.172565,0.292015,0.529565,0.592126,0.118006,0.155212,0.172983,0.220797,0.292378,0.530187,0.594461,0.162917,0.213676,0.22141,0.228783,0.292741,0.530809,0.596797,0.218838,0.22348,0.229246,0.236769,0.293104,0.531431,0.599132,0.226789,0.231325,0.237083,0.285601,0.293467,0.532053,0.601467,0.234739,0.281303,0.28362,0.287604,0.29383,0.532675,0.603802,0.281606,0.281949,0.284899,0.289607,0.294193,0.533297,0.606137,0.28229,0.282595,0.286178,0.29161,0.294557,0.533919,0.608472,0.282974,0.283241,0.287456,0.293613,0.29492,0.53466,0.609479,0.283659,0.283887,0.288735,0.295616,0.295283,0.535406,0.610127,0.284343,0.284533,0.290014,0.297619,0.295646,0.536151,0.610776,0.285027,0.285179,0.291293,0.299622,0.296009,0.536897,0.611424
