gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6]
190,8.58384,-5.58501,-5.54742,-5.51029,-5.47358,-5.43732,-5.4015,-5.36613,-5.53494,-5.49794,-5.46139,-5.4253,-5.38965,-5.35441,-5.31957,-5.47811,-5.44179,-5.40595,-5.37051,-5.3355,-5.30087,-5.26664,-5.41351,-5.37795,-5.34282,-5.30813,-5.27384,-5.23993,-5.2064,-5.33989,-5.30521,-5.27093,-5.23701,-5.20349,-5.1704,-5.13768,-5.25585,-5.22211,-5.18881,-5.15587,-5.12331,-5.09108,-5.0592,-5.16002,-5.1274,-5.09517,-5.06327,-5.03172,-5.00049,-4.96959
191,8.68352,-5.54229,-5.50479,-5.46775,-5.43114,-5.39497,-5.35922,-5.32394,-5.49291,-5.456,-5.41953,-5.3835,-5.34795,-5.31278,-5.27803,-5.43685,-5.40061,-5.36483,-5.32947,-5.29454,-5.25999,-5.22584,-5.37312,-5.33763,-5.30256,-5.26793,-5.23372,-5.19988,-5.16643,-5.30047,-5.26585,-5.23163,-5.19778,-5.16432,-5.13129,-5.09863,-5.21752,-5.18384,-5.1506,-5.11771,-5.0852,-5.05303,-5.02121,-5.12292,-5.09036,-5.05817,-5.02631,-4.99481,-4.96362,-4.93277
192,8.78419,-5.49975,-5.46234,-5.42539,-5.38887,-5.3528,-5.31713,-5.28193,-5.45105,-5.41422,-5.37784,-5.34188,-5.30641,-5.27134,-5.23668,-5.39575,-5.35959,-5.32388,-5.2886,-5.25375,-5.21928,-5.18521,-5.33287,-5.29745,-5.26245,-5.2279,-5.19376,-5.15999,-5.12661,-5.26119,-5.22663,-5.19247,-5.15869,-5.1253,-5.09233,-5.05974,-5.17932,-5.1457,-5.11252,-5.07968,-5.04723,-5.01512,-4.98335,-5.08595,-5.05344,-5.02129,-4.98947,-4.95802,-4.92688,-4.89608
193,8.88583,-5.45738,-5.42007,-5.38321,-5.34678,-5.31081,-5.27524,-5.24011,-5.40935,-5.37261,-5.33632,-5.30044,-5.26505,-5.23007,-5.1955,-5.35482,-5.31873,-5.28308,-5.24789,-5.21312,-5.17874,-5.14475,-5.29278,-5.25743,-5.2225,-5.18802,-5.15395,-5.12026,-5.08696,-5.22205,-5.18756,-5.15346,-5.11974,-5.08642,-5.05352,-5.02099,-5.14125,-5.1077,-5.07456,-5.04179,-5.00939,-4.97734,-4.94563,-5.0491,-5.01663,-4.98453,-4.95276,-4.92135,-4.89026,-4.85952
194,8.98848,-5.41519,-5.37797,-5.34121,-5.30488,-5.269,-5.23352,-5.19847,-5.36783,-5.33118,-5.29497,-5.25918,-5.22387,-5.18898,-5.1545,-5.31404,-5.27803,-5.24246,-5.20734,-5.17266,-5.13836,-5.10446,-5.25284,-5.21757,-5.18271,-5.14829,-5.1143,-5.08069,-5.04747,-5.18305,-5.14862,-5.1146,-5.08094,-5.04769,-5.01485,-4.9824,-5.10332,-5.06982,-5.03675,-5.00403,-4.97169,-4.9397,-4.90806,-5.01236,-4.97994,-4.94788,-4.91616,-4.88481,-4.85377,-4.82309
195,9.09212,-5.37317,-5.33605,-5.29939,-5.26315,-5.22737,-5.192,-5.15704,-5.32647,-5.28991,-5.2538,-5.2181,-5.18286,-5.14806,-5.11367,-5.27342,-5.2375,-5.20201,-5.16696,-5.13236,-5.09815,-5.06434,-5.21304,-5.17785,-5.14307,-5.10872,-5.07481,-5.04128,-5.00814,-5.14419,-5.10983,-5.07587,-5.04229,-5.00911,-4.97634,-4.94396,-5.06551,-5.03208,-4.99906,-4.9664,-4.93413,-4.9022,-4.87062,-4.97575,-4.94337,-4.91136,-4.87969,-4.84839,-4.8174,-4.78679
196,9.19678,-5.33134,-5.29431,-5.25775,-5.22161,-5.18593,-5.15066,-5.1158,-5.28529,-5.24882,-5.2128,-5.17719,-5.14203,-5.10732,-5.07303,-5.23296,-5.19713,-5.16172,-5.12675,-5.09224,-5.05812,-5.0244,-5.17341,-5.13829,-5.10359,-5.06931,-5.03548,-5.00203,-4.96897,-5.10548,-5.07119,-5.0373,-5.00379,-4.97067,-4.93798,-4.90567,-5.02783,-4.99447,-4.96151,-4.92891,-4.8967,-4.86484,-4.83332,-4.93925,-4.90692,-4.87497,-4.84335,-4.81209,-4.78116,-4.75061
197,9.30247,-5.28968,-5.25275,-5.21629,-5.18025,-5.14467,-5.1095,-5.07475,-5.24428,-5.2079,-5.17197,-5.13646,-5.10139,-5.06676,-5.03256,-5.19267,-5.15692,-5.1216,-5.0867,-5.05228,-5.01825,-4.98462,-5.13392,-5.09889,-5.06427,-5.03006,-4.99631,-4.96294,-4.92996,-5.0669,-5.03268,-4.99887,-4.96543,-4.93239,-4.89976,-4.86753,-4.99028,-4.95699,-4.9241,-4.89156,-4.85942,-4.82762,-4.79617,-4.90287,-4.8706,-4.83869,-4.80713,-4.77593,-4.74505,-4.71457
198,9.40919,-5.2482,-5.21137,-5.17501,-5.13907,-5.10359,-5.06853,-5.03388,-5.20343,-5.16715,-5.13132,-5.0959,-5.06093,-5.02638,-4.99228,-5.15254,-5.11688,-5.08165,-5.04683,-5.01249,-4.97855,-4.94501,-5.09459,-5.05964,-5.0251,-4.99096,-4.9573,-4.92402,-4.89112,-5.02848,-4.99433,-4.96059,-4.92722,-4.89426,-4.86171,-4.82955,-4.95287,-4.91965,-4.88682,-4.85435,-4.82227,-4.79054,-4.75916,-4.86661,-4.83439,-4.80254,-4.77103,-4.73989,-4.70907,-4.67866
199,9.51695,-5.2069,-5.17017,-5.13391,-5.09808,-5.0627,-5.02774,-4.9932,-5.16276,-5.12658,-5.09084,-5.05552,-5.02065,-4.98618,-4.95218,-5.11257,-5.077,-5.04186,-5.00713,-4.97288,-4.93903,-4.90558,-5.05542,-5.02054,-4.98609,-4.95203,-4.91845,-4.88525,-4.85244,-4.99019,-4.95612,-4.92245,-4.88917,-4.85628,-4.8238,-4.79172,-4.9156,-4.88244,-4.84968,-4.81728,-4.78526,-4.7536,-4.72229,-4.83048,-4.79831,-4.76652,-4.73506,-4.70398,-4.67322,-4.64288
