gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
180,288.15,257.431,257.431,257.431,257.431,257.431,257.397,257.397,257.397,257.397,257.397,257.358,257.358,257.358,257.358,257.358,257.317,257.317,257.317,257.317,257.317,257.276,257.276,257.276,257.276,257.276
181,296.641,265.132,265.132,265.132,265.132,265.132,265.098,265.098,265.098,265.098,265.098,265.059,265.059,265.059,265.059,265.059,265.018,265.018,265.018,265.018,265.018,264.977,264.977,264.977,264.977,264.977
182,305.381,273.061,273.061,273.061,273.061,273.061,273.027,273.027,273.027,273.027,273.027,272.988,272.988,272.988,272.988,272.988,272.946,272.946,272.946,272.946,272.946,272.905,272.905,272.905,272.905,272.905
183,314.377,281.224,281.224,281.224,281.224,281.224,281.19,281.19,281.19,281.19,281.19,281.151,281.151,281.151,281.151,281.151,281.11,281.11,281.11,281.11,281.11,281.069,281.069,281.069,281.069,281.069
184,323.636,289.628,289.628,289.628,289.628,289.628,289.595,289.595,289.595,289.595,289.595,289.556,289.556,289.556,289.556,289.556,289.515,289.515,289.515,289.515,289.515,289.474,289.474,289.474,289.474,289.474
185,333.167,298.281,298.281,298.281,298.281,298.281,298.248,298.248,298.248,298.248,298.248,298.209,298.209,298.209,298.209,298.209,298.168,298.168,298.168,298.168,298.168,298.127,298.127,298.127,298.127,298.127
186,342.977,307.19,307.19,307.19,307.19,307.19,307.157,307.157,307.157,307.157,307.157,307.119,307.119,307.119,307.119,307.119,307.078,307.078,307.078,307.078,307.078,307.037,307.037,307.037,307.037,307.037
187,353.075,316.363,316.363,316.363,316.363,316.363,316.33,316.33,316.33,316.33,316.33,316.292,316.292,316.292,316.292,316.292,316.251,316.251,316.251,316.251,316.251,316.21,316.21,316.21,316.21,316.21
188,363.469,325.807,325.807,325.807,325.807,325.807,325.774,325.774,325.774,325.774,325.774,325.736,325.736,325.736,325.736,325.736,325.695,325.695,325.695,325.695,325.695,325.655,325.655,325.655,325.655,325.655
189,374.167,335.53,335.53,335.53,335.53,335.53,335.497,335.497,335.497,335.497,335.497,335.459,335.459,335.459,335.459,335.459,335.419,335.419,335.419,335.419,335.419,335.379,335.379,335.379,335.379,335.379
190,385.179,345.541,345.541,345.541,345.541,345.541,345.508,345.508,345.508,345.508,345.508,345.471,345.471,345.471,345.471,345.471,345.43,345.43,345.43,345.43,345.43,345.39,345.39,345.39,345.39,345.39
191,396.513,355.848,355.848,355.848,355.848,355.848,355.816,355.816,355.816,355.816,355.816,355.778,355.778,355.778,355.778,355.778,355.738,355.738,355.738,355.738,355.738,355.698,355.698,355.698,355.698,355.698
192,408.179,366.46,366.46,366.46,366.46,366.46,366.428,366.428,366.428,366.428,366.428,366.39,366.39,366.39,366.39,366.39,366.35,366.35,366.35,366.35,366.35,366.311,366.311,366.311,366.311,366.311
193,420.188,377.386,377.386,377.386,377.386,377.386,377.354,377.354,377.354,377.354,377.354,377.317,377.317,377.317,377.317,377.317,377.277,377.277,377.277,377.277,377.277,377.237,377.237,377.237,377.237,377.237
194,432.548,388.635,388.635,388.635,388.635,388.635,388.603,388.603,388.603,388.603,388.603,388.566,388.566,388.566,388.566,388.566,388.527,388.527,388.527,388.527,388.527,388.487,388.487,388.487,388.487,388.487
195,445.271,400.217,400.217,400.217,400.217,400.217,400.185,400.185,400.185,400.185,400.185,400.149,400.149,400.149,400.149,400.149,400.109,400.109,400.109,400.109,400.109,400.07,400.07,400.07,400.07,400.07
196,458.366,412.142,412.142,412.142,412.142,412.142,412.11,412.11,412.11,412.11,412.11,412.073,412.073,412.073,412.073,412.073,412.034,412.034,412.034,412.034,412.034,411.995,411.995,411.995,411.995,411.995
197,471.845,424.418,424.418,424.418,424.418,424.418,424.387,424.387,424.387,424.387,424.387,424.35,424.35,424.35,424.35,424.35,424.311,424.311,424.311,424.311,424.311,424.272,424.272,424.272,424.272,424.272
198,485.719,437.053,437.053,437.053,437.053,437.053,437.021,437.021,437.021,437.021,437.021,436.984,436.984,436.984,436.984,436.984,436.945,436.945,436.945,436.945,436.945,436.906,436.906,436.906,436.906,436.906
199,500,450.051,450.051,450.051,450.051,450.051,450.019,450.019,450.019,450.019,450.019,449.983,449.983,449.983,449.983,449.983,449.944,449.944,449.944,449.944,449.944,449.905,449.905,449.905,449.905,449.905
