gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[0 7],VF[0 8],VF[0 9],VF[0 10],VF[0 11],VF[0 12],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[1 7],VF[1 8],VF[1 9],VF[1 10],VF[1 11],VF[1 12],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[2 7],VF[2 8],VF[2 9],VF[2 10],VF[2 11],VF[2 12],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[3 7],VF[3 8],VF[3 9],VF[3 10],VF[3 11],VF[3 12],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[4 7],VF[4 8],VF[4 9],VF[4 10],VF[4 11],VF[4 12],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[5 7],VF[5 8],VF[5 9],VF[5 10],VF[5 11],VF[5 12],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6],VF[6 7],VF[6 8],VF[6 9],VF[6 10],VF[6 11],VF[6 12]
10,0.195332,-16.4146,-16.2763,-16.1379,-15.9995,-15.8851,-15.7756,-15.6661,-14.7422,-14.6361,-14.53,-14.424,-14.3179,-14.2118,-14.1057,-13.0599,-12.9698,-12.8796,-12.7895,-12.6993,-12.6143,-12.5317,-11.4761,-11.405,-11.3339,-11.2627,-11.1916,-11.1207,-11.0504,-10.004,-9.94528,-9.88657,-9.82787,-9.76917,-9.72024,-9.66317,-8.7019,-8.66246,-8.62302,-8.58357,-8.54413,-8.50469,-8.46525,-7.66361,-7.63354,-7.60347,-7.57341,-7.54334,-7.51327,-7.4832,-16.4699,-16.3223,-16.1747,-16.0272,-15.8997,-15.7829,-15.6661,-14.7846,-14.6715,-14.5583,-14.4452,-14.332,-14.2189,-14.1057,-13.096,-12.9998,-12.9036,-12.8075,-12.7113,-12.6198,-12.5317,-11.5045,-11.4287,-11.3528,-11.2769,-11.2011,-11.1253,-11.0504,-10.0275,-9.96484,-9.90222,-9.83961,-9.77699,-9.72408,-9.66322,-8.71777,-8.6757,-8.63362,-8.59155,-8.54947,-8.5074,-8.46533
11,0.216131,-15.4078,-15.3593,-15.3109,-15.2624,-15.1978,-15.1574,-15.117,-13.8554,-13.8084,-13.7627,-13.7203,-13.6639,-13.6286,-13.5933,-12.3367,-12.3001,-12.2635,-12.2269,-12.1781,-12.1476,-12.1171,-10.8848,-10.8537,-10.8245,-10.7979,-10.7624,-10.7401,-10.7179,-9.52784,-9.50251,-9.47719,-9.45187,-9.42434,-9.40984,-9.39534,-8.37174,-8.35429,-8.33685,-8.3194,-8.29614,-8.28161,-8.26707,-7.41179,-7.39848,-7.38517,-7.37186,-7.3541,-7.34301,-7.33192,-15.4562,-15.3997,-15.3431,-15.2866,-15.2139,-15.1655,-15.117,-13.9023,-13.8475,-13.7927,-13.7415,-13.678,-13.6356,-13.5933,-12.3733,-12.3306,-12.2879,-12.2452,-12.1903,-12.1537,-12.1171,-10.9159,-10.8796,-10.8433,-10.8111,-10.7712,-10.7445,-10.7179,-9.55317,-9.52363,-9.4941,-9.46456,-9.43018,-9.41277,-9.39537,-8.38919,-8.36883,-8.34848,-8.32813,-8.30196,-8.28451,-8.26706
12,0.237172,-14.7209,-14.7829,-14.8094,-14.774,-14.6853,-14.6233,-14.5613,-13.2473,-13.3013,-13.3245,-13.2934,-13.216,-13.1618,-13.1099,-11.8423,-11.884,-11.9019,-11.878,-11.8182,-11.7763,-11.7344,-10.5001,-10.5341,-10.5486,-10.5291,-10.4804,-10.4462,-10.4121,-9.25313,-9.27538,-9.28499,-9.27232,-9.24044,-9.21816,-9.19588,-8.12453,-8.14681,-8.15636,-8.1436,-8.11169,-8.08936,-8.06702,-7.22314,-7.24015,-7.24748,-7.23776,-7.2134,-7.19636,-7.17932,-14.7741,-14.8272,-14.8449,-14.8005,-14.703,-14.6321,-14.5612,-13.2937,-13.34,-13.3554,-13.3166,-13.2315,-13.1695,-13.1098,-11.8781,-11.9139,-11.9259,-11.8959,-11.8301,-11.7822,-11.7344,-10.5293,-10.5584,-10.5681,-10.5437,-10.4901,-10.451,-10.412,-9.27221,-9.29132,-9.29779,-9.28195,-9.24686,-9.2214,-9.19594,-8.14364,-8.16275,-8.16913,-8.15319,-8.11808,-8.09255,-8.06702
13,0.258456,-14.5786,-14.4337,-14.3468,-14.2616,-14.1806,-14.0818,-14.0189,-13.1234,-13.0091,-12.9406,-12.872,-12.8034,-12.7196,-12.6662,-11.7461,-11.6482,-11.5895,-11.5308,-11.4712,-11.3949,-11.3463,-10.4215,-10.3418,-10.294,-10.2462,-10.1984,-10.14,-10.1028,-9.20232,-9.15022,-9.119,-9.08778,-9.05656,-9.01831,-8.99404,-8.0733,-8.02113,-7.98983,-7.95853,-7.92723,-7.889,-7.86466,-7.18417,-7.14435,-7.12048,-7.0966,-7.07273,-7.0435,-7.02493,-14.6365,-14.482,-14.3854,-14.2888,-14.1986,-14.0908,-14.0188,-13.1732,-13.0472,-12.971,-12.8948,-12.8186,-12.7272,-12.6662,-11.7852,-11.6808,-11.6156,-11.5503,-11.4851,-11.4018,-11.3462,-10.4534,-10.3684,-10.3152,-10.2621,-10.2089,-10.1453,-10.1027,-9.22322,-9.16763,-9.13294,-9.09825,-9.06357,-9.02182,-8.99408,-8.09418,-8.03852,-8.00374,-7.96896,-7.93419,-7.89246,-7.86464
14,0.279986,-13.5038,-13.5038,-13.5038,-13.5038,-13.5038,-13.7519,-13.5029,-12.2442,-12.2442,-12.2442,-12.2442,-12.2442,-12.4421,-12.2438,-10.9959,-10.9959,-10.9959,-10.9959,-10.9959,-11.1547,-10.9952,-9.77386,-9.77386,-9.77386,-9.77386,-9.77386,-9.92991,-9.77639,-8.79007,-8.79007,-8.79007,-8.79007,-8.79007,-8.89317,-8.79158,-7.99758,-7.99758,-7.99758,-7.99758,-7.99758,-7.7621,-7.99921,-6.86887,-6.86887,-6.86887,-6.86887,-6.86887,-6.94831,-6.87074,-13.5553,-13.5467,-13.5381,-13.5295,-13.5209,-13.7617,-13.5029,-12.288,-12.2807,-12.2734,-12.2661,-12.2587,-12.4495,-12.2438,-11.0312,-11.0253,-11.0194,-11.0135,-11.0076,-11.1606,-10.9953,-9.80819,-9.80246,-9.79672,-9.79099,-9.78525,-9.93574,-9.77659,-8.81254,-8.80879,-8.80503,-8.80127,-8.79752,-8.89709,-8.79173,-8.01283,-8.01028,-8.00773,-8.00517,-8.00262,-7.76597,-7.99949
15,0.301766,-14.3434,-14.1084,-13.8773,-13.6463,-13.1975,-13.0956,-13.0308,-12.9378,-12.7423,-12.5467,-12.3623,-11.983,-11.8963,-11.841,-11.587,-11.415,-11.2368,-11.0904,-10.7853,-10.7155,-10.6709,-10.292,-10.1555,-10.0027,-9.86741,-9.63904,-9.59402,-9.56545,-9.11919,-9.03001,-8.94083,-8.85164,-8.65623,-8.61165,-8.5833,-7.98913,-7.89972,-7.8103,-8.03974,-7.90659,-7.87635,-7.8571,-7.12083,-7.0527,-6.98457,-6.91644,-6.76659,-6.73245,-6.71077,-14.411,-14.1609,-13.9193,-13.6777,-13.216,-13.1049,-13.0308,-12.9912,-12.7867,-12.5823,-12.386,-11.9988,-11.9041,-11.8409,-11.6327,-11.4555,-11.2692,-11.1095,-10.798,-10.7218,-10.6709,-10.3293,-10.1865,-10.0274,-9.88599,-9.64728,-9.59816,-9.56551,-9.14366,-9.05042,-8.95717,-8.86393,-8.66436,-8.61571,-8.58331,-8.01358,-7.92009,-7.8266,-8.0481,-7.91211,-7.87909,-7.8571
16,0.323799,-12.696,-12.6785,-12.661,-12.6435,-12.6434,-12.6172,-12.591,-11.5054,-11.4914,-11.4774,-11.4634,-11.4634,-11.4424,-11.4214,-10.425,-10.4113,-10.3977,-10.3339,-10.3339,-10.313,-10.2921,-9.4075,-9.39874,-9.38999,-9.38123,-9.38118,-9.36805,-9.35491,-8.42667,-8.41798,-8.40929,-8.4006,-8.40054,-8.38751,-8.37448,-7.75072,-7.74482,-7.73892,-7.73302,-7.73298,-7.72413,-7.71528,-6.59083,-6.58418,-6.57753,-6.57088,-6.57085,-6.56088,-6.55091,-12.7483,-12.7221,-12.6959,-12.6697,-12.6609,-12.6259,-12.5909,-11.5473,-11.5263,-11.5053,-11.4844,-11.4773,-11.4493,-11.4213,-10.4659,-10.4454,-10.4249,-10.4044,-10.3975,-10.3199,-10.2921,-9.43372,-9.42058,-9.40745,-9.39431,-9.3899,-9.37239,-9.35488,-8.45268,-8.43964,-8.42661,-8.41358,-8.40919,-8.39181,-8.37443,-7.76839,-7.75954,-7.75068,-7.74183,-7.73885,-7.72705,-7.71525
17,0.346087,-12.6701,-12.4925,-12.4271,-12.4176,-12.3335,-12.333,-12.1526,-11.4844,-11.3425,-11.2901,-11.2825,-11.2152,-11.2147,-11.0801,-10.4045,-10.2139,-10.1619,-10.1545,-10.0978,-10.0988,-10.0129,-9.39471,-9.3057,-9.27294,-9.26833,-9.2262,-9.22685,-9.14255,-8.41378,-8.32554,-8.29304,-8.28837,-8.24657,-8.24676,-8.16311,-7.74199,-7.68207,-7.65999,-7.65685,-7.62847,-7.62919,-7.57243,-6.58118,-6.51362,-6.48875,-6.48528,-6.45331,-6.45403,-6.3901,-12.7262,-12.5392,-12.4644,-12.4456,-12.3521,-12.3424,-12.1525,-11.5292,-11.3798,-11.3199,-11.3048,-11.23,-11.2222,-11.08,-10.4482,-10.2511,-10.1916,-10.1769,-10.1074,-10.1037,-10.0131,-9.42285,-9.32913,-9.29169,-9.28242,-9.23561,-9.23163,-9.14263,-8.44166,-8.34876,-8.3116,-8.30231,-8.25586,-8.25146,-8.16315,-7.76093,-7.69784,-7.67261,-7.66633,-7.6348,-7.63245,-7.57254
18,0.368632,-12.2128,-12.1039,-11.9806,-11.9009,-11.8355,-11.7701,-11.7046,-11.1187,-11.0549,-10.9912,-10.9275,-10.8637,-10.8,-10.7363,-10.0361,-9.99551,-9.95489,-9.91427,-9.87364,-9.83302,-9.79239,-9.16573,-9.12584,-9.08596,-9.04608,-9.0062,-8.96631,-8.92643,-8.18661,-8.14703,-8.10746,-8.06788,-8.0283,-7.98873,-8.36605,-7.58774,-7.56087,-7.534,-7.50713,-7.48026,-7.45339,-7.42652,-6.4074,-6.37714,-6.34687,-5.93407,-5.90939,-5.88471,-5.86004,-12.2725,-12.1809,-12.0421,-11.9254,-11.8518,-11.7782,-11.7045,-11.1664,-11.0947,-11.023,-10.9513,-10.8796,-10.8079,-10.7362,-10.0667,-10.021,-9.97527,-9.92956,-9.88386,-9.83815,-9.79245,-9.19567,-9.1508,-9.10593,-9.06106,-9.01619,-8.97132,-8.92645,-8.21628,-8.17175,-8.12723,-8.0827,-8.03817,-7.99365,-8.36605,-7.6079,-7.57767,-7.54744,-7.51722,-7.48699,-7.45676,-7.42653
19,0.391439,-11.6078,-11.6077,-12.356,-12.0393,-12.3351,-11.7746,-11.3491,-10.5502,-10.5502,-11.2333,-11.0218,-11.2189,-10.8043,-10.3597,-9.73205,-9.73207,-10.1118,-9.97686,-10.1067,-9.84182,-9.57699,-8.86729,-8.86727,-9.23932,-9.10681,-9.23352,-8.97349,-8.71347,-8.33246,-8.33244,-8.25871,-8.12721,-8.25183,-7.99376,-8.25106,-7.38664,-7.38664,-7.63779,-7.54863,-7.63749,-7.46261,-7.28773,-5.82327,-5.82332,-6.46369,-6.36327,-6.46148,-5.89545,-5.73552,-11.6599,-11.6511,-12.3984,-12.0883,-12.3564,-11.7835,-11.3493,-10.6031,-10.5943,-11.2671,-11.0472,-11.236,-10.813,-10.36,-9.76442,-9.75905,-10.1417,-9.99325,-10.1178,-9.84751,-9.57727,-8.89903,-8.89373,-9.26068,-9.12286,-9.2444,-8.97906,-8.71372,-8.3505,-8.34747,-8.27985,-8.14309,-8.26259,-7.99924,-8.25138,-7.40804,-7.40448,-7.65219,-7.55947,-7.64493,-7.46649,-7.28804
20,0.414511,-11.2064,-11.1696,-11.1328,-11.206,-11.1324,-10.9271,-10.8488,-10.2618,-10.2383,-10.2148,-10.2618,-10.2149,-10.168,-10.1211,-9.48281,-9.45997,-9.43714,-9.4828,-9.43712,-9.39144,-9.34576,-8.6226,-8.60018,-8.57777,-8.62248,-8.57764,-8.53279,-8.48794,-8.19333,-8.18058,-8.16783,-8.19326,-8.16776,-8.14227,-8.11677,-7.22172,-7.20661,-7.19151,-7.22173,-7.19151,-7.1613,-7.13108,-5.67182,-5.65795,-5.64408,-5.67196,-5.64422,-5.61647,-5.58872,-11.2615,-11.2155,-11.1695,-11.2335,-11.1507,-10.9369,-10.8489,-10.2969,-10.2676,-10.2383,-10.2795,-10.2267,-10.1739,-10.1211,-9.51702,-9.48848,-9.45993,-9.49996,-9.44856,-9.39717,-9.34578,-8.65618,-8.62816,-8.60013,-8.63929,-8.58884,-8.53838,-8.48793,-8.21242,-8.19648,-8.18055,-8.20281,-8.17413,-8.14545,-8.11677,-7.24437,-7.22548,-7.2066,-7.23308,-7.19908,-7.16509,-7.1311
21,0.437849,-10.6333,-10.6269,-10.6205,-10.6141,-10.6077,-10.6013,-10.5949,-9.92502,-9.91882,-9.91263,-9.90643,-9.90024,-9.89405,-9.88785,-9.15503,-9.149,-9.14297,-9.13694,-9.13091,-9.12488,-9.11885,-8.30081,-8.29489,-8.28897,-8.28305,-8.27713,-8.27121,-8.26529,-8.01036,-8.00699,-8.00363,-8.00026,-7.99689,-7.99353,-7.99016,-7.00484,-7.00085,-6.99685,-6.99286,-6.98887,-6.98488,-6.98089,-5.47472,-5.47068,-5.46663,-5.46258,-5.45854,-5.45449,-5.45044,-10.6716,-10.6588,-10.646,-10.6332,-10.6204,-10.6076,-10.5948,-9.9621,-9.94971,-9.93732,-9.92493,-9.91255,-9.90016,-9.88777,-9.19113,-9.17907,-9.16701,-9.15495,-9.14289,-9.13083,-9.11877,-8.33626,-8.32442,-8.31258,-8.30073,-8.28889,-8.27705,-8.26521,-8.0305,-8.02377,-8.01703,-8.0103,-8.00357,-7.99683,-7.9901,-7.02872,-7.02074,-7.01276,-7.00478,-6.99679,-6.98881,-6.98083
22,0.461458,-12.4298,-11.938,-11.6001,-11.2622,-10.8,-10.5771,-10.3542,-11.2927,-10.9635,-10.5457,-10.3016,-10.0858,-9.86993,-9.65408,-10.1677,-9.941,-9.73089,-9.52078,-9.31067,-9.10056,-8.89045,-9.27764,-9.07136,-8.86508,-8.65881,-8.45253,-8.24626,-8.67206,-8.29639,-8.09169,-8.33413,-8.21699,-8.09984,-7.9827,-7.86555,-7.66507,-7.52624,-7.38741,-7.24857,-7.10974,-6.97091,-6.83207,-6.49332,-6.33693,-5.82526,-5.69797,-5.57067,-5.44185,-5.30584,-12.5048,-12.0222,-11.6411,-11.293,-10.8137,-10.584,-10.3544,-11.3526,-11.0134,-10.587,-10.3215,-10.0991,-9.87666,-9.65426,-10.2267,-9.97303,-9.75655,-9.54006,-9.32358,-9.1071,-8.89061,-9.31532,-9.10279,-8.89025,-8.67772,-8.46519,-8.25265,-8.67249,-8.33376,-8.12285,-8.34878,-8.22807,-8.10736,-7.98665,-7.86595,-7.69071,-7.54765,-7.4046,-7.26154,-7.11848,-6.97542,-6.83236
