gridnumber,capital,policy[0 0],policy[1 0],policy[2 0],policy[3 0],policy[4 0]
39,3.33551,2.02238,1.9795,1.92922,1.87371,1.81623
40,3.48015,2.14539,2.10297,2.05272,1.9973,1.94066
41,3.62902,2.27161,2.23012,2.18073,2.12566,2.06913
42,3.78225,2.40148,2.3606,2.3122,2.25836,2.20206
43,3.93998,2.53626,2.49568,2.44773,2.3948,2.33991
44,4.10232,2.67567,2.63537,2.58774,2.53498,2.48088
45,4.26943,2.81968,2.77969,2.73249,2.67992,2.62586
46,4.44143,2.96803,2.92851,2.88194,2.8303,2.77683
47,4.61847,3.12101,3.08188,3.03566,2.98466,2.93206
48,4.8007,3.27896,3.24035,3.19442,3.14367,3.09133
49,4.98827,3.44161,3.40366,3.35852,3.30827,3.25644
50,5.18134,3.60937,3.57184,3.52739,3.47787,3.4265
51,5.38006,3.78279,3.74544,3.70129,3.65213,3.60105
52,5.58461,3.96173,3.92448,3.88061,3.83189,3.78142
53,5.79515,4.14626,4.1091,4.06545,4.01718,3.96753
54,6.01186,4.33671,4.29993,4.25652,4.20849,4.15902
55,6.23493,4.53291,4.49669,4.45379,4.40622,4.35704
56,6.46452,4.73497,4.69925,4.65695,4.61004,4.56152
57,6.70085,4.94321,4.90775,4.86576,4.81912,4.77105
58,6.94411,5.15785,5.1226,5.08084,5.03422,4.98592
59,7.19449,5.37924,5.34422,5.30282,5.25671,5.20887
60,7.45221,5.60757,5.57275,5.53166,5.48609,5.439
61,7.71748,5.84291,5.80833,5.76751,5.72228,5.67562
62,7.99052,6.0854,6.05114,6.01061,5.96564,5.91919
63,8.27157,6.33511,6.30128,6.26118,6.21649,6.17034
64,8.56085,6.59242,6.55888,6.5192,6.47509,6.42959
65,8.85861,6.85787,6.82446,6.78497,6.74116,6.69612
66,9.16509,7.13159,7.09837,7.05898,7.01518,6.97006
67,9.48056,7.41349,7.38055,7.3414,7.29771,7.25253
68,9.80527,7.70382,7.67107,7.6322,7.58878,7.54375
69,10.1395,8.00323,7.97051,7.93181,7.88878,7.84426
70,10.4835,8.31137,8.2789,8.24045,8.19775,8.15372
71,10.8376,8.62867,8.59649,8.55846,8.51614,8.47252
72,11.2021,8.95555,8.92353,8.88583,8.84405,8.80102
73,11.5773,9.29223,9.26032,9.22274,9.18107,9.13827
74,11.9634,9.63934,9.60752,9.57002,9.52834,9.48532
75,12.3609,9.99705,9.96538,9.92803,9.88642,9.84336
76,12.77,10.3655,10.3341,10.297,10.2557,10.2127
77,13.1911,10.7451,10.714,10.6772,10.6362,10.5938
78,13.6246,11.136,11.1052,11.0687,11.0281,10.9861
79,14.0707,11.5386,11.508,11.4716,11.4311,11.3895
80,14.5299,11.9531,11.9226,11.8863,11.8458,11.8041
81,15.0026,12.38,12.3494,12.3132,12.2727,12.2311
82,15.4891,12.8198,12.7892,12.7529,12.7127,12.6712
83,15.9899,13.2727,13.2423,13.2063,13.1661,13.1248
84,16.5054,13.7389,13.7088,13.6731,13.6334,13.5925
85,17.036,14.2191,14.1891,14.1537,14.1145,14.074
86,17.5821,14.714,14.6841,14.6488,14.6097,14.5695
87,18.1442,15.2238,15.1941,15.159,15.12,15.0799
88,18.7228,15.7487,15.7192,15.6842,15.6453,15.6053
89,19.3184,16.2893,16.2598,16.2249,16.186,16.1459
90,19.9314,16.8457,16.8164,16.7816,16.7428,16.7027
91,20.5623,17.4186,17.3893,17.3547,17.3162,17.2763
92,21.2118,18.0087,17.9794,17.9448,17.9063,17.8667
93,21.8803,18.6164,18.5872,18.5527,18.5142,18.4748
94,22.5684,19.2421,19.2131,19.1788,19.1405,19.1012
95,23.2766,19.8865,19.8576,19.8235,19.7854,19.7462
96,24.0056,20.5501,20.5214,20.4874,20.4494,20.4101
97,24.756,21.2334,21.2049,21.1711,21.1332,21.094
98,25.5283,21.9368,21.9085,21.8748,21.8371,21.7981
99,26.3233,22.6607,22.6327,22.5992,22.5618,22.5232
100,27.1416,23.406,23.3779,23.3445,23.3074,23.2693
101,27.9838,24.1735,24.1451,24.1117,24.0745,24.0364
102,28.8508,24.9639,24.9355,24.902,24.8647,24.8263
103,29.7431,25.7778,25.7495,25.7161,25.6789,25.6405
104,30.6616,26.6159,26.5877,26.5544,26.5174,26.4791
105,31.607,27.4789,27.4507,27.4175,27.3806,27.3424
106,32.5802,28.3674,28.3392,28.3061,28.2694,28.2314
107,33.5818,29.2822,29.2541,29.221,29.1844,29.1466
108,34.6128,30.2241,30.1959,30.1629,30.1263,30.0886
109,35.674,31.1937,31.1656,31.1327,31.0961,31.0584
110,36.7663,32.1921,32.1641,32.1312,32.0948,32.0572
111,37.8906,33.2201,33.1922,33.1593,33.1229,33.0854
112,39.0479,34.2784,34.2506,34.2177,34.1811,34.1438
113,40.239,35.3681,35.3402,35.3072,35.2706,35.2334
114,41.4651,36.4898,36.462,36.429,36.3924,36.3553
115,42.7271,37.6446,37.6168,37.5839,37.5473,37.5102
116,44.0261,38.8336,38.8059,38.773,38.7366,38.6994
117,45.3631,40.0577,40.0301,39.9975,39.9611,39.924
118,46.7394,41.3178,41.2904,41.2579,41.2217,41.1846
119,48.1559,42.6151,42.5878,42.5554,42.5193,42.4823
120,49.614,43.9504,43.9232,43.8908,43.8548,43.8179
121,51.1148,45.3251,45.2978,45.2654,45.2293,45.1923
122,52.6596,46.7402,46.7129,46.6805,46.6443,46.6071
123,54.2497,48.197,48.1696,48.1373,48.1012,48.0639
124,55.8863,49.6962,49.669,49.6368,49.6009,49.5638
125,57.5709,51.2394,51.2122,51.1802,51.1446,51.1078
126,59.3049,52.8283,52.801,52.7689,52.7334,52.6968
127,61.0897,54.4641,54.4368,54.4046,54.3689,54.3323
128,62.9268,56.148,56.1207,56.0884,56.0527,56.0161
129,64.8177,57.8813,57.8541,57.8219,57.7862,57.7497
130,66.7641,59.6655,59.6384,59.6064,59.5708,59.5344
131,68.7675,61.5022,61.4753,61.4434,61.4078,61.3713
132,70.8295,63.393,63.3662,63.3343,63.2987,63.2621
133,72.9521,65.3396,65.3128,65.2809,65.2454,65.2087
134,75.1368,67.3436,67.3168,67.2849,67.2494,67.2128
135,77.3855,69.4065,69.3797,69.3479,69.3124,69.2759
136,79.7002,71.5302,71.5034,71.4715,71.4361,71.3997
137,82.0826,73.7164,73.6895,73.6577,73.6223,73.586
138,84.5349,75.9668,75.94,75.9081,75.8727,75.8364
139,87.0591,78.2832,78.2564,78.2246,78.1892,78.1529
140,89.6572,80.6676,80.6407,80.609,80.5737,80.5375
141,92.3314,83.1222,83.0953,83.0637,83.0284,82.9922
142,95.084,85.649,85.6223,85.5907,85.5555,85.5192
143,97.9173,88.2501,88.2235,88.1921,88.1569,88.1206
144,100.834,90.9277,90.9012,90.8698,90.8346,90.7984
145,103.835,93.684,93.6575,93.6261,93.5911,93.5549
146,106.925,96.5211,96.4948,96.4635,96.4286,96.3925
147,110.105,99.4416,99.4153,99.3842,99.3494,99.3134
148,113.379,102.448,102.422,102.391,102.356,102.32
149,116.748,105.542,105.516,105.485,105.451,105.415
150,120.216,108.728,108.701,108.67,108.636,108.601
151,123.786,112.007,111.98,111.949,111.915,111.88
152,127.461,115.382,115.355,115.325,115.29,115.255
153,131.243,118.856,118.83,118.799,118.765,118.73
154,135.136,122.432,122.406,122.375,122.341,122.306
155,139.143,126.113,126.087,126.056,126.022,125.987
156,143.267,129.902,129.876,129.846,129.812,129.777
157,147.512,133.803,133.777,133.746,133.712,133.677
158,151.882,137.817,137.791,137.761,137.727,137.692
159,156.38,141.95,141.924,141.893,141.859,141.824
160,161.009,146.204,146.178,146.147,146.113,146.078
161,165.774,150.582,150.556,150.525,150.491,150.456
162,170.679,155.089,155.063,155.032,154.998,154.963
163,175.728,159.729,159.702,159.671,159.637,159.602
164,180.924,164.504,164.478,164.447,164.412,164.377
165,186.273,169.42,169.393,169.362,169.328,169.293
166,191.779,174.479,174.453,174.422,174.387,174.352
167,197.446,179.687,179.661,179.63,179.595,179.56
168,203.279,185.048,185.022,184.991,184.956,184.921
169,209.282,190.566,190.54,190.508,190.474,190.439
170,215.462,196.246,196.22,196.188,196.154,196.118
171,221.823,202.092,202.066,202.034,202,201.964
172,228.37,208.11,208.084,208.052,208.017,207.982
173,235.11,214.305,214.278,214.247,214.212,214.176
174,242.046,220.681,220.654,220.622,220.588,220.552
175,249.186,227.243,227.217,227.185,227.15,227.115
176,256.535,233.999,233.972,233.941,233.906,233.87
177,264.1,240.952,240.925,240.894,240.859,240.823
178,271.886,248.109,248.083,248.051,248.016,247.981
179,279.901,255.476,255.45,255.418,255.383,255.348
180,288.15,263.059,263.033,263.001,262.966,262.931
181,296.641,270.865,270.838,270.807,270.772,270.736
182,305.381,278.899,278.872,278.841,278.806,278.77
183,314.377,287.168,287.142,287.11,287.075,287.039
184,323.636,295.68,295.654,295.622,295.587,295.551
185,333.167,304.441,304.415,304.383,304.348,304.312
186,342.977,313.459,313.432,313.401,313.366,313.33
187,353.075,322.741,322.714,322.682,322.647,322.611
188,363.469,332.293,332.267,332.235,332.2,332.164
189,374.167,342.126,342.099,342.067,342.032,341.995
190,385.179,352.244,352.217,352.185,352.15,352.113
191,396.513,362.657,362.63,362.598,362.562,362.525
192,408.179,373.371,373.344,373.311,373.276,373.239
193,420.188,384.389,384.361,384.329,384.293,384.256
194,432.548,395.714,395.686,395.653,395.616,395.579
195,445.271,407.346,407.317,407.284,407.246,407.208
196,458.366,419.281,419.253,419.22,419.183,419.144
197,471.845,431.44,431.411,431.378,431.34,431.3
198,485.719,443.782,443.749,443.71,443.667,443.621
199,500,456.598,456.565,456.525,456.48,456.436
