gridnumber,capital,Port[0 0],Port[0 1],Port[0 2],Port[1 0],Port[1 1],Port[1 2],Port[2 0],Port[2 1],Port[2 2],Port[3 0],Port[3 1],Port[3 2],Port[4 0],Port[4 1],Port[4 2]
14,0.797368,0.12,0.34,0.38,0.12,0.34,0.38,0.12,0.34,0.38,0.12,0.34,0.38,0.12,0.34,0.38
15,0.867622,0.12,0.32,0.36,0.12,0.32,0.36,0.12,0.32,0.36,0.12,0.32,0.36,0.12,0.32,0.36
16,0.939934,0.12,0.3,0.36,0.12,0.3,0.36,0.12,0.3,0.36,0.12,0.3,0.36,0.12,0.3,0.36
17,1.01437,0.12,0.28,0.34,0.12,0.28,0.34,0.12,0.28,0.34,0.12,0.28,0.34,0.12,0.28,0.34
18,1.09098,0.12,0.28,0.34,0.12,0.28,0.34,0.12,0.28,0.34,0.12,0.28,0.34,0.12,0.28,0.34
19,1.16984,0.12,0.32,0.34,0.12,0.32,0.34,0.12,0.32,0.34,0.12,0.32,0.34,0.12,0.32,0.34
20,1.25101,0.22,0.3,0.4,0.22,0.3,0.4,0.22,0.3,0.4,0.22,0.3,0.4,0.22,0.3,0.4
21,1.33455,0.24,0.3,0.38,0.24,0.3,0.38,0.24,0.3,0.38,0.24,0.3,0.38,0.24,0.3,0.38
22,1.42055,0.22,0.3,0.38,0.22,0.3,0.38,0.22,0.3,0.38,0.22,0.3,0.38,0.22,0.3,0.38
23,1.50907,0.22,0.3,0.36,0.22,0.3,0.36,0.22,0.3,0.36,0.22,0.3,0.36,0.22,0.3,0.36
24,1.60018,0.2,0.3,0.42,0.2,0.3,0.42,0.2,0.3,0.42,0.2,0.3,0.42,0.2,0.3,0.42
25,1.69396,0.2,0.3,0.42,0.2,0.3,0.42,0.2,0.3,0.42,0.2,0.3,0.42,0.2,0.3,0.42
26,1.79048,0.2,0.3,0.44,0.2,0.3,0.44,0.2,0.3,0.44,0.2,0.3,0.44,0.2,0.3,0.44
27,1.88984,0.18,0.32,0.44,0.18,0.32,0.44,0.18,0.32,0.44,0.18,0.32,0.44,0.18,0.32,0.44
28,1.99211,0.18,0.3,0.44,0.18,0.3,0.44,0.18,0.3,0.44,0.18,0.3,0.44,0.18,0.3,0.44
29,2.09737,0.18,0.3,0.42,0.18,0.3,0.42,0.18,0.3,0.42,0.18,0.3,0.42,0.18,0.3,0.42
30,2.20572,0.18,0.3,0.42,0.18,0.3,0.42,0.18,0.3,0.42,0.18,0.3,0.42,0.18,0.3,0.42
31,2.31725,0.18,0.28,0.42,0.18,0.28,0.42,0.18,0.28,0.42,0.18,0.28,0.42,0.18,0.28,0.42
32,2.43204,0.22,0.28,0.4,0.22,0.28,0.4,0.22,0.28,0.4,0.22,0.28,0.4,0.22,0.28,0.4
33,2.5502,0.24,0.28,0.4,0.24,0.28,0.4,0.24,0.28,0.4,0.24,0.28,0.4,0.24,0.28,0.4
34,2.67182,0.24,0.26,0.4,0.24,0.26,0.4,0.24,0.26,0.4,0.24,0.26,0.4,0.24,0.26,0.4
35,2.797,0.24,0.26,0.4,0.24,0.26,0.4,0.24,0.26,0.4,0.24,0.26,0.4,0.24,0.26,0.4
36,2.92586,0.24,0.26,0.38,0.24,0.26,0.38,0.24,0.26,0.38,0.24,0.26,0.38,0.24,0.26,0.38
37,3.05848,0.24,0.26,0.38,0.24,0.26,0.38,0.24,0.26,0.38,0.24,0.26,0.38,0.24,0.26,0.38
38,3.195,0.24,0.28,0.38,0.24,0.28,0.38,0.24,0.28,0.38,0.24,0.28,0.38,0.24,0.28,0.38
39,3.33551,0.24,0.32,0.38,0.24,0.32,0.38,0.24,0.32,0.38,0.24,0.32,0.38,0.24,0.32,0.38
40,3.48015,0.24,0.32,0.38,0.24,0.32,0.38,0.24,0.32,0.38,0.24,0.32,0.38,0.24,0.32,0.38
41,3.62902,0.24,0.34,0.38,0.24,0.34,0.38,0.24,0.34,0.38,0.24,0.34,0.38,0.24,0.34,0.38
42,3.78225,0.22,0.34,0.4,0.22,0.34,0.4,0.22,0.34,0.4,0.22,0.34,0.4,0.22,0.34,0.4
43,3.93998,0.22,0.34,0.4,0.22,0.34,0.4,0.22,0.34,0.4,0.22,0.34,0.4,0.22,0.34,0.4
44,4.10232,0.22,0.32,0.42,0.22,0.32,0.42,0.22,0.32,0.42,0.22,0.32,0.42,0.22,0.32,0.42
45,4.26943,0.22,0.32,0.42,0.22,0.32,0.42,0.22,0.32,0.42,0.22,0.32,0.42,0.22,0.32,0.42
46,4.44143,0.22,0.32,0.42,0.22,0.32,0.42,0.22,0.32,0.42,0.22,0.32,0.42,0.22,0.32,0.42
47,4.61847,0.22,0.32,0.42,0.22,0.32,0.42,0.22,0.32,0.42,0.22,0.32,0.42,0.22,0.32,0.42
48,4.8007,0.22,0.32,0.42,0.22,0.32,0.42,0.22,0.32,0.42,0.22,0.32,0.42,0.22,0.32,0.42
49,4.98827,0.22,0.32,0.4,0.22,0.32,0.4,0.22,0.32,0.4,0.22,0.32,0.4,0.22,0.32,0.4
50,5.18134,0.22,0.32,0.4,0.22,0.32,0.4,0.22,0.32,0.4,0.22,0.32,0.4,0.22,0.32,0.4
51,5.38006,0.22,0.3,0.4,0.22,0.3,0.4,0.22,0.3,0.4,0.22,0.3,0.4,0.22,0.3,0.4
52,5.58461,0.2,0.3,0.4,0.2,0.3,0.4,0.2,0.3,0.4,0.2,0.3,0.4,0.2,0.3,0.4
53,5.79515,0.2,0.3,0.42,0.2,0.3,0.42,0.2,0.3,0.42,0.2,0.3,0.42,0.2,0.3,0.42
54,6.01186,0.2,0.32,0.42,0.2,0.32,0.42,0.2,0.32,0.42,0.2,0.32,0.42,0.2,0.32,0.42
