gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[0 3],dist[0 4],dist[1 0],dist[1 1],dist[1 2],dist[1 3],dist[1 4],dist[2 0],dist[2 1],dist[2 2],dist[2 3],dist[2 4],dist[3 0],dist[3 1],dist[3 2],dist[3 3],dist[3 4],dist[4 0],dist[4 1],dist[4 2],dist[4 3],dist[4 4]
30,2.20572,4.90914e-039,1.77629e-038,2.81381e-038,1.77629e-038,4.90914e-039,6.60573e-039,2.39017e-038,3.78626e-038,2.39017e-038,6.60573e-039,2.75863e-039,9.98164e-039,1.58119e-038,9.98164e-039,2.75863e-039,3.12629e-040,1.1312e-039,1.79193e-039,1.1312e-039,3.12629e-040,9.91516e-042,3.58763e-041,5.68316e-041,3.58763e-041,9.91516e-042
31,2.31725,2.39845e-037,8.67839e-037,1.37474e-036,8.67839e-037,2.39845e-037,3.51112e-037,1.27044e-036,2.0125e-036,1.27044e-036,3.51112e-037,1.68779e-037,6.10697e-037,9.67404e-037,6.10697e-037,1.68779e-037,2.36378e-038,8.55293e-038,1.35487e-037,8.55293e-038,2.36378e-038,9.57724e-040,3.46536e-039,5.48947e-039,3.46536e-039,9.57724e-040
32,2.43204,3.63941e-035,1.31686e-034,2.08603e-034,1.31686e-034,3.63941e-035,5.86396e-035,2.12177e-034,3.3611e-034,2.12177e-034,5.86396e-035,3.20353e-035,1.15914e-034,1.8362e-034,1.15914e-034,3.20353e-035,5.16746e-036,1.86976e-035,2.96188e-035,1.86976e-035,5.16746e-036,2.34804e-037,8.49598e-037,1.34585e-036,8.49598e-037,2.34804e-037
33,2.5502,8.4692e-034,3.06443e-033,4.85437e-033,3.06443e-033,8.4692e-034,1.15739e-033,4.1878e-033,6.6339e-033,4.1878e-033,1.15739e-033,4.97293e-034,1.79937e-033,2.85038e-033,1.79937e-033,4.97293e-034,5.92386e-035,2.14345e-034,3.39543e-034,2.14345e-034,5.92386e-035,2.0171e-036,7.29855e-036,1.15616e-035,7.29855e-036,2.0171e-036
34,2.67182,1.69826e-033,6.14485e-033,9.73406e-033,6.14485e-033,1.69826e-033,2.28066e-033,8.25216e-033,1.30722e-032,8.25216e-033,2.28066e-033,9.54416e-034,3.45339e-033,5.47051e-033,3.45339e-033,9.54416e-034,1.11283e-034,4.02657e-034,6.37849e-034,4.02657e-034,1.11283e-034,4.04076e-036,1.46208e-035,2.31608e-035,1.46208e-035,4.04076e-036
35,2.797,1.07835e-031,3.90182e-031,6.18088e-031,3.90182e-031,1.07835e-031,1.42085e-031,5.14109e-031,8.144e-031,5.14109e-031,1.42085e-031,5.72757e-032,2.07242e-031,3.28292e-031,2.07242e-031,5.72757e-032,6.21969e-033,2.25049e-032,3.56499e-032,2.25049e-032,6.21969e-033,2.05815e-034,7.44707e-034,1.17969e-033,7.44707e-034,2.05815e-034
36,2.92586,3.07591e-031,1.11297e-030,1.76305e-030,1.11297e-030,3.07591e-031,5.5856e-031,2.02105e-030,3.20155e-030,2.02105e-030,5.5856e-031,3.53286e-031,1.2783e-030,2.02496e-030,1.2783e-030,3.53286e-031,6.80175e-032,2.46109e-031,3.89862e-031,2.46109e-031,6.80175e-032,3.93876e-033,1.42517e-032,2.25762e-032,1.42517e-032,3.93876e-033
37,3.05848,7.3239e-031,2.65003e-030,4.19791e-030,2.65003e-030,7.3239e-031,1.85552e-030,6.71387e-030,1.06354e-029,6.71387e-030,1.85552e-030,1.7396e-030,6.29443e-030,9.971e-030,6.29443e-030,1.7396e-030,5.34846e-031,1.93525e-030,3.06563e-030,1.93525e-030,5.34846e-031,5.18016e-032,1.87435e-031,2.96916e-031,1.87435e-031,5.18016e-032
38,3.195,3.54035e-030,1.28102e-029,2.02926e-029,1.28102e-029,3.54035e-030,7.29463e-030,2.63943e-029,4.18113e-029,2.63943e-029,7.29463e-030,5.56169e-030,2.0124e-029,3.18785e-029,2.0124e-029,5.56169e-030,1.43509e-030,5.19263e-030,8.22564e-030,5.19263e-030,1.43509e-030,1.30917e-031,4.73702e-031,7.50391e-031,4.73702e-031,1.30917e-031
39,3.33551,1.11521e-029,4.03518e-029,6.39213e-029,4.03518e-029,1.11521e-029,2.22226e-029,8.04086e-029,1.27375e-028,8.04086e-029,2.22226e-029,1.61333e-029,5.83755e-029,9.24726e-029,5.83755e-029,1.61333e-029,3.85724e-030,1.39568e-029,2.21089e-029,1.39568e-029,3.85724e-030,3.12146e-031,1.12945e-030,1.78916e-030,1.12945e-030,3.12146e-031
40,3.48015,5.87254e-029,2.12488e-028,3.36602e-028,2.12488e-028,5.87254e-029,9.83901e-029,3.56007e-028,5.63951e-028,3.56007e-028,9.83901e-029,6.89588e-029,2.49515e-028,3.95257e-028,2.49515e-028,6.89588e-029,2.04301e-029,7.39227e-029,1.17101e-028,7.39227e-029,2.04301e-029,2.39312e-030,8.6591e-030,1.37169e-029,8.6591e-030,2.39312e-030
41,3.62902,1.52982e-028,5.53539e-028,8.76861e-028,5.53539e-028,1.52982e-028,3.37729e-028,1.22201e-027,1.93579e-027,1.22201e-027,3.37729e-028,3.07154e-028,1.11138e-027,1.76054e-027,1.11138e-027,3.07154e-028,1.09401e-028,3.9585e-028,6.27066e-028,3.9585e-028,1.09401e-028,1.56317e-029,5.65607e-029,8.95977e-029,5.65607e-029,1.56317e-029
