gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
159,8.38882,-4.59479,-4.59371,-4.59068,-4.58584,-4.57927,-4.51658,-4.51578,-4.51308,-4.50859,-4.50241,-4.42963,-4.42908,-4.42674,-4.42262,-4.41686,-4.33682,-4.33649,-4.3345,-4.33079,-4.32545,-4.24136,-4.24121,-4.23961,-4.23629,-4.2314
160,8.50455,-4.5785,-4.5774,-4.57436,-4.56951,-4.56292,-4.50124,-4.50041,-4.49769,-4.49319,-4.48699,-4.41529,-4.41472,-4.41236,-4.40822,-4.40243,-4.3235,-4.32316,-4.32114,-4.3174,-4.31203,-4.22905,-4.22889,-4.22725,-4.22391,-4.21898
161,8.62161,-4.56225,-4.56114,-4.55808,-4.55321,-4.54661,-4.48592,-4.48508,-4.48234,-4.47782,-4.4716,-4.40097,-4.40038,-4.39798,-4.39384,-4.38801,-4.31018,-4.30983,-4.30779,-4.30402,-4.29862,-4.21674,-4.21656,-4.21488,-4.21153,-4.20657
162,8.74003,-4.54605,-4.54491,-4.54185,-4.53697,-4.53035,-4.47063,-4.46977,-4.46702,-4.46248,-4.45624,-4.38666,-4.38606,-4.38363,-4.37947,-4.37362,-4.29686,-4.29651,-4.29445,-4.29065,-4.28522,-4.20442,-4.20423,-4.20253,-4.19915,-4.19415
163,8.85982,-4.52988,-4.52873,-4.52566,-4.52076,-4.51413,-4.45538,-4.4545,-4.45173,-4.44717,-4.4409,-4.37237,-4.37176,-4.36932,-4.36512,-4.35926,-4.28357,-4.28319,-4.28111,-4.27728,-4.27184,-4.1921,-4.1919,-4.19018,-4.18676,-4.18174
164,8.981,-4.51376,-4.51259,-4.50951,-4.50459,-4.49795,-4.44016,-4.43925,-4.43647,-4.43189,-4.42561,-4.3581,-4.35747,-4.35501,-4.35079,-4.34491,-4.2703,-4.26989,-4.26778,-4.26393,-4.25847,-4.17978,-4.17957,-4.17784,-4.17437,-4.16934
165,9.10358,-4.49769,-4.4965,-4.4934,-4.48847,-4.48181,-4.42497,-4.42403,-4.42124,-4.41663,-4.41035,-4.34385,-4.3432,-4.34073,-4.33647,-4.33058,-4.25703,-4.2566,-4.25446,-4.2506,-4.24512,-4.16748,-4.16725,-4.16548,-4.162,-4.15694
166,9.22759,-4.48165,-4.48043,-4.47733,-4.47238,-4.46572,-4.4098,-4.40884,-4.40604,-4.40141,-4.39512,-4.32963,-4.32894,-4.32646,-4.32218,-4.31627,-4.24377,-4.24333,-4.24115,-4.23727,-4.23177,-4.15517,-4.15494,-4.15312,-4.14963,-4.14455
167,9.35303,-4.46565,-4.46442,-4.46129,-4.45633,-4.44967,-4.39467,-4.39369,-4.39086,-4.38623,-4.37992,-4.31543,-4.31472,-4.3122,-4.30791,-4.30199,-4.23051,-4.23006,-4.22786,-4.22396,-4.21843,-4.14286,-4.14262,-4.14077,-4.13726,-4.13215
168,9.47992,-4.44969,-4.44844,-4.4453,-4.44032,-4.43366,-4.37956,-4.37857,-4.37571,-4.37107,-4.36474,-4.30124,-4.30051,-4.29796,-4.29367,-4.28772,-4.21726,-4.21679,-4.21458,-4.21066,-4.20509,-4.13055,-4.13029,-4.12843,-4.12489,-4.11974
169,9.60828,-4.43376,-4.4325,-4.42934,-4.42436,-4.41769,-4.36447,-4.36347,-4.36058,-4.35594,-4.34959,-4.28707,-4.28633,-4.28375,-4.27944,-4.27347,-4.20402,-4.20354,-4.20131,-4.19736,-4.19177,-4.11824,-4.11797,-4.11609,-4.11251,-4.10735
170,9.73813,-4.41787,-4.41659,-4.41342,-4.40843,-4.40175,-4.34942,-4.3484,-4.3455,-4.34084,-4.33448,-4.27291,-4.27216,-4.26956,-4.26524,-4.25925,-4.1908,-4.19029,-4.18805,-4.18406,-4.17848,-4.10593,-4.10564,-4.10375,-4.10014,-4.09495
