gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[0 3],dist[0 4],dist[1 0],dist[1 1],dist[1 2],dist[1 3],dist[1 4],dist[2 0],dist[2 1],dist[2 2],dist[2 3],dist[2 4],dist[3 0],dist[3 1],dist[3 2],dist[3 3],dist[3 4],dist[4 0],dist[4 1],dist[4 2],dist[4 3],dist[4 4]
78,13.6246,2.03961e-006,7.37997e-006,1.16906e-005,7.37997e-006,2.03961e-006,8.94548e-006,3.23677e-005,5.12737e-005,3.23677e-005,8.94548e-006,1.72781e-005,6.25179e-005,9.90345e-005,6.25179e-005,1.72781e-005,1.37635e-005,4.98009e-005,7.88896e-005,4.98009e-005,1.37635e-005,4.84871e-006,1.75442e-005,2.77918e-005,1.75442e-005,4.84871e-006
79,14.0707,1.72606e-006,6.24543e-006,9.89339e-006,6.24543e-006,1.72606e-006,7.41281e-006,2.6822e-005,4.24887e-005,2.6822e-005,7.41281e-006,1.41787e-005,5.13031e-005,8.12692e-005,5.13031e-005,1.41787e-005,1.12229e-005,4.0608e-005,6.43271e-005,4.0608e-005,1.12229e-005,3.85137e-006,1.39355e-005,2.20753e-005,1.39355e-005,3.85137e-006
80,14.5299,1.47808e-006,5.34819e-006,8.47206e-006,5.34819e-006,1.47808e-006,6.44686e-006,2.33268e-005,3.6952e-005,2.33268e-005,6.44686e-006,1.23624e-005,4.47313e-005,7.08588e-005,4.47313e-005,1.23624e-005,9.64992e-006,3.49166e-005,5.53113e-005,3.49166e-005,9.64992e-006,3.25723e-006,1.17857e-005,1.86698e-005,1.17857e-005,3.25723e-006
81,15.0026,1.27653e-006,4.61891e-006,7.31681e-006,4.61891e-006,1.27653e-006,5.38316e-006,1.94781e-005,3.08552e-005,1.94781e-005,5.38316e-006,1.01267e-005,3.66416e-005,5.80439e-005,3.66416e-005,1.01267e-005,7.98021e-006,2.8875e-005,4.57409e-005,2.8875e-005,7.98021e-006,2.79026e-006,1.00961e-005,1.59932e-005,1.00961e-005,2.79026e-006
82,15.4891,1.06231e-006,3.84377e-006,6.08891e-006,3.84377e-006,1.06231e-006,4.56554e-006,1.65196e-005,2.61687e-005,1.65196e-005,4.56554e-006,8.82453e-006,3.193e-005,5.05803e-005,3.193e-005,8.82453e-006,7.11085e-006,2.57294e-005,4.07579e-005,2.57294e-005,7.11085e-006,2.50566e-006,9.06629e-006,1.43619e-005,9.06629e-006,2.50566e-006
83,15.9899,8.77504e-007,3.1751e-006,5.02967e-006,3.1751e-006,8.77504e-007,3.7501e-006,1.35691e-005,2.14948e-005,1.35691e-005,3.7501e-006,7.18491e-006,2.59974e-005,4.11824e-005,2.59974e-005,7.18491e-006,5.77534e-006,2.08971e-005,3.3103e-005,2.08971e-005,5.77534e-006,2.04908e-006,7.41424e-006,1.17449e-005,7.41424e-006,2.04908e-006
84,16.5054,7.98805e-007,2.89034e-006,4.57858e-006,2.89034e-006,7.98805e-007,3.32627e-006,1.20355e-005,1.90655e-005,1.20355e-005,3.32627e-006,6.24816e-006,2.26079e-005,3.58131e-005,2.26079e-005,6.24816e-006,4.94259e-006,1.78839e-005,2.83299e-005,1.78839e-005,4.94259e-006,1.72194e-006,6.23053e-006,9.86978e-006,6.23053e-006,1.72194e-006
85,17.036,6.3779e-007,2.30773e-006,3.65568e-006,2.30773e-006,6.3779e-007,2.70594e-006,9.79099e-006,1.55099e-005,9.79099e-006,2.70594e-006,5.16891e-006,1.87028e-005,2.96271e-005,1.87028e-005,5.16891e-006,4.08838e-006,1.47931e-005,2.34338e-005,1.47931e-005,4.08838e-006,1.40458e-006,5.08225e-006,8.05079e-006,5.08225e-006,1.40458e-006
86,17.5821,5.48682e-007,1.98531e-006,3.14493e-006,1.98531e-006,5.48682e-007,2.32441e-006,8.41047e-006,1.3323e-005,8.41047e-006,2.32441e-006,4.40157e-006,1.59263e-005,2.52289e-005,1.59263e-005,4.40157e-006,3.44822e-006,1.24768e-005,1.97645e-005,1.24768e-005,3.44822e-006,1.1787e-006,4.26491e-006,6.75604e-006,4.26491e-006,1.1787e-006
87,18.1442,4.69184e-007,1.69766e-006,2.68926e-006,1.69766e-006,4.69184e-007,1.95795e-006,7.08449e-006,1.12225e-005,7.08449e-006,1.95795e-006,3.68761e-006,1.3343e-005,2.11366e-005,1.3343e-005,3.68761e-006,2.87538e-006,1.04041e-005,1.64811e-005,1.04041e-005,2.87538e-006,9.71187e-007,3.51407e-006,5.56664e-006,3.51407e-006,9.71187e-007
88,18.7228,3.97831e-007,1.43948e-006,2.28028e-006,1.43948e-006,3.97831e-007,1.68551e-006,6.09873e-006,9.661e-006,6.09873e-006,1.68551e-006,3.18295e-006,1.15169e-005,1.8244e-005,1.15169e-005,3.18295e-006,2.46954e-006,8.9356e-006,1.41549e-005,8.9356e-006,2.46954e-006,8.33866e-007,3.0172e-006,4.77955e-006,3.0172e-006,8.33866e-007
89,19.3184,3.32431e-007,1.20284e-006,1.90542e-006,1.20284e-006,3.32431e-007,1.39649e-006,5.05296e-006,8.00439e-006,5.05296e-006,1.39649e-006,2.60392e-006,9.42185e-006,1.49252e-005,9.42185e-006,2.60392e-006,2.01692e-006,7.29786e-006,1.15605e-005,7.29786e-006,2.01692e-006,6.92523e-007,2.50578e-006,3.9694e-006,2.50578e-006,6.92523e-007
90,19.9314,2.83839e-007,1.02702e-006,1.62691e-006,1.02702e-006,2.83839e-007,1.17607e-006,4.2554e-006,6.74098e-006,4.2554e-006,1.17607e-006,2.15721e-006,7.8055e-006,1.23647e-005,7.8055e-006,2.15721e-006,1.64792e-006,5.96271e-006,9.44552e-006,5.96271e-006,1.64792e-006,5.60489e-007,2.02803e-006,3.21261e-006,2.02803e-006,5.60489e-007
91,20.5623,2.37809e-007,8.6047e-007,1.36307e-006,8.6047e-007,2.37809e-007,9.85407e-007,3.56553e-006,5.64815e-006,3.56553e-006,9.85407e-007,1.82657e-006,6.60911e-006,1.04695e-005,6.60911e-006,1.82657e-006,1.40845e-006,5.09622e-006,8.07292e-006,5.09622e-006,1.40845e-006,4.81283e-007,1.74144e-006,2.75862e-006,1.74144e-006,4.81283e-007
92,21.2118,1.99547e-007,7.22028e-007,1.14376e-006,7.22028e-007,1.99547e-007,8.25302e-007,2.98621e-006,4.73046e-006,2.98621e-006,8.25302e-007,1.52657e-006,5.52362e-006,8.74997e-006,5.52362e-006,1.52657e-006,1.18067e-006,4.27204e-006,6.76734e-006,4.27204e-006,1.18067e-006,4.02518e-007,1.45644e-006,2.30715e-006,1.45644e-006,4.02518e-007
93,21.8803,1.69509e-007,6.13339e-007,9.71591e-007,6.13339e-007,1.69509e-007,6.95107e-007,2.51513e-006,3.98421e-006,2.51513e-006,6.95107e-007,1.28161e-006,4.6373e-006,7.34594e-006,4.6373e-006,1.28161e-006,9.90709e-007,3.58471e-006,5.67854e-006,3.58471e-006,9.90709e-007,3.35683e-007,1.21461e-006,1.92407e-006,1.21461e-006,3.35683e-007
94,22.5684,1.43467e-007,5.19112e-007,8.22326e-007,5.19112e-007,1.43467e-007,5.86073e-007,2.1206e-006,3.35925e-006,2.1206e-006,5.86073e-007,1.06543e-006,3.85508e-006,6.10682e-006,3.85508e-006,1.06543e-006,8.04521e-007,2.91102e-006,4.61135e-006,2.91102e-006,8.04521e-007,2.65956e-007,9.62316e-007,1.5244e-006,9.62316e-007,2.65956e-007
95,23.2766,1.18384e-007,4.2835e-007,6.7855e-007,4.2835e-007,1.18384e-007,4.83395e-007,1.74908e-006,2.77072e-006,1.74908e-006,4.83395e-007,8.85032e-007,3.20233e-006,5.07282e-006,3.20233e-006,8.85032e-007,6.76989e-007,2.44957e-006,3.88036e-006,2.44957e-006,6.76989e-007,2.28507e-007,8.26811e-007,1.30975e-006,8.26811e-007,2.28507e-007
96,24.0056,9.96593e-008,3.606e-007,5.71226e-007,3.606e-007,9.96593e-008,4.08782e-007,1.47911e-006,2.34306e-006,1.47911e-006,4.08782e-007,7.40818e-007,2.68052e-006,4.24621e-006,2.68052e-006,7.40818e-007,5.57717e-007,2.018e-006,3.19672e-006,2.018e-006,5.57717e-007,1.85416e-007,6.70897e-007,1.06277e-006,6.70897e-007,1.85416e-007
97,24.756,8.42206e-008,3.04738e-007,4.82735e-007,3.04738e-007,8.42206e-008,3.39295e-007,1.22768e-006,1.94477e-006,1.22768e-006,3.39295e-007,6.15825e-007,2.22826e-006,3.52978e-006,2.22826e-006,6.15825e-007,4.64004e-007,1.67892e-006,2.65958e-006,1.67892e-006,4.64004e-007,1.5079e-007,5.45608e-007,8.64297e-007,5.45608e-007,1.5079e-007
98,25.5283,7.02115e-008,2.54048e-007,4.02438e-007,2.54048e-007,7.02115e-008,2.82604e-007,1.02255e-006,1.61983e-006,1.02255e-006,2.82604e-007,5.05654e-007,1.82962e-006,2.8983e-006,1.82962e-006,5.05654e-007,3.77383e-007,1.36549e-006,2.16308e-006,1.36549e-006,3.77383e-007,1.24527e-007,4.5058e-007,7.13763e-007,4.5058e-007,1.24527e-007
99,26.3233,5.82224e-008,2.10668e-007,3.33719e-007,2.10668e-007,5.82224e-008,2.36197e-007,8.54637e-007,1.35383e-006,8.54637e-007,2.36197e-007,4.28939e-007,1.55204e-006,2.45859e-006,1.55204e-006,4.28939e-007,3.22606e-007,1.1673e-006,1.84911e-006,1.1673e-006,3.22606e-007,1.05718e-007,3.82522e-007,6.05952e-007,3.82522e-007,1.05718e-007
100,27.1416,4.95102e-008,1.79144e-007,2.83782e-007,1.79144e-007,4.95102e-008,2.0043e-007,7.2522e-007,1.14882e-006,7.2522e-007,2.0043e-007,3.57179e-007,1.29239e-006,2.04727e-006,1.29239e-006,3.57179e-007,2.62753e-007,9.50726e-007,1.50604e-006,9.50726e-007,2.62753e-007,8.53573e-008,3.08851e-007,4.8925e-007,3.08851e-007,8.53573e-008
101,27.9838,3.98455e-008,1.44174e-007,2.28386e-007,1.44174e-007,3.98455e-008,1.60402e-007,5.80386e-007,9.1939e-007,5.80386e-007,1.60402e-007,2.86445e-007,1.03645e-006,1.64184e-006,1.03645e-006,2.86445e-007,2.11415e-007,7.64967e-007,1.21178e-006,7.64967e-007,2.11415e-007,6.85234e-008,2.4794e-007,3.92762e-007,2.4794e-007,6.85234e-008
102,28.8508,3.33003e-008,1.20491e-007,1.9087e-007,1.20491e-007,3.33003e-008,1.34194e-007,4.85558e-007,7.69172e-007,4.85558e-007,1.34194e-007,2.41175e-007,8.7265e-007,1.38237e-006,8.7265e-007,2.41175e-007,1.78965e-007,6.47554e-007,1.02579e-006,6.47554e-007,1.78965e-007,5.80135e-008,2.09912e-007,3.32521e-007,2.09912e-007,5.80135e-008
103,29.7431,2.78763e-008,1.00866e-007,1.59781e-007,1.00866e-007,2.78763e-008,1.1278e-007,4.08073e-007,6.46429e-007,4.08073e-007,1.1278e-007,2.00165e-007,7.24261e-007,1.1473e-006,7.24261e-007,2.00165e-007,1.46874e-007,5.31437e-007,8.41849e-007,5.31437e-007,1.46874e-007,4.80961e-008,1.74027e-007,2.75677e-007,1.74027e-007,4.80961e-008
104,30.6616,2.2837e-008,8.26318e-008,1.30897e-007,8.26318e-008,2.2837e-008,9.12559e-008,3.30194e-007,5.2306e-007,3.30194e-007,9.12559e-008,1.61196e-007,5.8326e-007,9.23942e-007,5.8326e-007,1.61196e-007,1.17773e-007,4.2614e-007,6.75048e-007,4.2614e-007,1.17773e-007,3.79951e-008,1.37479e-007,2.1778e-007,1.37479e-007,3.79951e-008
105,31.607,1.90013e-008,6.87529e-008,1.08911e-007,6.87529e-008,1.90013e-008,7.7418e-008,2.80124e-007,4.43744e-007,2.80124e-007,7.7418e-008,1.3878e-007,5.02152e-007,7.95459e-007,5.02152e-007,1.3878e-007,1.02043e-007,3.69223e-007,5.84887e-007,3.69223e-007,1.02043e-007,3.29909e-008,1.19372e-007,1.89097e-007,1.19372e-007,3.29909e-008
106,32.5802,1.59206e-008,5.76059e-008,9.12534e-008,5.76059e-008,1.59206e-008,6.31715e-008,2.28575e-007,3.62086e-007,2.28575e-007,6.31715e-008,1.11746e-007,4.04333e-007,6.40503e-007,4.04333e-007,1.11746e-007,8.22494e-008,2.97605e-007,4.71436e-007,2.97605e-007,8.22494e-008,2.65157e-008,9.59424e-008,1.51982e-007,9.59424e-008,2.65157e-008
107,33.5818,1.29924e-008,4.70107e-008,7.44696e-008,4.70107e-008,1.29924e-008,5.10021e-008,1.84542e-007,2.92333e-007,1.84542e-007,5.10021e-008,8.83533e-008,3.19691e-007,5.06423e-007,3.19691e-007,8.83533e-008,6.40004e-008,2.31574e-007,3.66837e-007,2.31574e-007,6.40004e-008,2.06777e-008,7.48185e-008,1.1852e-007,7.48185e-008,2.06777e-008
108,34.6128,1.0408e-008,3.76596e-008,5.96566e-008,3.76596e-008,1.0408e-008,4.18179e-008,1.51311e-007,2.39692e-007,1.51311e-007,4.18179e-008,7.43987e-008,2.69199e-007,4.26438e-007,2.69199e-007,7.43987e-008,5.45603e-008,1.97417e-007,3.12728e-007,1.97417e-007,5.45603e-008,1.74566e-008,6.31636e-008,1.00057e-007,6.31636e-008,1.74566e-008
109,35.674,8.7264e-009,3.1575e-008,5.00179e-008,3.1575e-008,8.7264e-009,3.50452e-008,1.26805e-007,2.00872e-007,1.26805e-007,3.50452e-008,6.21819e-008,2.24995e-007,3.56414e-007,2.24995e-007,6.21819e-008,4.52761e-008,1.63824e-007,2.59513e-007,1.63824e-007,4.52761e-008,1.43852e-008,5.20505e-008,8.24532e-008,5.20505e-008,1.43852e-008
110,36.7663,7.18408e-009,2.59944e-008,4.11777e-008,2.59944e-008,7.18408e-009,2.8482e-008,1.03057e-007,1.63253e-007,1.03057e-007,2.8482e-008,4.99332e-008,1.80675e-007,2.86207e-007,1.80675e-007,4.99332e-008,3.60739e-008,1.30527e-007,2.06768e-007,1.30527e-007,3.60739e-008,1.13407e-008,4.10344e-008,6.50026e-008,4.10344e-008,1.13407e-008
111,37.8906,6.05232e-009,2.18993e-008,3.46906e-008,2.18993e-008,6.05232e-009,2.39763e-008,8.67541e-008,1.37427e-007,8.67541e-008,2.39763e-008,4.15226e-008,1.50242e-007,2.37999e-007,1.50242e-007,4.15226e-008,2.9732e-008,1.0758e-007,1.70417e-007,1.0758e-007,2.9732e-008,9.49396e-009,3.43523e-008,5.44174e-008,3.43523e-008,9.49396e-009
