gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[1 0],policy[1 1],policy[1 2],policy[2 0],policy[2 1],policy[2 2],policy[3 0],policy[3 1],policy[3 2],policy[4 0],policy[4 1],policy[4 2]
70,10.4835,6.65751,6.65751,6.65751,6.54309,6.54309,6.54309,6.40497,6.40497,6.40497,6.24804,6.24804,6.24804,6.0801,6.0801,6.0801
71,10.8376,6.91142,6.91142,6.91142,6.79644,6.79644,6.79644,6.65748,6.65748,6.65748,6.4999,6.4999,6.4999,6.33269,6.33269,6.33269
72,11.2021,7.17399,7.17399,7.17399,7.05791,7.05791,7.05791,6.91773,6.91773,6.91773,6.75925,6.75925,6.75925,6.59129,6.59129,6.59129
73,11.5773,7.44572,7.44572,7.44572,7.32907,7.32907,7.32907,7.18775,7.18775,7.18775,7.028,7.028,7.028,6.85891,6.85891,6.85891
74,11.9634,7.72569,7.72569,7.72569,7.6092,7.6092,7.6092,7.46834,7.46834,7.46834,7.30744,7.30744,7.30744,7.13724,7.13724,7.13724
75,12.3609,8.01479,8.01479,8.01479,7.89767,7.89767,7.89767,7.75669,7.75669,7.75669,7.59603,7.59603,7.59603,7.42509,7.42509,7.42509
76,12.77,8.31418,8.31418,8.31418,8.19589,8.19589,8.19589,8.0538,8.0538,8.0538,7.89278,7.89278,7.89278,7.72161,7.72161,7.72161
77,13.1911,8.62342,8.62342,8.62342,8.50432,8.50432,8.50432,8.36115,8.36115,8.36115,8.1991,8.1991,8.1991,8.0279,8.0279,8.0279
78,13.6246,8.94211,8.94211,8.94211,8.82252,8.82252,8.82252,8.67882,8.67882,8.67882,8.51584,8.51584,8.51584,8.34413,8.34413,8.34413
79,14.0707,9.2709,9.2709,9.2709,9.15102,9.15102,9.15102,9.00698,9.00698,9.00698,8.8436,8.8436,8.8436,8.67103,8.67103,8.67103
80,14.5299,9.60999,9.60999,9.60999,9.49008,9.49008,9.49008,9.34585,9.34585,9.34585,9.18237,9.18237,9.18237,9.00948,9.00948,9.00948
81,15.0026,9.95974,9.95974,9.95974,9.83966,9.83966,9.83966,9.69529,9.69529,9.69529,9.53167,9.53167,9.53167,9.35896,9.35896,9.35896
82,15.4891,10.3205,10.3205,10.3205,10.2001,10.2001,10.2001,10.0554,10.0554,10.0554,9.89143,9.89143,9.89143,9.71859,9.71859,9.71859
83,15.9899,10.6928,10.6928,10.6928,10.5722,10.5722,10.5722,10.4271,10.4271,10.4271,10.2626,10.2626,10.2626,10.0889,10.0889,10.0889
84,16.5054,11.077,11.077,11.077,10.9563,10.9563,10.9563,10.8111,10.8111,10.8111,10.6467,10.6467,10.6467,10.4725,10.4725,10.4725
85,17.036,11.4737,11.4737,11.4737,11.3526,11.3526,11.3526,11.2073,11.2073,11.2073,11.0433,11.0433,11.0433,10.8701,10.8701,10.8701
86,17.5821,11.883,11.883,11.883,11.7615,11.7615,11.7615,11.6157,11.6157,11.6157,11.4516,11.4516,11.4516,11.2792,11.2792,11.2792
87,18.1442,12.3049,12.3049,12.3049,12.1835,12.1835,12.1835,12.0373,12.0373,12.0373,11.8723,11.8723,11.8723,11.6995,11.6995,11.6995
88,18.7228,12.7401,12.7401,12.7401,12.6187,12.6187,12.6187,12.4726,12.4726,12.4726,12.3072,12.3072,12.3072,12.1335,12.1335,12.1335
89,19.3184,13.1891,13.1891,13.1891,13.0677,13.0677,13.0677,12.9215,12.9215,12.9215,12.756,12.756,12.756,12.5823,12.5823,12.5823
