gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[1 0],dist[1 1],dist[1 2],dist[2 0],dist[2 1],dist[2 2],dist[3 0],dist[3 1],dist[3 2],dist[4 0],dist[4 1],dist[4 2]
55,6.23493,3.30738e-006,4.10478e-006,3.30738e-006,2.9163e-005,3.61941e-005,2.9163e-005,0.000109415,0.000135794,0.000109415,0.000155805,0.000193369,0.000155805,8.5642e-005,0.00010629,8.5642e-005
56,6.46452,1.94808e-006,2.41775e-006,1.94808e-006,1.8e-005,2.23398e-005,1.8e-005,6.93311e-005,8.60466e-005,6.93311e-005,9.99814e-005,0.000124087,9.99814e-005,5.52691e-005,6.85943e-005,5.52691e-005
57,6.70085,1.0824e-006,1.34337e-006,1.0824e-006,1.04977e-005,1.30287e-005,1.04977e-005,4.18075e-005,5.18871e-005,4.18075e-005,6.10177e-005,7.57288e-005,6.10177e-005,3.37165e-005,4.18454e-005,3.37165e-005
58,6.94411,5.78585e-007,7.1808e-007,5.78585e-007,5.86808e-006,7.28285e-006,5.86808e-006,2.45438e-005,3.04612e-005,2.45438e-005,3.75732e-005,4.6632e-005,3.75732e-005,2.15815e-005,2.67847e-005,2.15815e-005
59,7.19449,2.87223e-007,3.56472e-007,2.87223e-007,3.02809e-006,3.75816e-006,3.02809e-006,1.33184e-005,1.65294e-005,1.33184e-005,2.13858e-005,2.65418e-005,2.13858e-005,1.27364e-005,1.58071e-005,1.27364e-005
60,7.45221,1.42354e-007,1.76675e-007,1.42354e-007,1.54609e-006,1.91884e-006,1.54609e-006,7.02127e-006,8.71407e-006,7.02127e-006,1.15889e-005,1.43829e-005,1.15889e-005,7.03751e-006,8.73423e-006,7.03751e-006
61,7.71748,6.7512e-008,8.3789e-008,6.7512e-008,7.58907e-007,9.41877e-007,7.58907e-007,3.54976e-006,4.4056e-006,3.54976e-006,5.95269e-006,7.38786e-006,5.95269e-006,3.6396e-006,4.51709e-006,3.6396e-006
62,7.99052,3.32086e-008,4.12151e-008,3.32086e-008,3.87857e-007,4.81368e-007,3.87857e-007,1.83842e-006,2.28166e-006,1.83842e-006,3.09651e-006,3.84307e-006,3.09651e-006,1.89693e-006,2.35428e-006,1.89693e-006
63,8.27157,1.47984e-008,1.83662e-008,1.47984e-008,1.80494e-007,2.24011e-007,1.80494e-007,9.04357e-007,1.12239e-006,9.04357e-007,1.59819e-006,1.98351e-006,1.59819e-006,1.01205e-006,1.25605e-006,1.01205e-006
64,8.56085,6.54301e-009,8.12051e-009,6.54301e-009,8.24504e-008,1.02329e-007,8.24504e-008,4.14458e-007,5.14383e-007,4.14458e-007,7.268e-007,9.02029e-007,7.268e-007,4.56558e-007,5.66632e-007,4.56558e-007
65,8.85861,2.79434e-009,3.46805e-009,2.79434e-009,3.69699e-008,4.58832e-008,3.69699e-008,1.91147e-007,2.37231e-007,1.91147e-007,3.38442e-007,4.2004e-007,3.38442e-007,2.12932e-007,2.64269e-007,2.12932e-007
66,9.16509,1.04408e-009,1.2958e-009,1.04408e-009,1.40192e-008,1.73992e-008,1.40192e-008,7.34718e-008,9.11856e-008,7.34718e-008,1.31418e-007,1.63102e-007,1.31418e-007,8.32366e-008,1.03305e-007,8.32366e-008
67,9.48056,3.86503e-010,4.79687e-010,3.86503e-010,5.24474e-009,6.50923e-009,5.24474e-009,2.81275e-008,3.4909e-008,2.81275e-008,5.16497e-008,6.41023e-008,5.16497e-008,3.33875e-008,4.14372e-008,3.33875e-008
68,9.80527,1.372e-010,1.70279e-010,1.372e-010,1.90572e-009,2.36518e-009,1.90572e-009,1.05595e-008,1.31054e-008,1.05595e-008,1.99515e-008,2.47618e-008,1.99515e-008,1.31493e-008,1.63196e-008,1.31493e-008
69,10.1395,4.69994e-011,5.83308e-011,4.69994e-011,6.76071e-010,8.3907e-010,6.76071e-010,3.83949e-009,4.76517e-009,3.83949e-009,7.36255e-009,9.13764e-009,7.36255e-009,4.89249e-009,6.07206e-009,4.89249e-009
70,10.4835,1.54812e-011,1.92136e-011,1.54812e-011,2.28035e-010,2.83013e-010,2.28035e-010,1.34336e-009,1.66724e-009,1.34336e-009,2.64704e-009,3.28524e-009,2.64704e-009,1.78779e-009,2.21882e-009,1.78779e-009
71,10.8376,5.12401e-012,6.3594e-012,5.12401e-012,7.58655e-011,9.41564e-011,7.58655e-011,4.42415e-010,5.4908e-010,4.42415e-010,8.6262e-010,1.0706e-009,8.6262e-010,5.78506e-010,7.17982e-010,5.78506e-010
72,11.2021,1.5101e-012,1.87418e-012,1.5101e-012,2.23648e-011,2.77569e-011,2.23648e-011,1.30911e-010,1.62473e-010,1.30911e-010,2.55769e-010,3.17434e-010,2.55769e-010,1.7166e-010,2.13047e-010,1.7166e-010
73,11.5773,4.33761e-013,5.38339e-013,4.33761e-013,6.5334e-012,8.10858e-012,6.5334e-012,3.83872e-011,4.76423e-011,3.83872e-011,7.47028e-011,9.27134e-011,7.47028e-011,4.99033e-011,6.19348e-011,4.99033e-011
74,11.9634,1.33866e-013,1.66141e-013,1.33866e-013,1.95686e-012,2.42866e-012,1.95686e-012,1.09271e-011,1.35616e-011,1.09271e-011,2.0389e-011,2.53047e-011,2.0389e-011,1.32513e-011,1.64462e-011,1.32513e-011
75,12.3609,3.46026e-014,4.29452e-014,3.46026e-014,4.98779e-013,6.19033e-013,4.98779e-013,2.75491e-012,3.41911e-012,2.75491e-012,5.1e-012,6.32959e-012,5.1e-012,3.29774e-012,4.09281e-012,3.29774e-012
76,12.77,9.76863e-015,1.21238e-014,9.76863e-015,1.43803e-013,1.78473e-013,1.43803e-013,8.04698e-013,9.98708e-013,8.04698e-013,1.50149e-012,1.8635e-012,1.50149e-012,9.75386e-013,1.21055e-012,9.75386e-013
