gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[1 0],VF[1 1],VF[1 2],VF[2 0],VF[2 1],VF[2 2],VF[3 0],VF[3 1],VF[3 2],VF[4 0],VF[4 1],VF[4 2]
72,11.2021,-15.7203,-15.7203,-15.7184,-15.5632,-15.5632,-15.5615,-15.3746,-15.3746,-15.3734,-15.1558,-15.1558,-15.155,-14.9105,-14.9105,-14.9101
73,11.5773,-15.602,-15.602,-15.6,-15.4491,-15.4491,-15.4473,-15.2655,-15.2655,-15.2642,-15.0522,-15.0522,-15.0514,-14.8129,-14.8129,-14.8125
74,11.9634,-15.4836,-15.4836,-15.4816,-15.335,-15.335,-15.3331,-15.1562,-15.1562,-15.1549,-14.9483,-14.9483,-14.9474,-14.7148,-14.7148,-14.7145
75,12.3609,-15.3653,-15.3653,-15.3633,-15.2208,-15.2208,-15.2189,-15.0468,-15.0468,-15.0454,-14.8441,-14.8441,-14.8432,-14.6164,-14.6164,-14.616
76,12.77,-15.2471,-15.2471,-15.245,-15.1066,-15.1066,-15.1047,-14.9372,-14.9372,-14.9358,-14.7397,-14.7397,-14.7387,-14.5176,-14.5176,-14.5171
77,13.1911,-15.1289,-15.1289,-15.1268,-14.9923,-14.9923,-14.9904,-14.8274,-14.8274,-14.826,-14.6349,-14.6349,-14.6339,-14.4184,-14.4184,-14.4178
78,13.6246,-15.0108,-15.0108,-15.0087,-14.878,-14.878,-14.876,-14.7174,-14.7174,-14.716,-14.5299,-14.5299,-14.5289,-14.3187,-14.3187,-14.3181
79,14.0707,-14.8927,-14.8927,-14.8905,-14.7636,-14.7636,-14.7616,-14.6073,-14.6073,-14.6058,-14.4246,-14.4246,-14.4236,-14.2187,-14.2187,-14.218
80,14.5299,-14.7747,-14.7747,-14.7724,-14.6492,-14.6492,-14.6472,-14.4971,-14.4971,-14.4955,-14.3192,-14.3192,-14.318,-14.1185,-14.1185,-14.1178
81,15.0026,-14.6567,-14.6567,-14.6544,-14.5346,-14.5346,-14.5327,-14.3867,-14.3867,-14.385,-14.2135,-14.2135,-14.2123,-14.0179,-14.0179,-14.0172
82,15.4891,-14.5387,-14.5387,-14.5364,-14.4201,-14.4201,-14.4181,-14.2761,-14.2761,-14.2744,-14.1076,-14.1076,-14.1064,-13.917,-13.917,-13.9163
83,15.9899,-14.4208,-14.4208,-14.4184,-14.3055,-14.3055,-14.3035,-14.1654,-14.1654,-14.1636,-14.0015,-14.0015,-14.0002,-13.8158,-13.8158,-13.815
84,16.5054,-14.3029,-14.3029,-14.3005,-14.1908,-14.1908,-14.1888,-14.0546,-14.0546,-14.0528,-13.8951,-13.8951,-13.8938,-13.7142,-13.7142,-13.7133
85,17.036,-14.1851,-14.1851,-14.1826,-14.0761,-14.0761,-14.0741,-13.9437,-13.9437,-13.9418,-13.7885,-13.7885,-13.7871,-13.6123,-13.6123,-13.6113
86,17.5821,-14.0673,-14.0673,-14.0648,-13.9614,-13.9614,-13.9594,-13.8327,-13.8327,-13.8307,-13.6816,-13.6816,-13.6803,-13.51,-13.51,-13.509
87,18.1442,-13.9495,-13.9495,-13.947,-13.8467,-13.8467,-13.8447,-13.7215,-13.7215,-13.7196,-13.5746,-13.5746,-13.5732,-13.4073,-13.4073,-13.4064
88,18.7228,-13.8319,-13.8319,-13.8293,-13.732,-13.732,-13.7299,-13.6103,-13.6103,-13.6084,-13.4673,-13.4673,-13.4659,-13.3044,-13.3044,-13.3034
89,19.3184,-13.7142,-13.7142,-13.7117,-13.6173,-13.6173,-13.6151,-13.499,-13.499,-13.4971,-13.3599,-13.3599,-13.3584,-13.2012,-13.2012,-13.2002
90,19.9314,-13.5967,-13.5967,-13.5942,-13.5025,-13.5025,-13.5004,-13.3876,-13.3876,-13.3857,-13.2522,-13.2522,-13.2508,-13.0977,-13.0977,-13.0967
91,20.5623,-13.4794,-13.4794,-13.4768,-13.3879,-13.3879,-13.3857,-13.2762,-13.2762,-13.2743,-13.1445,-13.1445,-13.143,-12.994,-12.994,-12.9929
92,21.2118,-13.3622,-13.3622,-13.3595,-13.2733,-13.2733,-13.2711,-13.1647,-13.1647,-13.1628,-13.0366,-13.0366,-13.0351,-12.8902,-12.8902,-12.8891
93,21.8803,-13.2451,-13.2451,-13.2424,-13.1588,-13.1588,-13.1566,-13.0532,-13.0532,-13.0514,-12.9286,-12.9286,-12.927,-12.7862,-12.7862,-12.7851
94,22.5684,-13.1281,-13.1281,-13.1255,-13.0443,-13.0443,-13.0421,-12.9418,-12.9418,-12.9399,-12.8206,-12.8206,-12.819,-12.6821,-12.6821,-12.681
95,23.2766,-13.0113,-13.0113,-13.0087,-12.93,-12.93,-12.9277,-12.8304,-12.8304,-12.8285,-12.7126,-12.7126,-12.7109,-12.578,-12.578,-12.5768
96,24.0056,-12.8947,-12.8947,-12.892,-12.8158,-12.8158,-12.8135,-12.719,-12.719,-12.7171,-12.6045,-12.6045,-12.6028,-12.4737,-12.4737,-12.4725
97,24.756,-12.7783,-12.7783,-12.7756,-12.7016,-12.7016,-12.6993,-12.6077,-12.6077,-12.6058,-12.4964,-12.4964,-12.4946,-12.3692,-12.3692,-12.368
