gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6],VF[7],VF[8],VF[9],VF[10],VF[11],VF[12],VF[13],VF[14],VF[15],VF[16],VF[17],VF[18],VF[19],VF[20],VF[21],VF[22],VF[23],VF[24],VF[25],VF[26],VF[27],VF[28],VF[29],VF[30],VF[31],VF[32],VF[33],VF[34],VF[35],VF[36],VF[37],VF[38],VF[39],VF[40],VF[41],VF[42],VF[43],VF[44],VF[45],VF[46],VF[47],VF[48]
263,19.1366,-1.26816,-1.25926,-1.25047,-1.24179,-1.23322,-1.22475,-1.21639,-1.25734,-1.24858,-1.23992,-1.23137,-1.22292,-1.21458,-1.20634,-1.24504,-1.23643,-1.22792,-1.21952,-1.21122,-1.20301,-1.19491,-1.23104,-1.2226,-1.21426,-1.20602,-1.19788,-1.18983,-1.18188,-1.21506,-1.20681,-1.19866,-1.19061,-1.18265,-1.17478,-1.16701,-1.19681,-1.18877,-1.18084,-1.17299,-1.16524,-1.15757,-1.14999,-1.17595,-1.16816,-1.16046,-1.15285,-1.14533,-1.13789,-1.13054
264,19.3395,-1.25891,-1.25004,-1.24127,-1.23261,-1.22407,-1.21562,-1.20728,-1.24823,-1.23949,-1.23086,-1.22233,-1.21391,-1.20558,-1.19736,-1.2361,-1.2275,-1.21902,-1.21063,-1.20235,-1.19417,-1.18608,-1.22227,-1.21385,-1.20553,-1.19731,-1.18918,-1.18116,-1.17323,-1.20649,-1.19826,-1.19012,-1.18209,-1.17415,-1.1663,-1.15854,-1.18846,-1.18045,-1.17252,-1.16469,-1.15695,-1.1493,-1.14174,-1.16786,-1.16009,-1.1524,-1.1448,-1.13729,-1.12987,-1.12253
265,19.5445,-1.2497,-1.24084,-1.2321,-1.22347,-1.21494,-1.20652,-1.1982,-1.23916,-1.23044,-1.22183,-1.21332,-1.20492,-1.19662,-1.18842,-1.22718,-1.2186,-1.21014,-1.20177,-1.19351,-1.18535,-1.17728,-1.21353,-1.20512,-1.19682,-1.18862,-1.18052,-1.17251,-1.1646,-1.19794,-1.18973,-1.18161,-1.17359,-1.16567,-1.15784,-1.1501,-1.18014,-1.17214,-1.16423,-1.15642,-1.14869,-1.14106,-1.13351,-1.15979,-1.15203,-1.14436,-1.13677,-1.12927,-1.12187,-1.11455
266,19.7515,-1.24051,-1.23168,-1.22297,-1.21435,-1.20585,-1.19746,-1.18916,-1.23011,-1.22141,-1.21283,-1.20434,-1.19596,-1.18768,-1.17951,-1.21829,-1.20973,-1.20129,-1.19294,-1.18471,-1.17656,-1.16852,-1.20481,-1.19643,-1.18814,-1.17996,-1.17188,-1.16389,-1.156,-1.18942,-1.18122,-1.17313,-1.16512,-1.15722,-1.14941,-1.14169,-1.17184,-1.16386,-1.15596,-1.14816,-1.14046,-1.13284,-1.12531,-1.15174,-1.14399,-1.13633,-1.12876,-1.12128,-1.11389,-1.10658
267,19.9605,-1.23136,-1.22255,-1.21386,-1.20527,-1.1968,-1.18842,-1.18015,-1.2211,-1.21242,-1.20385,-1.19539,-1.18704,-1.17878,-1.17063,-1.20942,-1.20089,-1.19247,-1.18415,-1.17593,-1.16781,-1.15978,-1.19612,-1.18775,-1.17949,-1.17133,-1.16326,-1.1553,-1.14742,-1.18092,-1.17274,-1.16467,-1.15668,-1.1488,-1.141,-1.1333,-1.16357,-1.15559,-1.14772,-1.13993,-1.13224,-1.12464,-1.11713,-1.14371,-1.13597,-1.12833,-1.12077,-1.11331,-1.10593,-1.09864
268,20.1715,-1.22224,-1.21346,-1.20479,-1.19622,-1.18777,-1.17942,-1.17117,-1.21211,-1.20346,-1.19491,-1.18647,-1.17814,-1.16991,-1.16178,-1.20059,-1.19208,-1.18368,-1.17537,-1.16718,-1.15908,-1.15108,-1.18746,-1.17911,-1.17087,-1.16272,-1.15468,-1.14673,-1.13888,-1.17245,-1.16429,-1.15623,-1.14826,-1.1404,-1.13262,-1.12494,-1.15531,-1.14736,-1.1395,-1.13173,-1.12406,-1.11647,-1.10897,-1.1357,-1.12798,-1.12035,-1.1128,-1.10536,-1.09799,-1.09072
269,20.3846,-1.21315,-1.20439,-1.19575,-1.1872,-1.17878,-1.17045,-1.16223,-1.20316,-1.19452,-1.186,-1.17759,-1.16928,-1.16107,-1.15296,-1.19178,-1.1833,-1.17491,-1.16663,-1.15846,-1.15038,-1.1424,-1.17882,-1.17049,-1.16227,-1.15415,-1.14612,-1.1382,-1.13037,-1.16401,-1.15586,-1.14782,-1.13987,-1.13203,-1.12427,-1.11661,-1.14708,-1.13914,-1.1313,-1.12355,-1.11589,-1.10832,-1.10084,-1.12771,-1.12,-1.11239,-1.10486,-1.09743,-1.09008,-1.08282
270,20.5998,-1.2041,-1.19536,-1.18674,-1.17822,-1.16982,-1.16152,-1.15332,-1.19423,-1.18562,-1.17712,-1.16873,-1.16044,-1.15226,-1.14418,-1.18301,-1.17454,-1.16618,-1.15792,-1.14977,-1.14172,-1.13376,-1.17021,-1.1619,-1.1537,-1.1456,-1.1376,-1.12969,-1.12188,-1.15559,-1.14746,-1.13944,-1.13151,-1.12368,-1.11594,-1.1083,-1.13887,-1.13095,-1.12313,-1.11539,-1.10775,-1.1002,-1.09274,-1.11974,-1.11205,-1.10445,-1.09694,-1.08952,-1.08219,-1.07495
271,20.8172,-1.19507,-1.18637,-1.17777,-1.16928,-1.1609,-1.15262,-1.14444,-1.18534,-1.17675,-1.16828,-1.15991,-1.15164,-1.14348,-1.13542,-1.17426,-1.16581,-1.15748,-1.14924,-1.14111,-1.13308,-1.12515,-1.16163,-1.15334,-1.14516,-1.13708,-1.1291,-1.12121,-1.11342,-1.14719,-1.13908,-1.13108,-1.12317,-1.11536,-1.10764,-1.10002,-1.13069,-1.12278,-1.11498,-1.10726,-1.09964,-1.09211,-1.08466,-1.1118,-1.10412,-1.09654,-1.08904,-1.08164,-1.07432,-1.06709
272,21.0366,-1.18608,-1.1774,-1.16883,-1.16036,-1.15201,-1.14376,-1.13561,-1.17647,-1.16791,-1.15946,-1.15111,-1.14288,-1.13474,-1.1267,-1.16554,-1.15712,-1.1488,-1.14059,-1.13249,-1.12448,-1.11657,-1.15307,-1.14481,-1.13665,-1.12859,-1.12063,-1.11276,-1.105,-1.13882,-1.13073,-1.12275,-1.11486,-1.10707,-1.09937,-1.09177,-1.12253,-1.11464,-1.10685,-1.09915,-1.09155,-1.08403,-1.07661,-1.10387,-1.09621,-1.08864,-1.08116,-1.07378,-1.06648,-1.05927
273,21.2582,-1.17713,-1.16847,-1.15992,-1.15148,-1.14315,-1.13493,-1.1268,-1.16764,-1.1591,-1.15067,-1.14235,-1.13414,-1.12603,-1.11802,-1.15685,-1.14845,-1.14016,-1.13197,-1.12389,-1.1159,-1.10802,-1.14455,-1.1363,-1.12816,-1.12012,-1.11219,-1.10435,-1.0966,-1.13048,-1.12241,-1.11445,-1.10658,-1.09881,-1.09113,-1.08354,-1.11439,-1.10652,-1.09875,-1.09107,-1.08349,-1.07599,-1.06858,-1.09597,-1.08832,-1.08077,-1.07331,-1.06594,-1.05866,-1.05146
274,21.4819,-1.1682,-1.15957,-1.15105,-1.14263,-1.13433,-1.12613,-1.11803,-1.15884,-1.15032,-1.14192,-1.13362,-1.12544,-1.11735,-1.10936,-1.14819,-1.13982,-1.13155,-1.12338,-1.11532,-1.10736,-1.0995,-1.13605,-1.12783,-1.11971,-1.11169,-1.10378,-1.09596,-1.08823,-1.12216,-1.11411,-1.10617,-1.09832,-1.09057,-1.08291,-1.07535,-1.10628,-1.09843,-1.09068,-1.08302,-1.07545,-1.06797,-1.06058,-1.08809,-1.08046,-1.07292,-1.06548,-1.05813,-1.05086,-1.04368
275,21.7079,-1.15931,-1.1507,-1.14221,-1.13382,-1.12554,-1.11737,-1.1093,-1.15007,-1.14158,-1.1332,-1.12493,-1.11676,-1.1087,-1.10074,-1.13956,-1.13121,-1.12297,-1.11482,-1.10679,-1.09885,-1.09101,-1.12758,-1.11938,-1.11128,-1.10329,-1.0954,-1.0876,-1.0799,-1.11387,-1.10584,-1.09792,-1.09009,-1.08236,-1.07473,-1.06718,-1.0982,-1.09036,-1.08263,-1.07498,-1.06744,-1.05998,-1.05261,-1.08023,-1.07262,-1.0651,-1.05767,-1.05034,-1.04309,-1.03593
276,21.936,-1.15045,-1.14187,-1.1334,-1.12504,-1.11679,-1.10864,-1.10059,-1.14133,-1.13286,-1.12451,-1.11626,-1.10813,-1.10009,-1.09215,-1.13097,-1.12264,-1.11442,-1.1063,-1.09828,-1.09037,-1.08255,-1.11914,-1.11096,-1.10289,-1.09491,-1.08704,-1.07927,-1.07159,-1.10561,-1.0976,-1.0897,-1.08189,-1.07418,-1.06657,-1.05905,-1.09013,-1.08232,-1.0746,-1.06698,-1.05945,-1.05201,-1.04466,-1.0724,-1.0648,-1.0573,-1.04989,-1.04258,-1.03534,-1.0282
277,22.1664,-1.14162,-1.13307,-1.12463,-1.11629,-1.10807,-1.09995,-1.09193,-1.13262,-1.12418,-1.11586,-1.10763,-1.09952,-1.09151,-1.0836,-1.1224,-1.11409,-1.1059,-1.0978,-1.08981,-1.08192,-1.07413,-1.11072,-1.10257,-1.09452,-1.08657,-1.07872,-1.07097,-1.06332,-1.09737,-1.08939,-1.0815,-1.07372,-1.06603,-1.05844,-1.05094,-1.0821,-1.0743,-1.06661,-1.059,-1.05149,-1.04407,-1.03674,-1.06458,-1.05701,-1.04953,-1.04213,-1.03483,-1.02762,-1.02049
278,22.399,-1.13283,-1.1243,-1.11589,-1.10758,-1.09938,-1.09129,-1.0833,-1.12395,-1.11554,-1.10724,-1.09904,-1.09095,-1.08296,-1.07508,-1.11386,-1.10558,-1.09741,-1.08934,-1.08137,-1.07351,-1.06574,-1.10234,-1.09421,-1.08618,-1.07825,-1.07043,-1.0627,-1.05507,-1.08916,-1.0812,-1.07334,-1.06557,-1.05791,-1.05033,-1.04286,-1.07409,-1.06631,-1.05863,-1.05105,-1.04356,-1.03616,-1.02885,-1.05679,-1.04924,-1.04177,-1.0344,-1.02712,-1.01992,-1.01281
279,22.634,-1.12407,-1.11557,-1.10718,-1.0989,-1.09073,-1.08266,-1.0747,-1.11531,-1.10693,-1.09865,-1.09048,-1.08242,-1.07445,-1.06659,-1.10535,-1.0971,-1.08895,-1.0809,-1.07296,-1.06512,-1.05738,-1.09399,-1.08588,-1.07787,-1.06997,-1.06217,-1.05446,-1.04686,-1.08098,-1.07304,-1.0652,-1.05745,-1.04981,-1.04226,-1.03481,-1.0661,-1.05834,-1.05069,-1.04312,-1.03565,-1.02827,-1.02098,-1.04903,-1.04149,-1.03405,-1.02669,-1.01943,-1.01225,-1.00516
280,22.8712,-1.11535,-1.10687,-1.09851,-1.09026,-1.08212,-1.07407,-1.06614,-1.1067,-1.09835,-1.0901,-1.08195,-1.07391,-1.06598,-1.05814,-1.09688,-1.08864,-1.08052,-1.0725,-1.06459,-1.05677,-1.04906,-1.08566,-1.07758,-1.0696,-1.06172,-1.05394,-1.04626,-1.03867,-1.07283,-1.06491,-1.05709,-1.04937,-1.04175,-1.03422,-1.02678,-1.05814,-1.0504,-1.04277,-1.03522,-1.02778,-1.02042,-1.01315,-1.04129,-1.03377,-1.02634,-1.019,-1.01176,-1.0046,-0.997527
281,23.1107,-1.10665,-1.09821,-1.08988,-1.08165,-1.07353,-1.06552,-1.05761,-1.09813,-1.0898,-1.08158,-1.07346,-1.06545,-1.05754,-1.04973,-1.08843,-1.08022,-1.07213,-1.06413,-1.05624,-1.04845,-1.04076,-1.07737,-1.06931,-1.06135,-1.05349,-1.04574,-1.03808,-1.03052,-1.0647,-1.0568,-1.04901,-1.04131,-1.03371,-1.0262,-1.01879,-1.05021,-1.04249,-1.03488,-1.02735,-1.01992,-1.01259,-1.00534,-1.03357,-1.02607,-1.01866,-1.01134,-1.00412,-0.996977,-0.989924
282,23.3526,-1.098,-1.08958,-1.08127,-1.07307,-1.06499,-1.057,-1.04912,-1.08959,-1.08128,-1.07309,-1.065,-1.05701,-1.04913,-1.04135,-1.08002,-1.07184,-1.06376,-1.0558,-1.04793,-1.04017,-1.0325,-1.0691,-1.06106,-1.05313,-1.0453,-1.03757,-1.02994,-1.0224,-1.0566,-1.04873,-1.04096,-1.03328,-1.0257,-1.01822,-1.01083,-1.0423,-1.0346,-1.02701,-1.01951,-1.0121,-1.00478,-0.997556,-1.02588,-1.0184,-1.01101,-1.00371,-0.996501,-0.98938,-0.982346
283,23.5969,-1.08937,-1.08098,-1.0727,-1.06453,-1.05648,-1.04852,-1.04066,-1.08108,-1.0728,-1.06463,-1.05657,-1.04861,-1.04076,-1.033,-1.07164,-1.06348,-1.05543,-1.04749,-1.03965,-1.03191,-1.02428,-1.06087,-1.05285,-1.04495,-1.03714,-1.02943,-1.02183,-1.01431,-1.04853,-1.04068,-1.03293,-1.02528,-1.01773,-1.01027,-1.0029,-1.03442,-1.02674,-1.01917,-1.01169,-1.0043,-0.997008,-0.989803,-1.01821,-1.01075,-1.00338,-0.996098,-0.98891,-0.981808,-0.974794
284,23.8435,-1.08078,-1.07242,-1.06417,-1.05603,-1.048,-1.04007,-1.03225,-1.07261,-1.06435,-1.05621,-1.04818,-1.04025,-1.03242,-1.02469,-1.06329,-1.05516,-1.04714,-1.03922,-1.03141,-1.0237,-1.01608,-1.05266,-1.04467,-1.03679,-1.02901,-1.02133,-1.01374,-1.00626,-1.04049,-1.03266,-1.02494,-1.01731,-1.00978,-1.00234,-0.995,-1.02656,-1.01891,-1.01136,-1.0039,-0.996536,-0.989262,-0.982078,-1.01057,-1.00312,-0.995774,-0.988513,-0.981345,-0.974263,-0.967269
285,24.0926,-1.07223,-1.06389,-1.05567,-1.04756,-1.03956,-1.03166,-1.02386,-1.06416,-1.05594,-1.04783,-1.03982,-1.03192,-1.02411,-1.01642,-1.05497,-1.04687,-1.03888,-1.03098,-1.0232,-1.01551,-1.00792,-1.04449,-1.03652,-1.02867,-1.02091,-1.01325,-1.0057,-0.998235,-1.03248,-1.02468,-1.01697,-1.00937,-1.00186,-0.994448,-0.98713,-1.01874,-1.01111,-1.00358,-0.996137,-0.988796,-0.981544,-0.974382,-1.00295,-0.995527,-0.988196,-0.980954,-0.973807,-0.966745,-0.95977
286,24.344,-1.06371,-1.0554,-1.04721,-1.03913,-1.03115,-1.02328,-1.01552,-1.05576,-1.04756,-1.03947,-1.03149,-1.02362,-1.01585,-1.00817,-1.04669,-1.03861,-1.03065,-1.02278,-1.01502,-1.00736,-0.999799,-1.03634,-1.02841,-1.02057,-1.01284,-1.00521,-0.997679,-0.990244,-1.0245,-1.01672,-1.00904,-1.00145,-0.993973,-0.986585,-0.979291,-1.01094,-1.00333,-0.99582,-0.988404,-0.981085,-0.973855,-0.966716,-0.995359,-0.987954,-0.980643,-0.973422,-0.966294,-0.959253,-0.952299
287,24.598,-1.05522,-1.04695,-1.03878,-1.03073,-1.02279,-1.01494,-1.00721,-1.04738,-1.03921,-1.03116,-1.0232,-1.01536,-1.00761,-0.999969,-1.03844,-1.03039,-1.02245,-1.01461,-1.00688,-0.999243,-0.991707,-1.02823,-1.02032,-1.01251,-1.0048,-0.997202,-0.989695,-0.982285,-1.01655,-1.00879,-1.00113,-0.993574,-0.986116,-0.978752,-0.971482,-1.00316,-0.995578,-0.988092,-0.980698,-0.973402,-0.966195,-0.959078,-0.987792,-0.980406,-0.973116,-0.965915,-0.958809,-0.951788,-0.944855
288,24.8544,-1.04677,-1.03852,-1.03039,-1.02237,-1.01445,-1.00664,-0.998933,-1.03904,-1.0309,-1.02287,-1.01495,-1.00713,-0.999414,-0.991799,-1.03022,-1.0222,-1.01429,-1.00648,-0.99877,-0.991162,-0.983652,-1.02015,-1.01226,-1.00448,-0.996801,-0.989224,-0.981743,-0.974359,-1.00863,-1.00089,-0.993258,-0.985723,-0.97829,-0.97095,-0.963705,-0.995419,-0.987856,-0.980392,-0.973021,-0.965748,-0.958564,-0.95147,-0.98025,-0.972885,-0.965615,-0.958435,-0.95135,-0.94435,-0.937438
289,25.1134,-1.03835,-1.03014,-1.02204,-1.01404,-1.00616,-0.998375,-0.990696,-1.03073,-1.02262,-1.01462,-1.00673,-0.998939,-0.991251,-0.983665,-1.02204,-1.01404,-1.00616,-0.998373,-0.990695,-0.983114,-0.975633,-1.0121,-1.00424,-0.996485,-0.988829,-0.981279,-0.973824,-0.966466,-1.00073,-0.993023,-0.985414,-0.977903,-0.970495,-0.96318,-0.955959,-0.987702,-0.980162,-0.972721,-0.965373,-0.958123,-0.950962,-0.943892,-0.972733,-0.96539,-0.958141,-0.950982,-0.943918,-0.936939,-0.930049
290,25.3749,-1.02998,-1.02179,-1.01372,-1.00575,-0.997897,-0.990144,-0.982496,-1.02246,-1.01438,-1.00641,-0.998541,-0.990782,-0.983123,-0.975566,-1.01389,-1.00592,-0.998061,-0.990304,-0.982654,-0.975101,-0.967648,-1.00409,-0.996251,-0.988521,-0.98089,-0.973366,-0.965938,-0.958607,-0.992871,-0.985185,-0.977601,-0.970114,-0.962731,-0.955441,-0.948246,-0.980013,-0.972496,-0.965079,-0.957754,-0.950528,-0.94339,-0.936343,-0.965243,-0.957921,-0.950694,-0.943556,-0.936513,-0.929557,-0.922688
291,25.6389,-1.02163,-1.01348,-1.00543,-0.997498,-0.989673,-0.981951,-0.974334,-1.01422,-1.00617,-0.998229,-0.99039,-0.982661,-0.975031,-0.967504,-1.00577,-0.997829,-0.989998,-0.98227,-0.974647,-0.967123,-0.959698,-0.996101,-0.988293,-0.98059,-0.972986,-0.965486,-0.958085,-0.950781,-0.985038,-0.977378,-0.969819,-0.962356,-0.954998,-0.947733,-0.940563,-0.972352,-0.96486,-0.957466,-0.950165,-0.942962,-0.935848,-0.928825,-0.95778,-0.950479,-0.943273,-0.936158,-0.929136,-0.922201,-0.915355
292,25.9056,-1.01332,-1.0052,-0.997189,-0.989284,-0.981489,-0.973795,-0.966208,-1.00602,-0.997998,-0.990084,-0.982275,-0.974575,-0.966976,-0.959478,-0.997682,-0.989772,-0.981969,-0.974269,-0.966676,-0.95918,-0.951783,-0.988149,-0.980368,-0.972691,-0.965114,-0.957641,-0.950265,-0.942988,-0.977236,-0.969601,-0.962067,-0.954631,-0.947296,-0.940057,-0.932913,-0.964721,-0.957252,-0.949882,-0.942605,-0.935425,-0.928335,-0.921337,-0.950342,-0.943063,-0.93588,-0.928786,-0.921787,-0.914875,-0.90805
293,26.1748,-1.00505,-0.996963,-0.988982,-0.981108,-0.973344,-0.965682,-0.958122,-0.997853,-0.989859,-0.981975,-0.974196,-0.966526,-0.958956,-0.951488,-0.98963,-0.981748,-0.973975,-0.966304,-0.958738,-0.951271,-0.943903,-0.980228,-0.972474,-0.964826,-0.957276,-0.94983,-0.942479,-0.935229,-0.969464,-0.961855,-0.954347,-0.946936,-0.939627,-0.932413,-0.925295,-0.957118,-0.949673,-0.942327,-0.935074,-0.927919,-0.920854,-0.91388,-0.942932,-0.935675,-0.928514,-0.921443,-0.914466,-0.907576,-0.900774
294,26.4467,-0.996822,-0.988761,-0.980812,-0.972969,-0.965236,-0.957605,-0.950076,-0.989719,-0.981755,-0.973902,-0.966153,-0.958513,-0.950973,-0.943534,-0.981611,-0.973759,-0.966015,-0.958372,-0.950836,-0.943397,-0.936058,-0.97234,-0.964614,-0.956993,-0.949471,-0.942052,-0.934729,-0.927504,-0.961723,-0.95414,-0.946659,-0.939274,-0.931989,-0.924802,-0.91771,-0.949544,-0.942123,-0.934802,-0.927573,-0.920443,-0.913402,-0.906453,-0.935549,-0.928314,-0.921176,-0.914127,-0.907174,-0.900306,-0.893527
295,26.7212,-0.988626,-0.980597,-0.972679,-0.964868,-0.957166,-0.949565,-0.942068,-0.981621,-0.973688,-0.965865,-0.958146,-0.950536,-0.943026,-0.935617,-0.973627,-0.965805,-0.958089,-0.950476,-0.942968,-0.935559,-0.928248,-0.964485,-0.956787,-0.949193,-0.941699,-0.934308,-0.927012,-0.919814,-0.954013,-0.946456,-0.939001,-0.931643,-0.924385,-0.917223,-0.910157,-0.941999,-0.934603,-0.927306,-0.920103,-0.912998,-0.905982,-0.899058,-0.928193,-0.920981,-0.913865,-0.90684,-0.899909,-0.893065,-0.886309
296,26.9985,-0.980467,-0.972469,-0.964583,-0.956803,-0.949133,-0.941563,-0.934097,-0.973558,-0.965656,-0.957863,-0.950175,-0.942595,-0.935115,-0.927737,-0.965678,-0.957884,-0.950198,-0.942614,-0.935136,-0.927755,-0.920475,-0.956662,-0.948992,-0.941427,-0.93396,-0.926598,-0.91933,-0.91216,-0.946334,-0.938804,-0.931376,-0.924044,-0.916813,-0.909676,-0.902638,-0.934484,-0.927113,-0.919841,-0.912663,-0.905583,-0.898592,-0.891693,-0.920864,-0.913676,-0.906583,-0.899581,-0.892674,-0.885853,-0.87912
297,27.2784,-0.972345,-0.964379,-0.956525,-0.948776,-0.941137,-0.933599,-0.926164,-0.965532,-0.957659,-0.949897,-0.94224,-0.93469,-0.927241,-0.919894,-0.957763,-0.949999,-0.942342,-0.934787,-0.927339,-0.919988,-0.912737,-0.948873,-0.941231,-0.933693,-0.926256,-0.918922,-0.911683,-0.904541,-0.938687,-0.931183,-0.923782,-0.916478,-0.909274,-0.902163,-0.895151,-0.926998,-0.919653,-0.912406,-0.905254,-0.898199,-0.891234,-0.88436,-0.913563,-0.906399,-0.89933,-0.892351,-0.885467,-0.87867,-0.871961
298,27.5611,-0.964259,-0.956325,-0.948503,-0.940786,-0.933178,-0.925673,-0.91827,-0.95754,-0.949699,-0.941968,-0.934341,-0.926823,-0.919405,-0.912088,-0.949882,-0.942147,-0.934521,-0.926996,-0.919577,-0.912256,-0.905035,-0.941116,-0.933503,-0.925994,-0.918585,-0.91128,-0.904069,-0.896956,-0.931071,-0.923595,-0.916221,-0.908944,-0.901767,-0.894683,-0.887697,-0.919543,-0.912223,-0.905002,-0.897875,-0.890846,-0.883906,-0.877058,-0.906291,-0.89915,-0.892105,-0.88515,-0.87829,-0.871516,-0.864831
299,27.8465,-0.956211,-0.948309,-0.940518,-0.932833,-0.925258,-0.917784,-0.910413,-0.949585,-0.941775,-0.934075,-0.926479,-0.918992,-0.911605,-0.904319,-0.942036,-0.934331,-0.926734,-0.91924,-0.911851,-0.904561,-0.897369,-0.933393,-0.925808,-0.918329,-0.910949,-0.903672,-0.896491,-0.889406,-0.923487,-0.916039,-0.908692,-0.901443,-0.894293,-0.887237,-0.880277,-0.912117,-0.904823,-0.897629,-0.890528,-0.883524,-0.87661,-0.869788,-0.899046,-0.891929,-0.884908,-0.877978,-0.871141,-0.864392,-0.857731
300,28.1348,-0.948199,-0.940329,-0.932571,-0.924918,-0.917376,-0.909934,-0.902595,-0.941666,-0.933887,-0.926218,-0.918654,-0.911198,-0.903842,-0.896588,-0.934224,-0.92655,-0.918984,-0.91152,-0.904161,-0.896901,-0.889739,-0.925703,-0.918148,-0.910698,-0.903347,-0.896099,-0.888947,-0.881891,-0.915936,-0.908515,-0.901196,-0.893974,-0.886852,-0.879823,-0.87289,-0.904723,-0.897455,-0.890286,-0.883211,-0.876234,-0.869346,-0.86255,-0.89183,-0.884738,-0.877741,-0.870834,-0.864023,-0.857298,-0.850661
301,28.4258,-0.940224,-0.932387,-0.924662,-0.917042,-0.909531,-0.902122,-0.894816,-0.933782,-0.926035,-0.918398,-0.910866,-0.903441,-0.896117,-0.888894,-0.926448,-0.918804,-0.911269,-0.903835,-0.896507,-0.889277,-0.882146,-0.918047,-0.910522,-0.903101,-0.895779,-0.88856,-0.881437,-0.87441,-0.908416,-0.901024,-0.893733,-0.886539,-0.879445,-0.872443,-0.865536,-0.897358,-0.890117,-0.882974,-0.875926,-0.868975,-0.862114,-0.855344,-0.884643,-0.877575,-0.870602,-0.863721,-0.856934,-0.850233,-0.843621
302,28.7197,-0.932287,-0.924483,-0.91679,-0.909203,-0.901725,-0.894349,-0.887075,-0.925935,-0.91822,-0.910615,-0.903114,-0.895722,-0.888429,-0.881237,-0.918707,-0.911094,-0.90359,-0.896187,-0.888889,-0.881689,-0.874588,-0.910426,-0.902929,-0.895538,-0.888246,-0.881057,-0.873963,-0.866965,-0.90093,-0.893565,-0.886302,-0.879136,-0.87207,-0.865097,-0.858218,-0.890025,-0.88281,-0.875694,-0.868672,-0.861748,-0.854913,-0.84817,-0.877484,-0.870441,-0.863494,-0.856637,-0.849874,-0.843199,-0.836611
303,29.0165,-0.924387,-0.916616,-0.908957,-0.901403,-0.893958,-0.886614,-0.879372,-0.918125,-0.910442,-0.902869,-0.8954,-0.888039,-0.880778,-0.873618,-0.911001,-0.90342,-0.895946,-0.888574,-0.881307,-0.874138,-0.867068,-0.902838,-0.895371,-0.88801,-0.880747,-0.873588,-0.866523,-0.859556,-0.893475,-0.886139,-0.878904,-0.871767,-0.864729,-0.857785,-0.850934,-0.882722,-0.875534,-0.868445,-0.86145,-0.854552,-0.847744,-0.841028,-0.870355,-0.863337,-0.856414,-0.849582,-0.842845,-0.836195,-0.829632
304,29.3162,-0.916525,-0.908788,-0.901161,-0.89364,-0.886228,-0.878917,-0.871708,-0.910351,-0.902701,-0.89516,-0.887723,-0.880394,-0.873165,-0.866037,-0.903331,-0.895781,-0.888338,-0.880997,-0.873761,-0.866623,-0.859584,-0.895284,-0.887848,-0.880516,-0.873283,-0.866154,-0.859119,-0.852181,-0.886053,-0.878746,-0.87154,-0.864431,-0.857422,-0.850506,-0.843684,-0.87545,-0.868289,-0.861228,-0.85426,-0.847389,-0.840608,-0.833918,-0.863255,-0.856262,-0.849365,-0.842558,-0.835846,-0.829221,-0.822684
305,29.6188,-0.908701,-0.900997,-0.893404,-0.885916,-0.878537,-0.871259,-0.864083,-0.902615,-0.894997,-0.88749,-0.880085,-0.872787,-0.86559,-0.858494,-0.895696,-0.888178,-0.880766,-0.873456,-0.866252,-0.859145,-0.852137,-0.887765,-0.880359,-0.873057,-0.865855,-0.858755,-0.851751,-0.844843,-0.878665,-0.871386,-0.864209,-0.857129,-0.850149,-0.843261,-0.836467,-0.86821,-0.861076,-0.854042,-0.847101,-0.840258,-0.833504,-0.826841,-0.856184,-0.849216,-0.842345,-0.835564,-0.828877,-0.822277,-0.815766
306,29.9244,-0.900915,-0.893244,-0.885685,-0.87823,-0.870885,-0.86364,-0.856497,-0.894917,-0.887333,-0.879858,-0.872486,-0.865221,-0.858055,-0.850989,-0.888098,-0.88061,-0.87323,-0.865952,-0.858779,-0.851704,-0.844727,-0.88028,-0.872904,-0.865633,-0.858461,-0.851392,-0.844418,-0.83754,-0.871309,-0.864059,-0.856912,-0.84986,-0.842909,-0.836051,-0.829286,-0.861001,-0.853895,-0.846888,-0.839975,-0.833159,-0.826433,-0.819797,-0.849142,-0.842201,-0.835355,-0.8286,-0.821939,-0.815365,-0.808879
307,30.233,-0.893167,-0.88553,-0.878004,-0.870583,-0.863271,-0.85606,-0.848951,-0.887257,-0.879706,-0.872264,-0.864925,-0.857693,-0.850559,-0.843525,-0.880535,-0.873079,-0.865731,-0.858485,-0.851344,-0.8443,-0.837354,-0.87283,-0.865485,-0.858244,-0.851103,-0.844064,-0.83712,-0.830273,-0.863986,-0.856766,-0.849648,-0.842626,-0.835704,-0.828874,-0.822138,-0.853824,-0.846746,-0.839766,-0.832881,-0.826093,-0.819394,-0.812786,-0.842131,-0.835215,-0.828395,-0.821666,-0.815031,-0.808483,-0.802023
