gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6],VF[7],VF[8],VF[9],VF[10],VF[11],VF[12],VF[13],VF[14],VF[15],VF[16],VF[17],VF[18],VF[19],VF[20],VF[21],VF[22],VF[23],VF[24],VF[25],VF[26],VF[27],VF[28],VF[29],VF[30],VF[31],VF[32],VF[33],VF[34],VF[35],VF[36],VF[37],VF[38],VF[39],VF[40],VF[41],VF[42],VF[43],VF[44],VF[45],VF[46],VF[47],VF[48]
147,5.09886,-2.48725,-2.47829,-2.4694,-2.46058,-2.45183,-2.44316,-2.43456,-2.44693,-2.4383,-2.42974,-2.42124,-2.41281,-2.40443,-2.39612,-2.40218,-2.3939,-2.38568,-2.37752,-2.36942,-2.36137,-2.3534,-2.35249,-2.34457,-2.33672,-2.32892,-2.32119,-2.3135,-2.30586,-2.29732,-2.2898,-2.28234,-2.27493,-2.26758,-2.26027,-2.25301,-2.23615,-2.22905,-2.22202,-2.21501,-2.20806,-2.20116,-2.1943,-2.16851,-2.16186,-2.15525,-2.14869,-2.14217,-2.13568,-2.12925
148,5.16443,-2.47597,-2.46699,-2.45808,-2.44924,-2.44047,-2.43178,-2.42316,-2.43606,-2.4274,-2.41882,-2.4103,-2.40185,-2.39345,-2.38512,-2.39175,-2.38344,-2.3752,-2.36701,-2.35889,-2.35082,-2.34282,-2.34253,-2.33459,-2.32671,-2.31888,-2.31112,-2.30341,-2.29575,-2.28786,-2.28031,-2.27283,-2.26539,-2.25801,-2.25067,-2.24338,-2.22722,-2.2201,-2.21303,-2.206,-2.19901,-2.19209,-2.1852,-2.16014,-2.15346,-2.14682,-2.14023,-2.13369,-2.12716,-2.12071
149,5.23065,-2.4647,-2.4557,-2.44677,-2.43791,-2.42913,-2.4204,-2.41176,-2.4252,-2.41651,-2.40791,-2.39936,-2.39089,-2.38248,-2.37413,-2.38132,-2.37299,-2.36472,-2.35651,-2.34836,-2.34027,-2.33225,-2.33257,-2.3246,-2.31669,-2.30884,-2.30106,-2.29332,-2.28563,-2.2784,-2.27082,-2.2633,-2.25584,-2.24843,-2.24107,-2.23376,-2.21828,-2.21113,-2.20403,-2.19697,-2.18996,-2.18301,-2.17609,-2.15176,-2.14505,-2.13839,-2.13176,-2.12518,-2.11864,-2.11215
150,5.29751,-2.45343,-2.44441,-2.43547,-2.42659,-2.41778,-2.40905,-2.40038,-2.41434,-2.40563,-2.397,-2.38843,-2.37994,-2.37151,-2.36314,-2.37089,-2.36253,-2.35424,-2.34601,-2.33784,-2.32972,-2.32168,-2.3226,-2.3146,-2.30667,-2.29879,-2.29099,-2.28322,-2.27551,-2.26892,-2.26132,-2.25378,-2.24628,-2.23885,-2.23146,-2.22412,-2.20933,-2.20216,-2.19503,-2.18794,-2.1809,-2.17392,-2.16698,-2.14337,-2.13662,-2.12993,-2.12328,-2.11667,-2.11011,-2.10359
151,5.36503,-2.44217,-2.43313,-2.42417,-2.41527,-2.40645,-2.3977,-2.38901,-2.40348,-2.39475,-2.38609,-2.37751,-2.369,-2.36054,-2.35216,-2.36046,-2.35208,-2.34376,-2.3355,-2.32731,-2.31918,-2.3111,-2.31263,-2.30461,-2.29664,-2.28875,-2.28091,-2.27313,-2.2654,-2.25944,-2.25181,-2.24424,-2.23672,-2.22926,-2.22184,-2.21449,-2.20038,-2.19317,-2.18601,-2.17889,-2.17184,-2.16482,-2.15785,-2.13496,-2.12819,-2.12147,-2.11479,-2.10814,-2.10156,-2.09501
152,5.4332,-2.43092,-2.42186,-2.41288,-2.40396,-2.39513,-2.38635,-2.37765,-2.39263,-2.38388,-2.3752,-2.36659,-2.35806,-2.34958,-2.34118,-2.35003,-2.34162,-2.33328,-2.325,-2.31679,-2.30864,-2.30054,-2.30266,-2.29461,-2.28662,-2.2787,-2.27084,-2.26303,-2.25528,-2.24995,-2.24229,-2.2347,-2.22716,-2.21967,-2.21223,-2.20484,-2.19141,-2.18418,-2.17699,-2.16984,-2.16276,-2.15572,-2.14872,-2.12654,-2.11974,-2.113,-2.10628,-2.09961,-2.093,-2.08642
153,5.50205,-2.41968,-2.41059,-2.40159,-2.39266,-2.38381,-2.37502,-2.3663,-2.38178,-2.37301,-2.36431,-2.35567,-2.34712,-2.33863,-2.33021,-2.3396,-2.33116,-2.32281,-2.3145,-2.30627,-2.29809,-2.28998,-2.29268,-2.2846,-2.27659,-2.26864,-2.26076,-2.25293,-2.24516,-2.24046,-2.23277,-2.22516,-2.21759,-2.21007,-2.2026,-2.1952,-2.18244,-2.17517,-2.16795,-2.16078,-2.15367,-2.1466,-2.13958,-2.1181,-2.11128,-2.10451,-2.09776,-2.09107,-2.08443,-2.07782
154,5.57157,-2.40845,-2.39935,-2.39032,-2.38137,-2.3725,-2.3637,-2.35496,-2.37093,-2.36214,-2.35342,-2.34476,-2.33619,-2.32768,-2.31924,-2.32917,-2.32071,-2.31233,-2.30401,-2.29575,-2.28756,-2.27942,-2.2827,-2.2746,-2.26656,-2.25859,-2.25069,-2.24283,-2.23503,-2.23096,-2.22325,-2.2156,-2.20801,-2.20047,-2.19298,-2.18555,-2.17345,-2.16616,-2.15891,-2.15171,-2.14458,-2.13748,-2.13043,-2.10967,-2.10281,-2.096,-2.08923,-2.08252,-2.07584,-2.06921
155,5.64177,-2.39723,-2.3881,-2.37906,-2.37008,-2.3612,-2.35238,-2.34363,-2.36009,-2.35128,-2.34254,-2.33386,-2.32526,-2.31674,-2.30828,-2.31875,-2.31026,-2.30186,-2.29351,-2.28524,-2.27702,-2.26886,-2.27272,-2.26459,-2.25653,-2.24854,-2.24061,-2.23273,-2.22491,-2.22145,-2.21372,-2.20605,-2.19843,-2.19086,-2.18334,-2.17589,-2.16445,-2.15713,-2.14986,-2.14264,-2.13548,-2.12835,-2.12128,-2.10121,-2.09433,-2.08749,-2.08069,-2.07395,-2.06725,-2.06058
156,5.71266,-2.38601,-2.37687,-2.36781,-2.35881,-2.34991,-2.34107,-2.33231,-2.34925,-2.34042,-2.33166,-2.32297,-2.31435,-2.3058,-2.29732,-2.30832,-2.29982,-2.29138,-2.28302,-2.27472,-2.26649,-2.25831,-2.26273,-2.25458,-2.2465,-2.23848,-2.23053,-2.22263,-2.21479,-2.21194,-2.20418,-2.19649,-2.18884,-2.18125,-2.17371,-2.16623,-2.15545,-2.1481,-2.1408,-2.13355,-2.12637,-2.11922,-2.11212,-2.09275,-2.08584,-2.07896,-2.07214,-2.06538,-2.05864,-2.05195
157,5.78424,-2.3748,-2.36564,-2.35656,-2.34755,-2.33862,-2.32977,-2.321,-2.33842,-2.32957,-2.32079,-2.31208,-2.30344,-2.29487,-2.28637,-2.2979,-2.28937,-2.28091,-2.27253,-2.26421,-2.25596,-2.24776,-2.25274,-2.24457,-2.23647,-2.22842,-2.22045,-2.21253,-2.20467,-2.20243,-2.19464,-2.18692,-2.17925,-2.17164,-2.16407,-2.15657,-2.14644,-2.13906,-2.13173,-2.12446,-2.11725,-2.11007,-2.10295,-2.08427,-2.07733,-2.07043,-2.06359,-2.05679,-2.05003,-2.04332
