gridnumber,capital,dist[0],dist[1],dist[2],dist[3],dist[4],dist[5],dist[6],dist[7],dist[8],dist[9],dist[10],dist[11],dist[12],dist[13],dist[14],dist[15],dist[16],dist[17],dist[18],dist[19],dist[20],dist[21],dist[22],dist[23],dist[24],dist[25],dist[26],dist[27],dist[28],dist[29],dist[30],dist[31],dist[32],dist[33],dist[34],dist[35],dist[36],dist[37],dist[38],dist[39],dist[40],dist[41],dist[42],dist[43],dist[44],dist[45],dist[46],dist[47],dist[48]
20,0.344149,4.22301e-007,4.91248e-006,2.26254e-005,4.01342e-005,2.73551e-005,7.08809e-006,7.10513e-007,4.12094e-006,4.7937e-005,0.000220782,0.000391633,0.000266932,6.91655e-005,6.93315e-006,1.64386e-005,0.000191221,0.000880696,0.00156221,0.00106477,0.000275896,2.76557e-005,2.60399e-005,0.000302907,0.00139507,0.0024746,0.00168664,0.000437026,4.38072e-005,1.6438e-005,0.000191212,0.000880643,0.00156209,0.00106469,0.00027587,2.76529e-005,4.12067e-006,4.79325e-005,0.000220755,0.000391576,0.000266887,6.91527e-005,6.93176e-006,4.22259e-007,4.91177e-006,2.26212e-005,4.01253e-005,2.73481e-005,7.08609e-006,7.10296e-007
21,0.36318,4.34053e-007,5.23581e-006,2.49943e-005,4.58832e-005,3.22702e-005,8.59606e-006,8.82799e-007,4.2357e-006,5.10934e-005,0.000243905,0.000447746,0.000314905,8.38835e-005,8.61467e-006,1.68967e-005,0.000203817,0.000972959,0.0017861,0.00125618,0.000334617,3.43645e-005,2.67661e-005,0.000322866,0.00154126,0.00282934,0.0019899,0.000530063,5.44362e-005,1.68968e-005,0.000203817,0.000972952,0.00178608,0.00125616,0.000334611,3.43638e-005,4.23575e-006,5.10933e-005,0.000243902,0.000447736,0.000314895,8.38806e-005,8.61433e-006,4.3406e-007,5.23579e-006,2.49938e-005,4.58816e-005,3.22687e-005,8.5956e-006,8.82746e-007
22,0.382397,4.39268e-007,5.38054e-006,2.59731e-005,4.80553e-005,3.39739e-005,9.07938e-006,9.34251e-007,4.2866e-006,5.25058e-005,0.000253457,0.000468944,0.000331531,8.85999e-005,9.11675e-006,1.70998e-005,0.000209451,0.00101106,0.00187065,0.0013225,0.000353431,3.63673e-005,2.70878e-005,0.000331792,0.00160162,0.00296329,0.00209496,0.000559865,5.76088e-005,1.70999e-005,0.000209451,0.00101106,0.00187063,0.00132248,0.000353424,3.63665e-005,4.28666e-006,5.25058e-005,0.000253454,0.000468933,0.00033152,8.85966e-005,9.11636e-006,4.39278e-007,5.38054e-006,2.59726e-005,4.80537e-005,3.39723e-005,9.07886e-006,9.3419e-007
23,0.401802,4.23165e-007,5.19298e-006,2.50909e-005,4.64395e-005,3.28318e-005,8.77258e-006,9.02439e-007,4.12952e-006,5.06766e-005,0.000244854,0.000453187,0.000320394,8.56085e-005,8.80658e-006,1.64734e-005,0.000202158,0.000976767,0.00180785,0.00127811,0.000341508,3.5131e-005,2.60961e-005,0.000320245,0.00154733,0.00286386,0.00202469,0.000540993,5.5652e-005,1.64741e-005,0.000202166,0.000976806,0.00180792,0.00127816,0.000341521,3.51323e-005,4.12987e-006,5.06807e-005,0.000244873,0.000453222,0.000320419,8.56149e-005,8.80722e-006,4.23218e-007,5.19363e-006,2.5094e-005,4.6445e-005,3.28356e-005,8.77358e-006,9.02539e-007
24,0.421397,3.39282e-007,4.06805e-006,1.92592e-005,3.50217e-005,2.43942e-005,6.43879e-006,6.55684e-007,3.31094e-006,3.96988e-005,0.000187945,0.000341767,0.000238057,6.28347e-005,6.39869e-006,1.32079e-005,0.000158366,0.00074975,0.00136338,0.000949659,0.000250662,2.55259e-005,2.0923e-005,0.000250873,0.00118771,0.00215979,0.0015044,0.000397085,4.04368e-005,1.32084e-005,0.000158372,0.000749784,0.00136345,0.000949712,0.000250677,2.55275e-005,3.31118e-006,3.97021e-005,0.000187962,0.000341802,0.000238083,6.28422e-005,6.39951e-006,3.3932e-007,4.06856e-006,1.92619e-005,3.50271e-005,2.43983e-005,6.43997e-006,6.55813e-007
25,0.441183,3.00832e-007,3.6356e-006,1.75505e-005,3.30875e-005,2.44158e-005,7.00922e-006,8.04551e-007,2.93565e-006,3.54776e-005,0.000171264,0.000322878,0.000238257,6.83982e-005,7.85107e-006,1.17106e-005,0.000141523,0.000683183,0.00128798,0.000950418,0.000272844,3.13183e-005,1.85507e-005,0.000224185,0.00108222,0.00204026,0.00150554,0.000432206,4.96107e-005,1.17106e-005,0.000141521,0.000683169,0.00128795,0.000950392,0.000272836,3.13175e-005,2.93563e-006,3.54767e-005,0.000171257,0.000322862,0.000238244,6.83943e-005,7.85066e-006,3.00829e-007,3.63546e-006,1.75494e-005,3.3085e-005,2.44137e-005,7.00862e-006,8.04487e-007
26,0.461164,2.91889e-007,3.55171e-006,1.72902e-005,3.29846e-005,2.47459e-005,7.25992e-006,8.56514e-007,2.8484e-006,3.46594e-005,0.000168726,0.000321881,0.000241483,7.08461e-005,8.35831e-006,1.13626e-005,0.000138261,0.000673071,0.00128403,0.000963309,0.000282615,3.33423e-005,1.79996e-005,0.00021902,0.00106622,0.00203404,0.00152599,0.000447693,5.28179e-005,1.13627e-005,0.000138262,0.000673078,0.00128404,0.000963322,0.000282618,3.33427e-005,2.84844e-006,3.466e-005,0.00016873,0.000321889,0.00024149,7.0848e-005,8.35849e-006,2.91896e-007,3.55181e-006,1.72907e-005,3.29859e-005,2.47469e-005,7.26021e-006,8.56542e-007
27,0.48134,2.98067e-007,3.71384e-006,1.84781e-005,3.59311e-005,2.737e-005,8.11592e-006,9.63405e-007,2.90869e-006,3.62413e-005,0.000180317,0.000350627,0.000267084,7.91971e-005,9.40111e-006,1.16031e-005,0.00014457,0.000719297,0.00139867,0.00106541,0.000315918,3.75011e-005,1.83806e-005,0.000229013,0.00113943,0.0022156,0.00168768,0.000500435,5.94041e-005,1.16032e-005,0.00014457,0.000719286,0.00139863,0.00106537,0.000315905,3.74993e-005,2.90875e-006,3.62411e-005,0.000180311,0.000350608,0.000267064,7.91901e-005,9.4002e-006,2.98076e-007,3.7138e-006,1.84773e-005,3.59281e-005,2.73669e-005,8.11483e-006,9.63263e-007
28,0.501713,2.92387e-007,3.75127e-006,1.92494e-005,3.86062e-005,3.0271e-005,9.20712e-006,1.11687e-006,2.85325e-006,3.66065e-005,0.000187843,0.000376732,0.000295393,8.98457e-005,1.08987e-005,1.1382e-005,0.000146027,0.000749318,0.00150281,0.00117834,0.000358398,4.34754e-005,1.80302e-005,0.00023132,0.00118699,0.00238056,0.00186657,0.000567728,6.88682e-005,1.1382e-005,0.000146026,0.000749306,0.00150277,0.0011783,0.000358386,4.34739e-005,2.85329e-006,3.6606e-005,0.000187836,0.000376713,0.000295375,8.98396e-005,1.0898e-005,2.92393e-007,3.7512e-006,1.92484e-005,3.86032e-005,3.02681e-005,9.20617e-006,1.11675e-006
29,0.522286,2.59218e-007,3.28519e-006,1.65671e-005,3.24895e-005,2.48001e-005,7.31795e-006,8.58201e-007,2.52963e-006,3.20594e-005,0.000161675,0.00031706,0.000242021,7.14149e-005,8.37504e-006,1.00912e-005,0.000127892,0.000644957,0.00126483,0.000965482,0.000284892,3.34102e-005,1.59859e-005,0.000202599,0.00102171,0.00200369,0.00152948,0.000451315,5.2927e-005,1.00917e-005,0.000127899,0.000644998,0.00126492,0.000965555,0.000284914,3.34126e-005,2.52988e-006,3.20629e-005,0.000161695,0.000317104,0.000242057,7.14257e-005,8.37627e-006,2.59256e-007,3.28575e-006,1.65703e-005,3.24965e-005,2.48058e-005,7.31965e-006,8.58393e-007
