gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[1 0],dist[1 1],dist[1 2],dist[2 0],dist[2 1],dist[2 2],dist[3 0],dist[3 1],dist[3 2],dist[4 0],dist[4 1],dist[4 2]
49,4.98827,0.000235377,0.000292125,0.000235377,0.00104488,0.0012968,0.00104488,0.00205292,0.00254787,0.00205292,0.00167006,0.0020727,0.00167006,0.000597215,0.000741202,0.000597215
50,5.18134,0.000211286,0.000262227,0.000211286,0.000948089,0.00117667,0.000948089,0.00187405,0.00232588,0.00187405,0.00151386,0.00187885,0.00151386,0.000529067,0.000656623,0.000529067
51,5.38006,0.000185046,0.00022966,0.000185046,0.000833582,0.00103456,0.000833582,0.00165438,0.00205324,0.00165438,0.00133978,0.0016628,0.00133978,0.000468589,0.000581564,0.000468589
52,5.58461,0.000160957,0.000199763,0.000160957,0.000709945,0.000881111,0.000709945,0.00141591,0.00175728,0.00141591,0.00118804,0.00147447,0.00118804,0.000437126,0.000542516,0.000437126
53,5.79515,0.000136875,0.000169875,0.000136875,0.000611345,0.000758738,0.000611345,0.00124106,0.00154028,0.00124106,0.00106139,0.00131728,0.00106139,0.000395617,0.000490999,0.000395617
54,6.01186,0.000121852,0.00015123,0.000121852,0.000561924,0.000697402,0.000561924,0.00114639,0.00142278,0.00114639,0.000956364,0.00118694,0.000956364,0.000343871,0.000426778,0.000343871
55,6.23493,0.000106026,0.000131588,0.000106026,0.000488705,0.00060653,0.000488705,0.00101059,0.00125424,0.00101059,0.000857913,0.00106475,0.000857913,0.000313326,0.000388867,0.000313326
56,6.46452,9.22912e-005,0.000114542,9.22912e-005,0.000420211,0.000521523,0.000420211,0.000849273,0.00105403,0.000849273,0.000705288,0.000875331,0.000705288,0.00025505,0.000316541,0.00025505
57,6.70085,7.67401e-005,9.52419e-005,7.67401e-005,0.000350534,0.000435047,0.000350534,0.000721369,0.000895289,0.000721369,0.000618791,0.000767979,0.000618791,0.000230816,0.000286465,0.000230816
58,6.94411,6.84224e-005,8.49188e-005,6.84224e-005,0.000308243,0.000382559,0.000308243,0.000636497,0.000789954,0.000636497,0.000553891,0.000687433,0.000553891,0.000210714,0.000261516,0.000210714
59,7.19449,5.78984e-005,7.18575e-005,5.78984e-005,0.000262221,0.000325442,0.000262221,0.00053432,0.000663142,0.00053432,0.000458201,0.000568672,0.000458201,0.000173928,0.000215861,0.000173928
60,7.45221,5.00211e-005,6.2081e-005,5.00211e-005,0.00022679,0.000281468,0.00022679,0.000463689,0.000575483,0.000463689,0.000395721,0.000491128,0.000395721,0.000147643,0.000183239,0.000147643
61,7.71748,4.31488e-005,5.35518e-005,4.31488e-005,0.000196153,0.000243445,0.000196153,0.000398104,0.000494086,0.000398104,0.000335359,0.000416213,0.000335359,0.000123869,0.000153733,0.000123869
62,7.99052,3.75786e-005,4.66386e-005,3.75786e-005,0.000171256,0.000212546,0.000171256,0.00035276,0.000437809,0.00035276,0.000302141,0.000374986,0.000302141,0.000111609,0.000138518,0.000111609
63,8.27157,3.17422e-005,3.93952e-005,3.17422e-005,0.000143934,0.000178636,0.000143934,0.000297164,0.000368809,0.000297164,0.000258114,0.000320345,0.000258114,9.73882e-005,0.000120868,9.73882e-005
64,8.56085,2.6756e-005,3.32068e-005,2.6756e-005,0.000122721,0.000152309,0.000122721,0.00025574,0.000317399,0.00025574,0.000221745,0.000275207,0.000221745,8.32598e-005,0.000103333,8.32598e-005
65,8.85861,2.28375e-005,2.83435e-005,2.28375e-005,0.000102931,0.000127748,0.000102931,0.000212142,0.000263289,0.000212142,0.000185424,0.000230129,0.000185424,7.10487e-005,8.81783e-005,7.10487e-005
66,9.16509,1.95221e-005,2.42288e-005,1.95221e-005,8.8381e-005,0.000109689,8.8381e-005,0.000179183,0.000222384,0.000179183,0.000151826,0.00018843,0.000151826,5.69065e-005,7.06265e-005,5.69065e-005
67,9.48056,1.69709e-005,2.10626e-005,1.69709e-005,7.59505e-005,9.42619e-005,7.59505e-005,0.000151067,0.000187489,0.000151067,0.00012524,0.000155435,0.00012524,4.56294e-005,5.66304e-005,4.56294e-005
68,9.80527,1.41847e-005,1.76046e-005,1.41847e-005,6.38075e-005,7.91912e-005,6.38075e-005,0.00013019,0.000161579,0.00013019,0.000110274,0.000136861,0.000110274,4.04147e-005,5.01586e-005,4.04147e-005
69,10.1395,1.22839e-005,1.52455e-005,1.22839e-005,5.5379e-005,6.87307e-005,5.5379e-005,0.000112074,0.000139094,0.000112074,9.46677e-005,0.000117492,9.46677e-005,3.52451e-005,4.37425e-005,3.52451e-005
70,10.4835,1.03351e-005,1.28269e-005,1.03351e-005,4.68922e-005,5.81978e-005,4.68922e-005,9.56677e-005,0.000118733,9.56677e-005,8.11291e-005,0.000100689,8.11291e-005,2.99181e-005,3.71313e-005,2.99181e-005
71,10.8376,8.88417e-006,1.10261e-005,8.88417e-006,3.91535e-005,4.85933e-005,3.91535e-005,7.7147e-005,9.57469e-005,7.7147e-005,6.44339e-005,7.99687e-005,6.44339e-005,2.41297e-005,2.99473e-005,2.41297e-005
72,11.2021,7.31485e-006,9.07843e-006,7.31485e-006,3.28745e-005,4.08004e-005,3.28745e-005,6.57269e-005,8.15734e-005,6.57269e-005,5.42616e-005,6.7344e-005,5.42616e-005,1.96338e-005,2.43675e-005,1.96338e-005
73,11.5773,5.91809e-006,7.34492e-006,5.91809e-006,2.69489e-005,3.34462e-005,2.69489e-005,5.50388e-005,6.83085e-005,5.50388e-005,4.66737e-005,5.79266e-005,4.66737e-005,1.72269e-005,2.13803e-005,1.72269e-005
74,11.9634,5.13874e-006,6.37768e-006,5.13874e-006,2.27795e-005,2.82716e-005,2.27795e-005,4.51591e-005,5.60468e-005,4.51591e-005,3.70669e-005,4.60036e-005,3.70669e-005,1.32402e-005,1.64324e-005,1.32402e-005
75,12.3609,4.25541e-006,5.28138e-006,4.25541e-006,1.86701e-005,2.31714e-005,1.86701e-005,3.72545e-005,4.62364e-005,3.72545e-005,3.11497e-005,3.86598e-005,3.11497e-005,1.12763e-005,1.3995e-005,1.12763e-005
76,12.77,3.45154e-006,4.28369e-006,3.45154e-006,1.52752e-005,1.8958e-005,1.52752e-005,3.03162e-005,3.76254e-005,3.03162e-005,2.50858e-005,3.11339e-005,2.50858e-005,9.09739e-006,1.12907e-005,9.09739e-006
