gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6]
35,0.794456,0.45007,0.516323,0.598446,0.698422,0.822802,0.975587,1.1627,0.454625,0.521346,0.603603,0.703414,0.827791,0.980762,1.16789,0.459181,0.526368,0.608759,0.708405,0.832781,0.985936,1.17308,0.463715,0.531391,0.613552,0.713398,0.837771,0.991111,1.17827,0.468229,0.536183,0.61833,0.718422,0.84276,0.996286,1.18359,0.472743,0.540738,0.623108,0.723446,0.84775,1.00147,1.18909,0.477257,0.545292,0.627885,0.72847,0.852745,1.00665,1.19459
36,0.822196,0.473002,0.540799,0.622971,0.723303,0.847607,1.00111,1.18858,0.477978,0.545713,0.628018,0.72861,0.852885,1.00647,1.19451,0.482954,0.550627,0.633066,0.733918,0.858168,1.01183,1.20043,0.488086,0.555542,0.638245,0.739226,0.863452,1.01719,1.20636,0.49336,0.56059,0.64348,0.74468,0.868735,1.02255,1.21229,0.498634,0.565871,0.648715,0.750157,0.874019,1.02792,1.21781,0.503908,0.571152,0.65395,0.755634,0.879299,1.0333,1.22322
37,0.850258,0.49635,0.564586,0.647773,0.749171,0.873067,1.02695,1.21663,0.502249,0.570159,0.653186,0.754835,0.878531,1.03252,1.22212,0.508149,0.575731,0.6586,0.760498,0.883966,1.03808,1.2276,0.514271,0.581304,0.66408,0.766162,0.889399,1.04365,1.23308,0.52046,0.587086,0.669595,0.771679,0.894833,1.04921,1.23857,0.526648,0.593022,0.675109,0.77717,0.900267,1.05477,1.24405,0.532837,0.598959,0.680624,0.782661,0.905701,1.06056,1.24943
38,0.878644,0.525528,0.592596,0.674931,0.776992,0.899748,1.05424,1.24318,0.530958,0.598117,0.680164,0.782203,0.905019,1.05982,1.24853,0.536075,0.603638,0.685398,0.787414,0.910371,1.06549,1.2538,0.540812,0.609138,0.690563,0.792625,0.915788,1.07116,1.25907,0.545549,0.614037,0.695708,0.797687,0.921205,1.07683,1.26434,0.550286,0.618937,0.700852,0.802667,0.926622,1.0825,1.2696,0.555023,0.623836,0.705996,0.807647,0.932038,1.08808,1.27487
39,0.90736,0.550774,0.619442,0.701382,0.803181,0.926932,1.08206,1.26863,0.555558,0.624389,0.706576,0.808209,0.932283,1.08784,1.27407,0.560505,0.629337,0.711771,0.813238,0.937657,1.09332,1.27955,0.565755,0.634284,0.716913,0.818267,0.94311,1.09881,1.2854,0.571006,0.639435,0.722037,0.823367,0.948563,1.10429,1.29126,0.576256,0.644599,0.727162,0.828723,0.954017,1.10977,1.29711,0.581507,0.649763,0.732286,0.834079,0.95947,1.11525,1.30297
40,0.936408,0.57502,0.644109,0.727396,0.828968,0.954649,1.1099,1.29661,0.580931,0.649681,0.732684,0.834495,0.960149,1.11519,1.30227,0.587167,0.655252,0.737972,0.840022,0.965649,1.12034,1.30793,0.593682,0.66084,0.743551,0.845549,0.97094,1.12534,1.31354,0.600196,0.666663,0.749299,0.851064,0.976224,1.13035,1.31899,0.606711,0.672486,0.755048,0.856507,0.981509,1.13536,1.32445,0.612553,0.678309,0.760796,0.861949,0.986794,1.14037,1.3299
41,0.965793,0.6053,0.671677,0.754736,0.856594,0.981842,1.13603,1.32492,0.611066,0.677422,0.760665,0.86208,0.987293,1.14108,1.33029,0.616251,0.683166,0.766594,0.867566,0.992744,1.14612,1.33566,0.621437,0.688809,0.772205,0.873052,0.99823,1.15133,1.34103,0.626622,0.694296,0.77779,0.878538,1.00375,1.15683,1.34639,0.631808,0.699783,0.783376,0.883879,1.00928,1.16233,1.35155,0.637135,0.70527,0.788961,0.889217,1.0148,1.16783,1.35671
42,0.995519,0.631763,0.699736,0.783327,0.88408,1.00909,1.1624,1.35161,0.636999,0.705135,0.788823,0.889454,1.01478,1.16821,1.35706,0.642398,0.710534,0.794319,0.894829,1.02048,1.17401,1.3625,0.647798,0.715851,0.799451,0.900203,1.02618,1.17982,1.36795,0.653197,0.721094,0.804574,0.905577,1.03198,1.1858,1.37339,0.658596,0.726336,0.809697,0.911098,1.03778,1.19185,1.37884,0.664239,0.731579,0.814821,0.916692,1.04358,1.19789,1.38468
43,1.02559,0.656169,0.724366,0.808525,0.910229,1.03663,1.19065,1.37776,0.662669,0.730409,0.81418,0.916266,1.04274,1.19702,1.38382,0.669463,0.736453,0.819835,0.922304,1.04886,1.20339,1.39011,0.676257,0.742881,0.825908,0.928341,1.05497,1.20976,1.39641,0.683051,0.749827,0.832282,0.934379,1.06112,1.21596,1.40271,0.689609,0.756772,0.838655,0.940503,1.06728,1.22191,1.40901,0.695903,0.763718,0.845029,0.946672,1.07345,1.22787,1.41533
44,1.05601,0.68668,0.753768,0.836343,0.938496,1.06528,1.21998,1.40696,0.692621,0.760463,0.84276,0.944847,1.07162,1.22611,1.41345,0.698562,0.767147,0.849177,0.951198,1.07797,1.23224,1.42008,0.704502,0.773237,0.855411,0.95755,1.08431,1.23838,1.42675,0.710443,0.779327,0.861609,0.963901,1.09051,1.24451,1.43341,0.716256,0.785416,0.867806,0.970008,1.09661,1.25056,1.44008,0.722355,0.791506,0.874004,0.976012,1.10271,1.25658,1.44675
