gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6]
58,1.52078,-24.4708,-24.3441,-24.2174,-24.0932,-23.969,-23.8462,-23.7245,-23.9373,-23.8146,-23.6926,-23.5724,-23.4522,-23.3339,-23.2161,-23.3415,-23.2232,-23.1068,-22.9905,-22.8756,-22.7616,-22.6478,-22.6768,-22.5643,-22.4521,-22.3418,-22.2314,-22.1225,-22.0143,-21.9364,-21.8296,-21.7229,-21.6183,-21.5136,-21.4098,-21.3072,-21.114,-21.0128,-20.9132,-20.814,-20.715,-20.6178,-20.5205,-20.204,-20.1099,-20.016,-19.9238,-19.8316,-19.74,-19.6496
59,1.55694,-24.1558,-24.0286,-23.9017,-23.7771,-23.6525,-23.5296,-23.4075,-23.633,-23.5099,-23.3877,-23.2671,-23.1464,-23.028,-22.9097,-23.0491,-22.9304,-22.8136,-22.6969,-22.5817,-22.4673,-22.3533,-22.3974,-22.2844,-22.1718,-22.0611,-21.9503,-21.841,-21.7324,-21.671,-21.5638,-21.4567,-21.3516,-21.2465,-21.1423,-21.0393,-20.8639,-20.7624,-20.6621,-20.5625,-20.463,-20.3654,-20.2678,-19.9703,-19.8759,-19.7814,-19.6887,-19.5961,-19.5039,-19.4132
60,1.59351,-23.8436,-23.7161,-23.589,-23.464,-23.339,-23.216,-23.0935,-23.3314,-23.208,-23.0855,-22.9645,-22.8435,-22.7248,-22.6062,-22.7592,-22.6401,-22.5229,-22.4058,-22.2904,-22.1756,-22.0614,-22.1201,-22.0068,-21.8938,-21.7827,-21.6716,-21.5619,-21.453,-21.4076,-21.3001,-21.1926,-21.087,-20.9816,-20.8769,-20.7736,-20.6157,-20.5137,-20.4129,-20.313,-20.213,-20.1149,-20.017,-19.7381,-19.6433,-19.5486,-19.4552,-19.3623,-19.2694,-19.1784
61,1.63051,-23.5343,-23.4064,-23.2792,-23.1539,-23.0285,-22.9055,-22.7827,-23.0325,-22.9087,-22.786,-22.6646,-22.5435,-22.4245,-22.3056,-22.4717,-22.3523,-22.2348,-22.1173,-22.0016,-21.8865,-21.7721,-21.8451,-21.7314,-21.6181,-21.5066,-21.3952,-21.2852,-21.176,-21.1462,-21.0384,-20.9305,-20.8245,-20.7188,-20.6137,-20.5101,-20.3691,-20.2669,-20.1655,-20.0652,-19.965,-19.8664,-19.7681,-19.5074,-19.4124,-19.3173,-19.2232,-19.1301,-19.0369,-18.9453
62,1.66794,-23.2278,-23.0996,-22.9723,-22.8467,-22.7212,-22.598,-22.4748,-22.7362,-22.6121,-22.4893,-22.3676,-22.2463,-22.127,-22.0078,-22.1866,-22.0669,-21.9491,-21.8313,-21.7155,-21.6,-21.4855,-21.5724,-21.4584,-21.3447,-21.2329,-21.1211,-21.0109,-20.9014,-20.8868,-20.7787,-20.6705,-20.5641,-20.458,-20.3526,-20.2487,-20.1244,-20.0218,-19.9199,-19.8193,-19.7188,-19.6198,-19.5212,-19.2784,-19.1829,-19.0876,-18.9929,-18.8995,-18.8061,-18.7139
63,1.7058,-22.9242,-22.7956,-22.6683,-22.5424,-22.4169,-22.2934,-22.17,-22.4426,-22.3181,-22.1952,-22.0732,-21.9519,-21.8324,-21.7128,-21.904,-21.7841,-21.666,-21.5479,-21.4319,-21.3161,-21.2016,-21.3018,-21.1875,-21.0735,-20.9615,-20.8494,-20.739,-20.6292,-20.6294,-20.521,-20.4126,-20.3057,-20.1995,-20.0937,-19.9896,-19.8813,-19.7785,-19.6761,-19.5753,-19.4745,-19.3751,-19.2763,-19.0511,-18.955,-18.8594,-18.7642,-18.6705,-18.5769,-18.4842
64,1.7441,-22.6233,-22.4945,-22.3672,-22.241,-22.1156,-21.9919,-21.8682,-22.1516,-22.0269,-21.9038,-21.7816,-21.6602,-21.5404,-21.4208,-21.6237,-21.5037,-21.3853,-21.2669,-21.1508,-21.0348,-20.9202,-21.0335,-20.9189,-20.8047,-20.6924,-20.5801,-20.4695,-20.3594,-20.374,-20.2654,-20.1567,-20.0495,-19.943,-19.837,-19.7326,-19.64,-19.537,-19.4341,-19.3331,-19.2321,-19.1323,-19.0333,-18.8253,-18.7286,-18.6328,-18.5371,-18.4432,-18.3493,-18.2562
65,1.78284,-22.3253,-22.1962,-22.0689,-21.9425,-21.8171,-21.6932,-21.5697,-21.8632,-21.7382,-21.6151,-21.4926,-21.3713,-21.2513,-21.1317,-21.3459,-21.2257,-21.1071,-20.9885,-20.8723,-20.7561,-20.6414,-20.7673,-20.6526,-20.5381,-20.4256,-20.3131,-20.2023,-20.092,-20.1206,-20.0117,-19.9028,-19.7953,-19.6886,-19.5824,-19.4778,-19.4005,-19.2973,-19.1941,-19.0928,-18.9916,-18.8914,-18.7922,-18.601,-18.5037,-18.4078,-18.3119,-18.2175,-18.1235,-18.0299
66,1.82203,-22.03,-21.9008,-21.7735,-21.6469,-21.5216,-21.3975,-21.2741,-21.5774,-21.4522,-21.329,-21.2064,-21.0851,-20.9649,-20.8453,-21.0706,-20.9502,-20.8314,-20.7127,-20.5963,-20.4799,-20.3652,-20.5034,-20.3884,-20.2738,-20.1611,-20.0484,-19.9375,-19.8271,-19.8693,-19.7601,-19.6511,-19.5433,-19.4364,-19.33,-19.2252,-19.1628,-19.0594,-18.956,-18.8543,-18.7529,-18.6524,-18.5531,-18.3783,-18.2805,-18.1844,-18.0883,-17.9934,-17.8993,-17.8053
67,1.86167,-21.7374,-21.6081,-21.4809,-21.3541,-21.2289,-21.1047,-20.9815,-21.2941,-21.1688,-21.0456,-20.9228,-20.8016,-20.6812,-20.5618,-20.7976,-20.677,-20.5581,-20.4394,-20.3228,-20.2063,-20.0916,-20.2417,-20.1265,-20.0117,-19.8988,-19.786,-19.675,-19.5645,-19.62,-19.5105,-19.4013,-19.2933,-19.1863,-19.0796,-18.9748,-18.9268,-18.8232,-18.7197,-18.6177,-18.5162,-18.4154,-18.3159,-18.157,-18.0589,-17.9625,-17.8663,-17.771,-17.6768,-17.5825
