gridnumber,capital,Port[0 0],Port[1 0],Port[2 0],Port[3 0],Port[4 0]
40,3.48015,0.76,0.74,0.78,0.78,0.78
41,3.62902,0.76,0.74,0.78,0.76,0.78
42,3.78225,0.74,0.74,0.76,0.78,0.78
43,3.93998,0.74,0.74,0.74,0.8,0.74
44,4.10232,0.72,0.72,0.72,0.78,0.76
45,4.26943,0.72,0.7,0.7,0.76,0.76
46,4.44143,0.7,0.7,0.72,0.74,0.72
47,4.61847,0.68,0.68,0.72,0.74,0.7
48,4.8007,0.68,0.68,0.74,0.74,0.72
49,4.98827,0.66,0.68,0.74,0.76,0.74
50,5.18134,0.66,0.72,0.72,0.72,0.72
51,5.38006,0.66,0.7,0.7,0.7,0.7
52,5.58461,0.68,0.7,0.7,0.7,0.68
53,5.79515,0.68,0.68,0.68,0.7,0.7
54,6.01186,0.68,0.68,0.66,0.68,0.72
55,6.23493,0.68,0.68,0.68,0.68,0.7
56,6.46452,0.68,0.66,0.68,0.66,0.68
57,6.70085,0.68,0.66,0.68,0.64,0.66
58,6.94411,0.68,0.64,0.7,0.66,0.66
59,7.19449,0.66,0.64,0.68,0.66,0.64
60,7.45221,0.66,0.62,0.64,0.68,0.62
61,7.71748,0.64,0.62,0.62,0.66,0.62
62,7.99052,0.64,0.62,0.64,0.66,0.62
63,8.27157,0.64,0.62,0.64,0.64,0.64
64,8.56085,0.62,0.62,0.64,0.64,0.64
65,8.85861,0.62,0.62,0.64,0.62,0.64
66,9.16509,0.62,0.62,0.64,0.62,0.62
67,9.48056,0.6,0.62,0.62,0.62,0.6
68,9.80527,0.6,0.64,0.62,0.6,0.6
69,10.1395,0.6,0.64,0.6,0.58,0.6
70,10.4835,0.6,0.62,0.6,0.58,0.58
71,10.8376,0.6,0.62,0.58,0.56,0.56
72,11.2021,0.6,0.58,0.58,0.56,0.56
73,11.5773,0.58,0.56,0.58,0.58,0.54
74,11.9634,0.58,0.56,0.58,0.58,0.56
75,12.3609,0.58,0.56,0.58,0.6,0.58
76,12.77,0.58,0.56,0.56,0.6,0.58
77,13.1911,0.56,0.56,0.56,0.6,0.58
78,13.6246,0.56,0.56,0.56,0.56,0.58
79,14.0707,0.56,0.56,0.54,0.52,0.56
80,14.5299,0.56,0.56,0.54,0.54,0.52
81,15.0026,0.54,0.56,0.54,0.54,0.54
82,15.4891,0.54,0.56,0.52,0.54,0.54
83,15.9899,0.54,0.56,0.52,0.54,0.54
84,16.5054,0.54,0.54,0.52,0.54,0.54
85,17.036,0.54,0.54,0.52,0.54,0.52
86,17.5821,0.52,0.56,0.52,0.54,0.52
87,18.1442,0.52,0.54,0.52,0.54,0.5
88,18.7228,0.52,0.54,0.52,0.54,0.5
89,19.3184,0.52,0.5,0.5,0.52,0.5
90,19.9314,0.52,0.5,0.5,0.52,0.5
91,20.5623,0.52,0.5,0.5,0.5,0.5
92,21.2118,0.52,0.5,0.48,0.5,0.48
93,21.8803,0.52,0.5,0.48,0.5,0.48
94,22.5684,0.52,0.5,0.48,0.5,0.48
95,23.2766,0.52,0.5,0.48,0.5,0.46
96,24.0056,0.5,0.5,0.48,0.5,0.46
97,24.756,0.5,0.5,0.48,0.5,0.46
98,25.5283,0.5,0.5,0.46,0.48,0.46
99,26.3233,0.48,0.5,0.46,0.48,0.46
100,27.1416,0.46,0.5,0.46,0.48,0.46
101,27.9838,0.46,0.48,0.46,0.48,0.46
102,28.8508,0.44,0.46,0.46,0.46,0.46
103,29.7431,0.44,0.44,0.46,0.46,0.48
104,30.6616,0.44,0.44,0.46,0.46,0.48
105,31.607,0.44,0.44,0.46,0.46,0.46
106,32.5802,0.44,0.44,0.44,0.46,0.44
107,33.5818,0.44,0.44,0.44,0.46,0.42
108,34.6128,0.44,0.42,0.44,0.46,0.42
109,35.674,0.44,0.42,0.44,0.46,0.42
110,36.7663,0.44,0.42,0.44,0.46,0.42
111,37.8906,0.44,0.42,0.44,0.46,0.42
112,39.0479,0.44,0.42,0.44,0.46,0.42
113,40.239,0.44,0.42,0.42,0.44,0.42
114,41.4651,0.44,0.42,0.42,0.44,0.42
115,42.7271,0.44,0.42,0.42,0.44,0.44
116,44.0261,0.42,0.42,0.42,0.44,0.44
117,45.3631,0.42,0.42,0.42,0.44,0.44
118,46.7394,0.4,0.42,0.42,0.42,0.44
119,48.1559,0.4,0.42,0.42,0.42,0.44
120,49.614,0.4,0.42,0.42,0.42,0.44
121,51.1148,0.4,0.42,0.42,0.42,0.42
122,52.6596,0.4,0.4,0.42,0.4,0.42
123,54.2497,0.4,0.4,0.42,0.4,0.4
124,55.8863,0.4,0.4,0.42,0.4,0.38
125,57.5709,0.4,0.4,0.42,0.4,0.38
126,59.3049,0.4,0.4,0.42,0.4,0.38
127,61.0897,0.4,0.4,0.4,0.42,0.38
128,62.9268,0.4,0.4,0.4,0.42,0.38
129,64.8177,0.4,0.4,0.4,0.4,0.38
130,66.7641,0.4,0.4,0.4,0.4,0.38
131,68.7675,0.4,0.4,0.4,0.4,0.4
132,70.8295,0.38,0.4,0.4,0.4,0.4
133,72.9521,0.38,0.4,0.4,0.4,0.4
134,75.1368,0.38,0.38,0.4,0.4,0.4
135,77.3855,0.38,0.38,0.4,0.4,0.4
136,79.7002,0.38,0.38,0.4,0.4,0.4
137,82.0826,0.38,0.38,0.4,0.4,0.4
138,84.5349,0.38,0.38,0.4,0.4,0.4
139,87.0591,0.38,0.38,0.38,0.4,0.4
140,89.6572,0.38,0.38,0.38,0.4,0.4
141,92.3314,0.38,0.38,0.38,0.4,0.4
142,95.084,0.38,0.38,0.38,0.38,0.38
143,97.9173,0.38,0.38,0.36,0.38,0.38
144,100.834,0.38,0.38,0.36,0.36,0.38
145,103.835,0.38,0.38,0.36,0.36,0.36
