gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
98,25.5283,-10.8452,-10.8393,-10.8285,-10.813,-10.7927,-10.7811,-10.7755,-10.765,-10.7496,-10.7299,-10.7076,-10.7023,-10.6919,-10.677,-10.6575,-10.6259,-10.621,-10.6112,-10.5965,-10.5774,-10.5391,-10.5345,-10.5249,-10.5107,-10.492
99,26.3233,-10.7639,-10.758,-10.7472,-10.7317,-10.7115,-10.7014,-10.6959,-10.6853,-10.6699,-10.6502,-10.6298,-10.6245,-10.6142,-10.5991,-10.5797,-10.5502,-10.5452,-10.5354,-10.5207,-10.5015,-10.4654,-10.4609,-10.4513,-10.437,-10.4183
100,27.1416,-10.6825,-10.6766,-10.6657,-10.6502,-10.63,-10.6216,-10.616,-10.6055,-10.5901,-10.5703,-10.5518,-10.5465,-10.5361,-10.521,-10.5016,-10.4742,-10.4692,-10.4593,-10.4447,-10.4254,-10.3914,-10.3868,-10.3773,-10.3629,-10.3443
101,27.9838,-10.6009,-10.595,-10.584,-10.5686,-10.5484,-10.5416,-10.5359,-10.5254,-10.5101,-10.4903,-10.4735,-10.4682,-10.4578,-10.4427,-10.4233,-10.398,-10.3929,-10.3829,-10.3683,-10.3491,-10.3171,-10.3125,-10.3029,-10.2885,-10.2699
102,28.8508,-10.5191,-10.5132,-10.5022,-10.4868,-10.4666,-10.4614,-10.4557,-10.4451,-10.4298,-10.41,-10.395,-10.3896,-10.3793,-10.3641,-10.3448,-10.3214,-10.3163,-10.3062,-10.2917,-10.2725,-10.2425,-10.2378,-10.2282,-10.2139,-10.1953
103,29.7431,-10.4372,-10.4312,-10.4202,-10.4048,-10.3847,-10.3809,-10.3752,-10.3647,-10.3494,-10.3296,-10.3163,-10.3109,-10.3005,-10.2854,-10.2661,-10.2446,-10.2395,-10.2293,-10.2148,-10.1956,-10.1676,-10.1629,-10.1533,-10.139,-10.1203
104,30.6616,-10.3551,-10.3491,-10.3381,-10.3226,-10.3027,-10.3004,-10.2946,-10.284,-10.2687,-10.2489,-10.2373,-10.2319,-10.2215,-10.2064,-10.1872,-10.1675,-10.1623,-10.1522,-10.1376,-10.1185,-10.0924,-10.0877,-10.0781,-10.0638,-10.0451
105,31.607,-10.2728,-10.2669,-10.2559,-10.2404,-10.2205,-10.2196,-10.2138,-10.2032,-10.188,-10.1681,-10.1582,-10.1527,-10.1424,-10.1273,-10.108,-10.0901,-10.085,-10.0748,-10.0602,-10.0411,-10.017,-10.0122,-10.0026,-9.9883,-9.96958
106,32.5802,-10.1905,-10.1845,-10.1736,-10.1581,-10.1382,-10.1387,-10.1329,-10.1222,-10.107,-10.0873,-10.0788,-10.0734,-10.0631,-10.048,-10.0287,-10.0126,-10.0074,-9.99728,-9.98255,-9.9636,-9.94137,-9.93645,-9.92685,-9.91256,-9.89381
107,33.5818,-10.108,-10.102,-10.0911,-10.0756,-10.0559,-10.0576,-10.0518,-10.0411,-10.026,-10.0063,-9.99929,-9.99385,-9.98356,-9.96853,-9.94929,-9.93479,-9.92961,-9.91949,-9.90475,-9.88588,-9.86546,-9.86052,-9.85085,-9.83658,-9.81784
108,34.6128,-10.0254,-10.0194,-10.0085,-9.99313,-9.9734,-9.97635,-9.97057,-9.95989,-9.94478,-9.92516,-9.91963,-9.91415,-9.90389,-9.88892,-9.86967,-9.85679,-9.8516,-9.84151,-9.82676,-9.80797,-9.78927,-9.78434,-9.77461,-9.7604,-9.74171
109,35.674,-9.94267,-9.93674,-9.92592,-9.91053,-9.89088,-9.89499,-9.88922,-9.87852,-9.8635,-9.84394,-9.83981,-9.83428,-9.82406,-9.80918,-9.78991,-9.77862,-9.77339,-9.76333,-9.7486,-9.72989,-9.71285,-9.70794,-9.69815,-9.68401,-9.66534
110,36.7663,-9.85988,-9.85396,-9.84321,-9.82786,-9.80829,-9.8135,-9.80774,-9.79708,-9.78212,-9.76263,-9.75985,-9.75426,-9.74411,-9.72931,-9.71002,-9.70023,-9.69501,-9.68501,-9.67033,-9.65166,-9.63623,-9.63129,-9.6215,-9.60737,-9.58879
111,37.8906,-9.77704,-9.77116,-9.76043,-9.74512,-9.72565,-9.73192,-9.72617,-9.71557,-9.70065,-9.68124,-9.67976,-9.67418,-9.66404,-9.64928,-9.63001,-9.62168,-9.61649,-9.60654,-9.59193,-9.57326,-9.5594,-9.55446,-9.54472,-9.53059,-9.51212
