gridnumber,capital,dist[0 0],dist[1 0],dist[2 0],dist[3 0],dist[4 0]
111,37.8906,3.50695e-010,1.41012e-009,2.54417e-009,1.898e-009,6.15664e-010
112,39.0479,2.7204e-010,1.09318e-009,1.9618e-009,1.44891e-009,4.6376e-010
113,40.239,2.07396e-010,8.30321e-010,1.49666e-009,1.11699e-009,3.62e-010
114,41.4651,1.56975e-010,6.33555e-010,1.14278e-009,8.48633e-010,2.7413e-010
115,42.7271,1.19942e-010,4.77867e-010,8.52722e-010,6.31208e-010,2.04143e-010
116,44.0261,9.3192e-011,3.81448e-010,6.94576e-010,5.10138e-010,1.58548e-010
117,45.3631,6.866e-011,2.7103e-010,4.79271e-010,3.51176e-010,1.12071e-010
118,46.7394,5.38181e-011,2.07184e-010,3.62206e-010,2.62893e-010,8.24166e-011
119,48.1559,3.98304e-011,1.58467e-010,2.80763e-010,2.05898e-010,6.60355e-011
120,49.614,3.06083e-011,1.18786e-010,2.09624e-010,1.54742e-010,4.99204e-011
121,51.1148,2.22728e-011,8.87013e-011,1.59106e-010,1.18248e-010,3.77281e-011
122,52.6596,1.70019e-011,6.67225e-011,1.15975e-010,8.35339e-011,2.65353e-011
123,54.2497,1.28175e-011,5.03076e-011,8.78483e-011,6.36638e-011,2.03081e-011
124,55.8863,9.93838e-012,3.89983e-011,6.74601e-011,4.90786e-011,1.60497e-011
125,57.5709,7.08247e-012,2.80363e-011,4.98718e-011,3.66737e-011,1.1639e-011
126,59.3049,5.3105e-012,2.07621e-011,3.61198e-011,2.61856e-011,8.44875e-012
127,61.0897,4.01823e-012,1.568e-011,2.71309e-011,1.94887e-011,6.22825e-012
128,62.9268,2.984e-012,1.16548e-011,2.00548e-011,1.41453e-011,4.36471e-012
129,64.8177,2.2438e-012,8.74638e-012,1.49825e-011,1.05148e-011,3.23118e-012
130,66.7641,1.68245e-012,6.55779e-012,1.104e-011,7.49402e-012,2.25912e-012
131,68.7675,1.22481e-012,4.71253e-012,8.06269e-012,5.71088e-012,1.77073e-012
132,70.8295,9.20789e-013,3.54599e-012,6.11382e-012,4.34588e-012,1.31952e-012
133,72.9521,6.80156e-013,2.58771e-012,4.33404e-012,2.97796e-012,8.93894e-013
134,75.1368,5.20176e-013,1.94157e-012,3.21916e-012,2.18139e-012,6.39024e-013
135,77.3855,3.69018e-013,1.41573e-012,2.39201e-012,1.66398e-012,5.07734e-013
136,79.7002,2.8301e-013,1.07068e-012,1.77082e-012,1.21602e-012,3.69032e-013
137,82.0826,1.9857e-013,7.56108e-013,1.27022e-012,8.75813e-013,2.64367e-013
138,84.5349,1.46695e-013,5.5874e-013,9.41242e-013,6.5089e-013,1.962e-013
139,87.0591,1.09069e-013,4.15523e-013,7.00235e-013,4.85937e-013,1.47903e-013
140,89.6572,7.89654e-014,3.01832e-013,5.09674e-013,3.5406e-013,1.07658e-013
141,92.3314,5.92652e-014,2.29342e-013,3.87442e-013,2.65254e-013,7.9241e-014
142,95.084,4.26306e-014,1.62556e-013,2.74565e-013,1.91026e-013,5.81729e-014
143,97.9173,3.13071e-014,1.18798e-013,2.00199e-013,1.39783e-013,4.28947e-014
144,100.834,2.30947e-014,8.79106e-014,1.48598e-013,1.03898e-013,3.18241e-014
145,103.835,1.68763e-014,6.55496e-014,1.13188e-013,8.02355e-014,2.47531e-014
146,106.925,1.20698e-014,4.55254e-014,7.68004e-014,5.37388e-014,1.63256e-014
147,110.105,8.77939e-015,3.26498e-014,5.39207e-014,3.7215e-014,1.14532e-014
148,113.379,6.38664e-015,2.37636e-014,3.93989e-014,2.75981e-014,8.75861e-015
149,116.748,4.54197e-015,1.6804e-014,2.75582e-014,1.87176e-014,5.57959e-015
