gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6]
82,2.52455,-23.2525,-23.2095,-23.167,-23.1245,-23.0819,-23.0414,-23.0034,-23.0135,-22.9714,-22.93,-22.8888,-22.8475,-22.8081,-22.7707,-22.7446,-22.7037,-22.6636,-22.6236,-22.5837,-22.5455,-22.5092,-22.4418,-22.4028,-22.3641,-22.3254,-22.2867,-22.2498,-22.2152,-22.1018,-22.0643,-22.0267,-21.9894,-21.9527,-21.9175,-21.884,-21.7191,-21.6835,-21.6478,-21.6122,-21.5766,-21.5432,-21.5113,-21.2902,-21.2563,-21.2224,-21.1886,-21.1549,-21.1232,-21.0929
83,2.57221,-23.0757,-23.0318,-22.9875,-22.9452,-22.9028,-22.8605,-22.8189,-22.8415,-22.7986,-22.7553,-22.7142,-22.6731,-22.6319,-22.5911,-22.5778,-22.5362,-22.4943,-22.4544,-22.4146,-22.3748,-22.3351,-22.281,-22.241,-22.2007,-22.1621,-22.1235,-22.0849,-22.0471,-21.9473,-21.909,-21.8699,-21.8325,-21.7958,-21.7591,-21.7224,-21.5714,-21.5351,-21.498,-21.4624,-21.4268,-21.3917,-21.3568,-21.1501,-21.1155,-21.0802,-21.0463,-21.0125,-20.9792,-20.9461
84,2.62043,-22.9006,-22.8557,-22.8116,-22.7674,-22.7242,-22.6811,-22.6388,-22.671,-22.6273,-22.584,-22.5412,-22.4993,-22.4574,-22.4158,-22.4126,-22.3702,-22.3282,-22.2867,-22.2461,-22.2055,-22.1651,-22.1215,-22.0806,-22.0404,-22.0002,-21.9608,-21.9214,-21.8828,-21.7939,-21.7549,-21.7159,-21.6769,-21.6393,-21.6018,-21.5644,-21.425,-21.3877,-21.3507,-21.3136,-21.2773,-21.2413,-21.2057,-21.0108,-20.9755,-20.9402,-20.9049,-20.8704,-20.8362,-20.8024
85,2.66921,-22.7242,-22.6794,-22.6345,-22.5914,-22.5483,-22.5054,-22.4632,-22.4994,-22.4558,-22.4117,-22.3699,-22.3281,-22.2864,-22.2448,-22.2462,-22.2039,-22.161,-22.1205,-22.08,-22.0395,-21.9991,-21.9608,-21.9199,-21.8789,-21.8396,-21.8003,-21.761,-21.7223,-21.6393,-21.6004,-21.5606,-21.5225,-21.4848,-21.4474,-21.41,-21.2773,-21.2399,-21.2021,-21.1658,-21.1296,-21.0934,-21.0578,-20.8704,-20.8349,-20.7989,-20.7644,-20.7299,-20.6955,-20.6617
86,2.71856,-22.5496,-22.5049,-22.461,-22.4172,-22.3733,-22.3296,-22.2867,-22.3293,-22.2859,-22.2427,-22.2002,-22.1577,-22.1151,-22.0728,-22.0812,-22.0391,-21.997,-21.9558,-21.9145,-21.8733,-21.832,-21.8014,-21.7605,-21.7203,-21.6803,-21.6402,-21.6002,-21.5606,-21.4858,-21.447,-21.4081,-21.3693,-21.3306,-21.2925,-21.2544,-21.1306,-21.093,-21.056,-21.019,-20.9821,-20.9451,-20.9087,-20.7309,-20.6951,-20.6599,-20.6247,-20.5895,-20.5543,-20.5196
87,2.76847,-22.3739,-22.3303,-22.2884,-22.2447,-22.201,-22.1574,-22.1146,-22.1582,-22.1158,-22.0745,-22.0321,-21.9897,-21.9473,-21.905,-21.915,-21.8739,-21.8336,-21.7924,-21.7512,-21.7101,-21.6689,-21.6407,-21.6008,-21.5622,-21.5222,-21.4823,-21.4423,-21.4027,-21.3311,-21.2931,-21.2559,-21.2172,-21.1784,-21.1404,-21.1023,-20.9825,-20.9457,-20.9101,-20.8732,-20.8363,-20.7994,-20.7629,-20.59,-20.5549,-20.5209,-20.4858,-20.4506,-20.4155,-20.3805
88,2.81897,-22.2054,-22.1609,-22.1174,-22.0739,-22.0303,-21.985,-21.9414,-21.994,-21.9508,-21.9077,-21.8654,-21.823,-21.779,-21.7359,-21.7554,-21.7135,-21.6716,-21.6304,-21.5893,-21.5465,-21.5046,-21.4863,-21.4456,-21.4053,-21.3654,-21.3256,-21.284,-21.2436,-21.1823,-21.1435,-21.1048,-21.0661,-21.0274,-20.9877,-20.949,-20.8401,-20.8025,-20.7652,-20.7284,-20.6915,-20.6531,-20.6157,-20.4542,-20.4184,-20.3828,-20.3477,-20.3126,-20.276,-20.2402
89,2.87004,-22.0331,-21.9915,-21.9479,-21.9044,-21.8609,-21.8157,-21.7722,-21.8258,-21.7853,-21.7423,-21.7001,-21.6579,-21.6139,-21.571,-21.5919,-21.5527,-21.5109,-21.4697,-21.4288,-21.3861,-21.3443,-21.3281,-21.2901,-21.2496,-21.2099,-21.1701,-21.1286,-21.0882,-21.0299,-20.9935,-20.9548,-20.9162,-20.8775,-20.8378,-20.7991,-20.6939,-20.6587,-20.6212,-20.5845,-20.5477,-20.5093,-20.4718,-20.3148,-20.2813,-20.2456,-20.2104,-20.1754,-20.1388,-20.103
90,2.92171,-21.8648,-21.8214,-21.7798,-21.7365,-21.6931,-21.6498,-21.6074,-21.6616,-21.6195,-21.5784,-21.5363,-21.4942,-21.4521,-21.4101,-21.4324,-21.3916,-21.3516,-21.3104,-21.2695,-21.2287,-21.1878,-21.1736,-21.1339,-21.0952,-21.0555,-21.0158,-20.9761,-20.9364,-20.881,-20.8428,-20.8059,-20.7673,-20.7287,-20.6905,-20.6526,-20.5509,-20.5143,-20.4784,-20.4415,-20.4047,-20.368,-20.3313,-20.1785,-20.1435,-20.1093,-20.0739,-20.0389,-20.0039,-19.9689
91,2.97398,-21.6953,-21.653,-21.6116,-21.5701,-21.5278,-21.4855,-21.444,-21.4963,-21.4552,-21.4142,-21.3739,-21.3328,-21.2917,-21.2506,-21.2716,-21.2317,-21.1918,-21.1524,-21.1125,-21.0725,-21.0326,-21.0177,-20.979,-20.9403,-20.9023,-20.8635,-20.8247,-20.7859,-20.7307,-20.6933,-20.6564,-20.6195,-20.5818,-20.5442,-20.5072,-20.4066,-20.3707,-20.3349,-20.2994,-20.2635,-20.2276,-20.1917,-20.0407,-20.0065,-19.9723,-19.9382,-19.9039,-19.8697,-19.8355
92,3.02686,-21.5301,-21.4879,-21.4475,-21.4053,-21.3631,-21.3209,-21.2796,-21.335,-21.294,-21.254,-21.2129,-21.1719,-21.1309,-21.0899,-21.1146,-21.0748,-21.0359,-20.9956,-20.9558,-20.9159,-20.8761,-20.8656,-20.8269,-20.7891,-20.7502,-20.7115,-20.6728,-20.6341,-20.5838,-20.5463,-20.5103,-20.4727,-20.4351,-20.3974,-20.3605,-20.2654,-20.2296,-20.1946,-20.1583,-20.1224,-20.0865,-20.0507,-19.9058,-19.8717,-19.8383,-19.8034,-19.7691,-19.7348,-19.7006
93,3.08035,-21.3663,-21.3243,-21.2831,-21.2419,-21.1999,-21.1578,-21.1165,-21.1751,-21.1342,-21.0934,-21.0532,-21.0123,-20.9714,-20.9305,-20.9589,-20.9192,-20.8795,-20.8401,-20.8003,-20.7606,-20.7208,-20.7145,-20.6759,-20.6374,-20.5993,-20.5607,-20.5221,-20.4834,-20.438,-20.4005,-20.3636,-20.3269,-20.2893,-20.2518,-20.2148,-20.1252,-20.0894,-20.0537,-20.018,-19.9822,-19.9464,-19.9106,-19.7717,-19.7376,-19.7036,-19.6695,-19.6349,-19.6008,-19.5666
94,3.13445,-21.2041,-21.1622,-21.121,-21.0799,-21.0388,-20.9977,-20.9573,-21.0164,-20.9757,-20.9349,-20.8948,-20.8548,-20.8149,-20.7749,-20.8043,-20.7647,-20.7251,-20.6858,-20.647,-20.6081,-20.5693,-20.5646,-20.5261,-20.4876,-20.4495,-20.4118,-20.3741,-20.3363,-20.2931,-20.2557,-20.2188,-20.1821,-20.1454,-20.1087,-20.0724,-19.9858,-19.9501,-19.9144,-19.8788,-19.8436,-19.8086,-19.7736,-19.6384,-19.6043,-19.5703,-19.5363,-19.5023,-19.4689,-19.4355
95,3.18919,-21.0403,-20.9994,-20.9592,-20.9191,-20.8781,-20.8371,-20.7969,-20.8563,-20.8166,-20.7768,-20.7377,-20.6979,-20.658,-20.6182,-20.6484,-20.6098,-20.5711,-20.5327,-20.494,-20.4552,-20.4165,-20.4132,-20.3757,-20.3381,-20.3008,-20.2632,-20.2255,-20.1879,-20.1468,-20.1103,-20.0741,-20.0383,-20.0017,-19.965,-19.9287,-19.8449,-19.8101,-19.7753,-19.7404,-19.7051,-19.6702,-19.6353,-19.5035,-19.4703,-19.437,-19.4038,-19.3698,-19.3362,-19.3029
96,3.24455,-20.8805,-20.8397,-20.7997,-20.7598,-20.7198,-20.6781,-20.6381,-20.7002,-20.6606,-20.621,-20.5819,-20.5431,-20.5025,-20.4628,-20.4963,-20.4577,-20.4192,-20.3808,-20.343,-20.3035,-20.2649,-20.2654,-20.2279,-20.1905,-20.1532,-20.1164,-20.078,-20.0405,-20.0038,-19.9674,-19.9312,-19.8954,-19.8597,-19.8223,-19.7859,-19.7072,-19.6725,-19.6377,-19.6029,-19.5683,-19.5326,-19.4978,-19.3718,-19.3384,-19.3052,-19.272,-19.2388,-19.2043,-19.171
97,3.30056,-20.7196,-20.6816,-20.6417,-20.6019,-20.5621,-20.5205,-20.4805,-20.5428,-20.5059,-20.4664,-20.4274,-20.3886,-20.3481,-20.3085,-20.3427,-20.3068,-20.2684,-20.23,-20.1923,-20.1529,-20.1143,-20.1162,-20.0813,-20.0439,-20.0066,-19.9699,-19.9316,-19.8941,-19.8594,-19.8255,-19.7892,-19.7535,-19.7178,-19.6806,-19.6441,-19.5681,-19.5357,-19.501,-19.4663,-19.4315,-19.3959,-19.3611,-19.2386,-19.2072,-19.1741,-19.1409,-19.1078,-19.0732,-19.04
98,3.35722,-20.5627,-20.5231,-20.4841,-20.4453,-20.4064,-20.3675,-20.3293,-20.3892,-20.3507,-20.3121,-20.274,-20.2362,-20.1984,-20.1606,-20.1929,-20.1553,-20.1178,-20.0803,-20.0435,-20.0067,-19.97,-19.9705,-19.934,-19.8975,-19.8611,-19.8253,-19.7895,-19.7537,-19.7184,-19.6829,-19.6474,-19.6126,-19.5777,-19.5429,-19.5081,-19.4321,-19.3981,-19.3643,-19.3304,-19.2965,-19.263,-19.2298,-19.1083,-19.0754,-19.043,-19.0107,-18.9783,-18.9459,-18.9139
99,3.41454,-20.4043,-20.3657,-20.3277,-20.2898,-20.2519,-20.2141,-20.1742,-20.2342,-20.1966,-20.159,-20.1219,-20.085,-20.0482,-20.0087,-20.0415,-20.005,-19.9684,-19.9319,-19.8959,-19.8601,-19.8217,-19.8233,-19.7878,-19.7522,-19.7166,-19.6816,-19.6467,-19.6094,-19.5758,-19.5412,-19.5066,-19.4725,-19.4385,-19.4046,-19.3683,-19.2947,-19.2614,-19.2284,-19.1954,-19.1623,-19.1295,-19.0948,-18.9765,-18.9444,-18.9126,-18.881,-18.8495,-18.8179,-18.7843
