gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6]
20,0.414511,0.22077,0.255161,0.297775,0.350402,0.415337,0.495425,0.594332,0.220755,0.255147,0.297762,0.350389,0.415325,0.495414,0.594322,0.220741,0.255133,0.297749,0.350377,0.415313,0.495403,0.594312,0.220726,0.255118,0.297735,0.350364,0.415301,0.495392,0.594301,0.220711,0.255104,0.297722,0.350351,0.41529,0.495381,0.59429,0.220696,0.25509,0.297708,0.350338,0.415277,0.495369,0.59428,0.220681,0.255076,0.297694,0.350326,0.415266,0.495358,0.594269
21,0.437849,0.240776,0.275408,0.318251,0.371027,0.436203,0.516505,0.615622,0.240762,0.275394,0.318238,0.371014,0.436191,0.516494,0.615612,0.240748,0.275381,0.318225,0.371002,0.43618,0.516483,0.615601,0.240733,0.275366,0.318211,0.370989,0.436168,0.516472,0.615591,0.240719,0.275353,0.318198,0.370977,0.436156,0.516461,0.615581,0.240704,0.275339,0.318185,0.370965,0.436144,0.51645,0.61557,0.24069,0.275325,0.318172,0.370952,0.436132,0.516439,0.61556
22,0.461458,0.261061,0.295993,0.339036,0.392035,0.457379,0.537892,0.637191,0.261047,0.29598,0.339023,0.392022,0.457367,0.537881,0.637181,0.261033,0.295966,0.339011,0.39201,0.457356,0.537871,0.63717,0.261018,0.295952,0.338998,0.391998,0.457344,0.537859,0.63716,0.261004,0.295939,0.338985,0.391986,0.457332,0.537849,0.63715,0.26099,0.295925,0.338972,0.391974,0.457321,0.537838,0.637139,0.260976,0.295912,0.338959,0.391962,0.457309,0.537827,0.637129
23,0.485341,0.281833,0.316934,0.360109,0.413325,0.478824,0.559563,0.659047,0.281819,0.316921,0.360096,0.413313,0.478813,0.559552,0.659037,0.281806,0.316908,0.360084,0.413301,0.478801,0.559542,0.659027,0.281792,0.316895,0.360071,0.413289,0.47879,0.559531,0.659017,0.281778,0.316882,0.360059,0.413277,0.478779,0.55952,0.659007,0.281764,0.316868,0.360046,0.413265,0.478767,0.559509,0.658997,0.28175,0.316855,0.360033,0.413254,0.478756,0.559498,0.658987
24,0.5095,0.302922,0.338201,0.381539,0.434921,0.500589,0.581537,0.681191,0.302909,0.338188,0.381526,0.434909,0.500577,0.581527,0.681181,0.302895,0.338175,0.381514,0.434898,0.500566,0.581516,0.681171,0.302882,0.338162,0.381502,0.434886,0.500555,0.581505,0.681161,0.302868,0.338149,0.38149,0.434874,0.500544,0.581495,0.681151,0.302855,0.338136,0.381477,0.434862,0.500532,0.581484,0.681141,0.302841,0.338123,0.381465,0.43485,0.500521,0.581474,0.681131
25,0.533939,0.324393,0.359763,0.403306,0.456837,0.522685,0.603813,0.703609,0.32438,0.35975,0.403294,0.456825,0.522674,0.603803,0.703599,0.324367,0.359738,0.403282,0.456814,0.522663,0.603792,0.703589,0.324354,0.359725,0.40327,0.456802,0.522652,0.603782,0.703579,0.324341,0.359713,0.403258,0.456791,0.522641,0.603771,0.703569,0.324327,0.3597,0.403246,0.456779,0.52263,0.603761,0.703559,0.324314,0.359688,0.403234,0.456768,0.522619,0.60375,0.703549
26,0.558661,0.346177,0.381691,0.425377,0.479036,0.545094,0.626384,0.726314,0.346164,0.381679,0.425365,0.479025,0.545083,0.626374,0.726304,0.346151,0.381667,0.425353,0.479013,0.545072,0.626363,0.726294,0.346138,0.381654,0.425341,0.479002,0.545061,0.626353,0.726284,0.346126,0.381642,0.42533,0.478991,0.54505,0.626343,0.726275,0.346113,0.38163,0.425318,0.478979,0.545039,0.626332,0.726265,0.3461,0.381618,0.425306,0.478968,0.545029,0.626322,0.726255
27,0.58367,0.368258,0.403967,0.44777,0.501568,0.567807,0.649255,0.74932,0.368246,0.403955,0.447759,0.501556,0.567796,0.649245,0.749311,0.368233,0.403943,0.447747,0.501545,0.567786,0.649235,0.749301,0.368221,0.403931,0.447735,0.501534,0.567775,0.649224,0.749291,0.368209,0.403919,0.447724,0.501523,0.567764,0.649214,0.749281,0.368196,0.403907,0.447712,0.501512,0.567753,0.649204,0.749271,0.368184,0.403895,0.4477,0.5015,0.567742,0.649194,0.749262
28,0.608968,0.390764,0.426554,0.470477,0.524446,0.590834,0.672427,0.772635,0.390752,0.426542,0.470466,0.524435,0.590823,0.672417,0.772625,0.39074,0.426531,0.470454,0.524424,0.590813,0.672407,0.772615,0.390728,0.426519,0.470443,0.524413,0.590802,0.672396,0.772605,0.390716,0.426507,0.470431,0.524402,0.590792,0.672387,0.772596,0.390704,0.426495,0.47042,0.524391,0.590781,0.672376,0.772586,0.390691,0.426483,0.470408,0.52438,0.590771,0.672366,0.772577
29,0.634559,0.413577,0.449475,0.493497,0.547647,0.614175,0.695894,0.796251,0.413565,0.449463,0.493486,0.547636,0.614164,0.695884,0.796241,0.413553,0.449452,0.493475,0.547625,0.614154,0.695874,0.796232,0.413541,0.44944,0.493463,0.547614,0.614143,0.695864,0.796222,0.413529,0.449428,0.493452,0.547604,0.614133,0.695854,0.796213,0.413517,0.449417,0.493441,0.547593,0.614123,0.695844,0.796203,0.413505,0.449405,0.493429,0.547582,0.614112,0.695834,0.796193
