gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[1 0],VF[1 1],VF[1 2],VF[2 0],VF[2 1],VF[2 2],VF[3 0],VF[3 1],VF[3 2],VF[4 0],VF[4 1],VF[4 2]
60,7.45221,-17.0229,-17.0095,-16.9899,-16.8033,-16.7906,-16.772,-16.5423,-16.5304,-16.5129,-16.2437,-16.2332,-16.2166,-15.9145,-15.9051,-15.8895
61,7.71748,-16.9004,-16.8869,-16.8672,-16.6869,-16.674,-16.6553,-16.4329,-16.4208,-16.403,-16.1418,-16.1309,-16.1141,-15.8202,-15.8106,-15.7948
62,7.99052,-16.7782,-16.7646,-16.7447,-16.5706,-16.5575,-16.5387,-16.3233,-16.3111,-16.2929,-16.0395,-16.0283,-16.0113,-15.7254,-15.7157,-15.6998
63,8.27157,-16.6561,-16.6425,-16.6225,-16.4543,-16.4411,-16.4221,-16.2136,-16.2013,-16.1828,-15.9369,-15.9256,-15.9083,-15.6301,-15.6203,-15.6043
64,8.56085,-16.5342,-16.5205,-16.5005,-16.3381,-16.3248,-16.3056,-16.1037,-16.0913,-16.0726,-15.834,-15.8226,-15.805,-15.5345,-15.5245,-15.5083
65,8.85861,-16.4125,-16.3987,-16.3786,-16.2218,-16.2084,-16.189,-15.9936,-15.9812,-15.9623,-15.7307,-15.7192,-15.7014,-15.4385,-15.4281,-15.4118
66,9.16509,-16.2909,-16.277,-16.2569,-16.1055,-16.0921,-16.0724,-15.8833,-15.8708,-15.8519,-15.6271,-15.6155,-15.5977,-15.3419,-15.3314,-15.3149
67,9.48056,-16.1695,-16.1555,-16.1353,-15.9892,-15.9757,-15.9559,-15.7729,-15.7603,-15.7414,-15.5231,-15.5115,-15.4936,-15.2449,-15.2343,-15.2175
68,9.80527,-16.0482,-16.0341,-16.0138,-15.8729,-15.8594,-15.8393,-15.6623,-15.6497,-15.6306,-15.4189,-15.4072,-15.3892,-15.1473,-15.1367,-15.1197
69,10.1395,-15.9271,-15.9128,-15.8926,-15.7565,-15.743,-15.7228,-15.5515,-15.5388,-15.5197,-15.3143,-15.3025,-15.2845,-15.0493,-15.0386,-15.0216
70,10.4835,-15.806,-15.7917,-15.7714,-15.6402,-15.6265,-15.6064,-15.4405,-15.4278,-15.4086,-15.2095,-15.1975,-15.1794,-14.9509,-14.9402,-14.9231
71,10.8376,-15.6851,-15.6706,-15.6503,-15.5238,-15.5101,-15.4899,-15.3295,-15.3166,-15.2974,-15.1044,-15.0922,-15.074,-14.8521,-14.8413,-14.8241
72,11.2021,-15.5642,-15.5497,-15.5294,-15.4074,-15.3937,-15.3734,-15.2184,-15.2052,-15.186,-14.999,-14.9867,-14.9683,-14.753,-14.7419,-14.7247
73,11.5773,-15.4435,-15.4289,-15.4085,-15.291,-15.2773,-15.257,-15.107,-15.0938,-15.0745,-14.8934,-14.881,-14.8625,-14.6534,-14.6421,-14.6249
74,11.9634,-15.3228,-15.3083,-15.2877,-15.1745,-15.1608,-15.1404,-14.9956,-14.9822,-14.9629,-14.7875,-14.7751,-14.7565,-14.5535,-14.5422,-14.5247
75,12.3609,-15.2023,-15.1877,-15.167,-15.058,-15.0442,-15.0239,-14.884,-14.8706,-14.8512,-14.6813,-14.6689,-14.6501,-14.4533,-14.4418,-14.4242
76,12.77,-15.0819,-15.0672,-15.0464,-14.9416,-14.9277,-14.9074,-14.7723,-14.7589,-14.7393,-14.5749,-14.5625,-14.5435,-14.3525,-14.3411,-14.3232
77,13.1911,-14.9615,-14.9468,-14.9259,-14.825,-14.8112,-14.7908,-14.6605,-14.647,-14.6273,-14.4682,-14.4557,-14.4368,-14.2514,-14.2399,-14.2221
78,13.6246,-14.8412,-14.8265,-14.8055,-14.7086,-14.6946,-14.6743,-14.5485,-14.535,-14.5152,-14.3613,-14.3487,-14.3298,-14.15,-14.1384,-14.1205
