gridnumber,capital,VF[0 0],VF[1 0],VF[2 0],VF[3 0],VF[4 0]
39,3.33551,-18.3179,-18.0337,-17.7019,-17.3292,-16.9254
40,3.48015,-18.2308,-17.9523,-17.6267,-17.2605,-16.863
41,3.62902,-18.1431,-17.8703,-17.5508,-17.1909,-16.8
42,3.78225,-18.0549,-17.7877,-17.4742,-17.1206,-16.736
43,3.93998,-17.9661,-17.7044,-17.3968,-17.0496,-16.6711
44,4.10232,-17.8766,-17.6204,-17.3188,-16.9778,-16.6053
45,4.26943,-17.7866,-17.5357,-17.24,-16.905,-16.5387
46,4.44143,-17.696,-17.4503,-17.1604,-16.8315,-16.4713
47,4.61847,-17.6048,-17.3642,-17.08,-16.757,-16.4029
48,4.8007,-17.5131,-17.2775,-16.9989,-16.6818,-16.3336
49,4.98827,-17.4208,-17.1901,-16.917,-16.6058,-16.2636
50,5.18134,-17.3279,-17.1021,-16.8344,-16.5291,-16.1928
51,5.38006,-17.2344,-17.0134,-16.751,-16.4515,-16.1211
52,5.58461,-17.1404,-16.9241,-16.667,-16.373,-16.0485
53,5.79515,-17.0458,-16.8341,-16.5822,-16.2938,-15.9751
54,6.01186,-16.9506,-16.7434,-16.4967,-16.2138,-15.9008
55,6.23493,-16.8547,-16.6521,-16.4104,-16.133,-15.8258
56,6.46452,-16.7584,-16.5601,-16.3234,-16.0514,-15.7498
57,6.70085,-16.6616,-16.4675,-16.2357,-15.969,-15.6729
58,6.94411,-16.5641,-16.3743,-16.1473,-15.8859,-15.5952
59,7.19449,-16.4661,-16.2804,-16.0582,-15.802,-15.5168
60,7.45221,-16.3675,-16.1858,-15.9684,-15.7174,-15.4377
61,7.71748,-16.2684,-16.0907,-15.8778,-15.632,-15.3578
62,7.99052,-16.1686,-15.9949,-15.7866,-15.5459,-15.2771
63,8.27157,-16.0684,-15.8985,-15.6948,-15.459,-15.1955
64,8.56085,-15.9676,-15.8015,-15.6023,-15.3714,-15.1131
65,8.85861,-15.8663,-15.704,-15.5091,-15.2831,-15.0298
66,9.16509,-15.7644,-15.606,-15.4153,-15.194,-14.9458
67,9.48056,-15.6622,-15.5074,-15.3209,-15.1044,-14.8612
68,9.80527,-15.5594,-15.4082,-15.226,-15.014,-14.7758
69,10.1395,-15.4561,-15.3085,-15.1303,-14.923,-14.6899
70,10.4835,-15.3523,-15.2083,-15.0341,-14.8313,-14.6032
71,10.8376,-15.2481,-15.1075,-14.9373,-14.7389,-14.5157
72,11.2021,-15.1434,-15.0062,-14.8398,-14.6459,-14.4274
73,11.5773,-15.0383,-14.9044,-14.7418,-14.5523,-14.3384
74,11.9634,-14.9328,-14.8021,-14.6433,-14.4581,-14.2488
75,12.3609,-14.8269,-14.6993,-14.5443,-14.3634,-14.1587
76,12.77,-14.7207,-14.5961,-14.4448,-14.2681,-14.0679
77,13.1911,-14.614,-14.4924,-14.3449,-14.1722,-13.9766
78,13.6246,-14.507,-14.3884,-14.2444,-14.0758,-13.8846
79,14.0707,-14.3997,-14.284,-14.1435,-13.9788,-13.792
80,14.5299,-14.292,-14.1792,-14.0422,-13.8813,-13.6988
81,15.0026,-14.184,-14.074,-13.9404,-13.7834,-13.605
82,15.4891,-14.0757,-13.9684,-13.8381,-13.6849,-13.5107
83,15.9899,-13.9671,-13.8626,-13.7355,-13.586,-13.4158
84,16.5054,-13.8582,-13.7564,-13.6325,-13.4866,-13.3206
85,17.036,-13.7491,-13.6498,-13.5291,-13.3868,-13.2249
86,17.5821,-13.6397,-13.543,-13.4255,-13.2866,-13.1287
87,18.1442,-13.5301,-13.436,-13.3214,-13.1861,-13.0321
88,18.7228,-13.4203,-13.3288,-13.2171,-13.0853,-12.9349
89,19.3184,-13.3104,-13.2213,-13.1125,-12.9841,-12.8374
90,19.9314,-13.2003,-13.1135,-13.0076,-12.8825,-12.7395
91,20.5623,-13.09,-13.0056,-12.9025,-12.7807,-12.6413
92,21.2118,-12.9797,-12.8975,-12.7971,-12.6785,-12.5427
93,21.8803,-12.8692,-12.7893,-12.6915,-12.5761,-12.4438
94,22.5684,-12.7587,-12.6809,-12.5858,-12.4734,-12.3445
95,23.2766,-12.6481,-12.5725,-12.4798,-12.3705,-12.2449
96,24.0056,-12.5375,-12.464,-12.3738,-12.2674,-12.1451
97,24.756,-12.4269,-12.3554,-12.2677,-12.1642,-12.0451
98,25.5283,-12.3162,-12.2468,-12.1616,-12.0609,-11.945
99,26.3233,-12.2056,-12.1382,-12.0553,-11.9574,-11.8446
100,27.1416,-12.0951,-12.0296,-11.949,-11.8538,-11.7441
101,27.9838,-11.9845,-11.9209,-11.8427,-11.7501,-11.6435
102,28.8508,-11.8741,-11.8123,-11.7363,-11.6463,-11.5427
103,29.7431,-11.7637,-11.7038,-11.63,-11.5424,-11.4417
104,30.6616,-11.6535,-11.5953,-11.5237,-11.4385,-11.3408
105,31.607,-11.5434,-11.487,-11.4174,-11.3346,-11.2397
106,32.5802,-11.4334,-11.3787,-11.3112,-11.2308,-11.1386
107,33.5818,-11.3237,-11.2706,-11.2051,-11.1269,-11.0374
108,34.6128,-11.2141,-11.1626,-11.0991,-11.0232,-10.9362
109,35.674,-11.1047,-11.0547,-10.9932,-10.9196,-10.8351
110,36.7663,-10.9955,-10.9471,-10.8874,-10.816,-10.7339
111,37.8906,-10.8866,-10.8397,-10.7818,-10.7126,-10.6328
112,39.0479,-10.778,-10.7325,-10.6764,-10.6093,-10.5319
113,40.239,-10.6696,-10.6255,-10.5712,-10.5062,-10.431
114,41.4651,-10.5616,-10.5189,-10.4662,-10.4032,-10.3302
115,42.7271,-10.4539,-10.4125,-10.3614,-10.3004,-10.2296
116,44.0261,-10.3465,-10.3064,-10.2569,-10.1978,-10.1291
117,45.3631,-10.2394,-10.2006,-10.1527,-10.0954,-10.0288
118,46.7394,-10.1328,-10.0952,-10.0488,-9.99336,-9.92878
119,48.1559,-10.0265,-9.99017,-9.94521,-9.89155,-9.82903
120,49.614,-9.92067,-9.88552,-9.84199,-9.79005,-9.72952
121,51.1148,-9.8153,-9.78129,-9.73915,-9.68886,-9.63028
122,52.6596,-9.71038,-9.67749,-9.63672,-9.58801,-9.53131
123,54.2497,-9.60594,-9.57412,-9.53471,-9.48754,-9.43267
124,55.8863,-9.50199,-9.47122,-9.43311,-9.38746,-9.33435
125,57.5709,-9.39853,-9.36878,-9.33196,-9.28779,-9.2364
126,59.3049,-9.29562,-9.26684,-9.23126,-9.18854,-9.1388
127,61.0897,-9.19324,-9.16541,-9.13103,-9.08971,-9.04159
128,62.9268,-9.09142,-9.06451,-9.03128,-8.99133,-8.9448
129,64.8177,-8.99016,-8.96414,-8.93202,-8.89342,-8.84843
130,66.7641,-8.88946,-8.86433,-8.83329,-8.79599,-8.7525
131,68.7675,-8.78936,-8.76507,-8.73508,-8.69904,-8.65702
132,70.8295,-8.68984,-8.66637,-8.6374,-8.6026,-8.56199
133,72.9521,-8.59093,-8.56827,-8.54029,-8.50667,-8.46743
134,75.1368,-8.49263,-8.47075,-8.44373,-8.41128,-8.37336
135,77.3855,-8.39496,-8.37382,-8.34775,-8.31642,-8.27979
136,79.7002,-8.29793,-8.27752,-8.25237,-8.22212,-8.18674
137,82.0826,-8.20155,-8.18186,-8.15758,-8.12838,-8.09423
138,84.5349,-8.10583,-8.08683,-8.06341,-8.03522,-8.00227
139,87.0591,-8.01078,-7.99245,-7.96984,-7.94265,-7.91085
140,89.6572,-7.9164,-7.89873,-7.8769,-7.85068,-7.82
141,92.3314,-7.82271,-7.80566,-7.7846,-7.75931,-7.72972
142,95.084,-7.72971,-7.71327,-7.69295,-7.66856,-7.64002
143,97.9173,-7.63742,-7.62156,-7.60195,-7.57844,-7.55091
144,100.834,-7.54583,-7.53054,-7.51161,-7.48894,-7.4624
145,103.835,-7.45495,-7.44022,-7.42194,-7.40009,-7.3745
146,106.925,-7.3648,-7.35059,-7.33296,-7.31189,-7.28722
147,110.105,-7.27537,-7.26168,-7.24468,-7.22435,-7.20056
148,113.379,-7.18667,-7.17348,-7.15709,-7.13748,-7.11454
149,116.748,-7.09872,-7.086,-7.0702,-7.05129,-7.02918
150,120.216,-7.01151,-6.99926,-6.98402,-6.96578,-6.94446
151,123.786,-6.92504,-6.91324,-6.89855,-6.88096,-6.86041
152,127.461,-6.83933,-6.82796,-6.8138,-6.79684,-6.77703
153,131.243,-6.75437,-6.74342,-6.72978,-6.71342,-6.69433
154,135.136,-6.67018,-6.65963,-6.64648,-6.63071,-6.61231
155,139.143,-6.58674,-6.57658,-6.56392,-6.54871,-6.53098
156,143.267,-6.50407,-6.49429,-6.4821,-6.46743,-6.45035
157,147.512,-6.42218,-6.41276,-6.40101,-6.38687,-6.37042
158,151.882,-6.34105,-6.33198,-6.32067,-6.30704,-6.2912
159,156.38,-6.2607,-6.25196,-6.24107,-6.22795,-6.21268
160,161.009,-6.18112,-6.17271,-6.16222,-6.14958,-6.13487
161,165.774,-6.10231,-6.09421,-6.08412,-6.07195,-6.05778
162,170.679,-6.02428,-6.01648,-6.00677,-5.99505,-5.9814
163,175.728,-5.94702,-5.93952,-5.93017,-5.91889,-5.90574
164,180.924,-5.87054,-5.86332,-5.85433,-5.84347,-5.8308
165,186.273,-5.79483,-5.78788,-5.77923,-5.76878,-5.75658
166,191.779,-5.7199,-5.71321,-5.70489,-5.69483,-5.68309
167,197.446,-5.64574,-5.63931,-5.63131,-5.62163,-5.61033
168,203.279,-5.57235,-5.56617,-5.55847,-5.54917,-5.53829
169,209.282,-5.49973,-5.49379,-5.48639,-5.47744,-5.46698
170,215.462,-5.42789,-5.42217,-5.41506,-5.40646,-5.39639
171,221.823,-5.35681,-5.35132,-5.34448,-5.33621,-5.32652
172,228.37,-5.2865,-5.28122,-5.27465,-5.2667,-5.25738
173,235.11,-5.21695,-5.21188,-5.20556,-5.19792,-5.18896
174,242.046,-5.14817,-5.1433,-5.13723,-5.12988,-5.12127
175,249.186,-5.08014,-5.07546,-5.06963,-5.06257,-5.05429
176,256.535,-5.01287,-5.00838,-5.00277,-4.99599,-4.98803
177,264.1,-4.94636,-4.94204,-4.93665,-4.93014,-4.92248
178,271.886,-4.88059,-4.87644,-4.87127,-4.86501,-4.85765
179,279.901,-4.81557,-4.81159,-4.80662,-4.80061,-4.79354
180,288.15,-4.7513,-4.74747,-4.7427,-4.73693,-4.73013
181,296.641,-4.68776,-4.68409,-4.67951,-4.67396,-4.66743
182,305.381,-4.62496,-4.62144,-4.61704,-4.61171,-4.60544
183,314.377,-4.5629,-4.55951,-4.55529,-4.55017,-4.54415
184,323.636,-4.50156,-4.49831,-4.49425,-4.48934,-4.48357
185,333.167,-4.44095,-4.43783,-4.43394,-4.42922,-4.42368
186,342.977,-4.38107,-4.37807,-4.37434,-4.36981,-4.36449
187,353.075,-4.32191,-4.31903,-4.31545,-4.31111,-4.306
188,363.469,-4.26347,-4.26071,-4.25727,-4.25311,-4.24821
189,374.167,-4.20576,-4.20312,-4.19982,-4.19582,-4.19112
190,385.179,-4.14878,-4.14625,-4.14308,-4.13926,-4.13475
191,396.513,-4.09257,-4.09014,-4.08711,-4.08345,-4.07913
192,408.179,-4.03716,-4.03483,-4.03193,-4.02842,-4.02429
193,420.188,-3.98261,-3.98039,-3.97762,-3.97426,-3.97031
194,432.548,-3.92902,-3.92689,-3.92423,-3.92101,-3.91723
195,445.271,-3.87683,-3.87482,-3.87228,-3.86919,-3.86563
196,458.366,-3.82627,-3.82435,-3.82195,-3.81906,-3.81566
197,471.845,-3.7764,-3.77456,-3.77227,-3.7695,-3.76624
198,485.719,-3.72895,-3.72723,-3.7251,-3.72252,-3.7195
199,500,-3.68195,-3.6803,-3.67824,-3.67574,-3.67279
