gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
34,2.67182,-14678.6,-14678.6,-14678.6,-14678.6,-14678.6,-14584.2,-14584.2,-14584.2,-14584.2,-14584.2,-14377.2,-14377.2,-14377.2,-14377.2,-14377.2,-13898.1,-13898.1,-13898.1,-13898.1,-13898.1,-9267.11,-9267.11,-9267.11,-9267.11,-9267.11
35,2.797,-14678.5,-14678.5,-14678.5,-14678.5,-14678.5,-14584.2,-14584.2,-14584.2,-14584.2,-14584.2,-14377.2,-14377.2,-14377.2,-14377.2,-14377.2,-13898.1,-13898.1,-13898.1,-13898.1,-13898.1,-9267.07,-9267.07,-9267.07,-9267.07,-9267.07
36,2.92586,-14678.5,-14678.5,-14678.5,-14678.5,-14678.5,-14584.1,-14584.1,-14584.1,-14584.1,-14584.1,-14377.1,-14377.1,-14377.1,-14377.1,-14377.1,-13898.1,-13898.1,-13898.1,-13898.1,-13898.1,-9267.04,-9267.04,-9267.04,-9267.04,-9267.04
37,3.05848,-14678.5,-14678.5,-14678.5,-14678.5,-14678.5,-14584.1,-14584.1,-14584.1,-14584.1,-14584.1,-14377.1,-14377.1,-14377.1,-14377.1,-14377.1,-13898.1,-13898.1,-13898.1,-13898.1,-13898.1,-9267.02,-9267.02,-9267.02,-9267.02,-9267.01
38,3.195,-14678.5,-14678.5,-14678.5,-14678.5,-14678.5,-14584.1,-14584.1,-14584.1,-14584.1,-14584.1,-14377.1,-14377.1,-14377.1,-14377.1,-14377.1,-13898,-13898,-13898,-13898,-13898,-9266.99,-9266.99,-9266.99,-9266.99,-9266.99
39,3.33551,-14678.4,-14678.4,-14678.4,-14678.4,-14678.4,-14584.1,-14584.1,-14584.1,-14584.1,-14584.1,-14377.1,-14377.1,-14377.1,-14377.1,-14377.1,-13898,-13898,-13898,-13898,-13898,-9266.96,-9266.96,-9266.96,-9266.96,-9266.96
40,3.48015,-14678.4,-14678.4,-14678.4,-14678.4,-14678.4,-14584,-14584,-14584,-14584,-14584,-14377.1,-14377.1,-14377.1,-14377.1,-14377.1,-13898,-13898,-13898,-13898,-13898,-9266.93,-9266.93,-9266.93,-9266.93,-9266.93
41,3.62902,-14678.4,-14678.4,-14678.4,-14678.4,-14678.4,-14584,-14584,-14584,-14584,-14584,-14377,-14377,-14377,-14377,-14377,-13898,-13898,-13898,-13898,-13898,-9266.9,-9266.9,-9266.9,-9266.9,-9266.9
42,3.78225,-14678.4,-14678.4,-14678.4,-14678.4,-14678.4,-14584,-14584,-14584,-14584,-14584,-14377,-14377,-14377,-14377,-14377,-13898,-13898,-13898,-13898,-13898,-9266.88,-9266.88,-9266.88,-9266.88,-9266.88
43,3.93998,-14678.3,-14678.3,-14678.3,-14678.3,-14678.3,-14584,-14584,-14584,-14584,-14584,-14377,-14377,-14377,-14377,-14377,-13898,-13898,-13898,-13898,-13898,-9266.85,-9266.85,-9266.85,-9266.85,-9266.85
44,4.10232,-14678.3,-14678.3,-14678.3,-14678.3,-14678.3,-14583.9,-14583.9,-14583.9,-14583.9,-14583.9,-14377,-14377,-14377,-14377,-14377,-13897.9,-13897.9,-13897.9,-13897.9,-13897.9,-9266.83,-9266.83,-9266.83,-9266.83,-9266.83
45,4.26943,-14678.3,-14678.3,-14678.3,-14678.3,-14678.3,-14583.9,-14583.9,-14583.9,-14583.9,-14583.9,-14377,-14377,-14377,-14377,-14377,-13897.9,-13897.9,-13897.9,-13897.9,-13897.9,-9266.8,-9266.8,-9266.8,-9266.8,-9266.8
46,4.44143,-14678.3,-14678.3,-14678.3,-14678.3,-14678.3,-14583.9,-14583.9,-14583.9,-14583.9,-14583.9,-14376.9,-14376.9,-14376.9,-14376.9,-14376.9,-13897.9,-13897.9,-13897.9,-13897.9,-13897.9,-9266.78,-9266.78,-9266.78,-9266.78,-9266.77
47,4.61847,-14678.3,-14678.3,-14678.3,-14678.3,-14678.2,-14583.9,-14583.9,-14583.9,-14583.9,-14583.9,-14376.9,-14376.9,-14376.9,-14376.9,-14376.9,-13897.9,-13897.9,-13897.9,-13897.9,-13897.9,-9266.75,-9266.75,-9266.75,-9266.75,-9266.75
48,4.8007,-14678.2,-14678.2,-14678.2,-14678.2,-14678.2,-14583.9,-14583.9,-14583.9,-14583.9,-14583.9,-14376.9,-14376.9,-14376.9,-14376.9,-14376.9,-13897.9,-13897.9,-13897.9,-13897.9,-13897.9,-9266.73,-9266.73,-9266.73,-9266.73,-9266.73
49,4.98827,-14678.2,-14678.2,-14678.2,-14678.2,-14678.2,-14583.9,-14583.9,-14583.9,-14583.9,-14583.9,-14376.9,-14376.9,-14376.9,-14376.9,-14376.9,-13897.9,-13897.9,-13897.9,-13897.9,-13897.9,-9266.7,-9266.7,-9266.7,-9266.7,-9266.7
50,5.18134,-14678.2,-14678.2,-14678.2,-14678.2,-14678.2,-14583.8,-14583.8,-14583.8,-14583.8,-14583.8,-14376.9,-14376.9,-14376.9,-14376.9,-14376.9,-13897.8,-13897.8,-13897.8,-13897.8,-13897.8,-9266.68,-9266.68,-9266.68,-9266.68,-9266.68
51,5.38006,-14678.2,-14678.2,-14678.2,-14678.2,-14678.2,-14583.8,-14583.8,-14583.8,-14583.8,-14583.8,-14376.9,-14376.9,-14376.9,-14376.9,-14376.9,-13897.8,-13897.8,-13897.8,-13897.8,-13897.8,-9266.66,-9266.66,-9266.66,-9266.66,-9266.65
52,5.58461,-14678.2,-14678.2,-14678.2,-14678.2,-14678.2,-14583.8,-14583.8,-14583.8,-14583.8,-14583.8,-14376.8,-14376.8,-14376.8,-14376.8,-14376.8,-13897.8,-13897.8,-13897.8,-13897.8,-13897.8,-9266.63,-9266.63,-9266.63,-9266.63,-9266.63
53,5.79515,-14678.1,-14678.1,-14678.1,-14678.1,-14678.1,-14583.8,-14583.8,-14583.8,-14583.8,-14583.8,-14376.8,-14376.8,-14376.8,-14376.8,-14376.8,-13897.8,-13897.8,-13897.8,-13897.8,-13897.8,-9266.61,-9266.61,-9266.61,-9266.61,-9266.61
54,6.01186,-14678.1,-14678.1,-14678.1,-14678.1,-14678.1,-14583.8,-14583.8,-14583.8,-14583.8,-14583.8,-14376.8,-14376.8,-14376.8,-14376.8,-14376.8,-13897.8,-13897.8,-13897.8,-13897.8,-13897.8,-9266.59,-9266.59,-9266.59,-9266.59,-9266.59
55,6.23493,-14678.1,-14678.1,-14678.1,-14678.1,-14678.1,-14583.8,-14583.8,-14583.8,-14583.8,-14583.8,-14376.8,-14376.8,-14376.8,-14376.8,-14376.8,-13897.8,-13897.8,-13897.8,-13897.8,-13897.8,-9266.57,-9266.57,-9266.57,-9266.57,-9266.56
56,6.46452,-14678.1,-14678.1,-14678.1,-14678.1,-14678.1,-14583.7,-14583.7,-14583.7,-14583.7,-14583.7,-14376.8,-14376.8,-14376.8,-14376.8,-14376.8,-13897.8,-13897.8,-13897.8,-13897.8,-13897.8,-9266.54,-9266.54,-9266.54,-9266.54,-9266.54
57,6.70085,-14678.1,-14678.1,-14678.1,-14678.1,-14678.1,-14583.7,-14583.7,-14583.7,-14583.7,-14583.7,-14376.8,-14376.8,-14376.8,-14376.8,-14376.8,-13897.7,-13897.7,-13897.7,-13897.7,-13897.7,-9266.52,-9266.52,-9266.52,-9266.52,-9266.52
58,6.94411,-14678.1,-14678.1,-14678.1,-14678.1,-14678.1,-14583.7,-14583.7,-14583.7,-14583.7,-14583.7,-14376.8,-14376.8,-14376.8,-14376.8,-14376.8,-13897.7,-13897.7,-13897.7,-13897.7,-13897.7,-9266.5,-9266.5,-9266.5,-9266.5,-9266.5
59,7.19449,-14678.1,-14678.1,-14678,-14678,-14678,-14583.7,-14583.7,-14583.7,-14583.7,-14583.7,-14376.7,-14376.7,-14376.7,-14376.7,-14376.7,-13897.7,-13897.7,-13897.7,-13897.7,-13897.7,-9266.48,-9266.48,-9266.48,-9266.48,-9266.48
60,7.45221,-14678,-14678,-14678,-14678,-14678,-14583.7,-14583.7,-14583.7,-14583.7,-14583.7,-14376.7,-14376.7,-14376.7,-14376.7,-14376.7,-13897.7,-13897.7,-13897.7,-13897.7,-13897.7,-9266.46,-9266.46,-9266.46,-9266.46,-9266.45
61,7.71748,-14678,-14678,-14678,-14678,-14678,-14583.7,-14583.7,-14583.7,-14583.7,-14583.7,-14376.7,-14376.7,-14376.7,-14376.7,-14376.7,-13897.7,-13897.7,-13897.7,-13897.7,-13897.7,-9266.44,-9266.44,-9266.44,-9266.43,-9266.43
62,7.99052,-14678,-14678,-14678,-14678,-14678,-14583.7,-14583.7,-14583.7,-14583.7,-14583.7,-14376.7,-14376.7,-14376.7,-14376.7,-14376.7,-13897.7,-13897.7,-13897.7,-13897.7,-13897.7,-9266.42,-9266.42,-9266.42,-9266.41,-9266.41
63,8.27157,-14678,-14678,-14678,-14678,-14678,-14583.6,-14583.6,-14583.6,-14583.6,-14583.6,-14376.7,-14376.7,-14376.7,-14376.7,-14376.7,-13897.7,-13897.7,-13897.7,-13897.7,-13897.7,-9266.39,-9266.39,-9266.39,-9266.39,-9266.39
64,8.56085,-14678,-14678,-14678,-14678,-14678,-14583.6,-14583.6,-14583.6,-14583.6,-14583.6,-14376.7,-14376.7,-14376.7,-14376.7,-14376.7,-13897.7,-13897.7,-13897.7,-13897.7,-13897.7,-9266.37,-9266.37,-9266.37,-9266.37,-9266.37
65,8.85861,-14678,-14678,-14678,-14678,-14678,-14583.6,-14583.6,-14583.6,-14583.6,-14583.6,-14376.7,-14376.7,-14376.7,-14376.7,-14376.7,-13897.7,-13897.7,-13897.7,-13897.7,-13897.7,-9266.35,-9266.35,-9266.35,-9266.35,-9266.35
66,9.16509,-14678,-14678,-14678,-14678,-14678,-14583.6,-14583.6,-14583.6,-14583.6,-14583.6,-14376.7,-14376.7,-14376.7,-14376.7,-14376.7,-13897.6,-13897.6,-13897.6,-13897.6,-13897.6,-9266.33,-9266.33,-9266.33,-9266.33,-9266.33
67,9.48056,-14677.9,-14677.9,-14677.9,-14677.9,-14677.9,-14583.6,-14583.6,-14583.6,-14583.6,-14583.6,-14376.7,-14376.7,-14376.7,-14376.7,-14376.7,-13897.6,-13897.6,-13897.6,-13897.6,-13897.6,-9266.31,-9266.31,-9266.31,-9266.31,-9266.31
68,9.80527,-14677.9,-14677.9,-14677.9,-14677.9,-14677.9,-14583.6,-14583.6,-14583.6,-14583.6,-14583.6,-14376.6,-14376.6,-14376.6,-14376.6,-14376.6,-13897.6,-13897.6,-13897.6,-13897.6,-13897.6,-9266.29,-9266.29,-9266.29,-9266.29,-9266.29
69,10.1395,-14677.9,-14677.9,-14677.9,-14677.9,-14677.9,-14583.6,-14583.6,-14583.6,-14583.6,-14583.6,-14376.6,-14376.6,-14376.6,-14376.6,-14376.6,-13897.6,-13897.6,-13897.6,-13897.6,-13897.6,-9266.27,-9266.27,-9266.27,-9266.27,-9266.27
70,10.4835,-14677.9,-14677.9,-14677.9,-14677.9,-14677.9,-14583.6,-14583.6,-14583.6,-14583.6,-14583.6,-14376.6,-14376.6,-14376.6,-14376.6,-14376.6,-13897.6,-13897.6,-13897.6,-13897.6,-13897.6,-9266.25,-9266.25,-9266.25,-9266.25,-9266.25
71,10.8376,-14677.9,-14677.9,-14677.9,-14677.9,-14677.9,-14583.6,-14583.6,-14583.6,-14583.6,-14583.6,-14376.6,-14376.6,-14376.6,-14376.6,-14376.6,-13897.6,-13897.6,-13897.6,-13897.6,-13897.6,-9266.24,-9266.24,-9266.23,-9266.23,-9266.23
72,11.2021,-14677.9,-14677.9,-14677.9,-14677.9,-14677.9,-14583.5,-14583.5,-14583.5,-14583.5,-14583.5,-14376.6,-14376.6,-14376.6,-14376.6,-14376.6,-13897.6,-13897.6,-13897.6,-13897.6,-13897.6,-9266.22,-9266.22,-9266.22,-9266.21,-9266.21
73,11.5773,-14677.9,-14677.9,-14677.9,-14677.9,-14677.9,-14583.5,-14583.5,-14583.5,-14583.5,-14583.5,-14376.6,-14376.6,-14376.6,-14376.6,-14376.6,-13897.6,-13897.6,-13897.6,-13897.6,-13897.6,-9266.2,-9266.2,-9266.2,-9266.19,-9266.19
74,11.9634,-14677.9,-14677.9,-14677.9,-14677.9,-14677.9,-14583.5,-14583.5,-14583.5,-14583.5,-14583.5,-14376.6,-14376.6,-14376.6,-14376.6,-14376.6,-13897.6,-13897.6,-13897.6,-13897.6,-13897.6,-9266.18,-9266.18,-9266.18,-9266.18,-9266.17
75,12.3609,-14677.9,-14677.9,-14677.9,-14677.9,-14677.9,-14583.5,-14583.5,-14583.5,-14583.5,-14583.5,-14376.6,-14376.6,-14376.6,-14376.6,-14376.6,-13897.6,-13897.6,-13897.6,-13897.6,-13897.6,-9266.16,-9266.16,-9266.16,-9266.16,-9266.15
76,12.77,-14677.8,-14677.8,-14677.8,-14677.8,-14677.8,-14583.5,-14583.5,-14583.5,-14583.5,-14583.5,-14376.6,-14376.6,-14376.6,-14376.6,-14376.6,-13897.5,-13897.5,-13897.5,-13897.5,-13897.5,-9266.14,-9266.14,-9266.14,-9266.14,-9266.14
77,13.1911,-14677.8,-14677.8,-14677.8,-14677.8,-14677.8,-14583.5,-14583.5,-14583.5,-14583.5,-14583.5,-14376.6,-14376.6,-14376.5,-14376.5,-14376.5,-13897.5,-13897.5,-13897.5,-13897.5,-13897.5,-9266.12,-9266.12,-9266.12,-9266.12,-9266.12
78,13.6246,-14677.8,-14677.8,-14677.8,-14677.8,-14677.8,-14583.5,-14583.5,-14583.5,-14583.5,-14583.5,-14376.5,-14376.5,-14376.5,-14376.5,-14376.5,-13897.5,-13897.5,-13897.5,-13897.5,-13897.5,-9266.1,-9266.1,-9266.1,-9266.1,-9266.1
79,14.0707,-14677.8,-14677.8,-14677.8,-14677.8,-14677.8,-14583.5,-14583.5,-14583.5,-14583.5,-14583.5,-14376.5,-14376.5,-14376.5,-14376.5,-14376.5,-13897.5,-13897.5,-13897.5,-13897.5,-13897.5,-9266.09,-9266.09,-9266.08,-9266.08,-9266.08
80,14.5299,-14677.8,-14677.8,-14677.8,-14677.8,-14677.8,-14583.5,-14583.5,-14583.5,-14583.5,-14583.5,-14376.5,-14376.5,-14376.5,-14376.5,-14376.5,-13897.5,-13897.5,-13897.5,-13897.5,-13897.5,-9266.07,-9266.07,-9266.07,-9266.07,-9266.06
81,15.0026,-14677.8,-14677.8,-14677.8,-14677.8,-14677.8,-14583.5,-14583.5,-14583.5,-14583.5,-14583.5,-14376.5,-14376.5,-14376.5,-14376.5,-14376.5,-13897.5,-13897.5,-13897.5,-13897.5,-13897.5,-9266.05,-9266.05,-9266.05,-9266.05,-9266.05
82,15.4891,-14677.8,-14677.8,-14677.8,-14677.8,-14677.8,-14583.4,-14583.4,-14583.4,-14583.4,-14583.4,-14376.5,-14376.5,-14376.5,-14376.5,-14376.5,-13897.5,-13897.5,-13897.5,-13897.5,-13897.5,-9266.03,-9266.03,-9266.03,-9266.03,-9266.03
83,15.9899,-14677.8,-14677.8,-14677.8,-14677.8,-14677.8,-14583.4,-14583.4,-14583.4,-14583.4,-14583.4,-14376.5,-14376.5,-14376.5,-14376.5,-14376.5,-13897.5,-13897.5,-13897.5,-13897.5,-13897.5,-9266.02,-9266.01,-9266.01,-9266.01,-9266.01
84,16.5054,-14677.8,-14677.8,-14677.8,-14677.8,-14677.8,-14583.4,-14583.4,-14583.4,-14583.4,-14583.4,-14376.5,-14376.5,-14376.5,-14376.5,-14376.5,-13897.5,-13897.5,-13897.5,-13897.5,-13897.5,-9266,-9266,-9266,-9265.99,-9265.99
85,17.036,-14677.8,-14677.8,-14677.8,-14677.8,-14677.8,-14583.4,-14583.4,-14583.4,-14583.4,-14583.4,-14376.5,-14376.5,-14376.5,-14376.5,-14376.5,-13897.5,-13897.5,-13897.5,-13897.5,-13897.5,-9265.98,-9265.98,-9265.98,-9265.98,-9265.98
86,17.5821,-14677.7,-14677.7,-14677.7,-14677.7,-14677.7,-14583.4,-14583.4,-14583.4,-14583.4,-14583.4,-14376.5,-14376.5,-14376.5,-14376.5,-14376.5,-13897.5,-13897.5,-13897.5,-13897.5,-13897.5,-9265.96,-9265.96,-9265.96,-9265.96,-9265.96
