gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6]
334,73.3805,-0.174799,-0.174799,-0.174799,-0.174799,-0.174799,-0.174799,-0.174799,-0.174318,-0.174318,-0.174318,-0.174318,-0.174318,-0.174318,-0.174318,-0.173763,-0.173763,-0.173763,-0.173763,-0.173763,-0.173763,-0.173763,-0.173118,-0.173118,-0.173118,-0.173118,-0.173118,-0.173118,-0.173118,-0.172367,-0.172367,-0.172367,-0.172367,-0.172367,-0.172367,-0.172367,-0.171488,-0.171488,-0.171488,-0.171488,-0.171488,-0.171488,-0.171488,-0.170458,-0.170458,-0.170458,-0.170458,-0.170458,-0.170458,-0.170458
335,74.2492,-0.171233,-0.171233,-0.171233,-0.171233,-0.171233,-0.171233,-0.171233,-0.170767,-0.170767,-0.170767,-0.170767,-0.170767,-0.170767,-0.170767,-0.170229,-0.170229,-0.170229,-0.170229,-0.170229,-0.170229,-0.170229,-0.169604,-0.169604,-0.169604,-0.169604,-0.169604,-0.169604,-0.169604,-0.168875,-0.168875,-0.168875,-0.168875,-0.168875,-0.168875,-0.168875,-0.168022,-0.168022,-0.168022,-0.168022,-0.168022,-0.168022,-0.168022,-0.167023,-0.167023,-0.167023,-0.167023,-0.167023,-0.167023,-0.167023
336,75.1279,-0.167736,-0.167736,-0.167736,-0.167736,-0.167736,-0.167736,-0.167736,-0.167284,-0.167284,-0.167284,-0.167284,-0.167284,-0.167284,-0.167284,-0.166762,-0.166762,-0.166762,-0.166762,-0.166762,-0.166762,-0.166762,-0.166156,-0.166156,-0.166156,-0.166156,-0.166156,-0.166156,-0.166156,-0.16545,-0.16545,-0.16545,-0.16545,-0.16545,-0.16545,-0.16545,-0.164623,-0.164623,-0.164623,-0.164623,-0.164623,-0.164623,-0.164623,-0.163653,-0.163653,-0.163653,-0.163653,-0.163653,-0.163653,-0.163653
337,76.0168,-0.164307,-0.164307,-0.164307,-0.164307,-0.164307,-0.164307,-0.164307,-0.163868,-0.163868,-0.163868,-0.163868,-0.163868,-0.163868,-0.163868,-0.163362,-0.163362,-0.163362,-0.163362,-0.163362,-0.163362,-0.163362,-0.162774,-0.162774,-0.162774,-0.162774,-0.162774,-0.162774,-0.162774,-0.162089,-0.162089,-0.162089,-0.162089,-0.162089,-0.162089,-0.162089,-0.161287,-0.161287,-0.161287,-0.161287,-0.161287,-0.161287,-0.161287,-0.160347,-0.160347,-0.160347,-0.160347,-0.160347,-0.160347,-0.160347
338,76.916,-0.160943,-0.160943,-0.160943,-0.160943,-0.160943,-0.160943,-0.160943,-0.160518,-0.160518,-0.160518,-0.160518,-0.160518,-0.160518,-0.160518,-0.160027,-0.160027,-0.160027,-0.160027,-0.160027,-0.160027,-0.160027,-0.159458,-0.159458,-0.159458,-0.159458,-0.159458,-0.159458,-0.159458,-0.158793,-0.158793,-0.158793,-0.158793,-0.158793,-0.158793,-0.158793,-0.158016,-0.158016,-0.158016,-0.158016,-0.158016,-0.158016,-0.158016,-0.157103,-0.157103,-0.157103,-0.157103,-0.157103,-0.157103,-0.157103
339,77.8256,-0.157645,-0.157645,-0.157645,-0.157645,-0.157645,-0.157645,-0.157645,-0.157233,-0.157233,-0.157233,-0.157233,-0.157233,-0.157233,-0.157233,-0.156757,-0.156757,-0.156757,-0.156757,-0.156757,-0.156757,-0.156757,-0.156204,-0.156204,-0.156204,-0.156204,-0.156204,-0.156204,-0.156204,-0.15556,-0.15556,-0.15556,-0.15556,-0.15556,-0.15556,-0.15556,-0.154806,-0.154806,-0.154806,-0.154806,-0.154806,-0.154806,-0.154806,-0.153921,-0.153921,-0.153921,-0.153921,-0.153921,-0.153921,-0.153921
340,78.7458,-0.15441,-0.15441,-0.15441,-0.15441,-0.15441,-0.15441,-0.15441,-0.154011,-0.154011,-0.154011,-0.154011,-0.154011,-0.154011,-0.154011,-0.153549,-0.153549,-0.153549,-0.153549,-0.153549,-0.153549,-0.153549,-0.153014,-0.153014,-0.153014,-0.153014,-0.153014,-0.153014,-0.153014,-0.152389,-0.152389,-0.152389,-0.152389,-0.152389,-0.152389,-0.152389,-0.151658,-0.151658,-0.151658,-0.151658,-0.151658,-0.151658,-0.151658,-0.150799,-0.150799,-0.150799,-0.150799,-0.150799,-0.150799,-0.150799
341,79.6766,-0.151239,-0.151239,-0.151239,-0.151239,-0.151239,-0.151239,-0.151239,-0.150851,-0.150851,-0.150851,-0.150851,-0.150851,-0.150851,-0.150851,-0.150404,-0.150404,-0.150404,-0.150404,-0.150404,-0.150404,-0.150404,-0.149885,-0.149885,-0.149885,-0.149885,-0.149885,-0.149885,-0.149885,-0.149279,-0.149279,-0.149279,-0.149279,-0.149279,-0.149279,-0.149279,-0.14857,-0.14857,-0.14857,-0.14857,-0.14857,-0.14857,-0.14857,-0.147737,-0.147737,-0.147737,-0.147737,-0.147737,-0.147737,-0.147737
342,80.6182,-0.148129,-0.148129,-0.148129,-0.148129,-0.148129,-0.148129,-0.148129,-0.147753,-0.147753,-0.147753,-0.147753,-0.147753,-0.147753,-0.147753,-0.147319,-0.147319,-0.147319,-0.147319,-0.147319,-0.147319,-0.147319,-0.146816,-0.146816,-0.146816,-0.146816,-0.146816,-0.146816,-0.146816,-0.146229,-0.146229,-0.146229,-0.146229,-0.146229,-0.146229,-0.146229,-0.145541,-0.145541,-0.145541,-0.145541,-0.145541,-0.145541,-0.145541,-0.144734,-0.144734,-0.144734,-0.144734,-0.144734,-0.144734,-0.144734
343,81.5708,-0.145079,-0.145079,-0.145079,-0.145079,-0.145079,-0.145079,-0.145079,-0.144715,-0.144715,-0.144715,-0.144715,-0.144715,-0.144715,-0.144715,-0.144295,-0.144295,-0.144295,-0.144295,-0.144295,-0.144295,-0.144295,-0.143806,-0.143806,-0.143806,-0.143806,-0.143806,-0.143806,-0.143806,-0.143237,-0.143237,-0.143237,-0.143237,-0.143237,-0.143237,-0.143237,-0.142571,-0.142571,-0.142571,-0.142571,-0.142571,-0.142571,-0.142571,-0.141788,-0.141788,-0.141788,-0.141788,-0.141788,-0.141788,-0.141788
