gridnumber,capital,Portfolio[0 0],Portfolio[0 1],Portfolio[0 2],Portfolio[0 3],Portfolio[0 4],Portfolio[1 0],Portfolio[1 1],Portfolio[1 2],Portfolio[1 3],Portfolio[1 4],Portfolio[2 0],Portfolio[2 1],Portfolio[2 2],Portfolio[2 3],Portfolio[2 4],Portfolio[3 0],Portfolio[3 1],Portfolio[3 2],Portfolio[3 3],Portfolio[3 4],Portfolio[4 0],Portfolio[4 1],Portfolio[4 2],Portfolio[4 3],Portfolio[4 4]
77,5.43014,0.04,0.2,0.34,0.48,0.64,0.04,0.2,0.36,0.5,0.64,0.02,0.18,0.34,0.5,0.64,0,0.16,0.32,0.48,0.64,0,0.16,0.32,0.48,0.66
78,5.56659,0.04,0.2,0.34,0.48,0.62,0.04,0.2,0.36,0.5,0.64,0.02,0.18,0.34,0.5,0.64,0,0.16,0.32,0.48,0.64,0,0.14,0.32,0.48,0.64
79,5.70569,0.06,0.2,0.36,0.5,0.62,0.04,0.2,0.34,0.5,0.64,0.02,0.18,0.34,0.48,0.64,0,0.16,0.32,0.48,0.64,0,0.14,0.3,0.48,0.64
80,5.84748,0.06,0.22,0.36,0.5,0.62,0.04,0.2,0.34,0.5,0.64,0,0.18,0.34,0.5,0.64,0,0.16,0.32,0.48,0.64,0,0.14,0.3,0.46,0.64
81,5.99204,0.06,0.22,0.36,0.5,0.62,0.04,0.2,0.34,0.5,0.64,0,0.2,0.36,0.5,0.64,0,0.18,0.34,0.48,0.64,0,0.14,0.3,0.46,0.62
82,6.13939,0.06,0.22,0.36,0.5,0.62,0.04,0.18,0.34,0.5,0.64,0,0.2,0.36,0.5,0.64,0,0.18,0.34,0.5,0.64,0,0.14,0.32,0.46,0.64
83,6.28961,0.06,0.22,0.36,0.5,0.62,0.02,0.18,0.34,0.48,0.64,0,0.2,0.36,0.5,0.64,0,0.2,0.36,0.5,0.64,0,0.16,0.32,0.48,0.64
84,6.44274,0.06,0.22,0.36,0.5,0.64,0.02,0.18,0.36,0.5,0.64,0,0.2,0.36,0.52,0.64,0,0.18,0.34,0.5,0.64,0,0.18,0.34,0.48,0.64
85,6.59885,0.06,0.22,0.36,0.5,0.64,0.02,0.18,0.38,0.5,0.62,0.02,0.2,0.36,0.5,0.66,0,0.18,0.34,0.5,0.64,0,0.18,0.34,0.48,0.64
86,6.75798,0.06,0.2,0.36,0.5,0.64,0.02,0.18,0.38,0.5,0.62,0.02,0.2,0.36,0.5,0.66,0,0.18,0.34,0.5,0.64,0,0.16,0.32,0.48,0.64
87,6.9202,0.06,0.2,0.36,0.5,0.64,0.04,0.2,0.38,0.5,0.62,0.04,0.2,0.34,0.5,0.64,0.02,0.18,0.32,0.48,0.64,0,0.16,0.32,0.48,0.64
