gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
69,10.1395,-15.6063,-15.6063,-15.6063,-15.604,-15.5946,-15.4586,-15.4586,-15.4586,-15.4567,-15.4479,-15.2803,-15.2803,-15.2803,-15.2789,-15.2708,-15.0731,-15.0731,-15.0731,-15.0722,-15.0648,-14.8403,-14.8403,-14.8403,-14.8398,-14.8335
70,10.4835,-15.505,-15.505,-15.505,-15.5026,-15.4932,-15.3606,-15.3606,-15.3606,-15.3587,-15.3499,-15.1864,-15.1864,-15.1864,-15.1849,-15.1766,-14.9836,-14.9836,-14.9836,-14.9826,-14.9751,-14.7554,-14.7554,-14.7554,-14.7549,-14.7486
71,10.8376,-15.4032,-15.4032,-15.4032,-15.4008,-15.3913,-15.2621,-15.2621,-15.2621,-15.2601,-15.2513,-15.0918,-15.0918,-15.0918,-15.0902,-15.0819,-14.8934,-14.8934,-14.8934,-14.8923,-14.8849,-14.6699,-14.6699,-14.6699,-14.6693,-14.6629
72,11.2021,-15.3009,-15.3009,-15.3009,-15.2985,-15.289,-15.1631,-15.1631,-15.1631,-15.161,-15.1522,-14.9966,-14.9966,-14.9966,-14.995,-14.9867,-14.8025,-14.8025,-14.8025,-14.8014,-14.7939,-14.5837,-14.5837,-14.5837,-14.5831,-14.5766
73,11.5773,-15.1981,-15.1981,-15.1981,-15.1957,-15.1862,-15.0635,-15.0635,-15.0635,-15.0614,-15.0525,-14.9009,-14.9009,-14.9009,-14.8992,-14.8908,-14.7111,-14.7111,-14.7111,-14.7098,-14.7023,-14.4968,-14.4968,-14.4968,-14.4961,-14.4896
74,11.9634,-15.0948,-15.0948,-15.0948,-15.0924,-15.0829,-14.9634,-14.9634,-14.9634,-14.9613,-14.9524,-14.8045,-14.8045,-14.8045,-14.8028,-14.7944,-14.6189,-14.6189,-14.6189,-14.6176,-14.61,-14.4092,-14.4092,-14.4092,-14.4085,-14.4018
75,12.3609,-14.9911,-14.9911,-14.9911,-14.9887,-14.9791,-14.8628,-14.8628,-14.8628,-14.8606,-14.8517,-14.7076,-14.7076,-14.7076,-14.7058,-14.6974,-14.5261,-14.5261,-14.5261,-14.5248,-14.5171,-14.3209,-14.3209,-14.3209,-14.3202,-14.3134
76,12.77,-14.8869,-14.8869,-14.8869,-14.8845,-14.875,-14.7617,-14.7617,-14.7617,-14.7595,-14.7505,-14.6101,-14.6101,-14.6101,-14.6083,-14.5998,-14.4326,-14.4326,-14.4326,-14.4313,-14.4235,-14.2319,-14.2319,-14.2319,-14.2311,-14.2242
77,13.1911,-14.7823,-14.7823,-14.7823,-14.7799,-14.7704,-14.6601,-14.6601,-14.6601,-14.6579,-14.6488,-14.512,-14.512,-14.512,-14.5103,-14.5017,-14.3385,-14.3385,-14.3385,-14.3372,-14.3294,-14.1422,-14.1422,-14.1422,-14.1414,-14.1345
78,13.6246,-14.6773,-14.6773,-14.6773,-14.6748,-14.6653,-14.5581,-14.5581,-14.5581,-14.5559,-14.5467,-14.4134,-14.4134,-14.4134,-14.4116,-14.4031,-14.2438,-14.2438,-14.2438,-14.2425,-14.2347,-14.0518,-14.0518,-14.0518,-14.051,-14.0441
79,14.0707,-14.5718,-14.5718,-14.5718,-14.5694,-14.5599,-14.4555,-14.4555,-14.4555,-14.4533,-14.4441,-14.3143,-14.3143,-14.3143,-14.3125,-14.304,-14.1485,-14.1485,-14.1485,-14.1472,-14.1394,-13.9607,-13.9607,-13.9607,-13.9599,-13.953
80,14.5299,-14.4661,-14.4661,-14.4661,-14.4636,-14.4541,-14.3526,-14.3526,-14.3526,-14.3503,-14.3411,-14.2146,-14.2146,-14.2146,-14.2128,-14.2043,-14.0527,-14.0527,-14.0527,-14.0513,-14.0436,-13.8691,-13.8691,-13.8691,-13.8682,-13.8613
