gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6]
21,0.447848,0.477728,0.508689,0.54764,0.593618,0.651368,0.722706,0.810174,0.479207,0.510305,0.549186,0.595206,0.652957,0.724274,0.811884,0.480686,0.511922,0.550733,0.596797,0.654547,0.725835,0.813594,0.482165,0.513538,0.552279,0.598388,0.656136,0.727396,0.815303,0.483644,0.515155,0.553825,0.599978,0.657725,0.728957,0.817013,0.485123,0.516772,0.555372,0.601569,0.659314,0.730518,0.818723,0.486603,0.518388,0.556918,0.60316,0.660904,0.732079,0.820432
22,0.471456,0.496224,0.528946,0.567102,0.613417,0.671049,0.741932,0.830989,0.497569,0.530192,0.568305,0.614728,0.672406,0.743289,0.832513,0.498913,0.531438,0.569491,0.616038,0.673763,0.744647,0.833898,0.500257,0.532684,0.57067,0.617349,0.675121,0.746004,0.835283,0.501602,0.53393,0.571848,0.618659,0.676478,0.747362,0.836668,0.502946,0.535176,0.573027,0.619968,0.677835,0.748719,0.838054,0.50429,0.536423,0.574206,0.621276,0.679193,0.750075,0.839439
23,0.495339,0.514876,0.546907,0.584132,0.631463,0.689481,0.759853,0.848949,0.516563,0.548496,0.585735,0.633143,0.691139,0.761445,0.850477,0.518251,0.550085,0.587337,0.634823,0.692796,0.763037,0.852005,0.519933,0.551674,0.58894,0.636503,0.694453,0.764629,0.853533,0.5216,0.553263,0.590542,0.638183,0.696111,0.766222,0.855061,0.523268,0.554852,0.592145,0.639863,0.697751,0.767814,0.85659,0.524935,0.556441,0.593753,0.641543,0.699385,0.769406,0.858118
24,0.519498,0.534606,0.565424,0.602958,0.650457,0.708377,0.778161,0.867184,0.536274,0.56709,0.604751,0.652256,0.71017,0.780128,0.869062,0.537941,0.568754,0.606544,0.654054,0.711962,0.782095,0.870941,0.539609,0.570377,0.608337,0.655853,0.713754,0.784062,0.87282,0.541276,0.572001,0.61013,0.657651,0.715547,0.786028,0.874698,0.542944,0.573624,0.611922,0.659449,0.717339,0.787995,0.876577,0.544577,0.575247,0.613715,0.661248,0.719131,0.789962,0.878456
25,0.543937,0.553144,0.583515,0.622477,0.669887,0.727906,0.799343,0.887546,0.555004,0.585294,0.624375,0.671719,0.729714,0.801224,0.889266,0.556863,0.587073,0.626273,0.673547,0.731523,0.803104,0.890931,0.558722,0.588851,0.628171,0.675375,0.733331,0.804977,0.892595,0.560582,0.59063,0.630069,0.677203,0.735139,0.806834,0.89426,0.562441,0.592408,0.631967,0.679032,0.736947,0.808691,0.895925,0.564301,0.594237,0.633865,0.68086,0.738756,0.810548,0.89759
26,0.568659,0.572989,0.603847,0.643217,0.690197,0.748333,0.82075,0.907081,0.574499,0.605523,0.644845,0.691804,0.749959,0.82246,0.908651,0.576009,0.6072,0.646461,0.693411,0.751555,0.82417,0.910222,0.57752,0.608876,0.648077,0.695018,0.753152,0.825881,0.911793,0.57903,0.610553,0.649693,0.696626,0.754749,0.827591,0.913363,0.58054,0.612229,0.651309,0.69823,0.756346,0.829301,0.914934,0.582051,0.613906,0.652924,0.699834,0.757943,0.831012,0.916505
27,0.593667,0.591081,0.62368,0.662312,0.709017,0.76695,0.839861,0.926017,0.592786,0.625576,0.664227,0.710963,0.768933,0.841862,0.928297,0.594595,0.627472,0.666142,0.71291,0.770915,0.843863,0.930577,0.596518,0.629368,0.668057,0.714856,0.772898,0.845864,0.932857,0.598441,0.631264,0.669972,0.716802,0.77488,0.847865,0.935137,0.600363,0.63316,0.671854,0.718748,0.776862,0.849866,0.937417,0.602286,0.635056,0.673724,0.720694,0.778946,0.851867,0.939697
28,0.618966,0.611512,0.643505,0.681589,0.728753,0.787061,0.859317,0.947874,0.613617,0.64561,0.683679,0.730957,0.789293,0.861468,0.950234,0.615722,0.6477,0.685769,0.73316,0.791525,0.863672,0.952594,0.617827,0.649789,0.687859,0.735364,0.793757,0.865876,0.954954,0.619897,0.651879,0.689948,0.737567,0.795989,0.868079,0.957314,0.621927,0.653968,0.692038,0.73977,0.798222,0.870283,0.959674,0.623958,0.656058,0.694128,0.741974,0.800454,0.872487,0.962034
29,0.644557,0.633521,0.664428,0.701927,0.749846,0.808407,0.880359,0.970628,0.635232,0.666357,0.703927,0.751979,0.810617,0.882552,0.972922,0.636944,0.668285,0.705926,0.754111,0.812826,0.884745,0.975216,0.638655,0.670214,0.707925,0.756242,0.815036,0.886937,0.977347,0.640366,0.672078,0.709925,0.758373,0.817245,0.88911,0.979424,0.642078,0.673933,0.711924,0.760505,0.819455,0.891214,0.981501,0.643789,0.675788,0.713923,0.762636,0.821664,0.893318,0.983577
30,0.670445,0.653246,0.684308,0.722516,0.771227,0.83041,0.901492,0.991834,0.655303,0.686238,0.72454,0.773134,0.83243,0.903477,0.993891,0.65736,0.688167,0.726609,0.775042,0.834374,0.905462,0.995949,0.659417,0.690097,0.728677,0.77695,0.836318,0.907446,0.998006,0.661474,0.692027,0.730745,0.778887,0.838262,0.909431,1.00006,0.663531,0.693956,0.732814,0.780826,0.840205,0.911416,1.00212,0.665588,0.695886,0.734882,0.782765,0.842149,0.9134,1.00418
