gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6]
20,0.414511,-40.6859,-40.686,-40.686,-40.686,-40.6861,-40.6861,-40.6861,-39.5293,-39.5293,-39.5294,-39.5293,-39.5294,-39.5294,-39.5294,-38.3115,-38.3115,-38.3115,-38.3115,-38.3115,-38.3115,-38.3115,-37.0245,-37.0245,-37.0245,-37.0244,-37.0245,-37.0245,-37.0245,-35.6605,-35.6605,-35.6605,-35.6604,-35.6605,-35.6604,-35.6604,-34.2154,-34.2154,-34.2154,-34.2153,-34.2154,-34.2154,-34.2154,-32.6835,-32.6835,-32.6835,-32.6834,-32.6835,-32.6835,-32.6835
21,0.437849,-40.253,-40.253,-40.2531,-40.2531,-40.2532,-40.2531,-40.2532,-39.1344,-39.1345,-39.1345,-39.1345,-39.1346,-39.1345,-39.1346,-37.9511,-37.9511,-37.9512,-37.9511,-37.9512,-37.9512,-37.9512,-36.696,-36.696,-36.696,-36.6959,-36.696,-36.696,-36.696,-35.3628,-35.3628,-35.3628,-35.3627,-35.3628,-35.3628,-35.3628,-33.9464,-33.9464,-33.9464,-33.9463,-33.9464,-33.9464,-33.9463,-32.4417,-32.4416,-32.4417,-32.4416,-32.4417,-32.4416,-32.4416
22,0.461458,-39.8308,-39.8308,-39.8309,-39.8308,-39.8309,-39.8309,-39.8309,-38.7467,-38.7467,-38.7468,-38.7467,-38.7468,-38.7468,-38.7468,-37.596,-37.596,-37.596,-37.596,-37.5961,-37.596,-37.596,-36.3715,-36.3715,-36.3715,-36.3714,-36.3715,-36.3715,-36.3715,-35.0681,-35.0681,-35.0682,-35.0681,-35.0681,-35.0681,-35.0681,-33.6793,-33.6793,-33.6793,-33.6792,-33.6793,-33.6793,-33.6792,-32.201,-32.201,-32.201,-32.2009,-32.201,-32.2009,-32.2009
23,0.485341,-39.4169,-39.417,-39.417,-39.417,-39.4171,-39.417,-39.4171,-38.3659,-38.3659,-38.366,-38.3659,-38.366,-38.366,-38.366,-37.2462,-37.2462,-37.2463,-37.2462,-37.2463,-37.2462,-37.2463,-36.0511,-36.0511,-36.0512,-36.0511,-36.0512,-36.0511,-36.0511,-34.7762,-34.7762,-34.7763,-34.7762,-34.7763,-34.7762,-34.7762,-33.414,-33.414,-33.4141,-33.414,-33.414,-33.414,-33.414,-31.9618,-31.9618,-31.9618,-31.9617,-31.9618,-31.9618,-31.9618
24,0.5095,-39.0113,-39.0113,-39.0114,-39.0113,-39.0114,-39.0114,-39.0114,-37.9913,-37.9913,-37.9914,-37.9913,-37.9914,-37.9914,-37.9914,-36.9014,-36.9014,-36.9014,-36.9014,-36.9015,-36.9014,-36.9014,-35.7347,-35.7347,-35.7348,-35.7347,-35.7348,-35.7348,-35.7348,-34.4871,-34.4871,-34.4871,-34.487,-34.4871,-34.4871,-34.4871,-33.1511,-33.1511,-33.1512,-33.1511,-33.1511,-33.1511,-33.1511,-31.7243,-31.7243,-31.7243,-31.7242,-31.7243,-31.7243,-31.7243
25,0.533939,-38.6138,-38.6138,-38.6138,-38.6138,-38.6139,-38.6139,-38.6139,-37.6231,-37.6231,-37.6231,-37.6231,-37.6231,-37.6231,-37.6231,-36.5612,-36.5612,-36.5612,-36.5611,-36.5612,-36.5612,-36.5612,-35.4218,-35.4218,-35.4218,-35.4217,-35.4218,-35.4218,-35.4218,-34.2004,-34.2004,-34.2005,-34.2004,-34.2005,-34.2004,-34.2004,-32.8902,-32.8902,-32.8902,-32.8901,-32.8902,-32.8901,-32.8901,-31.4879,-31.4879,-31.4879,-31.4879,-31.4879,-31.4879,-31.4879
26,0.558661,-38.2231,-38.2231,-38.2232,-38.2231,-38.2232,-38.2232,-38.2232,-37.2607,-37.2607,-37.2607,-37.2607,-37.2607,-37.2607,-37.2607,-36.2253,-36.2253,-36.2254,-36.2253,-36.2254,-36.2254,-36.2254,-35.1122,-35.1122,-35.1122,-35.1122,-35.1122,-35.1122,-35.1122,-33.9162,-33.9162,-33.9163,-33.9162,-33.9163,-33.9162,-33.9162,-32.6309,-32.6309,-32.6309,-32.6308,-32.6309,-32.6308,-32.6308,-31.2527,-31.2527,-31.2527,-31.2526,-31.2527,-31.2527,-31.2527
27,0.58367,-37.8404,-37.8404,-37.8404,-37.8404,-37.8405,-37.8404,-37.8405,-36.9037,-36.9037,-36.9037,-36.9037,-36.9037,-36.9037,-36.9037,-35.8937,-35.8937,-35.8938,-35.8937,-35.8938,-35.8938,-35.8938,-34.8059,-34.8059,-34.806,-34.8059,-34.806,-34.8059,-34.8059,-33.6344,-33.6344,-33.6344,-33.6344,-33.6344,-33.6344,-33.6344,-32.3732,-32.3732,-32.3732,-32.3732,-32.3732,-32.3732,-32.3732,-31.0186,-31.0186,-31.0186,-31.0186,-31.0186,-31.0186,-31.0186
28,0.608968,-37.4639,-37.4639,-37.4639,-37.4639,-37.464,-37.4639,-37.464,-36.5518,-36.5518,-36.5518,-36.5518,-36.5518,-36.5518,-36.5518,-35.5662,-35.5662,-35.5662,-35.5661,-35.5662,-35.5662,-35.5662,-34.5028,-34.5028,-34.5028,-34.5027,-34.5028,-34.5028,-34.5028,-33.3548,-33.3548,-33.3549,-33.3548,-33.3549,-33.3548,-33.3548,-32.1172,-32.1172,-32.1172,-32.1171,-32.1172,-32.1171,-32.1171,-30.7857,-30.7857,-30.7857,-30.7856,-30.7857,-30.7856,-30.7856
29,0.634559,-37.0935,-37.0935,-37.0935,-37.0935,-37.0936,-37.0935,-37.0936,-36.2047,-36.2047,-36.2047,-36.2047,-36.2047,-36.2047,-36.2047,-35.2426,-35.2426,-35.2426,-35.2425,-35.2426,-35.2426,-35.2426,-34.2025,-34.2025,-34.2026,-34.2025,-34.2026,-34.2025,-34.2025,-33.0775,-33.0775,-33.0775,-33.0775,-33.0775,-33.0775,-33.0775,-31.8627,-31.8627,-31.8627,-31.8627,-31.8627,-31.8627,-31.8627,-30.5537,-30.5537,-30.5538,-30.5537,-30.5537,-30.5537,-30.5537
