gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[0 3],dist[0 4],dist[1 0],dist[1 1],dist[1 2],dist[1 3],dist[1 4],dist[2 0],dist[2 1],dist[2 2],dist[2 3],dist[2 4],dist[3 0],dist[3 1],dist[3 2],dist[3 3],dist[3 4],dist[4 0],dist[4 1],dist[4 2],dist[4 3],dist[4 4]
31,2.31725,0.000152132,0.000550465,0.000871991,0.000550465,0.000152132,0.00040182,0.00145392,0.00230315,0.00145392,0.00040182,0.000421554,0.00152532,0.00241626,0.00152532,0.000421554,0.000160176,0.000579569,0.000918096,0.000579569,0.000160176,2.26214e-005,8.18518e-005,0.000129661,8.18518e-005,2.26214e-005
32,2.43204,0.000166646,0.000602979,0.000955178,0.000602979,0.000166646,0.000456263,0.00165091,0.0026152,0.00165091,0.000456263,0.000489188,0.00177004,0.00280393,0.00177004,0.000489188,0.000191788,0.000693952,0.00109929,0.000693952,0.000191788,2.90611e-005,0.000105153,0.000166572,0.000105153,2.90611e-005
33,2.5502,0.000183303,0.000663251,0.00105066,0.000663251,0.000183303,0.000524529,0.00189792,0.00300649,0.00189792,0.000524529,0.000597504,0.00216197,0.00342477,0.00216197,0.000597504,0.000248859,0.000900452,0.00142641,0.000900452,0.000248859,3.95874e-005,0.00014324,0.000226907,0.00014324,3.95874e-005
34,2.67182,0.000181938,0.00065831,0.00104283,0.00065831,0.000181938,0.000545131,0.00197246,0.00312458,0.00197246,0.000545131,0.000652524,0.00236105,0.00374013,0.00236105,0.000652524,0.000285676,0.00103367,0.00163744,0.00103367,0.000285676,4.76517e-005,0.000172419,0.00027313,0.000172419,4.76517e-005
35,2.797,0.000182379,0.000659908,0.00104536,0.000659908,0.000182379,0.000579189,0.0020957,0.00331979,0.0020957,0.000579189,0.000739927,0.0026773,0.0042411,0.0026773,0.000739927,0.000345635,0.00125062,0.00198111,0.00125062,0.000345635,6.13799e-005,0.000222093,0.000351817,0.000222093,6.13799e-005
36,2.92586,0.000192562,0.000696753,0.00110373,0.000696753,0.000192562,0.000608883,0.00220314,0.00348999,0.00220314,0.000608883,0.000773084,0.00279727,0.00443115,0.00279727,0.000773084,0.000365328,0.00132188,0.00209398,0.00132188,0.000365328,6.77959e-005,0.000245308,0.000388592,0.000245308,6.77959e-005
37,3.05848,0.00019098,0.000691029,0.00109466,0.000691029,0.00019098,0.000635649,0.00229999,0.00364341,0.00229999,0.000635649,0.000852096,0.00308316,0.00488404,0.00308316,0.000852096,0.000422108,0.00152733,0.00241944,0.00152733,0.000422108,8.10797e-005,0.000293373,0.000464732,0.000293373,8.10797e-005
38,3.195,0.000184665,0.00066818,0.00105846,0.00066818,0.000184665,0.000638911,0.00231179,0.00366211,0.00231179,0.000638911,0.000909075,0.00328933,0.00521063,0.00328933,0.000909075,0.000482177,0.00174467,0.00276374,0.00174467,0.000482177,9.8894e-005,0.000357831,0.00056684,0.000357831,9.8894e-005
39,3.33551,0.000181675,0.00065736,0.00104132,0.00065736,0.000181675,0.000638008,0.00230852,0.00365693,0.00230852,0.000638008,0.00091309,0.00330386,0.00523364,0.00330386,0.00091309,0.000485337,0.00175611,0.00278185,0.00175611,0.000485337,0.000101941,0.000368856,0.000584304,0.000368856,0.000101941
40,3.48015,0.000176923,0.000640167,0.00101409,0.000640167,0.000176923,0.000634695,0.00229653,0.00363794,0.00229653,0.000634695,0.000933609,0.0033781,0.00535125,0.0033781,0.000933609,0.000518744,0.00187698,0.00297333,0.00187698,0.000518744,0.000113744,0.000411563,0.000651957,0.000411563,0.000113744
