gridnumber,capital,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6]
220,18.5681,9.64536,9.64535,9.64536,9.64536,9.64536,9.64535,9.64536
221,18.8018,9.76673,9.76672,9.76673,9.76673,9.76673,9.76672,9.76673
222,19.0381,9.8895,9.8895,9.8895,9.8895,9.8895,9.8895,9.8895
223,19.2772,10.0137,10.0137,10.0137,10.0137,10.0137,10.0137,10.0137
224,19.5191,10.1393,10.1393,10.1393,10.1393,10.1393,10.1393,10.1393
225,19.7638,10.2664,10.2664,10.2664,10.2664,10.2664,10.2664,10.2664
226,20.0113,10.395,10.395,10.395,10.395,10.395,10.395,10.395
227,20.2617,10.5251,10.5251,10.5251,10.5251,10.5251,10.5251,10.5251
228,20.5149,10.6566,10.6566,10.6566,10.6566,10.6566,10.6566,10.6566
229,20.7711,10.7897,10.7897,10.7897,10.7897,10.7897,10.7897,10.7897
230,21.0303,10.9243,10.9243,10.9243,10.9243,10.9243,10.9243,10.9243
231,21.2925,11.0605,11.0605,11.0605,11.0605,11.0605,11.0605,11.0605
232,21.5577,11.1983,11.1983,11.1983,11.1983,11.1983,11.1983,11.1983
233,21.826,11.3376,11.3376,11.3376,11.3376,11.3376,11.3376,11.3376
234,22.0974,11.4786,11.4786,11.4786,11.4786,11.4786,11.4786,11.4786
235,22.3719,11.6212,11.6212,11.6212,11.6212,11.6212,11.6212,11.6212
236,22.6496,11.7655,11.7655,11.7655,11.7655,11.7655,11.7655,11.7655
237,22.9306,11.9114,11.9114,11.9114,11.9114,11.9114,11.9114,11.9114
238,23.2148,12.059,12.059,12.0591,12.059,12.0591,12.059,12.059
239,23.5023,12.2084,12.2084,12.2084,12.2084,12.2084,12.2084,12.2084
240,23.7931,12.3594,12.3594,12.3594,12.3594,12.3594,12.3594,12.3594
241,24.0873,12.5123,12.5123,12.5123,12.5123,12.5123,12.5123,12.5123
242,24.3848,12.6668,12.6668,12.6668,12.6668,12.6668,12.6668,12.6668
243,24.6859,12.8232,12.8232,12.8232,12.8232,12.8232,12.8232,12.8232
244,24.9904,12.9814,12.9814,12.9814,12.9814,12.9814,12.9814,12.9814
245,25.2985,13.1414,13.1414,13.1414,13.1414,13.1414,13.1414,13.1414
246,25.6101,13.3033,13.3033,13.3033,13.3033,13.3033,13.3033,13.3033
247,25.9253,13.467,13.467,13.4671,13.467,13.4671,13.467,13.467
248,26.2442,13.6327,13.6327,13.6327,13.6327,13.6327,13.6327,13.6327
249,26.5668,13.8003,13.8003,13.8003,13.8003,13.8003,13.8003,13.8003
250,26.8931,13.9698,13.9698,13.9698,13.9698,13.9698,13.9698,13.9698
251,27.2232,14.1412,14.1412,14.1412,14.1412,14.1412,14.1412,14.1412
252,27.5571,14.3147,14.3147,14.3147,14.3147,14.3147,14.3147,14.3147
253,27.8949,14.4902,14.4902,14.4902,14.4902,14.4902,14.4902,14.4902
254,28.2366,14.6677,14.6677,14.6677,14.6677,14.6677,14.6677,14.6677
255,28.5823,14.8472,14.8472,14.8472,14.8472,14.8472,14.8472,14.8472
256,28.932,15.0288,15.0288,15.0288,15.0288,15.0288,15.0288,15.0288
257,29.2857,15.2126,15.2126,15.2126,15.2126,15.2126,15.2126,15.2126
258,29.6435,15.3985,15.3985,15.3985,15.3985,15.3985,15.3985,15.3985
259,30.0055,15.5865,15.5865,15.5865,15.5865,15.5865,15.5865,15.5865
260,30.3716,15.7767,15.7767,15.7767,15.7767,15.7767,15.7767,15.7767
261,30.742,15.9691,15.9691,15.9691,15.9691,15.9691,15.9691,15.9691
262,31.1167,16.1637,16.1637,16.1637,16.1637,16.1637,16.1637,16.1637
263,31.4958,16.3606,16.3606,16.3606,16.3606,16.3606,16.3606,16.3606
264,31.8792,16.5598,16.5598,16.5598,16.5598,16.5598,16.5598,16.5598
265,32.267,16.7612,16.7612,16.7612,16.7612,16.7612,16.7612,16.7612
266,32.6594,16.9651,16.965,16.9651,16.9651,16.9651,16.965,16.9651
267,33.0563,17.1712,17.1712,17.1712,17.1712,17.1712,17.1712,17.1712
268,33.4578,17.3798,17.3798,17.3798,17.3798,17.3798,17.3798,17.3798
269,33.864,17.5908,17.5908,17.5908,17.5908,17.5908,17.5908,17.5908
270,34.2748,17.8042,17.8042,17.8042,17.8042,17.8042,17.8042,17.8042
271,34.6904,18.0201,18.0201,18.0201,18.0201,18.0201,18.0201,18.0201
272,35.1109,18.2385,18.2385,18.2385,18.2385,18.2385,18.2385,18.2385
273,35.5362,18.4594,18.4594,18.4594,18.4594,18.4594,18.4594,18.4594
274,35.9664,18.6829,18.6829,18.6829,18.6829,18.6829,18.6829,18.6829
275,36.4016,18.9089,18.9089,18.9089,18.9089,18.9089,18.9089,18.9089
276,36.8419,19.1376,19.1376,19.1376,19.1376,19.1376,19.1376,19.1376
277,37.2872,19.369,19.369,19.369,19.369,19.369,19.369,19.369
278,37.7377,19.603,19.603,19.603,19.603,19.603,19.603,19.603
279,38.1935,19.8397,19.8397,19.8397,19.8397,19.8397,19.8397,19.8397
280,38.6545,20.0792,20.0792,20.0792,20.0792,20.0792,20.0792,20.0792
281,39.1209,20.3215,20.3215,20.3215,20.3215,20.3215,20.3215,20.3215
282,39.5926,20.5665,20.5665,20.5665,20.5665,20.5665,20.5665,20.5665
283,40.0698,20.8144,20.8144,20.8144,20.8144,20.8144,20.8144,20.8144
284,40.5526,21.0652,21.0652,21.0652,21.0652,21.0652,21.0652,21.0652
285,41.0409,21.3188,21.3188,21.3188,21.3188,21.3188,21.3188,21.3188
286,41.5349,21.5755,21.5755,21.5755,21.5755,21.5755,21.5755,21.5755
287,42.0347,21.835,21.835,21.835,21.835,21.835,21.835,21.835
288,42.5402,22.0976,22.0976,22.0976,22.0976,22.0976,22.0976,22.0976
289,43.0516,22.3633,22.3633,22.3633,22.3633,22.3633,22.3633,22.3633
290,43.5689,22.632,22.632,22.632,22.632,22.632,22.632,22.632
291,44.0922,22.9038,22.9038,22.9038,22.9038,22.9038,22.9038,22.9038
292,44.6215,23.1788,23.1788,23.1788,23.1788,23.1788,23.1788,23.1788
293,45.157,23.4569,23.4569,23.4569,23.4569,23.4569,23.4569,23.4569
294,45.6987,23.7383,23.7383,23.7383,23.7383,23.7383,23.7383,23.7383
295,46.2467,24.0229,24.0229,24.023,24.0229,24.023,24.0229,24.0229
296,46.801,24.3109,24.3109,24.3109,24.3109,24.3109,24.3109,24.3109
297,47.3617,24.6022,24.6022,24.6022,24.6022,24.6022,24.6022,24.6022
298,47.9289,24.8968,24.8968,24.8968,24.8968,24.8968,24.8968,24.8968
299,48.5027,25.1949,25.1949,25.1949,25.1949,25.1949,25.1949,25.1949
300,49.0832,25.4964,25.4964,25.4964,25.4964,25.4964,25.4964,25.4964
301,49.6704,25.8014,25.8014,25.8014,25.8014,25.8014,25.8014,25.8014
302,50.2644,26.1099,26.1099,26.1099,26.1099,26.1099,26.1099,26.1099
303,50.8652,26.4221,26.4221,26.4221,26.4221,26.4221,26.4221,26.4221
304,51.473,26.7378,26.7378,26.7378,26.7378,26.7378,26.7378,26.7378
305,52.0879,27.0572,27.0572,27.0572,27.0572,27.0572,27.0572,27.0572
306,52.7099,27.3803,27.3803,27.3803,27.3803,27.3803,27.3803,27.3803
307,53.3391,27.7071,27.7071,27.7071,27.7071,27.7071,27.7071,27.7071
308,53.9756,28.0377,28.0377,28.0377,28.0377,28.0377,28.0377,28.0377
309,54.6194,28.3722,28.3722,28.3722,28.3722,28.3722,28.3722,28.3722
310,55.2707,28.7105,28.7105,28.7105,28.7105,28.7105,28.7105,28.7105
311,55.9296,29.0527,29.0527,29.0527,29.0527,29.0527,29.0527,29.0527
312,56.5961,29.399,29.3989,29.399,29.399,29.399,29.3989,29.399
313,57.2703,29.7492,29.7492,29.7492,29.7492,29.7492,29.7492,29.7492
314,57.9523,30.1035,30.1034,30.1035,30.1035,30.1035,30.1034,30.1035
315,58.6423,30.4618,30.4618,30.4618,30.4618,30.4618,30.4618,30.4618
316,59.3402,30.8244,30.8244,30.8244,30.8244,30.8244,30.8244,30.8244
317,60.0462,31.1911,31.1911,31.1911,31.1911,31.1911,31.1911,31.1911
318,60.7604,31.5621,31.5621,31.5621,31.5621,31.5621,31.5621,31.5621
319,61.4828,31.9374,31.9374,31.9374,31.9374,31.9374,31.9374,31.9374
320,62.2137,32.317,32.317,32.317,32.317,32.317,32.317,32.317
321,62.9529,32.701,32.701,32.701,32.701,32.701,32.701,32.701
322,63.7008,33.0895,33.0895,33.0895,33.0895,33.0895,33.0895,33.0895
