gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6]
190,12.6755,-3.32997,-3.32997,-3.32997,-3.32997,-3.32997,-3.32997,-3.32997,-3.3181,-3.3181,-3.3181,-3.3181,-3.3181,-3.3181,-3.3181,-3.30628,-3.30628,-3.30628,-3.30628,-3.30628,-3.30628,-3.30628,-3.29445,-3.29445,-3.29445,-3.29445,-3.29445,-3.29445,-3.29445,-3.28276,-3.28276,-3.28276,-3.28276,-3.28276,-3.28276,-3.28276,-3.27115,-3.27115,-3.27115,-3.27115,-3.27115,-3.27115,-3.27115,-3.25954,-3.25954,-3.25954,-3.25954,-3.25954,-3.25954,-3.25954
191,12.8409,-3.29075,-3.29075,-3.29075,-3.29075,-3.29075,-3.29075,-3.29075,-3.27927,-3.27927,-3.27927,-3.27927,-3.27927,-3.27927,-3.27927,-3.26779,-3.26779,-3.26779,-3.26779,-3.26779,-3.26779,-3.26779,-3.25632,-3.25632,-3.25632,-3.25632,-3.25632,-3.25632,-3.25632,-3.24498,-3.24498,-3.24498,-3.24498,-3.24498,-3.24498,-3.24498,-3.23371,-3.23371,-3.23371,-3.23371,-3.23371,-3.23371,-3.23371,-3.22245,-3.22245,-3.22245,-3.22245,-3.22245,-3.22245,-3.22245
192,13.0082,-3.25183,-3.25183,-3.25183,-3.25183,-3.25183,-3.25183,-3.25183,-3.2407,-3.2407,-3.2407,-3.2407,-3.2407,-3.2407,-3.2407,-3.22958,-3.22958,-3.22958,-3.22958,-3.22958,-3.22958,-3.22958,-3.21845,-3.21845,-3.21845,-3.21845,-3.21845,-3.21845,-3.21845,-3.20746,-3.20746,-3.20746,-3.20746,-3.20746,-3.20746,-3.20746,-3.19654,-3.19654,-3.19654,-3.19654,-3.19654,-3.19654,-3.19654,-3.18561,-3.18561,-3.18561,-3.18561,-3.18561,-3.18561,-3.18561
193,13.1774,-3.21405,-3.21405,-3.21405,-3.21405,-3.21405,-3.21405,-3.21405,-3.20298,-3.20298,-3.20298,-3.20298,-3.20298,-3.20298,-3.20298,-3.19192,-3.19192,-3.19192,-3.19192,-3.19192,-3.19192,-3.19192,-3.18085,-3.18085,-3.18085,-3.18085,-3.18085,-3.18085,-3.18085,-3.16993,-3.16993,-3.16993,-3.16993,-3.16993,-3.16993,-3.16993,-3.15907,-3.15907,-3.15907,-3.15907,-3.15907,-3.15907,-3.15907,-3.1482,-3.1482,-3.1482,-3.1482,-3.1482,-3.1482,-3.1482
194,13.3486,-3.17654,-3.17654,-3.17654,-3.17654,-3.17654,-3.17654,-3.17654,-3.16553,-3.16553,-3.16553,-3.16553,-3.16553,-3.16553,-3.16553,-3.15452,-3.15452,-3.15452,-3.15452,-3.15452,-3.15452,-3.15452,-3.14352,-3.14352,-3.14352,-3.14352,-3.14352,-3.14352,-3.14352,-3.13268,-3.13268,-3.13268,-3.13268,-3.13268,-3.13268,-3.13268,-3.12187,-3.12187,-3.12187,-3.12187,-3.12187,-3.12187,-3.12187,-3.11107,-3.11107,-3.11107,-3.11107,-3.11107,-3.11107,-3.11107
195,13.5218,-3.13929,-3.13929,-3.13929,-3.13929,-3.13929,-3.13929,-3.13929,-3.12835,-3.12835,-3.12835,-3.12835,-3.12835,-3.12835,-3.12835,-3.1174,-3.1174,-3.1174,-3.1174,-3.1174,-3.1174,-3.1174,-3.10646,-3.10646,-3.10646,-3.10646,-3.10646,-3.10646,-3.10646,-3.09569,-3.09569,-3.09569,-3.09569,-3.09569,-3.09569,-3.09569,-3.08495,-3.08495,-3.08495,-3.08495,-3.08495,-3.08495,-3.08495,-3.0742,-3.0742,-3.0742,-3.0742,-3.0742,-3.0742,-3.0742
196,13.697,-3.10148,-3.10148,-3.10148,-3.10148,-3.10148,-3.10148,-3.10148,-3.09088,-3.09088,-3.09088,-3.09088,-3.09088,-3.09088,-3.09088,-3.08028,-3.08028,-3.08028,-3.08028,-3.08028,-3.08028,-3.08028,-3.06968,-3.06968,-3.06968,-3.06968,-3.06968,-3.06968,-3.06968,-3.05925,-3.05925,-3.05925,-3.05925,-3.05925,-3.05925,-3.05925,-3.04884,-3.04884,-3.04884,-3.04884,-3.04884,-3.04884,-3.04884,-3.03844,-3.03844,-3.03844,-3.03844,-3.03844,-3.03844,-3.03844
197,13.8742,-3.06395,-3.06395,-3.06395,-3.06395,-3.06395,-3.06395,-3.06395,-3.05369,-3.05369,-3.05369,-3.05369,-3.05369,-3.05369,-3.05369,-3.04343,-3.04343,-3.04343,-3.04343,-3.04343,-3.04343,-3.04343,-3.03316,-3.03316,-3.03316,-3.03316,-3.03316,-3.03316,-3.03316,-3.02308,-3.02308,-3.02308,-3.02308,-3.02308,-3.02308,-3.02308,-3.01301,-3.01301,-3.01301,-3.01301,-3.01301,-3.01301,-3.01301,-3.00294,-3.00294,-3.00294,-3.00294,-3.00294,-3.00294,-3.00294
198,14.0535,-3.02753,-3.02753,-3.02753,-3.02753,-3.02753,-3.02753,-3.02753,-3.01733,-3.01733,-3.01733,-3.01733,-3.01733,-3.01733,-3.01733,-3.00712,-3.00712,-3.00712,-3.00712,-3.00712,-3.00712,-3.00712,-2.99692,-2.99692,-2.99692,-2.99692,-2.99692,-2.99692,-2.99692,-2.98691,-2.98691,-2.98691,-2.98691,-2.98691,-2.98691,-2.98691,-2.9769,-2.9769,-2.9769,-2.9769,-2.9769,-2.9769,-2.9769,-2.96688,-2.96688,-2.96688,-2.96688,-2.96688,-2.96688,-2.96688
199,14.2348,-2.99056,-2.99056,-2.99056,-2.99056,-2.99056,-2.99056,-2.99056,-2.98069,-2.98069,-2.98069,-2.98069,-2.98069,-2.98069,-2.98069,-2.97082,-2.97082,-2.97082,-2.97082,-2.97082,-2.97082,-2.97082,-2.96097,-2.96097,-2.96097,-2.96097,-2.96097,-2.96097,-2.96097,-2.95128,-2.95128,-2.95128,-2.95128,-2.95128,-2.95128,-2.95128,-2.9416,-2.9416,-2.9416,-2.9416,-2.9416,-2.9416,-2.9416,-2.93191,-2.93191,-2.93191,-2.93191,-2.93191,-2.93191,-2.93191
200,14.4183,-2.95468,-2.95468,-2.95468,-2.95468,-2.95468,-2.95468,-2.95468,-2.94488,-2.94488,-2.94488,-2.94488,-2.94488,-2.94488,-2.94488,-2.93507,-2.93507,-2.93507,-2.93507,-2.93507,-2.93507,-2.93507,-2.92528,-2.92528,-2.92528,-2.92528,-2.92528,-2.92528,-2.92528,-2.91565,-2.91565,-2.91565,-2.91565,-2.91565,-2.91565,-2.91565,-2.90603,-2.90603,-2.90603,-2.90603,-2.90603,-2.90603,-2.90603,-2.8964,-2.8964,-2.8964,-2.8964,-2.8964,-2.8964,-2.8964
201,14.6039,-2.91827,-2.91827,-2.91827,-2.91827,-2.91827,-2.91827,-2.91827,-2.90879,-2.90879,-2.90879,-2.90879,-2.90879,-2.90879,-2.90879,-2.89932,-2.89932,-2.89932,-2.89932,-2.89932,-2.89932,-2.89932,-2.88987,-2.88987,-2.88987,-2.88987,-2.88987,-2.88987,-2.88987,-2.88057,-2.88057,-2.88057,-2.88057,-2.88057,-2.88057,-2.88057,-2.87127,-2.87127,-2.87127,-2.87127,-2.87127,-2.87127,-2.87127,-2.86197,-2.86197,-2.86197,-2.86197,-2.86197,-2.86197,-2.86197
202,14.7916,-2.88214,-2.88214,-2.88214,-2.88214,-2.88214,-2.88214,-2.88214,-2.87299,-2.87299,-2.87299,-2.87299,-2.87299,-2.87299,-2.87299,-2.86384,-2.86384,-2.86384,-2.86384,-2.86384,-2.86384,-2.86384,-2.85473,-2.85473,-2.85473,-2.85473,-2.85473,-2.85473,-2.85473,-2.84576,-2.84576,-2.84576,-2.84576,-2.84576,-2.84576,-2.84576,-2.83678,-2.83678,-2.83678,-2.83678,-2.83678,-2.83678,-2.83678,-2.8278,-2.8278,-2.8278,-2.8278,-2.8278,-2.8278,-2.8278
203,14.9815,-2.8471,-2.8471,-2.8471,-2.8471,-2.8471,-2.8471,-2.8471,-2.838,-2.838,-2.838,-2.838,-2.838,-2.838,-2.838,-2.82891,-2.82891,-2.82891,-2.82891,-2.82891,-2.82891,-2.82891,-2.81987,-2.81987,-2.81987,-2.81987,-2.81987,-2.81987,-2.81987,-2.81095,-2.81095,-2.81095,-2.81095,-2.81095,-2.81095,-2.81095,-2.80203,-2.80203,-2.80203,-2.80203,-2.80203,-2.80203,-2.80203,-2.79312,-2.79312,-2.79312,-2.79312,-2.79312,-2.79312,-2.79312
204,15.1736,-2.81233,-2.81233,-2.81233,-2.81233,-2.81233,-2.81233,-2.81233,-2.80329,-2.80329,-2.80329,-2.80329,-2.80329,-2.80329,-2.80329,-2.79426,-2.79426,-2.79426,-2.79426,-2.79426,-2.79426,-2.79426,-2.78529,-2.78529,-2.78529,-2.78529,-2.78529,-2.78529,-2.78529,-2.77642,-2.77642,-2.77642,-2.77642,-2.77642,-2.77642,-2.77642,-2.76756,-2.76756,-2.76756,-2.76756,-2.76756,-2.76756,-2.76756,-2.7587,-2.7587,-2.7587,-2.7587,-2.7587,-2.7587,-2.7587
