gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6]
267,33.0563,-0.886074,-0.866871,-0.848226,-0.83017,-0.812597,-0.795486,-0.778826
268,33.4578,-0.866775,-0.84797,-0.829712,-0.812032,-0.794826,-0.778073,-0.761762
269,33.864,-0.847886,-0.829472,-0.811594,-0.794283,-0.777436,-0.761033,-0.745064
270,34.2748,-0.8294,-0.811369,-0.793864,-0.776913,-0.760418,-0.744359,-0.728725
271,34.6904,-0.811308,-0.793653,-0.776512,-0.759916,-0.743766,-0.728044,-0.712738
272,35.1109,-0.793602,-0.776315,-0.759532,-0.743283,-0.727471,-0.712079,-0.697095
273,35.5362,-0.776275,-0.759348,-0.742916,-0.727007,-0.711527,-0.696458,-0.681788
274,35.9664,-0.759317,-0.742744,-0.726656,-0.71108,-0.695925,-0.681172,-0.666812
275,36.4016,-0.742723,-0.726496,-0.710745,-0.695495,-0.680659,-0.666217,-0.652159
276,36.8419,-0.726483,-0.710596,-0.695175,-0.680246,-0.665721,-0.651583,-0.637822
277,37.2872,-0.710591,-0.695037,-0.67994,-0.665324,-0.651105,-0.637265,-0.623795
278,37.7377,-0.69504,-0.679813,-0.665032,-0.650724,-0.636804,-0.623256,-0.61007
279,38.1935,-0.679823,-0.664915,-0.650445,-0.636438,-0.622811,-0.60955,-0.596643
280,38.6545,-0.664932,-0.650337,-0.636172,-0.62246,-0.609121,-0.59614,-0.583506
281,39.1209,-0.650361,-0.636073,-0.622206,-0.608783,-0.595726,-0.583019,-0.570653
282,39.5926,-0.636102,-0.622115,-0.608541,-0.595401,-0.58262,-0.570183,-0.558079
283,40.0698,-0.622151,-0.608459,-0.595171,-0.582309,-0.569798,-0.557624,-0.545777
284,40.5526,-0.6085,-0.595096,-0.582089,-0.569499,-0.557253,-0.545337,-0.533742
285,41.0409,-0.595143,-0.582022,-0.569289,-0.556966,-0.54498,-0.533317,-0.521968
286,41.5349,-0.582073,-0.56923,-0.556767,-0.544704,-0.532972,-0.521557,-0.51045
287,42.0347,-0.569286,-0.556714,-0.544514,-0.532708,-0.521225,-0.510053,-0.499182
288,42.5402,-0.556774,-0.544468,-0.532527,-0.520971,-0.509732,-0.498798,-0.488159
289,43.0516,-0.544532,-0.532487,-0.520799,-0.509489,-0.498489,-0.487787,-0.477375
290,43.5689,-0.532555,-0.520765,-0.509326,-0.498255,-0.48749,-0.477016,-0.466826
291,44.0922,-0.520836,-0.509297,-0.4981,-0.487265,-0.476729,-0.466479,-0.456507
292,44.6215,-0.509371,-0.498077,-0.487119,-0.476514,-0.466203,-0.456171,-0.446412
293,45.157,-0.498154,-0.4871,-0.476375,-0.465996,-0.455905,-0.446087,-0.436537
294,45.6987,-0.48718,-0.476361,-0.465864,-0.455707,-0.445831,-0.436224,-0.426878
295,46.2467,-0.476444,-0.465855,-0.455582,-0.445642,-0.435976,-0.426575,-0.417429
296,46.801,-0.46594,-0.455577,-0.445523,-0.435795,-0.426336,-0.417136,-0.408186
297,47.3617,-0.455665,-0.445522,-0.435683,-0.426163,-0.416906,-0.407903,-0.399145
298,47.9289,-0.445612,-0.435686,-0.426057,-0.41674,-0.407682,-0.398872,-0.390302
299,48.5027,-0.435777,-0.426063,-0.41664,-0.407523,-0.398659,-0.390037,-0.381652
300,49.0832,-0.426156,-0.41665,-0.407428,-0.398506,-0.389832,-0.381396,-0.373191
301,49.6704,-0.416745,-0.407442,-0.398417,-0.389686,-0.381199,-0.372944,-0.364915
302,50.2644,-0.407537,-0.398434,-0.389602,-0.381059,-0.372753,-0.364676,-0.35682
303,50.8652,-0.398531,-0.389622,-0.38098,-0.37262,-0.364493,-0.356589,-0.348902
304,51.473,-0.38972,-0.381002,-0.372546,-0.364365,-0.356413,-0.348679,-0.341158
