gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6]
20,0.414511,-40.6859,-40.6859,-40.686,-40.6859,-40.686,-40.686,-40.6861,-39.5295,-39.5296,-39.5296,-39.5296,-39.5297,-39.5296,-39.5297,-38.3115,-38.3116,-38.3116,-38.3115,-38.3116,-38.3116,-38.3116,-37.0246,-37.0246,-37.0246,-37.0245,-37.0246,-37.0245,-37.0245,-35.6824,-35.6729,-35.6662,-35.6605,-35.6549,-35.6492,-35.6451,-34.2464,-34.2361,-34.223,-34.2155,-34.2099,-34.2042,-34.2,-32.7138,-32.7029,-32.6928,-32.6835,-32.6773,-32.6726,-32.6684
21,0.437849,-40.2532,-40.2533,-40.2533,-40.2533,-40.2534,-40.2534,-40.2534,-39.1346,-39.1346,-39.1346,-39.1346,-39.1347,-39.1347,-39.1347,-37.9512,-37.9512,-37.9512,-37.9512,-37.9513,-37.9512,-37.9512,-36.696,-36.696,-36.6961,-36.696,-36.6961,-36.696,-36.696,-35.384,-35.3769,-35.3694,-35.3628,-35.3569,-35.352,-35.3465,-33.9784,-33.9668,-33.9552,-33.9464,-33.9392,-33.9329,-33.9276,-32.4743,-32.4617,-32.4517,-32.4416,-32.4321,-32.4234,-32.4143
22,0.461458,-39.8311,-39.8312,-39.8312,-39.8312,-39.8313,-39.8312,-39.8313,-38.7468,-38.7468,-38.7469,-38.7468,-38.7469,-38.7469,-38.7469,-37.596,-37.596,-37.5961,-37.596,-37.5961,-37.5961,-37.5961,-36.3715,-36.3715,-36.3716,-36.3715,-36.3716,-36.3715,-36.3715,-35.0799,-35.076,-35.0721,-35.0681,-35.0643,-35.0603,-35.0564,-33.6988,-33.6923,-33.6843,-33.6793,-33.6758,-33.6723,-33.6688,-32.2199,-32.2127,-32.2069,-32.201,-32.1952,-32.1893,-32.1835
23,0.485341,-39.4171,-39.4171,-39.4171,-39.4171,-39.4172,-39.4172,-39.4172,-38.366,-38.366,-38.366,-38.366,-38.3661,-38.366,-38.3661,-37.2463,-37.2463,-37.2463,-37.2463,-37.2463,-37.2463,-37.2463,-36.0512,-36.0512,-36.0512,-36.0512,-36.0512,-36.0512,-36.0512,-34.7952,-34.7878,-34.7821,-34.7763,-34.7706,-34.766,-34.7608,-33.4375,-33.4286,-33.4208,-33.4141,-33.408,-33.4018,-33.3972,-31.993,-31.976,-31.9689,-31.9618,-31.9552,-31.9486,-31.9434
24,0.5095,-39.0114,-39.0115,-39.0115,-39.0115,-39.0116,-39.0115,-39.0116,-37.9913,-37.9913,-37.9913,-37.9913,-37.9913,-37.9913,-37.9913,-36.9015,-36.9015,-36.9015,-36.9015,-36.9015,-36.9015,-36.9015,-35.7348,-35.7348,-35.7348,-35.7348,-35.7348,-35.7348,-35.7348,-34.5083,-34.5013,-34.4942,-34.4871,-34.4807,-34.4742,-34.4677,-33.1819,-33.1706,-33.1598,-33.1512,-33.1431,-33.135,-33.1285,-31.7579,-31.7467,-31.7355,-31.7242,-31.7136,-31.7029,-31.6936
25,0.533939,-38.6138,-38.6139,-38.6139,-38.6139,-38.614,-38.6139,-38.6139,-37.6231,-37.6231,-37.6232,-37.6231,-37.6232,-37.6231,-37.6232,-36.5612,-36.5612,-36.5613,-36.5612,-36.5613,-36.5613,-36.5613,-35.4218,-35.4218,-35.4218,-35.4218,-35.4218,-35.4218,-35.4218,-34.2168,-34.2113,-34.2059,-34.2005,-34.1957,-34.1908,-34.186,-32.9118,-32.9046,-32.8974,-32.8902,-32.883,-32.8758,-32.8686,-31.5134,-31.5059,-31.4964,-31.4879,-31.4804,-31.4729,-31.4654
26,0.558661,-38.2229,-38.2229,-38.223,-38.2229,-38.223,-38.223,-38.223,-37.2608,-37.2608,-37.2609,-37.2608,-37.2609,-37.2609,-37.2609,-36.2254,-36.2254,-36.2254,-36.2254,-36.2254,-36.2254,-36.2254,-35.1123,-35.1123,-35.1123,-35.1122,-35.1123,-35.1123,-35.1123,-33.9274,-33.9274,-33.9225,-33.9162,-33.9101,-33.9039,-33.8996,-32.653,-32.6456,-32.6383,-32.6309,-32.6235,-32.6161,-32.6088,-31.2789,-31.2743,-31.2626,-31.2528,-31.2451,-31.2374,-31.2297
27,0.58367,-37.8405,-37.8405,-37.8405,-37.8405,-37.8406,-37.8406,-37.8406,-36.9038,-36.9038,-36.9038,-36.9038,-36.9038,-36.9038,-36.9038,-35.8938,-35.8938,-35.8938,-35.8938,-35.8938,-35.8938,-35.8938,-34.806,-34.806,-34.806,-34.806,-34.806,-34.806,-34.806,-33.6515,-33.6458,-33.6408,-33.6344,-33.6275,-33.6206,-33.6155,-32.3959,-32.3883,-32.3814,-32.3732,-32.3651,-32.357,-32.3489,-31.0519,-31.0419,-31.0304,-31.0188,-31.0073,-30.9957,-30.9857
28,0.608968,-37.4642,-37.4642,-37.4643,-37.4642,-37.4643,-37.4643,-37.4643,-36.5518,-36.5518,-36.5518,-36.5518,-36.5519,-36.5518,-36.5518,-35.5662,-35.5662,-35.5663,-35.5662,-35.5663,-35.5662,-35.5662,-34.5028,-34.5028,-34.5028,-34.5028,-34.5028,-34.5028,-34.5028,-33.3723,-33.3678,-33.3614,-33.3549,-33.3485,-33.342,-33.3355,-32.1403,-32.1326,-32.1249,-32.1172,-32.1095,-32.1017,-32.094,-30.8148,-30.8062,-30.7976,-30.7857,-30.7739,-30.7621,-30.7519
29,0.634559,-37.0935,-37.0935,-37.0936,-37.0935,-37.0936,-37.0936,-37.0936,-36.2047,-36.2047,-36.2047,-36.2047,-36.2047,-36.2047,-36.2047,-35.2426,-35.2426,-35.2427,-35.2426,-35.2427,-35.2427,-35.2427,-34.2026,-34.2026,-34.2026,-34.2025,-34.2026,-34.2026,-34.2026,-33.0973,-33.092,-33.0848,-33.0775,-33.071,-33.0644,-33.0578,-31.8882,-31.8797,-31.8712,-31.8627,-31.8549,-31.847,-31.8391,-30.5854,-30.5781,-30.5659,-30.5537,-30.5417,-30.534,-30.5274
